,Name,Sector,City,Address,Phone,Email,Lat-Long
1,TANUVAS - Tamil Nadu Veterinary And Animal Sciences University,College,Chennai,"567V+2F3, Madhavaram Milk Colony Rd, Madhavaram Milk Colony, Chennai, Tamil Nadu 600051",044 2555 1586,,"13.1625003,80.2411121"
2,"Sri Venkateswara College of Engineering, Kanchipuram",College,Chennai,,,,"12.987903,79.9686392"
3,Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College,College,Chennai,,,,"13.188565,80.1040186"
4,Sri Sai Ram Institute of Technology,College,Chennai,"Sairam College Rd, Sai Leo Nagar, West Tambaram, Chennai, Tamil Nadu 600044",044 4226 7777,,"12.9606471,80.0506576"
5,IFET College of Engineering,College,Chennai,"College of Engineering, IFET ROAD, Nagar, Gangarampalaiyam, Tamil Nadu 605108",094421 85456,,"11.9207387,79.6004321"
6,DoMS IIT Madras - Department of Management Studies,College,Chennai,"X6RM+JRJ, Delhi Ave, Indian Institute Of Technology, Chennai, Tamil Nadu 600036",044 2257 4550,,"12.9915952,80.2242307"
7,Loyola Institute of Business Administration,College,Chennai,"Loyola College Campus, No: 1, Sterling Rd, Nungambakkam, Chennai, Tamil Nadu 600034",094440 28418,,"13.0591986,80.2255768"
8,"SRM School of Management, SRMIST - SRM Institute of Science and Technology, Chennai",College,Chennai,,,,"13.0420082,80.1750252"
9,"SRM Institute of Science and Technology, Chennai - Ramapuram Campus",College,Chennai,"Bharathi Salai, Ramapuram, Chennai, Tamil Nadu 600089",1800 102 1525,,"13.0322539,80.1704378"
10,Vellore Institute of Technology - Chennai Campus,College,Chennai,"Kelambakkam - Vandalur Rd, Rajan Nagar, Chennai, Tamil Nadu 600127",044 3993 1555,,"12.8406408,80.1431285"
11,Academy of Maritime Education and Training,College,Chennai,,,,"12.8539458,80.2377475"
12,KCG College of Technology,College,Chennai,"KCG College Rd, Karapakkam, Chennai, Tamil Nadu 600097",073959 59825,,"12.9213316,80.2295694"
13,S.A. Engineering College,College,Chennai,"Poonamallee, Avadi Road Veeraraghavapuram, Thiruverkadu, Tamil Nadu 600077",044 2680 1999,,"13.0663296,80.1008823"
14,MEASI Institute of Management,College,Chennai,"147, Peter's Rd, Peters Colony, Royapettah, Chennai, Tamil Nadu 600014",044 2835 1050,,"13.0539948,80.249599"
15,"Madras Institute of Technology, Anna University",College,Chennai,"MIT Rd, Radha Nagar, Chromepet, Chennai, Tamil Nadu 600044",044 2251 6002,,"12.9480478,80.1294422"
16,Prathyusha Engineering College,College,Chennai,,,,"13.0694689,79.9512788"
