,Name,Sector,City,Address,Phone,Email,Lat-Long
1,TANUVAS - Tamil Nadu Veterinary And Animal Sciences University,College,Chennai,,,,
2,"Sri Venkateswara College of Engineering, Kanchipuram",College,Chennai,,,,
3,Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College,College,Chennai,,,,
4,Sri Sai Ram Institute of Technology,College,Chennai,"Sairam College Rd, Sai Leo Nagar, West Tambaram, Chennai, Tamil Nadu 600044",,,"12.9606471,80.0506576"
5,IFET College of Engineering,College,Chennai,"College of Engineering, IFET ROAD, Nagar, Gangarampalaiyam, Tamil Nadu 605108",,,"11.9207389,79.608157"
6,DoMS IIT Madras - Department of Management Studies,College,Chennai,"X6RM+JRJ, Delhi Ave, Indian Institute Of Technology, Chennai, Tamil Nadu 600036",,,"12.9915954,80.2319556"
7,Loyola Institute of Business Administration,College,Chennai,"Loyola College Campus, No: 1, Sterling Rd, Nungambakkam, Chennai, Tamil Nadu 600034",,,"13.0591988,80.2333017"
8,"SRM School of Management, SRMIST - SRM Institute of Science and Technology, Chennai",College,Chennai,,,,
9,"SRM Institute of Science and Technology, Chennai - Ramapuram Campus",College,Chennai,"Bharathi Salai, Ramapuram, Chennai, Tamil Nadu 600089",,,"13.0322541,80.1781627"
10,Vellore Institute of Technology - Chennai Campus,College,Chennai,"Kelambakkam - Vandalur Rd, Rajan Nagar, Chennai, Tamil Nadu 600127",,,"12.840641,80.1508534"
11,Academy of Maritime Education and Training,College,Chennai,,,,
12,KCG College of Technology,College,Chennai,"KCG College Rd, Karapakkam, Chennai, Tamil Nadu 600097",,,"12.9213318,80.2372943"
13,S.A. Engineering College,College,Chennai,"Poonamallee, Avadi Road Veeraraghavapuram, Thiruverkadu, Tamil Nadu 600077",,,"13.0663298,80.1086072"
14,MEASI Institute of Management,College,Chennai,"147, Peter's Rd, Peters Colony, Royapettah, Chennai, Tamil Nadu 600014",,,"13.053995,80.2573239"
15,"Madras Institute of Technology, Anna University",College,Chennai,"MIT Rd, Radha Nagar, Chromepet, Chennai, Tamil Nadu 600044",,,"12.948048,80.1371671"
16,Prathyusha Engineering College,College,Chennai,,,,
17,"College of Engineering, Anna University",College,Chennai,"12, Sardar Patel Rd, Anna University, Guindy, Chennai, Tamil Nadu 600025",,,"13.01094,80.2328713"
18,VELS School of Management Studies and Commerce,College,Chennai,"PV Vaithiyalingam Rd, Velan Nagar, Krishnapuram, Pallavaram, Chennai, Tamil Nadu 600117",,,"12.9575528,80.1572813"
19,"Aarupadai Veedu Institute of Technology, Paiyanoor, Chengalpattu, Vinayaka Mission's Research Foundation",College,Chennai,"Rajiv Gandhi Salai, Vinayaka Nagar, Paiyanur, Tamil Nadu 603104",,,"12.65669,80.177536"
20,SRM Medical College Hospital and Research Centre,College,Chennai,"Mahatma Gandhi Rd, Potheri, SRM Nagar, Kattankulathur, Tamil Nadu 603211",,,"12.8208657,80.0455983"
21,Panimalar Engineering College,College,Chennai,,,,
