,Name,Sector,City,Address,Phone,Email,Lat-Long
1,Dexterity TechSys,Companies(Private),Gurgaon,"575/4 & 5, Shankar Chatra Apartment, 4th Floor, Opposite Kesari Wada, Shaniwarpeth, Pune 411030, MH","+91-7350000921, +91-20-24499444",,
2,AEO Design Consultants,Companies(Private),,"Unit # 415, Bestech Chambers, B Block, Sushant Lok – 1, Gurgaon 122002,HR",,,
3,MobiTising,Companies(Private),,,,,
4,BYD Hospitality Pvt Ltd,Companies(Private),Kolkata,,,,
5,"Smart Value Products And Services, Kolkata",Companies(Private),Delhi,"76, Incenarator Road, Dum Dum, Kolkata 700028, WB",+91-9874381973,,
6,Bada Business,Companies(Private),Delhi,"15, Okhla Phase 3, Okhla, New Delhi 110020, DL",+91-9810544443,,
7,Vestige Marketing Pvt Ltd,Companies(Private),Bengaluru,"94-A, 3, 1st Floor, Okhla Industrial Area, Phase-2, New Delhi 110020, DL","+91-11-43101234, +91-11-41708687",,
8,Digit Insurance,Companies(Private),Chennai,"95, Atlantis, 4th B Cross Road, Industrial Layout, 5th Block, Koramangala, Bengaluru 560095, KA",+1-800-258-5956,,
9,Stedman Pharmaceuticals Pvt Ltd,Companies(Private),Noida,"3-A, Adyar Bridge Road, Adyar, Chennai 600020, TN",,,
10,HCL Technologies Ltd,Companies(Private),,"Plot No: 3A Technology Hub Sector 126 SEZ, Noida, 201303, UP",,,
11,Agricultural Development Trust,Companies(Private),,"Post Box No 35, Shardanagar, Malegaon Colony, Baramati 413115, MH",+91-2112-254256,,
12,Square Yards,Companies(Private),,,,,
13,Blue Cross Of India,Companies(Private),,,,,
14,Nav Nirman Formwork Systems Pvt Ltd,Companies(Private),Nagar,"6, Road No 7, IDA Nacharam, Hyderabad 500076, TS",+91-40-27150119,,
15,Sri Nachammai Cotton Mills Ltd,Companies(Private),,"30, Sugavaneswara Road, Balaji Nagar, Salem 636004, TN","+91-427-2330847, +91-427-2331879",,
16,Ethinos Digital Marketing,Companies(Private),Delhi,,,,
