,Name,Sector,City,Address,Phone,Email,Lat-Long
2677,Savitribai Phule Pune University (formerly University of Pune,College,Pune,,,,
2678,Bharati Vidyapeeth,College,Pune,,,,
2679,Deccan College Post-Graduate and Research Institute,College,Pune,,,,
2680,Defence Institute of Advanced Technology (formerly Institute of Armament Technology),College,Pune,,,,
2681,Dnyaneshwar Vidyapeeth,College,Pune,,,,
2682,FLAME University,College,Pune,,,,
2683,Gokhale Institute of Politics and Economics,College,Pune,,,,
2684,"Indian Institute of Information Technology, Pune",College,Pune,,,,
2685,"Indian Institute of Science Education and Research, Pune",College,Pune,,,,
2686,"Christ University Pune Lavasa, Campus",College,Pune,,,,
2687,"Indian Institute of Science Education and Research, Pune",College,Pune,,,,
2688,National Institute of Construction Management and Research,College,Pune,,,,
2689,National Defence Academy,College,Pune,,,,
2690,Tilak Maharashtra University,College,Pune,,,,
2691,Savitribai Phule Pune University,College,Pune,,,,
2692,Spicer Adventist University,College,Pune,,,,
2693,Symbiosis International University,College,Pune,,,,
2694,"MIT University - MIT Art, Design and Technology University",College,Pune,,,,
2695,Ajeenkya DY Patil University,College,Pune,,,,
2696,Flame University,College,Pune,,,,
2697,MIT - World Peace University,College,Pune,,,,
2698,Spicer Adventist University,College,Pune,,,,
2699,"Christ University Pune Lavasa, Campus",College,Pune,,,,
2700,Symbiosis International University,College,Pune,,,,
2701,Symbiosis Skills and Professional University,College,Pune,,,,
2702,Vishwakarma University,College,Pune,,,,
2703,"Indian Institute of Tropical Meteorology, Pune https://www.tropmet.res.in/",College,Pune,,,,
2704,"Indian Institute of Information Technology, Pune",College,Pune,,,,
2705,College of Agriculture Pune,College,Pune,,,,
2706,College of Engineering Pune,College,Pune,,,,
2707,"Government College Of Engineering And Research, Avasari Khurd",College,Pune,,,,
2708,Government Polytechnic Pune,College,Pune,,,,
2709,G. H. Raisoni College of Engineering and Management (GHRCEM),College,Pune,,,,
2710,G. H. Raisoni Institute of Engineering and Technology (GHRIET),College,Pune,,,,
2711,Maharashtra Academy of Engineering,College,Pune,,,,
2712,MKSSS's Cummins College of Engineering for Women,College,Pune,,,,
2713,Vishwakarma Institute of Information Technology,College,Pune,,,,
2714,Vishwakarma Institute of Technology,College,Pune,,,,
2715,Maharashtra Academy of Naval Education and Training (MANET Pune),College,Pune,,,,
2716,"Pimpri Chinchwad College of Engineering, Akurdi",College,Pune,,,,
2717,"Indira College of Engineering & Management, Pune",College,Pune,,,,
2718,"Indira College of Architecture & Design, Pune",College,Pune,,,,
2719,AISSMS College of Engineering,College,Pune,,,,
2720,AISSMS College of Polytechnic[3],College,Pune,,,,
2721,"Army Institute of Technology, Pune",College,Pune,,,,
2722,"College of Military Engineering, Pune",College,Pune,,,,
2723,Cusrow Wadia Institute of Technology,College,Pune,,,,
2724,Dhole Patil College of Engineering,College,Pune,,,,
2725,Indian Institute of Aeronautical Engineering & Information Technology,College,Pune,,,,
2726,"International Institute of Information Technology, Pune",College,Pune,,,,
2727,ISB&M School of Technology,College,Pune,,,,
2728,Jayawantrao Sawant College of Engineering,College,Pune,,,,
2729,Jayawantrao Sawant Polytechnic,College,Pune,,,,
2730,Maharashtra Institute of Technology,College,Pune,,,,
2731,MIT College of Engineering,College,Pune,,,,
2732,"Modern Education Society's College of Engineering, Pune",College,Pune,,,,
2733,"PES Modern College of Engineering, Pune",College,Pune,,,,
2734,Pune Institute of Computer Technology,College,Pune,,,,
2735,Pune Vidhyarthi Griha's College of Engineering and Technology,College,Pune,,,,
2736,Sinhgad Academy of Engineering,College,Pune,,,,
2737,Sinhgad Institute of Technology and Science,College,Pune,,,,
2738,Smt. Kashibai Navale College of Engineering,College,Pune,,,,
2739,Suman Ramesh Tulsiani Technical Campus - Faculty of Engineering,College,Pune,,,,
2740,Department of Management Sciences (PUMBA),College,Pune,,,,
2741,G. H. Raisoni College of Engineering and Management,College,Pune,,,,
2742,"Indira Institute of Management, Pune",College,Pune,,,,
2743,"Indira School of Business Studies PGDM, Pune",College,Pune,,,,
2744,Indira Global Business School. Pune,College,Pune,,,,
2745,Balaji Institute of Modern Management Pune (formerly known as Indian Institute of Modern Management),College,Pune,,,,
2746,Institute of Management Development and Research,College,Pune,,,,
2747,MIT School of Business,College,Pune,,,,
2748,National Institute of Bank Management,College,Pune,,,,
2749,National Insurance Academy,College,Pune,,,,
2750,Symbiosis Institute of Management Studies,College,Pune,,,,
2751,"Christ University Pune Lavasa, Campus",College,Pune,,,,
2752,Vishwakarma Institute of Management,College,Pune,,,,
2753,MES Garware College of Commerce,College,Pune,,,,
2754,Armed Forces Medical College (AFMC),College,Pune,,,,
2755,B. J. Medical College,College,Pune,,,,
2756,Bharati Vidhyapeeth Medical College,College,Pune,,,,
2757,D.Y Patil Medical College,College,Pune,,,,
2758,Kashibai Navale Medical College,College,Pune,,,,
2759,Maharashtra Institute of Medical Education and Research,College,Pune,,,,
2760,Symbiosis Medical College for Women,College,Pune,,,,
