Name,Sector,City,Address,Phone,Email,Lat-Long
Axis Bank Ltd (Customer Care),Banks,Chennai,,,",pno@axisbank.com,x3epno@axisbank.com,Corporate.Ib@axisbank.com,x3eCorporate.Ib@axisbank.com,","13.0990997,80.2857895"
HDFC Bank,Banks,Chennai,"2nd Line Beach Parrys,Near Harbour Parrys",,",x3eMerchantHelpdesk.Kerala@hdfcbank.com,Merchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Bangalore@hdfcbank.com,x3ecustomerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Hyderabad@hdfcbank.com,customerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Bangalore@hdfcbank.com,MerchantHelpdesk.Hyderabad@hdfcbank.com,x3eMerchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Kerala@hdfcbank.com,","13.095615,80.29464"
HDFC Bank,Banks,Chennai,"Mint Street Sowcarpet,Opposite Apollo Hospital Sowcarpet",,",x3eMerchantHelpdesk.Kerala@hdfcbank.com,Merchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Bangalore@hdfcbank.com,x3ecustomerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Hyderabad@hdfcbank.com,customerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Bangalore@hdfcbank.com,MerchantHelpdesk.Hyderabad@hdfcbank.com,x3eMerchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Kerala@hdfcbank.com,","13.09814,80.280135"
HDFC Bank,Banks,Chennai,"Prakasam Salai Broadway, Broadway",,",x3eMerchantHelpdesk.Kerala@hdfcbank.com,Merchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Bangalore@hdfcbank.com,x3ecustomerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Hyderabad@hdfcbank.com,customerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Bangalore@hdfcbank.com,MerchantHelpdesk.Hyderabad@hdfcbank.com,x3eMerchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Kerala@hdfcbank.com,","13.0921206,80.2858284"
HDFC Bank,Banks,Chennai,"Thambu Chetty Street Parrys, Parrys",,",x3eMerchantHelpdesk.Kerala@hdfcbank.com,Merchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Bangalore@hdfcbank.com,x3ecustomerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Hyderabad@hdfcbank.com,customerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Bangalore@hdfcbank.com,MerchantHelpdesk.Hyderabad@hdfcbank.com,x3eMerchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Kerala@hdfcbank.com,","13.089809,80.2883349"
IDFC First Bank (Regional Office),Banks,Chennai,"Bharathidasan Road Teynampet,Near Siet College Teynampet",,",nodaldesk@idfcfirstbank.com,Banker@idfcfirstbank.com,Pno@idfcbank.com,x3enriservices@idfcfirstbank.com,Head.branchbanking@idfcbank.com,x3enodaldesk@idfcfirstbank.com,nriservices@idfcfirstbank.com,RNO.Thiru@idfcfirstbank.com,","13.035831,80.246605"
HDFC Bank,Banks,Chennai,"South Usman Road T Nagar, T Nagar",,",x3eMerchantHelpdesk.Kerala@hdfcbank.com,Merchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Bangalore@hdfcbank.com,x3ecustomerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Hyderabad@hdfcbank.com,customerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Bangalore@hdfcbank.com,MerchantHelpdesk.Hyderabad@hdfcbank.com,x3eMerchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Kerala@hdfcbank.com,","13.036272,80.230606"
HDFC Bank,Banks,Chennai,"G N Chetty Road T Nagar,Opposite Jeeva Park T Nagar",,",x3eMerchantHelpdesk.Kerala@hdfcbank.com,Merchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Bangalore@hdfcbank.com,x3ecustomerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Hyderabad@hdfcbank.com,customerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Bangalore@hdfcbank.com,MerchantHelpdesk.Hyderabad@hdfcbank.com,x3eMerchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Kerala@hdfcbank.com,","13.043225,80.237298"
HDFC Bank,Banks,Chennai,"Habibullah Road T Nagar, T Nagar",,",x3eMerchantHelpdesk.Kerala@hdfcbank.com,Merchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Bangalore@hdfcbank.com,x3ecustomerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Hyderabad@hdfcbank.com,customerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Bangalore@hdfcbank.com,MerchantHelpdesk.Hyderabad@hdfcbank.com,x3eMerchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Kerala@hdfcbank.com,","13.0499,80.2385"
HDFC Bank,Banks,Chennai,"Rangan Street T Nagar, T Nagar",,",x3eMerchantHelpdesk.Kerala@hdfcbank.com,Merchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Bangalore@hdfcbank.com,x3ecustomerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Hyderabad@hdfcbank.com,customerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Bangalore@hdfcbank.com,MerchantHelpdesk.Hyderabad@hdfcbank.com,x3eMerchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Kerala@hdfcbank.com,","13.03973,80.23178"
Karur Vysya Bank Ltd,Banks,Chennai,"Godown Street Parrys,Behind Flower Bazzar Police Station Parrys",,",customersupport@kvbmail.com,u003ecustomersupport@kvbmail.com,neftcfc@kvbmail.com,pmcares@kvbmail.com,x3epmcares@kvbmail.com,x3eneftcfc@kvbmail.com,","13.088392,80.281713"
Citibank (Corporate Office),Banks,Chennai,"Dr. Radhakrishnan Salai Mylapore,Near Savera Hotel Mylapore",,",Affidavitedelivery@citi.com,head.customercare@citi.com,x3ehead.customercare@citi.com,x3eAffidavitedelivery@citi.com,er@citi.com,citibankpno@citi.com,","13.06114,80.264123"
Standard Chartered Bank Ltd,Banks,Chennai,"Haddows Road Nungambakkam,Near Shastri Bhavan Passport Office Grindlays Gardens Nungambakkam",,",x3eHead.Service@sc.com,Principal.NodalOfficer@sc.com.The,customer.care@sc.com,Head.Service@sc.com,Priority.Banking@sc.com,SachinPuranmal.Udasi@sc.com,","13.067604,80.248236"
Axis Bank Ltd (Retail Asset Centre),Banks,Chennai,"5th Cross Street Kodambakkam,United India Colony Kodambakkam",,",pno@axisbank.com,x3epno@axisbank.com,merchant.helpdesk@axisbank.com,x3emerchant.helpdesk@axisbank.com,","13.048057,80.218745"
HDFC Bank (Regional Office),Banks,Chennai,"Anna Salai Mount Road,Opposite TVS Mount Road",,",x3eMerchantHelpdesk.Kerala@hdfcbank.com,Merchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Bangalore@hdfcbank.com,x3ecustomerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Hyderabad@hdfcbank.com,customerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Bangalore@hdfcbank.com,MerchantHelpdesk.Hyderabad@hdfcbank.com,x3eMerchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Kerala@hdfcbank.com,","13.06445,80.2669072"
ICICI Bank Ltd (Regional Office),Banks,Chennai,"Ambattur Industrial Estate, Ambattur Industrial Estate",,"infocppc@sbp.co.in,digitallending@icicibank.com,,nri@icicibank.com,x3edigitallending@icicibank.com,x3enri@icicibank.com,","13.092262,80.166176"
Reserve Bank Of India (Regional Office),Banks,Chennai,"Rajaji Salai Parrys,Near Secretariat Opposite Madras Port Trust Fort Glacis Parrys",,",csd@iobnet.co.in,nefthelpdeskncc@rbi.org,cms.bochandigarh@rbi.org.in,x3ecrpc@rbi.org.in,rdmumbai@rbi.org.in,crpc@rbi.org.in,csdbo@iob.in,","13.0843168,80.2885634"
Indian Bank (Corporate Office),Banks,Chennai,"254-260, Avvai Shanmugam Salai, Pudupet, Gopalapuram, Chennai, Tamil Nadu 600014",044 2813 4300,"nodalofficer@indianbank.in,indmail@indianbank.co.in,customercomplaints@indianbank.co.in,,","13.048574,80.2597029"
Axis Bank Ltd (Head Office),Banks,Chennai,"Dr Radha Krishnan Salai Mylapore,Opposite Nilgiris Supermarket Mylapore",,",pno@axisbank.com,x3epno@axisbank.com,Corporate.Ib@axisbank.com,x3enodal.officer@axisbank.com,nodal.officer@axisbank.com,x3eCorporate.Ib@axisbank.com,","13.044752,80.26382"
Axis Bank Ltd,Banks,Chennai,"G N Chetty Road T Nagar,Opposite Accord Metropolitan Hotel T Nagar",,",pno@axisbank.com,x3epno@axisbank.com,Corporate.Ib@axisbank.com,merchant.helpdesk@axisbank.com,x3emerchant.helpdesk@axisbank.com,loans@axisbank.com,x3eCorporate.Ib@axisbank.com,","13.0472485,80.2435571"
Sri Rama Nama Bank,Banks,Chennai,"Ramamanthiram"", #2, Vinayagam St, Perambur, Vivekanandapuram, West Mambalam, Chennai, Tamil Nadu 600033",098401 25575,,"13.0409567,80.2169662"
Federal Bank Ltd,Banks,Chennai,"Royapettah High Road Mylapore,Opposite Government Hospital Beemasena Garden Mylapore",,",x3ecreditcards@federalbank.co.in,mdsr@federalbank.co.in,x3enridiv@federalbank.co.in,Email_address_bgrr@federalbank.co,fednetinfo@federalbank.co.in,bgrr@federalbank.co.in,creditcards@federalbank.co.in,x3esupport@federalbank.co.in,x3emobilesupport@federalbank.co.in,nridiv@federalbank.co.in,mobilesupport@federalbank.co.in,u003emdsr@federalbank.co.in,x22support@federalbank.co.in,support@federalbank.co.in,support@jupiter.money,x3econtact@federalbank.co.in,help@fi.care,contact@federalbank.co.in,","13.042711,80.267511"
Karur Vysya Bank Ltd,Banks,Chennai,"Munuswamy Salai K K Nagar West,Near Pondicherry Guest House Opposite RTO Ground Nesapakkam K K Nagar West",,",customersupport@kvbmail.com,u003ecustomersupport@kvbmail.com,neftcfc@kvbmail.com,pmcares@kvbmail.com,x3epmcares@kvbmail.com,x3eneftcfc@kvbmail.com,","13.0433906,80.1936592"
Karur Vysya Bank Ltd,Banks,Chennai,"Main Road Mogappair East,Next Hotel Sangamam Near Madras Medical Mission Hospital Mogappair East",,",customersupport@kvbmail.com,u003ecustomersupport@kvbmail.com,neftcfc@kvbmail.com,pmcares@kvbmail.com,x3epmcares@kvbmail.com,x3eneftcfc@kvbmail.com,","13.0849944,80.1797236"
City Union Bank Ltd,Banks,Chennai,"MTH Road Ambattur,Near Farm Bazaar Ambattur",,",x3ecustomercare@unionbankofindia.com,nri@cityunionbank.com,complaints_grievances@cityunionbank.in,u003ecustomercare@cityunionbank.com,xx@cityunionbank.com,customercare@unionbankofindia.com,x22customercare@unionbankofindia.com,customercare@cityunionbank.com,","13.118222,80.1522887"
Federal Bank Ltd,Banks,Chennai,"Kakkan Street Tambaram West,Opposite To Vidya Theatre Near Tambaram Ho Tambaram West",,",x3ecreditcards@federalbank.co.in,mdsr@federalbank.co.in,x3enridiv@federalbank.co.in,Email_address_bgrr@federalbank.co,fednetinfo@federalbank.co.in,bgrr@federalbank.co.in,creditcards@federalbank.co.in,x3esupport@federalbank.co.in,x3emobilesupport@federalbank.co.in,nridiv@federalbank.co.in,mobilesupport@federalbank.co.in,u003emdsr@federalbank.co.in,x22support@federalbank.co.in,support@federalbank.co.in,support@jupiter.money,x3econtact@federalbank.co.in,help@fi.care,contact@federalbank.co.in,","12.9263093,80.1121056"
HDFC Bank,Banks,Chennai,"5th Avenue Anna Nagar, Anna Nagar",,",x3eMerchantHelpdesk.Kerala@hdfcbank.com,Merchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Bangalore@hdfcbank.com,x3ecustomerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Hyderabad@hdfcbank.com,customerservices.cards@hdfcbank.com,x3eMerchantHelpdesk.Bangalore@hdfcbank.com,MerchantHelpdesk.Hyderabad@hdfcbank.com,x3eMerchanthelpdesk.Pune@hdfcbank.com,MerchantHelpdesk.Kerala@hdfcbank.com,","13.085445,80.202842"
Standard Chartered Bank,Banks,Chennai,"2nd Avenue Anna Nagar East,Opposite Karaikudi Restaurant Anna Nagar East",,",x3eHead.Service@sc.com,customer.care@sc.com,Head.Service@sc.com,Priority.Banking@sc.com,SachinPuranmal.Udasi@sc.com,","13.084223,80.222366"
Karur Vysya Bank Ltd,Banks,Chennai,"5th Avenue Anna Nagar,Opposite Kovai Palamudhir Nilayam Near Saravana Bhavan Anna Nagar",,",customersupport@kvbmail.com,u003ecustomersupport@kvbmail.com,neftcfc@kvbmail.com,pmcares@kvbmail.com,x3epmcares@kvbmail.com,x3eneftcfc@kvbmail.com,","13.084552,80.211879"
Karur Vysya Bank Ltd,Banks,Chennai,"1st Avenue Adyar,Near Padma Priya Hospital Near Axis Bank Indira Nagar Adyar",,",customersupport@kvbmail.com,u003ecustomersupport@kvbmail.com,neftcfc@kvbmail.com,pmcares@kvbmail.com,x3epmcares@kvbmail.com,x3eneftcfc@kvbmail.com,","12.9997061,80.2529431"
Karur Vysya Bank Ltd,Banks,Chennai,"7th Avenue Ashok Nagar,Opposite Hotel Mangalaambika Ashok Nagar",,",customersupport@kvbmail.com,u003ecustomersupport@kvbmail.com,neftcfc@kvbmail.com,pmcares@kvbmail.com,x3epmcares@kvbmail.com,x3eneftcfc@kvbmail.com,","13.0364943,80.2163946"
Karur Vysya Bank Ltd,Banks,Chennai,"Tambaram Main Road Velacheri,Opposite Adyar Anandha Bhavan Velacheri",,",customersupport@kvbmail.com,u003ecustomersupport@kvbmail.com,neftcfc@kvbmail.com,pmcares@kvbmail.com,x3epmcares@kvbmail.com,x3eneftcfc@kvbmail.com,","12.9730248,80.2193771"
Union Bank Of INDIA,Banks,Chennai,"Trunk Road Porur,Opposite Saravana Stores Porur",,",ccd.grievances@unionbankofindia.bank,customerservice@www.unionbankng.com,x3ecustomer.service@unionbankph.com,x3ecustomerservice@www.unionbankng.com,chennaimain@unionbankofindia.com,BOI.CallCentre@bankofindia.co.in,customer.service@unionbankph.com,customercare@unionbankofindia.com,x3eBOI.CallCentre@bankofindia.co.in,u003ecustomercare@unionbankofindia.com,x22customer.service@unionbankph.com,cgo@unionbankofindia.com,","13.032362,80.16394"
Union Bank Of India,Banks,Chennai,"Mount Poonamalle High Road Porur,Below Dominos Pizza Near Shell Petrol Pump Sakthi Nagar ICICI Bank Porur",,",ccd.grievances@unionbankofindia.bank,customerservice@www.unionbankng.com,x3ecustomer.service@unionbankph.com,x3ecustomerservice@www.unionbankng.com,chennaimain@unionbankofindia.com,BOI.CallCentre@bankofindia.co.in,customer.service@unionbankph.com,customercare@unionbankofindia.com,x3eBOI.CallCentre@bankofindia.co.in,u003ecustomercare@unionbankofindia.com,x22customer.service@unionbankph.com,cgo@unionbankofindia.com,","13.03491,80.1556"
Karur Vysya Bank Ltd,Banks,Chennai,"North Park Street Ambattur,Near Girls High School Venkatapuram Ambattur",,",customersupport@kvbmail.com,u003ecustomersupport@kvbmail.com,neftcfc@kvbmail.com,pmcares@kvbmail.com,x3epmcares@kvbmail.com,x3eneftcfc@kvbmail.com,","13.1190644,80.1555873"
