Name,Sector,City,Address,Phone,Email,Lat-Long
TANUVAS - Tamil Nadu Veterinary And Animal Sciences University,College,Chennai,"567V+2F3, Madhavaram Milk Colony Rd, Madhavaram Milk Colony, Chennai, Tamil Nadu 600051",044 2555 1586,"uscpc@tanuvas.org.in,,dde@tanuvas.org.in,","13.1625003,80.2411121"
"Sri Venkateswara College of Engineering, Kanchipuram",College,Chennai,,,"acm@svce.ac.in,,info@svce.ac.in,principal@svc.ac.in,soadmin@svc.ac.in,admnofficer@svc.ac.in,enquiry@svce.ac,principal@svce.ac.in,forese@svce.ac.in,","12.987903,79.9686392"
Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College,College,Chennai,,,",admission@veltech.edu.in,admission@velhightech.com,u0026d@velhightech.com,","13.188565,80.1040186"
Sri Sai Ram Institute of Technology,College,Chennai,"Sairam College Rd, Sai Leo Nagar, West Tambaram, Chennai, Tamil Nadu 600044",044 4226 7777,",career@sairam.edu.in,sairam@sairamit.edu.in,sairam@sairam.edu.in,","12.9606471,80.0506576"
IFET College of Engineering,College,Chennai,"College of Engineering, IFET ROAD, Nagar, Gangarampalaiyam, Tamil Nadu 605108",094421 85456,",college@ifet.ac.in,","11.9207387,79.6004321"
DoMS IIT Madras - Department of Management Studies,College,Chennai,"X6RM+JRJ, Delhi Ave, Indian Institute Of Technology, Chennai, Tamil Nadu 600036",044 2257 4550,",eeoffice@iitm.ac.in,csoffice@iitm.ac.in,maoffice@iitm.ac.in,x3eeeoffice@iitm.ac.in,vlm@iitm.ac.in,ceoffice@iitm.ac.in,emba@iitm.ac.in,x3ecsoffice@iitm.ac.in,msoffice@iitm.ac.in,x3emaoffice@iitm.ac.in,x3eceoffice@iitm.ac.in,","12.9915952,80.2242307"
Loyola Institute of Business Administration,College,Chennai,"Loyola College Campus, No: 1, Sterling Rd, Nungambakkam, Chennai, Tamil Nadu 600034",094440 28418,",mail@libaplacements.com,x3emdc@liba.edu,principal@loyolacollege.edu,admissions@liba.edu,admission@loyolacollege.edu,mdc@liba.edu,","13.0591986,80.2255768"
"SRM School of Management, SRMIST - SRM Institute of Science and Technology, Chennai",College,Chennai,,,",dean.et.rmp@srmist.edu.in,dean.cet@srmist.edu.in,srmaicte@srmist.edu.in,x3evp.admin.rmp@srmist.edu.in,vp.admin.rmp@srmist.edu.in,x3evp.rmp@srmist.edu.in,x3edean.et.rmp@srmist.edu.in,vp.rmp@srmist.edu.in,","13.0420082,80.1750252"
"SRM Institute of Science and Technology, Chennai - Ramapuram Campus",College,Chennai,"Bharathi Salai, Ramapuram, Chennai, Tamil Nadu 600089",1800 102 1525,",mariyaja@srmist.edu.in,dean.et.rmp@srmist.edu.in,infodesk@srmist.edu.in,x3evp.admin.rmp@srmist.edu.in,vp.admin.rmp@srmist.edu.in,x3evp.rmp@srmist.edu.in,x3edean.et.rmp@srmist.edu.in,vp.rmp@srmist.edu.in,","13.0322539,80.1704378"
Vellore Institute of Technology - Chennai Campus,College,Chennai,"Kelambakkam - Vandalur Rd, Rajan Nagar, Chennai, Tamil Nadu 600127",044 3993 1555,",admissions.chennai@vit.ac.in,chancellor@vit.ac.in,x3ehelpdesk.coe@vit.ac.in,ir4@vit.ac.in,librarian@vit.ac.in,helpdesk.coe@vit.ac.in,x3elibrarian@vit.ac.in,","12.8406408,80.1431285"
Academy of Maritime Education and Training,College,Chennai,,,",teammerchantnavydecoded@gmail.com,","12.8539458,80.2377475"
KCG College of Technology,College,Chennai,"KCG College Rd, Karapakkam, Chennai, Tamil Nadu 600097",073959 59825,",hrd@kcgcollege.com,jose.anand.ece@kcgcollege.com,info@kcgcollege.com,","12.9213316,80.2295694"
S.A. Engineering College,College,Chennai,"Poonamallee, Avadi Road Veeraraghavapuram, Thiruverkadu, Tamil Nadu 600077",044 2680 1999,",principal@saec.ac.in,admissions@saec.ac.in,saec@saec.ac.in,priyankar@saec.ac.in,","13.0663296,80.1008823"
MEASI Institute of Management,College,Chennai,"147, Peter's Rd, Peters Colony, Royapettah, Chennai, Tamil Nadu 600014",044 2835 1050,",u003einfo@measiim.edu.in,info@measiim.edu.in,hussainvali24@gmail.com,measimim@yahoo.in,info@measimba.ac.in,","13.0539948,80.249599"
"Madras Institute of Technology, Anna University",College,Chennai,"MIT Rd, Radha Nagar, Chromepet, Chennai, Tamil Nadu 600044",044 2251 6002,",itmit@annauni.edu,sridhar@mitindia.edu,istdept@auist.net,tsubashri@annauniv.edu,hodpt@mitindia.edu,nandakumarc@mitindia.edu,","12.9480478,80.1294422"
Prathyusha Engineering College,College,Chennai,,,"admin@prathyusha.edu.in,info@prathyusha.edu.in,principal@prathyusha.edu.in,,","13.0694689,79.9512788"
"College of Engineering, Anna University",College,Chennai,"12, Sardar Patel Rd, Anna University, Guindy, Chennai, Tamil Nadu 600025",044 2235 8491,"jayakp@annauniv.edu,,cegdeanoffice@gmail.com,svalli@cs.annauniv.edu,acoeud@annauniv.edu,registrar@annauniv.edu,hodece@annauniv.edu,deanceg@annauniv.edu,dsa@annauniv.edu,dircfa@annauniv.edu,","13.0109398,80.2251464"
VELS School of Management Studies and Commerce,College,Chennai,"PV Vaithiyalingam Rd, Velan Nagar, Krishnapuram, Pallavaram, Chennai, Tamil Nadu 600117",044 2266 2501,",vels@vistas.ac.in,vistas@velsuniv.ac,vistas@velsuniv.ac.in,","12.9575526,80.1495564"
"Aarupadai Veedu Institute of Technology, Paiyanoor, Chengalpattu, Vinayaka Mission's Research Foundation",College,Chennai,"Rajiv Gandhi Salai, Vinayaka Nagar, Paiyanur, Tamil Nadu 603104",1800 309 4350,"vmtrust@vmu.edu.in,,","12.6566898,80.1698111"
SRM Medical College Hospital and Research Centre,College,Chennai,"Mahatma Gandhi Rd, Potheri, SRM Nagar, Kattankulathur, Tamil Nadu 603211",044 4743 2350,",dean@mc.srmtrichy.edu.in,admin.medical.ktr@srmist.edu.in,x3evp.rmp@srmist.edu.in,x3eao.hospital.ktr@srmist.edu.in,hr.medical@srmuniv.ac.in,dean.et.rmp@srmist.edu.in,Dean.medical.ktr@srmist.edu.in,dean.medical.ktr@srmist.edu.in,vp.admin.rmp@srmist.edu.in,deancmchrc@gmail.com,dean@mc.srmtrichy,dean@admissions.srmuniv.ac.in,x3eDean.medical.ktr@srmist.edu.in,vp.rmp@srmist.edu.in,ao.hospital.ktr@srmist.edu.in,x3evp.admin.rmp@srmist.edu.in,x3edean.et.rmp@srmist.edu.in,x3eadmin.medical.ktr@srmist.edu.in,","12.8208655,80.0378734"
Panimalar Engineering College,College,Chennai,,04426490404,",info@panimalar.ac.in,info@panimalarengineeringcollegechennai.ac.in,info@pit.ac.in,","13.058354,80.0665269"
Vel Tech Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College,College,Chennai,"#42, Avadi – Vel Tech Road, Poonamallee - Avadi High Rd, Vel Nagar, Chennai, Tamil Nadu 600062",073587 01999,",admission@veltechmultitech.org,hrd@veltechmultitech.org,","13.1893467,80.0964645"
M.O.P. Vaishnav College for Women,College,Chennai,"20, IV Lane, Nungambakkam High Rd, Chennai, Tamil Nadu 600034",044 2833 0262,",mopvaishnav@mopvc.edu.in,addlcoe@mopvc.edu.in,afiam.com@mopvaishnav.ac.in,placement.mop@gmail.com,mopadmissionsq@gmail.com,","13.0555097,80.2400716"
ISSM Business School,College,Chennai,"No:34, 3rd Cross St, Venkateswara Colony, Nehru Nagar, Perungudi, Chennai, Tamil Nadu 600041",097899 31111,",admin@issm.in,","12.9759806,80.2365326"
Dwaraka Doss Goverdhan Doss Vaishnav College,College,Chennai,"NO.833, E.V.R. Periyar High Road, SBI Officers Colony, Arumbakkam, Chennai, Tamil Nadu 600106",044 2363 5101,"bbadgvc@gmail.com,,coe@dgvaishnavcollege.edu.in,","13.0737886,80.2096464"
"Shiv Nadar University, Chennai",College,Chennai,,1800 208 1199,",x3eadmissions@ssn.edu.in,placement@snuchennai.edu.in,headofadmissions@snuchennai.edu.in,recruitments@snuchennai.edu.in,phdadmissions@snuchennai.edu.in,admissions@snu.edu.in,ashokr@snuchennai.edu.in,info@snuchennai.edu,x3eadmissions@snu.edu.in,admissions@ssn.edu.in,","12.7522962,80.1904161"
SDNB Vaishnav College for Women,College,Chennai,,,",editor-ijmrasc@sdnbvc.edu.in,query@sdnbvc.edu.in,info.sdnbvc@gmail.com,","12.9562452,80.143074"
St. Peter's College of Engineering and Technology,College,Chennai,"Avadi, Tamil Nadu 600054",044 2655 8089,",spcet2008@gmail.com,admissions@spc.ox.ac.uk,principal@spcet.ac.in,x3eadmissions@spc.ox.ac.uk,admission@spcet.ac.in,","13.1106658,80.1158828"
Saveetha University - Saveetha Institute of Medical and Technical Sciences,College,Chennai,,,",enggadmission@saveetha.com,x3eadmission.ssl@saveetha.com,admission.ssl@saveetha.com,principal.ahs@saveetha.com,Vicechanacellor@saveetha.com,","13.0400047,79.9877237"
"Institute of Distance Education, University of Madras",College,Chennai,"IDE Building, Senate House, University of Madras, Navalar Nagar, Chepauk, Triplicane, Chennai, Tamil Nadu 600005",044 2561 3716,",unom.ide.pg2@gmail.com,controllerunom@gmail.com,ideonlineadm@gmail.com,coe@unom.ac.in,","13.0651359,80.2802975"
Sri Kanyaka Parameswari Arts and Science College for Women,College,Chennai,"SRI KANYAKA PARAMESWARI ARTS AND SCIENCE COLLEGE FOR WOMEN, 1, Audiappa St, George Town, Chennai, Tamil Nadu 600001",099400 68891,",srikanyaka99@gmail.com,srikanyaka99@skpc.edu.in,srikanyaka@ymail.com,","13.0914887,80.2810153"
Hindustan College of Arts and Science,College,Chennai,,,",hcaspadur@yahoo.com,xxxx@hcaschennai.com,hcaspadur@yahoo.co.in,","18.457381,73.8558271"
Apollo Institute of Hospital Management and Allied Sciences - AIHMAS,College,Chennai,"35C2+CQJ, Vanagaram to Ambattur Main Road, Ayanambakkam, Chennai, Tamil Nadu 600095",096000 10915,",x3einfochennai@apollohospitals.com,admissions@aihmas.org,infochennai@apollohospitals.com,aihmas@gmail.com,","13.0710978,80.1493255"
Sai Ram Institute of Management Studies,College,Chennai,,,",hodmba@sairamit.edu.in,sairam@sairamit.edu.in,sairam@sairam.edu.in,career@sairam.edu.in,","18.4799745,73.8507851"
