Name,Sector,City,Address,Phone,Email,Lat-Long
Digit Insurance,Companies(Private),Chennai,"95, Atlantis, 4th B Cross Road, Industrial Layout, 5th Block, Koramangala, Bengaluru 560095, KA",+1-800-258-5956,"Hello@godigit.com,,care@godigit.com,hello@godigit.com,seniors@godigit.com,travelclaims@godigit.com,healthclaims@godigit.com,hey@godigit.com,","13.0538378,80.1492037"
Persistent Systems Ltd,Companies(Private),Chennai,,,",info@persistentsys.com,John_Smith@persistent.com,x3eJohn_Smith@persistent.com,investors@persistent.co.in,JSmith@persistentsystems.com,x3einfo@persistentsys.com,last@persistent.com,",
LinkIntime India Pvt Ltd,Companies(Private),Chennai,"C-13, Pannalal Silk, Mills Compound, LBS Marg, Bhandup West, Mumbai 400078, MH","1800-220-878, +91-22-25963838, +91-22-25960320",",x3ernt.helpdesk@linkintime.co.in,bonds.helpdesk@linkintime.co.in,csg-unit@tcplindia.co.in,rnt.helpdesk@linkintime.co.in,sdmirashi@tcplindia.co.in,",
Dewsoft Overseas Pvt Ltd,Companies(Private),Chennai,,,",x22accounts@planetdewsoft.com,x3eaccounts@planetdewsoft.com,accounts@planetdewsoft.com,",
Meena Medico Agency,Companies(Private),Chennai,"Munger Ghat - Rashidpur Rd, Daniyalpur, Teghra 851133, Bihar",+91-9199802393,"avichi.muthiah@gmail.com,roc.chennai@mca.gov.in,,",
Yuvatha Ngo,Companies(Private),Chennai,"1-7-139/72/A-1, SRK Nagar, Golconda Cross Roads, Musheerabad, Hyderabad 500020, TS",+91-9704111841,",yuvathango@gmail.com,",
Pratham Education Foundation,Companies(Private),Chennai,"Y. B. Chavan Center, 4th Floor, Gen. J. Bhosale Marg, Nariman Point, Mumbai 400021, MH","+91-22-22819561, +91-22-22819562",",info@pratham.org,janedoe@pratham.org,last@pratham.org,x3einfo@pratham.org,",
Patron Accounting,Companies(Private),Chennai,"223/14-B, Adarsh Nagar Co-operative Housing Society Limited, Veer Nariman Road, Centuary Bazar, Worli, Mumbai 400030, MH",+91-7217790469,"fca.auditor@gmail.com,,info@patronaccounting.com,",
Indo-Global Social Service Society,Companies(Private),Chennai,"28, Institutional Area, Lodi Road, New Delhi 110003, DL",+91-11-45705001,",ed@igsss.net,info@igsss.net,",
Concern India Foundation,Companies(Private),Chennai,"6, Ador House, 3rd Floor, K. Dubash Marg, Fort, Mumbai 400001, MH","+91-22-22855487, +91-22-35121220",",delhi@concernindia.org,",
Senate Marketing,Companies(Private),Chennai,"91 springboard, Godrej & Boyce, Gate 2, Lal Bahadur Shastri Marg, Opposite Vikhroli Bus Depot, Vikhroli West, Mumbai, Maharashtra",+91-7045533555,"cscecl@cec.murugappa.com,roc.chennai@mca.gov.in,,senatedir1@gmail.com,",
Taknik Incorporation,Companies(Private),Chennai,"A-231, Alpha Arcade, Plot No.165/1, GIDC Bholav, Bharuch-Dahej Highway, Bharuch-392012, Gujarat",+91-9725018073,"vgo@mita-teknik.com,,finance.ctipl@gmail.com,",
Vedyam Technology,Companies(Private),Chennai,"45-A, Shri Ram Vihar, Rana Sanga Marg, Sector 29, Pratap Apartment, Jaipur, Rajasthan 302017",+91-9799885993,,
Logic Soft,Companies(Private),Chennai,"10/7, Kasturi Estate, 1st Floor, 3rd Street, Chennai 600086, TN","+91-44-42089492, +91-44-42089493",",sales@logicsoft.co.in,rr@logicsoft.co.in,",
Zaigo Infotech,Companies(Private),Chennai,"135/109/9-A & 9-B, Sapna Trade Centre, 9th Floor, Poonamallee High Road, Egmore, Chennai 600084, TN",+91-9884783216,",first@zaigoinfotech.com,gavadude@gmail.com,u003egavaskar@zaigoinfotech.com,gavaskar@zaigoinfotech.com,",
Infiware Software Solutions,Companies(Private),Chennai,"10, Nungambakkam High Road, Nungambakkam, Chennai 600034, TN",+91-6374203507,",x3eramprasad@inubesolutions.com,x3emala@theforte.com,r.holling@ptc-telematik.de,compliance@kanakkupillai.com,x3eap-team@compassitesinc.com,",
Triad Software,Companies(Private),Chennai,"27, Whites Road, Peters Colony, Royapettah, Chennai 600014, TN",+91-44-42637181,",jane.doe@triad-india.com,accounts@triad-india.com,raghu33@hotmail.com,triadinfo@triad-india.com,kxxxxxxxj@triad-india.com,",
Endeavour Technology Services,Companies(Private),Chennai,"X-41, Sivananda Building, 2nd Floor, Near Ayyappan Temple, 2nd Avenue, Anna Nagar, Chennai 600040, TN",+91-9940144616,",roc.chennai@mca.gov.in,maa.snsendeavour@gmail.com,",
UX Business Solutions,Companies(Private),Chennai,"53/7 & 7-A, Wellingdon Estate, 3rd Floor, Opposite Ethiraj College, Ethiraj Salai, Chennai 600008, TN",+91-44-48585185,",u003eabdulkareembe@gmail.com,pradeep@uxbusinesssolutions.com,abdulkareem.be@gmail.com,last_initial@uxbusinesssolutions.com,abdulkareembe@gmail.com,",
Gway Tech Solutions,Companies(Private),Chennai,"13, Hanumar Koil Street, Radha Nagar, Chrompet, Chennai 600044, TN","+91-9176190007, +91-9150585161","MATHI@GWAYIT.COM,,mathi@gwayit.com,",
APH Solutions,Companies(Private),Chennai,"769-G/135-B, Spencer Plaza, 3rd Phase, Mount Road, Chennai 600002, TN",+91-44-42166722,",hello@aph.solutions,info@aphsolution.com,",
Vizda Software Solutions,Companies(Private),Chennai,"1, Ampa Skywalk Mall, 4th Floor, Near PVR Cinemas, Nelson Manickam Road, Rajaram Mehta Nagar, Aminjikarai, Chennai 600029, TN",+91-44-30249400,",info@vizda.com,a.sathappan@gmail.com,compliance@ampa.co.in,",
Qatalys Software Technologies,Companies(Private),Chennai,"S-16, Siddharth, 15th Main Road, Guindy, Chennai 600032, TN",+91-44-42204400,"sales@qatalys.com,,abhiramk@qatalys.com,hanum@qatalystechnologies.com,u003eabhiramk@qatalys.com,uk@qatalystechnologies.com,",
Absolute App Labs,Companies(Private),Chennai,"1095, 13th Street, Z Block, Anna Nagar, Chennai 600040, TN",+91-44-47658036,"sales@approlabs.com,,absoluteapplabs@gmail.com,",
Expedux Technologies,Companies(Private),Chennai,"61, 1st Floor, Gangatharan Naicker Street, MTH Road, Villivakkam, Chennai 600049, TN",+91-7942699869,"x22SANJEEV08G@GMAIL.COM,caysilkarunai@yahoo.co.in,ankit@junio.in,muthiahplin@gmail.com,,x3ebtofficial@outlook.com,SANJEEV08G@GMAIL.COM,x3eSANJEEV08G@GMAIL.COM,x3eankit@junio.in,btofficial@outlook.com,adarsh@gyanapp.in,x3eadarsh@gyanapp.in,saravanan@expedux.com,",
Anubavam Technologies,Companies(Private),Chennai,"141, Kamarajar Street, Indira Nagar, Valasaravakkam, Chennai 600087, TN",+91-44-65556275,",last@anubavam.com,siva@anubavam.com,info@anubavam.com,",
Crotus Technologies,Companies(Private),Chennai,"455, Annasalai, Teynampet, Chennai 600018, TN",+91-44-61111786,",info@crotus.net,info@crotustechnologies.com,ravi@crotus.net,u003einfo@crotustechnologies.com,accounts@1d1s.co,",
iFenSys Software Solutions,Companies(Private),Chennai,"283/3 & 283/4, Unit No 1, Regus Prince Infocity II, 1st Floor, Rajiv Gandhi Salai, OMR, Perungudi, Chennai 600096, TN",+91-6384496634,",babu@onestepsolution.net,",
NLabs Technology,Companies(Private),Chennai,"22-3/43-3, Near Saravana Store Furniture, Venkatachalam Street, Purasaiwakkam, Chennai 600007, TN","+91-9710459515, +91-9840600615",",lab@aquadesigns.in,suvasthihaa@gmail.com,emiemc@ecil.co.in,",
RV Matrix Software Technologies,Companies(Private),Chennai,"138/S-1 & S-2, Ameen Manors, 2nd Floor, B Block, Nungambakkam High Road, Chennai 600034, TN","+91-44-42029936, +91-9384843637","sxxxxxxxxg@rvmatrix.in,,admin@rvmatrix.in,u003eadmin@rvmatrix.in,",
4W Technologies,Companies(Private),Chennai,"85, Lotus tower, 7th Floor, Annasalai, Guindy, Chennai 600032, TN",+91-9003272208,"x3esaranconsultancy@gmail.com,,last_initial@4wtech.com,saranconsultancy@gmail.com,",
Tranetech Software Solutions,Companies(Private),Chennai,"604, Al Masaood Tower, Hamdan Bin Mohammed Street, Abu Dhabi, United Arab Emirates 35546",+971-24433113,",shanavaz@tranetech.com,axxxxxxl@tranetech.com,",
Riyadvi Software Technologies,Companies(Private),Chennai,"126/213, Ramakrishna Mutt Road, Alamelu Manga Puram, Sankarapuram, Mylapore, Chennai 600004, TN",+91-9080822034,"x22SANJEEV08G@GMAIL.COM,,info@riyasoftwaresolutions.com,info@riyadvisoftwaretechnologies.com,x3eSANJEEV08G@GMAIL.COM,",
Branding World,Companies(Private),Chennai,"7, New Tank Street, Ponnangipuram, Valluvar Kottam, Nungambakkam, Chennai 600034, TN",+91-9087097222,,
Manya Technosys,Companies(Private),Chennai,"Sarkaryar Street, BR Puram, Hope College, Coimbatore 641004, TN",+91-7708433126,,
Inscomi Technology Services,Companies(Private),Chennai,"1/694/87-A, Valaiyapathi Salai, Mogappair East, Chennai 600037, TN",+91-7904774990,",praveen.r500@gmail.com,p@inscomi.com,",
Siam Computing,Companies(Private),Chennai,"30, 1st Main Road, Shastri Nagar, Adyar, Chennai 600020, TN",+91-44-43009964,",xx@siamcomputing.com,hello@siamcomputing.com,",
Zydni Software Solutions,Companies(Private),Chennai,"5, 1st Floor, Smith Lane, Annasalai, Chennai 600002, TN",+91-7305399984,"hr@zydni.com,,",
Third Eye Info Technology,Companies(Private),Chennai,"2248/AE-176, Ramkrubha, 11th Main Road, Annanagar, Chennai 600040, TN","+91-44-42072248, +91-9444817426",",contact@thirdeyeinfotech.com,thirumal@stcthirdeye.com,madhula24@gmail.com,stcsyed@yahoo.com,",
Syncfusion Software,Companies(Private),Chennai,"AJ-217, 4th Avenue, Shanthi Colony, Anna Nagar, Chennai 600040, TN",+91-44-26210413,",sales@syncfusion.com,xxxxxa@syncfusion.com,x3esales@syncfusion.com,sdjebaraj@hotmail.com,",
