Name,Sector,City,Address,Phone,Email,Lat-Long
24 X 7 Fitness Studio,Gym,Chennai,"No 11, Second Floor, Ramaniyam Isha Block 1, Old, 2nd St, Customs Colony, Sakthi Nagar, Thoraipakkam, Tamil Nadu 600097",084890 00222,,"12.943636,80.2353118"
365 Days Fitness Studio Pvt Ltd,Gym,Chennai,"1st Main Rd, Jai Nagar, Arumbakkam, Chennai, Tamil Nadu 600106",096000 43650,,"13.0718192,80.2058156"
369 Fitmonks Unisex Fitness Zone,Gym,Chennai,"Velachery Main Road Madipakkam,Near By Ponniyamman Koil Next Madipakkam",8147403176.0,,"12.964922,80.196905"
60 Minutes Fitness Studio,Gym,Chennai,"No. 281, 2nd Floor, Konnur High Rd, Ayanavaram, Chennai, Tamil Nadu 600023",095001 20177,,"13.0995808,80.2282808"
99 Degree F Fitness Studio Pvt Ltd,Gym,Chennai,"No 56, Ormes Rd, Kilpauk, Chennai, Tamil Nadu 600010",,",roc.chennai@mca.gov.in,accounts@99f.in,","13.055779,80.234745"
99 Degree F Fitness Studio Pvt Ltd,Gym,Chennai,"No 56, Ormes Rd, Kilpauk, Chennai, Tamil Nadu 600010",,",roc.chennai@mca.gov.in,accounts@99f.in,","13.0846535,80.2111374"
Aeroville Fitness Studio,Gym,Chennai,"75-632, Nelson Manickam Rd, Collectorate Colony, Aminjikarai, Chennai, Tamil Nadu 600029",098844 04641,",aneesh@paulsons.in,","13.073807,80.2181829"
Anytime Fitness,Gym,Chennai,"6th Avenue Anna Nagar,Above Kovai Pazhamuthir Solai Anna Nagar",8147197237.0,"vasanthgoldsgym@gmail.com,,John.Smith@anytimefitness.com,x3eJohn.Smith@anytimefitness.com,","13.0921793,80.2125121"
Arrow Fitness Center,Gym,Chennai,"Lake View Road West Mambalam,Near Hindu Vidyalaya School and Opposite Raju Electricals West Mambalam",9740487068.0,"vasanthgoldsgym@gmail.com,,","13.0382315,80.2249186"
Ateliers Fitness,Gym,Chennai,"Voc Street Alwarthirunagar,Bihind Mega Mart Alwarthirunagar",,"ateliersfitnes@gmail.com,,","13.038925,80.18626797"
Ateliers Fitness,Gym,Chennai,"Velachery Main Road Sembakkam,Near Camp Road and Near By Sembakkam Bus Stop Sembakkam",,"ateliersfitnes@gmail.com,,","12.9225,80.16138889"
Basics Life (Express Avenue Mall),Gym,Chennai,"1st Floor, high Road, Shop - 113, Express Avenue Mall, 49-50l, Whites Rd, Royapettah, Chennai, Tamil Nadu 600014",044 4501 1005,,"13.0582106,80.2614817"
Black Bull Fitness Studio,Gym,Chennai,"Govindan Road West Mambalam,Near Mettupalayam Bus Stop and Indian Oil Petrol Bunk West Mambalam",7947166148.0,,"13.0319811,80.2192239"
Black Bull Fitness Studio,Gym,Chennai,"1st Street Madhanandapuram,Near By Ravindra Bharathi School Madhanandapuram",7947161311.0,,"13.0220816,80.1513207"
Body Language Fitness Studio,Gym,Chennai,"Nelson Manickam Road Aminjikarai,Opposite to Bata Showroom Near Professional Couriers Aminjikarai",7947255080.0,,"13.0680726,80.2257913"
Brio Fitness Studio,Gym,Chennai,"King's Street, Plot NO-115, VGN Monte Carlo, Nolambur, Ambattur Industrial Estate, Chennai, Tamil Nadu 600095",063837 15314,",roc.chennai@mca.gov.in,","13.0700837,80.1618144"
Burn Out By Tk Gym,Gym,Chennai,"59/20, S Mada St, Thiruvalluvar Nagar, Thiruvanmiyur, Chennai, Tamil Nadu 600041",090940 78982,",burnoutramapuramf1@gmail.com,burnoutcorporate@gmail.com,","12.9827897,80.2582538"
Burn Out Unisex Fitness Studio,Gym,Chennai,"PT Rajan Salai K K Nagar,Above Ganga Sweets K K Nagar",8147055337.0,,"13.0386667,80.2046081"
Burn Out Unisex Fitness Studio - Alwarthirunagar,Gym,Chennai,"Arcot Road Alwarthirunagar,Above KFC Alwarthirunagar",8197128467.0,,"13.0454599,80.1870744"
Compact Family Fitness Studio,Gym,Chennai,"No.20, Alapakkam Main Rd, Allapakkam, Porur, Chennai, Tamil Nadu 600116",086082 35551,",ceo@maverickfitness.net,aneesh@paulsons.in,info@heartthrobgym.com,customerservice@txfamilyfitness.com,x3ecustomerservice@txfamilyfitness.com,","13.0445102,80.1620771"
Contours Womens Fitness Studio,Gym,Chennai,"LIC Colony 2nd Street Velacheri,Above Lakme Salom Velacheri",8045774783.0,,"12.97700556,80.21798056"
