Name,Sector,City,Address,Phone,Email,Lat-Long
4 Seasonz,Retail,Chennai,"Purasaiwalam High Road, Chennai",04443305012,",roc.chennai@mca.gov.in,seasonsinchennai@gmail.com,press@urbancompany.com,","13.0531666,80.2207765"
A One National Electronics,Retail,Chennai,"T.Nagar, Chennai",04424320148,"sudhahingmire@gmail.com,,INMAA4@icegate.gov.in,INMAA1@icegate.gov.in,INNSA1@icegate.gov.in,vivek@icraindia.com,","13.0176551,80.0449013"
A Selvam & Company,Retail,Chennai,"Parrys, Chennai",04425261150,,"13.0119786,80.0523034"
A To Z (2 And 4 Wheelers),Retail,Chennai,"Gandhi Nagar, Chennai",,"chedurai.08@gmail.com,roc.chennai@mca.gov.in,,siliconhonda@gmail.com,","13.03102,80.145608"
A1 Auto Consultant,Retail,Chennai,"Sowcarpet, Chennai",04425292135,"shinefuturesolution@consultant.com,roc.chennai@mca.gov.in,,","13.0670883,79.8585421"
AAR Vee Home Appliance,Retail,Chennai,"Adyar, Chennai","04442607282
														,

09094006959",",info@aarveedenims.com,surinder.rventerprises@gmail.com,roc.chennai@mca.gov.in,aayushient@gmail.com,","13.0698282,80.0570116"
Aarthi Motors,Retail,Chennai,"Post Office, 102, Choolai High Rd, Old, Choolai, Chennai, Tamil Nadu 600112",097908 05222,",mahendrakumar358@gmail.com,sonyahs@hotmail.com,","13.0904198,80.2551812"
AB Sports Inn,Retail,Chennai,"370 & 371, Anderson Main Rd, Pananthope Colony, Ayanavaram, Chennai, Tamil Nadu 600023",044 2674 0333,",nchennai@mca.gov.in,kk@pocl.co.in,saleem@napsindia.com,chennai@gmail.com,support@globalbees.com,abhishek.choudhury@hotmail.com,kk@pocl.co,roc.chennai@mca.gov.in,avtanners2014@yahoo.in,","13.0984032,80.2321564"
Abbas Auto Consultants,Retail,Chennai,"Chepauk, Chennai","04428555982
														,

09444055982","shinefuturesolution@consultant.com,,","18.4760628,73.9007086"
Abhinandan,Retail,Chennai,"Egmore, Chennai",04428553418,",roc.chennai@mca.gov.in,","13.0076339,80.0511825"
Abishek Electronics,Retail,Chennai,"34/13, ( Bhaiya Arcade Complex), Facing Ritchie Street, Mount Road, Waller Road, Chintadripet, Chennai, Tamil Nadu 600002",044 4213 1888,"k@cognizant.com,,abhishekkr.ipr@gmail.com,","13.0699681,80.2610396"
