Name,Sector,City,Address,Phone,Email,Lat-Long
SBOA SCHOOL & JR COLLEGE [SBOASJC],School,Chennai,"18, School Rd, D-Sector, Anna Nagar West Extension, Chennai, Tamil Nadu 600101",044 2615 1145,",sboapublicschool@gmail.com,","13.0921306,80.1927639"
CHETTINAD VIDYASHRAM [CV],School,Chennai,"2799+3VJ, Thandavarayan St, MRC Nagar, Raja Annamalai Puram, Chennai, Tamil Nadu 600028",044 2493 3722,",x3ec.vidyashram@gmail.com,c.vidyashram@gmail.com,","13.0177168,80.2670737"
Velammal Vidhyashram [VV],School,Chennai,"Velammal New Gen Park, Ambattur-redhills Road, Surapet Chennai-600066",,",info@vcahs.edu,info@velammalmain.com,vvg.info@velammalvidhyashram.edu.in,vvs.info@velammalvidhyashram.edu.in,vcahs@velammalmedicalcollege.edu.in,vngsng.info@velammal.edu.in,info.annex@velammalvidyalaya.in,u003evvs.info@velammalvidhyashram.edu.in,","13.0485506,79.9489282"
MAHARISHI VIDYA MANDIR [MVM],School,Chennai,"28 ?DR. GURUSWAMY ROAD CHETPET CHENNAI TAMIL NADU, 600031",,",mvmtvt@gmail.com,info@mvmkf.org,mvmchen@gmail.com,u003eprincipal@mvmavadi.in,msechennai@mssmail.org,principal@mvmavadi.in,mvmskpd@gmail.com,","18.2427728,70.7833623"
Padma Seshadri Bala Bhavan Senior Secondary School [PSBB],School,Chennai,"11 ALAGIRISAMY SALAI K K NAGAR CHENNAI TAMIL NADU, 600078",,"psbb_school@yahoo.co.in,,admission.omr@psbbmillenniumschool.org,info@psbbmathrsec.com,","13.0446617,80.1788168"
VELAMMAL VIDYALAYA [VV],School,Chennai,"Velammal Avenue, Mel Ayanambakkam, Chennai, Tamil Nadu 600095
044 2653 6780",,",info.melayanambakkam@velammalnexus.com,info.west@velammalnexus.com,info@vvpoonamallee.in,info@velammalmain.com,vvkarambakkam@gmail.com,","13.0959834,80.1312808"
DON BOSCO SCHOOL [DBSOE],School,Chennai,"DON BOSCO SCHOOL OF EXCELLENCE
NO. 53, PANTHEON ROAD, EGMORE,, 600008",,",dmidonbosco@gmail.com,PRINCIPAL@DONBOSCOSCHOOL.IN,dbxoffice23@gmail.com,x3ePRINCIPAL@DONBOSCOSCHOOL.IN,dbschool@dbegmore.com,stbedesacademy2014@gmail.com,dbschoolofexcellence@gmail.com,stbedeschennai@gmail.com,","16.1226566,71.2568986"
CHINMAYA VIDYALAYA [CV],School,Chennai,"CHINMAYA NAGAR STAGE-II VIRUGAMBAKKAM CHENNAI TAMIL NADU, 600092",,",chnvidya@md3.vsnl,cv.mandya@gmail.com,16351555001622449882layer-35@3x.jpg,cvvprincipal@gmail.com,kilpauk@cvchennai.org,virugambakkam@cvchennai.org,","15.0894383,68.1285818"
CHENNAI PUBLIC SCHOOL [CPS],School,Chennai,"TVS AVENUE MAIN ROAD ANNANAGAR WEST EXTENSION, 600101",,",pro@chennaipublicschool.com,MAIL@CHENNAIPUBLICSCHOOL.COM,resume@chennaipublicschool.com,mail@chennaipublicschool.com,apply@chennaipublicschool.com,pro.ann@chennaipublicschool.com,","13.102201,80.0124271"
SRIMATHI SUNDARAVALLI MEMORIAL SCHOOL [SSMS],School,Chennai,"Mappedu Rd, Alappakam, Alapakkam, New Perungalathur, Chennai, Sadhanathapuram, Tamil Nadu 600063",044 4509 4270,"principalssms.perungalathur@ssmetrust.in,,ssms@vsnl.com,adminssms.perungalathur@ssmetrust.in,smkmuthukumar@gmail.com,","12.8960587,80.1172064"
KENDRIYA VIDYALAYA [KV],School,Chennai,"DR. NATESAN SALAI ASHOK NAGAR CHENNAI TAMIL NADU, 600083",,",kvsrochennaiadmn@gmail.com,ppl.avadiafs@kvs.gov.in,kvigch2@yahoo.co.in,","18.4760581,73.8698087"
Lalaji Memorial Omega International School [LMOIS],School,Chennai,"79, Omega School Road, Pallavaram Road, Kovur, Kolapakkam, Chennai, Tamil Nadu 600128",044 6624 1117,",webmaster@omegaschools.org,info@omegaschools.org,admissions@omegaschools.org,","13.003725,80.145026"
DAV GIRLS SR SEC SCHOOL [DAVGSSS],School,Chennai,"182 ?LLOYDS ROAD GOPALAPURAM CHENNAI TAMIL NADU, 600086",,",ushakc69@gmail.com,girls.gpm@davchennai.org,","13.0691185,80.1759877"
D A V Boys Senior Sec School [DAVBSSS],School,Chennai,"212-213 Lloyds Road Gopalapuram Chennai Tamil Nadu, 600086",044 2835 2866,"boys.gpm@davchennai.org,,davboysss@gmail.com,","13.0502691,80.2540114"
KENDRIYA VIDYALAYA [KV],School,Chennai,kendriya vidyalaya CRPF AVADI chennai-65,,",kvsrochennaiadmn@gmail.com,ppl.avadiafs@kvs.gov.in,kvigch2@yahoo.co.in,","18.4760581,73.8698087"
The PSBB Millennium School [TPMS],School,Chennai,"9, Grand Southern Trunk Rd, near PSBB Millenium School, Parangi Malai, Alandur, Chennai, Ramapuram, Tamil Nadu 600016",,",admission.omr@psbbmillenniumschool.org,info.omr@psbbmillenniumschool.org,admissions.cbe@psbbmillenniumschool.org,admissions.gbkm@psbbmillenniumschool.org,hr.kbkm@psbbmillenniumschool.org,headschools.cbe@psbbmillenniumschool.org,","13.0012278,80.1963804"
D A V PUBLIC SCHOOL [DAVPS],School,Chennai,"NO 19 SITARAM NAGAR VELACHERY CHENNAI TAMIL NADU, 600042",,",davps8chd@yahoo.com,davps.bsp@gmail.com,davpshfc@gmail.com,davps.sbd@gmail.com,davpsmma@yahoo.co.in,edudwar.com@gmail.com,","18.8336947,72.7670488"
PON VIDYASHRAM [PV],School,Chennai,"SAPTHAGIRI NAGAR ARCOT ROAD, VALASARAVAKKAM CHENNAI, 600008",,"principalvvm@ponvidyashram.in,info@ponvidyashram.in,ponvidyashram@vsnl.net,,","12.9806066,80.1176144"
JAWAHAR VIDYALAYA SR SEC SCHOOL [JVSSS],School,Chennai,"IV - AVENUE ASHOK NAGAR CHENNAI TAMIL NADU, 600083",,"u003ejvsss@yahoo.com,,jvadmnoff@gmail.com,jvsss@yahoo.com,","16.0349522,71.2339086"
Velammal Matriculation Higher Secondary School [VMS],School,Chennai,"?Velammal Gardens"" T.S. Krishna Nagar, Chennai: 600 037",,",u003einfo@velammalmain.com,info@velammalmain.com,hm.eastschool@velammalmain.com,info@tvis.in,info.matricmain@velammalnexus.com,","11.5630295,77.8602195"
P S SENIOR SECONDARY SCHOOL [PSSSS],School,Chennai,"33, Alamelu Manga Puram Rd, Alamelu Manga Puram, Saradapuram, Mylapore, Chennai, Tamil Nadu 600004",044 2464 0656,",psschool@vsnl.com,pssrsec@gmail.com,x3epssrsec@gmail.com,","13.030978,80.2627086"
SMT RAMKUWAR DEVI FOMRA VIVEKANAND VIDYALAYA [SRDFVV],School,Chennai,"14, Mahadevan St, Nehru Nagar, Chromepet, Chennai, Tamil Nadu 600044",,"srdfvvidyalaya@gmail.com,,info@srdfvv.net,","12.9452692,80.1404743"
KENDRIYA VIDYALAYA [KV],School,Chennai,"ISLAND GROUND PALLAVAN SALAI CHENNAI TAMIL NADU, 600002",,",kvsrochennaiadmn@gmail.com,ppl.avadiafs@kvs.gov.in,kvigch2@yahoo.co.in,","18.4760581,73.8698087"
NATIONAL PUBLIC SCHOOL [NPS],School,Chennai,"228 AVVAI SHANMUGAM ROAD GOPALAPURAM CHENNAI TAMIL NADU, 600086",044 2835 1973,",npschennai@yahoo.com,info@npschennai.com,npsomrhr@gmail.com,Info@npschennai.com,hr@npschennai.com,","18.4550534,73.8392725"
KENDRIYA VIDYALAYA [KV],School,Chennai,"IIT CAMPUS CHENNAI TAMIL NADU, 600036",,",kvsrochennaiadmn@gmail.com,ppl.avadiafs@kvs.gov.in,kvigch2@yahoo.co.in,","18.4760581,73.8698087"
DAV Boys Senior Secondary School [DBAVSSS],School,Chennai,"213, Avvai Shanmugam Salai, Gopalapuram, Chennai, Tamil Nadu 600086",044 2835 2866,"boys.gpm@davchennai.org,,davboysss@gmail.com,shanthydavgpm@gmail.com,","13.0502691,80.2540114"
KENDRIYA VIDYALAYA [KV],School,Chennai,"G P R A CAMPUS TIRUMANGALAM ANNA NAGAR CHENNAI, TAMILNADU, 600040",,",kvsrochennaiadmn@gmail.com,ppl.avadiafs@kvs.gov.in,kvigch2@yahoo.co.in,","18.4760581,73.8698087"
Sri Sankara Sr Sec School [SSSSS],School,Chennai,"9, 21, Vasantha Press Rd, Arunachalapuram, Adyar, Chennai, Tamil Nadu 600020",,",info@srisankaramatric.com,hr@ietrust.in,principal@sssa.in,","13.0100267,80.2583646"
MODERN SENI SEC SCHOOL [MSSS],School,Chennai,"6th St, Lakshmi Nagar IV Stage, AG'S Office Colony, Nanganallur, Chennai, Tamil Nadu 600061",044 2224 0110,",mssspatiala@gmail.com,modernnglr2019@gmail.com,modernnglr@gmail.com,","12.9738293,80.1828786"
AMRITA VIDYALAYAM [AV],School,Chennai,"AMMAN NAGAR NESAPAKKAM CHENNAI, 600078",,",avnallampalayam@gmail.com,av.secbad@gmail.com,info@avdelhi.com,n@avchennai.edu.in,amrita.vidyalayam@gmail.com,","18.4759913,73.7461982"
Bala Vidya Mandir Sr Sec School [BVMSSS],School,Chennai,"#58, B Ramachandra Adithanar Rd, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020",044 2442 4445,",vmady@md3.vsnl.net.in,info@balavidyamandir.org,thanga@vsnl.com,infobvmadyar@gmail.com,bvmsss@hotmail.com,","13.0098922,80.2480584"
B V BHAVAN'S RAJAJI VIDYASHRAM [BVBRV],School,Chennai,"6, Kilpauk Garden Road, Davidpuram, Kilpauk, Chennai, Tamil Nadu 600010",044 2644 2823,"brvinfo@bvbchennai.org,,brvpgs@bvbchennai.org,bhavan@chennaikendra.com,","13.0842753,80.2379283"
ALWIN MEMORIAL PUBLIC SCHOOL [AMPS],School,Chennai,"Indira Nagar, Selaiyur, Chennai, Tamil Nadu 600073",044 2229 2051,",zionschool@in.com,alwinschool2010@gmail.com,officeamps@zionschool.ac.in,","12.9137618,80.1428102"
VANI VIDYALAYA [VV],School,Chennai,"NO 12 VEMBULIAMMAN KOIL STREET WEST K K NAGAR CHENNAI TAMIL NADU, 600078",044 2364 0445,"vanividyalayaedu@gmail.com,,principal@vanividyalaya.edu.in,","15.1238294,72.3077212"
SHRI B S MOOTHA GIRLS SR SEC SCHOOL [SBSMGSSS],School,Chennai,"26RH+HCR, 80, Brindavan St, Ramakrishnapuram, West Mambalam, Chennai, Tamil Nadu 600033",044 4337 6363,",sbsmschool@gmail.com,","13.0416977,80.2254946"
CHINMAYA VIDYALAYA [CV],School,Chennai,"TAPOVANAM 9-B ?TAYLORS ROAD KILPAUK CHENNAI TAMIL NADU, 600010",,",chnvidya@md3.vsnl,cv.mandya@gmail.com,16351555001622449882layer-35@3x.jpg,cvvprincipal@gmail.com,kilpauk@cvchennai.org,virugambakkam@cvchennai.org,","15.0894383,68.1285818"
ST. JOHN'S ENGLISH SCHOOL [SJES],School,Chennai,"SECOND CROSS STREET NEAR C P W D QTRS. BESANT NAGAR CHENNAI TAMIL NADU, 600090",,"info@sjbn.edu.in,,stjohns@md3.vsnl.net.in,info@stjohnscbse.com,","18.5163008,73.8715104"
ASAN MEMORIAL SR SEC SCHOOL [AMSSS],School,Chennai,"COCHIN HOUSE 1-ANDERSON ROAD CHENNAI TAMIL NADU, 600006",044 2827 5858,",info.matric@asaneducation.com,x3einfo.matric@asaneducation.com,","13.0639281,80.2494122"
KENDRIYA VIDYALAYA [KVCLRI],School,Chennai,"PATEL ROAD, ADYAR, Chennai, Tamil Nadu 600020",044 2442 1219,",ppl.chennaiclri@kvs.gov.in,clrim@vsnl.com,kvclri@gmail.com,kvsrochennaiadmn@gmail.com,","13.0074064,80.2441572"
The Hindu Senior Secondary School [THSSS],School,Chennai,"Plot No.1 2nd Main Road Indira Nagar Chennai Tamil Nadu, 600020",,",hinducourtroad@gmail.com,40220@cbseshiksha.in,hssstripoffice@gmail.com,x3ehinducourtroad@gmail.com,hsssindiranagar@gmail.com,x3e40220@cbseshiksha.in,","13.0287854,80.2440856"
THE SCHRAM ACADEMY [TSA],School,Chennai,"I SCHRAM AVENUE MADURAVOYAL CHENNAI, 600095",,",reception.ayn@tsacademy.edu.in,office.ayn@tsacademy.edu.in,info@theschramacademy.com,","13.0443334,79.9472063"
UNITY PUBLIC SCHOOL [UPS],School,Chennai,"109, Lake View Rd, Teachers Colony, Duraisamy Nagar, Kotturpuram, Chennai, Tamil Nadu 600085",044 4266 4333,",principal.ups@unityschool.in,unitypublic@unityschool.in,u003eUNITYPUBLIC@UNITYSCHOOL.IN,UNITYPUBLIC@UNITYSCHOOL.IN,","13.010869,80.2433241"
KOLA SARASWATHI VAISHNAV SR SEC SCHO [KSVSSS],School,Chennai,"40/41, Barnaby Rd, Kilpauk, Chennai, Tamil Nadu 600010",044 2641 1512,",sportsksv@kolasaraswathi.com,principal@kolasaraswathi.com,kolasaraswathy@yahoo.co.in,","13.0792423,80.2434766"
VIDYA MANDIR SR SEC SCHOOL [VMSSS],School,Chennai,"124 ?ROYAPETAH HIGH ROAD MYLAPORE CHENNAI TAMIL NADU, 600004",,",info@vidyamandirponneri.org,","18.4760581,73.8698087"
S P D H SINDHI MODEL SR SEC SCHOOL [SPDHSMSSS],School,Chennai,"Sindhi Model Senior Secondary School, 1, Damodharan St, Kellys, Davidpuram, Kilpauk, Chennai, Tamil Nadu 600010",044 2644 2454,",sindhimodelschool@yahoo.com,admin@sindhimodel.in,chairman@sindhimodel.in,secretary@sindhimodel.in,","13.085225,80.2415691"
CHINMAYA VIDYALAYA [CV],School,Chennai,"PLOT NO. 5063 Z BLOCK BELLY AREA ANNA NAGAR WEST CHENNAI, 600040",,",chnvidya@md3.vsnl,cv.mandya@gmail.com,16351555001622449882layer-35@3x.jpg,cvvprincipal@gmail.com,kilpauk@cvchennai.org,virugambakkam@cvchennai.org,","15.0894383,68.1285818"
BHAKTAVATSALAM VIDYASHRAM [BV],School,Chennai,"Bhakthavatsalam Memorial Trust, BAKTHAVACHALAM VIDHYASHRAM SCHOOL, No 14, 31st street, Venkatraman Nagar, TNHB Colony, Periyay Nagar, Chennai, Tamil Nadu 600050",044 2687 0899,",info@bvcbse.ac.in,vijimarch31@gmail.com,vicechairman@bvcbse.ac.in,bvschool1990@rediffmail.com,","13.1092606,80.1805887"
SIR SIVASWAMI KALALAYA SR SEC SCHOOL [SSKSSS],School,Chennai,"5 SUNDARESWARAR STREET MYLAPORE CHENNAI TAMIL NADU, 600004",,"reachus@sirsivaswamikalalaya.org,,","13.0406778,80.257107"
Padma Seshadri Bala Bhavan Senior Secondary School [PSBB],School,Chennai,"NO.7 LAKE AREA FIRST MAIN ROAD NUNGAMBAKKAM CHENNAI TAMIL NADU, 600034",,"psbb_school@yahoo.co.in,,admission.omr@psbbmillenniumschool.org,info@psbbmathrsec.com,","13.0446617,80.1788168"
KENDRIYA VIDYALAYA NO.1 [KVN],School,Chennai,"A F S TAMBARAM SELAIYUR CHENNAI TAMIL NADU, 600073",,",kvashoknagar@gmail.com,kvnasakm@rediffmail.com,kvmaduraino1@yahoo.co.in,kvarakkonamoffice@gmail.com,kvsrochennaiadmn@gmail.com,ppl.annanagar@kvs.gov.in,kvannanagarchennai@gmail.com,","18.5920344,73.9168454"
SREE NARAYANA MISSION SR SEC SCHOOL [SNMSSS],School,Chennai,"2/54, Easwaran Koil Street, West Mambalam, Chennai, Tamil Nadu 600033",044 2489 3093,"prlsnmsss@gmail.com,,sreenm_sss@yahoo.com,","13.0355573,80.2242289"
Chettinad Hari Shree Vidyalayam [CHSV],School,Chennai,"20, Srinivasa Ave Rd, Ramakrishna Nagar, Raja Annamalai Puram, Chennai, Tamil Nadu 600028",044 2461 5254,",2ashoka@gmail.com,2tulsi@gmail.com,mailus@harishree.org,hsv.2ashoka@gmail.com,hsv.2chandanam@gmail.com,hsv.2tulsi@gmail.com,2chandanam@gmail.com,","13.0226983,80.2581865"
SRI RAMDAYAL KHEMKA V. VIDYALAYA [srdkvv],School,Chennai,"No.9, Ellaiamman Koil St, Sathiyamoorthy Nagar, Rajakadai, Tiruvottiyur, Chennai, Tamil Nadu 600019",044 2345 5940,",srdkvv_tvt@yahoo.co.in,","13.1568769,80.299995"
THE HINDU SENIOR SEC ?SCHOOL [THSSS],School,Chennai,"1, 2nd Main Rd, Indira Nagar, Adyar, Chennai, Tamil Nadu 600020",,",hinducourtroad@gmail.com,40220@cbseshiksha.in,hhss@vsnl.com,hssstripoffice@gmail.com,x3ehinducourtroad@gmail.com,hsssindiranagar@gmail.com,x3e40220@cbseshiksha.in,","12.9976629,80.2510076"
KENDRIYA VIDYALAYA [KV],School,Chennai,"AIR FORCE STATION AVADI CHENNAI TAMIL NADU, 600055",,",kvsrochennaiadmn@gmail.com,ppl.avadiafs@kvs.gov.in,kvigch2@yahoo.co.in,","18.4760581,73.8698087"
KALIGI RANGANATHAN MONTFORD PUBLIC SCHOOL [KRMPS],School,Chennai,"Block No: 11, SHANTHI NAGAR, 2ND LANE, SEMBIUM, (PERAMBUR), CHENNAI - 600 011",,"krmpublicschool@gmail.com,,kaligiperambur@gmail.com,hr.krmgroup@gmail.com,","13.1027199,80.2303296"
KOLA PERUMAL CHETTY VAISHNAV SENIOR SECONDARY SCHOOL [KPCVSSS],School,Chennai,"Periyar E.V.R. Salai, Gokul Bagh, 815, Kolaperumal School St, Arumbakkam, Chennai, Tamil Nadu 600106",044 2363 1819,"kolaperumal@gmail.com,,","13.0743908,80.2113441"
GURU SHREE SANTHIVIJAY JAIN VIDYALAY [GSSJV],School,Chennai,"No. 96, 154, Vepery High Rd, Vepery, Choolai, Chennai, Tamil Nadu 600007",044 2532 2541,",u003egssjain@gmail.com,gssjain@gmail.com,gssvjain@yahoo.co.in,","13.0861594,80.2614051"
DEVI ACADEMY [DA],School,Chennai,"25X8+7H9, Sridevi Nagar, Allapakkam, Porur, Chennai, Tamil Nadu 600095",,"deviacademychennai@gmail.com,,","13.048173,80.1638985"
SMT NARBADA DEVI J AGARWAL V VIDYALA [SNDJAVV],School,Chennai,"VIVEKANANDA VIDYALAYA JUNIOR COLLEGE, MKB Nagar, Mahakavi Bharathiyar Nagar Central, Mahakavi Bharathi Nagar, Vyasarpadi, Chennai, Tamil Nadu 600039",044 2345 2129,"sndjavv@gmail.com,,nsndjavv@gmail.com,","13.1220483,80.2592851"
NARAYANA E-TECHNO SCHOOL [NETS],School,Chennai,"NO.5/1, KKP SALAI, RAGANAVENDRA NAGAR, RAMAPURAM, CHENNAI - 600089",,",chewtr.etechno@narayanagroup.com,nsiliguri@narayanagroup.com,x22nsiliguri@narayanagroup.com,cheecr.etechno@narayanagroup.com,cheab.etechno@narayanagroup.com,info@narayanagroup.com,x3ensiliguri@narayanagroup.com,u003echewtr.etechno@narayanagroup.com,","18.4760581,73.8698087"
ST BRITTOS ACADEMY [SBA],School,Chennai,"R3/3, Nethaji Rd, Railar Nagar, TNHB Colony, Velachery, Chennai, Ramapuram, Tamil Nadu 600042",090420 49890,",admin@stbrittos.com,admin@stbrittosacademy.edu,exampleemail@domain.com,sbavelacheryalumni@gmail.com,admin@stbrittosacademy.edu.in,","12.9930277,80.2076204"
THE VELAMMAL INTERNATIONAL SCHOOL [TVIS],School,Chennai,"Velammal Knowledge Park, High Road, Panchetti, Kolkata High Road, Tamil Nadu 601204",,",xxxx@tvis.in,u003einfo@tvis.in,PRINCIPAL@TVIS.IN,info@tvis.in,","13.299733,80.1563945"
ST. JOHN'S SENIOR SEC SCHOOL [SJSSS],School,Chennai,"9, S Canal Bank Rd, Mandavelipakkam, Mandaveli, Chennai, Tamil Nadu 600028",,",info@stjohnscbse.com,stjohnscbse.in@gmail.com,","13.0253514,80.2651071"
SRI JAWANTHRAJ TEJRAJ SURANA JAIN VIDYALAYA [SJTSJV],School,Chennai,"# 2, Badrian Street, Badri Garden, Park Town, Chennai, Tamil Nadu 600001",044 2535 7691,",sjtsjv@vsnl.com,","13.0900435,80.2738672"
ARSHA VIDYA MANDIR [AVM],School,Chennai,"114, Velachery Rd, Little Mount, Guindy, Chennai, Tamil Nadu 600032",044 2230 1177,",u003eavm@arshavidyamandir.in,avm@arshavidyamandir.in,","13.0085287,80.2186371"
Sri Chaitanya Techno School [SCTS],School,Chennai,"Adjacent to Global Hospital, Indra priyadharshini Nagar, Perumbakkam, Chennai, Tamil Nadu 600100",,",Perumbakkamprincipal@srichaitanyaschool.net,keelkattalai@srichaitanyaschool.net,","18.5754509,73.9916258"
SMT DURGADEVI CHOUDHARI V VIDYALAYA [SDCVV],School,Chennai,"Venkata Subramaniya Nagar, Sakthivel Nagar, Shakthivel Nagar, Kolathur, Chennai, Tamil Nadu 600082",044 2671 1820,",sdcvv72@hotmail.com,","13.122634,80.2221222"
