Name,Sector,City,Address,Phone,Email,Lat-Long
State Bank Of India,Banks,Kerala, Palakkad Ho; English Church Road Palakkad Ho; 678001,,"x3eRtgs.boi@bankofindia.co.in,Boi.neft@bankofindia.co.in,bohyderabad@rbi.org.in,Rtgs.boi@bankofindia.co.in,BOI.CallCentre@bankofindia.co.in,customercare@sbi.co.in,x3eboi.customerservices@oberthur.com,contactcentre@sbi.co.in,x3eBoi.neft@bankofindia.co.in,agmcustomer.lhokol@sbi.co.in,boi.customerservices@oberthur.com,x3eBOI.CallCentre@bankofindia.co.in,",10.7661524; 76.6548568
ICICI Bank Ltd,Banks,Kerala, Palakkad Fort; West Fort Road Palakkad Fort; 678001,,"x3eCustomer.care@icicibank.com,customer.care@icicibank.com,digitallending@icicibank.com,x3ecustomer.care@icicibank.com,x3edigitallending@icicibank.com,x22customer.care@icicibank.com,Customer.care@icicibank.com,",10.7642502; 76.654653
Kerala Gramin Bank,Banks,Kerala, Kumily; Kottayam-Kumily road Kumily; 685509,,"legalicon@rediffmail.com,legaliconoffical@gmail.com,",9.6062424; 77.1652831
Ullattil Bankers,Banks,Kerala, Kumily; Amaravathi Kumily; 685509,,"adc1.ctd@kerala.gov.in,mmquickerala@gmail.com,",9.6193369; 77.1589782
Union Bank Of India,Banks,Kerala,Union Bank Of India Po Kumily Idukki Kumily; Kumily Kumily; 685509,,"dgro@unionbankofindia.bank,x3ecustomercare@unionbankofindia.com,x3ecustomer.service@unionbankph.com,x3ecgo@unionbankofindia.com,x3ecustomerservice@www.unionbankng.com,x22customercare@unionbankofindia.com,x22customer.service@unionbankph.com,",9.606479; 77.164034
Indian Overseas Bank,Banks,Kerala,Near Thekkady Wild Life Reserve Kumily; Kumily; 685509,,"upihelp@iob.in,iob0009@iob.in,atmcard@iobnet.co.in,crcard@iobnet.co.in,",9.6164014; 77.1582217
Vandiperiyar Service Co-Operative Bank,Banks,Kerala, Vandiperiyar; Vandiperiyar; 685533,,"kkdro@keralabank.co.in,",9.5698611; 77.0869922
Idukki District Co Operative Bank Ltd,Banks,Kerala, Vandiperiyar; Vandiperiyar; 685533,,"kkdro@keralabank.co.in,idcb@idukkidcb.in,",9.5741306; 77.0928334
Vandiperiyar Service Co Op Bank,Banks,Kerala,nan; Manjumala; 685501,,"kkdro@keralabank.co.in,keralarcs@co-op.kerala.gov.in,kscb@keralacobank.com,",9.6274591; 77.0453422
Pambanar Co Operative Bank,Banks,Kerala, Peermade; Azhutha Peermade; 685531,,"papresident@keralabank.co.in,paceo@keralabank.co.in,",9.5725409; 76.9940004
Dhanlaxmi Bank Ltd,Banks,Kerala, Munnar Colony; Sh17 Nullatanni Munnar Colony; 685612,,"x3ecustomercare@dhanbank.co.in,customercare@dhanbank.co.in,",10.0857793; 77.0603271
Bank Of India Thodupuzha,Banks,Kerala,nan; Road Thodupuzha -685584; 685612,,"Thodupuzha.Kerala@bankofindia.co.in,",10.0849; 77.06143
Bank Of India,Banks,Kerala, Polpully; Po Popully -678552 Polpully; 685612,,"ZO.Kerala@bankofindia.co.in,manasi.phene@bankofindia.co.in,x3eboi.starconnect@bankofindia.com,it@keralabank.co.in,calicut.kerala@bankofindia.co.in,Kerala.GOD@bankofindia.co.in,dbit@keralabank.co.in,",10.0849; 77.06143
Mankulam Service Co-Operative Bank,Banks,Kerala," Mankulam; Idukki,Mankulam; 685565",,"papresident@keralabank.co.in,paceo@keralabank.co.in,ayancheriscb@gmail.com,mankulamscb@gmail.com,",10.059586; 77.060891
Kallar Scb Micro Atm,Banks,Kerala," Anachal; Idukki,Anachal; 685565",,"kb@keralabank.co.in,kallarcobank@gmail.com,",10.0240168; 77.0372117
The Ellakkal Service Co-Operative Bank,Banks,Kerala," Anachal; Idukki,Anachal; 685565",04865 265 235,"escbvaka@gmail.com,kb@keralabank.co.in,support@lawcanvas.in,ascbanakkayam@gmail.com,",10.0001293; 77.0661159
South Indian Bank (Chinnakanal Branch),Banks,Kerala," Chinnakkanal; Idukki,Chinnakkanal; 685618",04868 249 310,"customercare@sib.co.in,sibcorporate@sib.co.in,br0275@sib.co.in,u003ebr0275@sib.co.in,x3ecustomercare@sib.co.in,",10.0378531611; 77.1782760654
Esaf Microfinance,Banks,Kerala," Adimali; Idukki,Adimali; 685561",,"x3ecustomercare@esafbank.com,customercare@esafbank.com,enquiry@esafbank.com,",10.0116228; 76.9562346
Adimaly Co Opeative Bank,Banks,Kerala," Adimali; Idukki,Adimali; 685561",,"kb@keralabank.co.in,rrshinde@mumbaidistrictbank.com,kkdro@keralabank.co.in,keralarcs@co-op.kerala.gov.in,kscb@keralacobank.com,",10.0121398; 76.9553219
Mahindra Office Second Floor,Banks,Kerala,nan; Idukki; 685566,04868 241 310,"x3ecustomercare@mahindra.com,narayan.shankar@mahindra.com,share.mmfsl@mahindra.com,customercare@mahindra.com,",9.9601276; 77.0962733
Sml Finance,Banks,Kerala," Adimali; Idukki,Adimali; 685561",,"x3ecs@jmjfinance.com,pbvr1bm@smlfinance.com,cs@jmjfinance.com,JSmith@smlfinance.com,info@smlfinance.com,",10.0155262; 76.9408267
State Bank Of India Iritty,Banks,Kerala,Opposite Moopan Kavu Kannur Ho; Iritty Kannur Ho; 670001,,"sbi.17063@sbi.co,sbi.17063@sbi.co.in,",11.8738353; 75.3718144
