Name,Sector,City,Address,Phone,Email,Lat-Long
Honeys Gurukula Vidyalaya,College,Kerala,Near Honeys Naturopathy Medical Science Mangattiri; BP Angadi Tirur Mangattiri; 676105,,"n.velayutham72@gmail.com,",10.877980555556; 75.919875
Ecr Group Of Institutions,College,Kerala, Malappuram Civil Station; Road Malappuram Civil Station; 676505,9035398270.0,"mmquickerala@gmail.com,admission@ecredu.com,",11.0419447; 76.0895543
Itees Eye Hospital,College,Kerala, Downhill; Downhill Downhill; 676519,8488039905.0,"jmc.kasp@gmail.com,info@iteescolleges.in,info@iteeseyehospital.com,kasp.malabar@gmail.com,",11.051269; 76.0717373
Skill Way Education,College,Kerala,Near Municipal Stadium Tirur Tirur; Kottayam Kollam Punalur Tirur; 676101,9035026175.0,"skillwayeducationadmn@gmail.com,stikerala@gmail.com,dir.colledn@kerala.gov.in,support@clicktoindia.com,dcedirectorate@gmail.com,",10.9171622; 75.9190775
Iits Nata Coaching Centre,College,Kerala,Near Am Motors Tirur; Payyanangadi Tirur; 676101,,"live@iginteindiaedu.com,ignitethrissur@gmail.com.Best,",10.9279423; 75.9316697
Edustar Academy,College,Kerala,Near Police Station Kottakkal; AVS Road Kottakkal; 676503,9054685377.0,"edustar.kpt@gmail.com,edustar.kkl@gmail.com,",11.0006176; 76.0077792
NTC Technical Institute,College,Kerala,Opposite Municipal Shopping Complex Perintalmanna; Hospital Road Perintalmanna; 679322,,"ntcgrouppmna@gmail.com,info@neotech.ac.in,",10.975483333333; 76.225777777778
Indian School Of Business Management and Administration,College,Kerala,Above Axis Bank Arangath Pullepady; College Arangath Pullepady; 682035,8460433051.0,"info@isbm.org.in,pune@isbm.org.in,",9.98238; 76.2805
Ipcs Global,College,Kerala,Shenoys Theatre M G Road; Rajaji Road M G Road; 682011,7947357712.0,"attingal@ipcsglobal.com,Info@ipcsglobal.com,tvm@ipcsautomation.com,attingal.ipcs@gmail.com,ipcscoimbatore@gmail.com,cochin@ipcsautomation.com,ameena@ipcsglobal.com,calicut@ipcsglobal.com,",9.978472; 76.285281972222
St Thomas College,College,Kerala,Near Saritha Theatre Market Road; Market Road; 682031,,"principal.stc@gmail.com,info@stcet.net,Principal@stcp.ac.in,principal@stthomas.ac.in,info@stcpcz.in,stcpcz2006@gmail.com,",9.981068361111; 76.275962583333
The Cochin College,College,Kerala,Near South Mattancherry; Chullickal Mattancherry; 682002,,"thecochincollegekochi2@gmail.com,rekhapg@thecochincollege.edu.in,",9.9495838; 76.2517741
Scms School Of Technology And Management,College,Kerala,Choornikkara Kochi; - Kanyakumari Highway Kochi; 682001,,"sstm@scsmgroup.org,info@scmsgroup.org,mail@scmsgroup.org,",9.9601338; 76.2442911
Avila College Of Education,College,Kerala, Kochi; Cochin Road Kochi; 682001,,"avilacollegeedakochi@gmail.com,avilacollegeedakochi@gmail.comHow,",9.9526617; 76.2450153
Vidyabharathi Group Of Institutions,College,Kerala,Near CUSAT Campus Kochi University; Cusat Road Kochi University; 682022,8460510820.0,"info@vidya.ac.in,Emailinfo@vidya.ac.in,divyapillai287@gmail.com,",10.044641489723; 76.313516382795
FUTURE STUDY EDUCATION HUB PVT LTD,College,Kerala,IMG JUNCTION Kakkanad; KAKKANAD Kakkanad; 682030,8904985194.0,"myplanetkochi@gmail.com,mysore@go.study,",10.018478972222; 76.349642
Seth Ram Bahadur Singh Gujarati College,College,Kerala, Mattancherry; Gujarati Road Mattancherry; 682002,,"srbscollege@yahoo.co.in,cochingujmahajan@rediffmail.com,Emailsrbscollege@yahoo.co.in,",9.9602942; 76.2558097
Indian Institute Of Logistics,College,Kerala,Opposite SBI Overseas Bank Willingdon Island; Gandhi Road Willingdon Island; 682003,,"info@iilskochi.com,info@iilschennai.com,",9.9643008; 76.2667894
Mount Carmel Petit Seminary,College,Kerala,nan; Fort; 682001,,"mkadavil@hotmail.com,anoojosj@gmail.com,mountcarmeltrainingcollege@gmail.com,santhosh11011972@gmail.com,",9.9619226; 76.2399817
Santa Cruz College,College,Kerala,Near Santa Cruz Basilica Veli Kochi; Veli Kochi; 682001,,"bimalokpal.ahmedabad@gbic.co.in,x3ehelp@ucsc.edu,registrar@ucsc.edu,x3eadmissions@ucsc.edu,x3ecruzid@ucsc.edu,visits@ucsc.edu,smcpanathady@gmail.com,c9jrl@ucsc.edu,nineadvising@ucsc.edu,",9.952097; 76.243748
Pitman College,College,Kerala, Kochi; Kaloor Kochi; 682001,,"principal@sdck.in,akcask@gmail.com,artscollegeofficetvpm@gmail.com,info@entranceindia.com,",9.952017; 76.245933
A2z Technical Institute JCB Crane Forklift Trailer Heavy,College,Kerala,Near KSRTC Stand Kottarakara; Kottarakkara Kottarakara; 691506,8735811435.0,,8.995161111111; 76.76585
St Jude Education Trust,College,Kerala,Kottarkkara Pulamon; Kottarakara Pulamon; 691531,8460450886.0,"stjudeschool930560@gmail.com,judescollege@yahoo.co.in,info@sjonsite.com,cosmichrm@gmail.com,teamstjude@gmail.com,",9.0153061; 76.7849205
Indian Institute Of Competitive Excellence,College,Kerala,Above Canara Bnk Anchal; College Road Anchal; 691306,9054793383.0,"mail@fisat.ac,",8.92620555556; 76.9170638889
Horizon Overseas Ltd,College,Kerala,Sankar Tower Ayathil; Ayathil Main Road Ayathil; 691021,8460410026.0,"sahara.overseas.1@gmail.com,study@thehorizon.in,admissions@thehorizon.in,",8.889597888889; 76.617477416667
Sky Blue College Of Aviation and Paramedical Science,College,Kerala, Sulthan Bathery; Mysore Road Sulthan Bathery; 673592,7947322020.0,"info@sacpms.edu.in,emscpms@gmail.com,mesparamedicalsciences@gmail.com,",11.672787638889; 76.283958416667
C Dit Study Centre,College,Kerala,Latin Church Complex Mananthavady; Minnumani Junction Mananthavady; 670645,8296445251.0,"tet@cdit.org,",11.803072916667; 76.005386333333
Sakthy Arts And Science College,College,Kerala,Near Puthur Road Palakkad HO; Kopam Junction Palakkad HO; 678001,9725713626.0,"bizklinfo@gmail.com,marsleevacollege@gmail.com,quickeralateam@gmail.com,scas2009@gmail.com,ametrust@gmail.com,",10.779048; 76.657359
