Name,Sector,City,Address,Phone,Email,Lat-Long
Viva Bakes and Restaurant,Retail,Kerala,Opposite Panchayath Office Chungathara,8401884780.0,",rrvl.scrutinizer@kfintech.com,evoting.rrvl@kfintech.com,","11.3368321,76.2766697"
Farsa Restaurant,Retail,Kerala,Near Sree Sumo Auditorium Manjeri Kla,,",ekbaputy@gmail.com,farsarestaurant@gmail.com,","11.1236636,76.1147933"
Spunge Cakes and Cafe,Retail,Kerala,Near IDBI Bank Tirur,,",linsonlisa01@gmail.com,","10.9207183,75.9280516"
Nutmeg Biriyani Darbar,Retail,Kerala,NEAR My G Building Kondotti Malappuram,,",mmquickerala@gmail.com,","11.1487733,75.9602616"
Albaik Restaurant,Retail,Kerala,Near HP Petrol Pump Manjeri Kla,8485922748.0,",ismayilchemban@gmail.com,info@albaik.com,xx@albaik.com,x3einfo@albaik.com,","11.120954,76.116664"
Inbare Indian Bakes & Restaurant,Retail,Kerala, Wandoor,8971298671.0,,"11.192989,76.246645"
Bonfire,Retail,Kerala,Near Kendra Vidhyalayam Civil Station,,"dg.frs@kerala.gov.in,,bonfireads@gmail.com,","11.0429994,76.0766208"
City Park Restaurant,Retail,Kerala,Near Kadheeja Auditorium Tirur,7947174432.0,",la@gmail.com,","10.91589729624,75.92398072014"
Hotel Royal Food,Retail,Kerala,,,",royalrivierakumarakom@gmail.com,","11.0701711,75.9182023"
Hotel Fast N Fast,Retail,Kerala,Jumma Masjid Edavanna,,",reservations@lemontreehotels.com,hr@grandhotelkerala.com,reservations.kochi@radisson.com,","11.2125495,76.1391324"
KFC,Retail,Kerala,Near Byepass Junction perintalmanna,,",janedoe@kfc.org,hilite@dil-rjcort.com,kfc.hilite@dil-rjcort.com,x3ecustomercare@kfcpakistan.com,customercare@kfcpakistan.com,","10.9771732,76.2185249"
Brown Beans Cafe,Retail,Kerala,Near AMHonda Showroom Manjeri Bazar,,",BROWNBEANS.IN@GMAIL.COM,","11.119368,76.111673"
Delicia Hotel,Retail,Kerala,Near Municipal Bus Stand Downhill,,",info@deliciacaterers.com,catering@deliciahotel.com,","11.0445239,76.075963"
Olene Canto Bakes & Restaurant,Retail,Kerala,Opposite New Bus Stand Manjeri,,",info@olenecanto.com,","11.1201655,76.1225205"
Malabar White House Restaurant,Retail,Kerala,Near Police Station Ponnani,,",farookfm@gmail.com,i@gmail.com,","10.7573201,75.9289406"
Hotel Kailash,Retail,Kerala, Elappara Road,,",Emailcoadmin@vtransgroup.com,hi.dn@lemontreehotels.com,bkvsubrahmanyam@gmail.com,","9.6877501,76.9059062"
Periyar Tiger Cafe Restaurant,Retail,Kerala,Near Periyar Tiger Reserve Entrance Gate Kumily,7411652050.0,",info@keralatourism.org,","9.5996781,77.1713831"
Babus Kitchen,Retail,Kerala,,,",qrskollam@gmail.com,Info@babu-kitchen.com,","9.6905065,76.9094002"
Hotel Crown Plaza,Retail,Kerala, Vagamon,,",mail@tamarind.co.in,reservations.crowneplazakochi@ihg.com,dinesh.rai@ihg.com,","9.687073,76.905322"
Vaikom Kanji Kada,Retail,Kerala, Vagamon,,",rupesh@keralatourism.org,scdditiedappally@gmail.com,srovaikom.regn@kerala.gov.in,","9.6772664,76.9113991"
Sabu'S Hotel,Retail,Kerala, Vagamon,,",info@mediassist.in,x3eqrstvm@qrs.in,qrstvm@qrs.in,ekm@qrs.in,tvmkaramana@qrs.in,","9.7010919,76.9536874"
Hotel Veettil Oonu,Retail,Kerala, Upputhara,,",hr@grandhotelkerala.com,","9.718591,76.952305"
Alsafa Hotel,Retail,Kerala,,,",info@alsafasiyaha.com,Www.jayasiva.abi@gmail.com,roc.chennai@mca.gov.in,mkramesh.rccl@gmail.com,","9.6884929,76.9061093"
Palette People Artists Residency,Retail,Kerala,Ulupponni Kottamala,,",palettepeopleresidency@gmail.com,","9.7281804,76.8980926"
Mallikayil Hotel,Retail,Kerala, Vagamon,,",hotelmaharajapalace@gmail.com,reservationskoz.keys@lemontreehotels.com,","9.6883813,76.9062941"
Palette Multi-Cuisine Restaurant,Retail,Kerala,Opposite Moon MalaPalette Hill View Resort,,",mail@greenrouteshospitality.com,","9.706789,76.936523"
Hotel Vagaland,Retail,Kerala, Pullikkanam,,",hr@grandhotelkerala.com,info@keralatourism.org,","9.6878443,76.9057396"
Vagamon Hill Valley,Retail,Kerala,Opposite Arapucad Tunnel Idukki,,"sales@pagodaresorts.com,,ananya.vagamon@gmail.com,info@dtpcidukki.com,","9.678697,76.92245"
Apna Punjabi Dhaba,Retail,Kerala,,,",a@gmail.com,","8.3984579,76.9818319"
Sanjeevini Restaurant,Retail,Kerala,Samudra Beach Near Country Spa Country Spa Rd hhhb,,",n.velayutham72@gmail.com,","8.399206,76.973506"
The Pantry,Retail,Kerala,Opposite Apsara Threatre Kovalam Beach,,",customercare@tastynibbles.in,lijinaliji44@gmail.com,retail@amul.coop,","8.3988802,76.9818171"
Coconut Grove,Retail,Kerala, Kovalam Ho,,",a1greens.india@gmail.com,","8.3861484644,76.9783915579"
The Curry Pot Restaurant,Retail,Kerala, Kovalam Beach,,",rt@keralatourism.org,","8.4021041,76.9737338"
The Chef's Studio,Retail,Kerala, Vazhamuttom,,"mail@chefs-studio.com,roc.chennai@mca.gov.in,kristin@chef.studio,,","8.4105197,76.9768161"
Emaar Kitchen,Retail,Kerala,,,",x3ecustomercare@emaar.ae,customercare@emaar.ae,","8.3990119,76.9820342"
Molly's Retreat Restaurant,Retail,Kerala, Kovalam Beach,,",INFO@MOLLYSRETREATKOVALAM.COM,","8.402257,76.974027"
Roof Top,Retail,Kerala, Kovalam HO,,",snroofs@rediffmail.com,bsssolarkerala@gmail.com,","8.3851935241,76.9796605781"
Sanjeevni Restaurant,Retail,Kerala,Behind Ktdc Hotel Koval Beach Kovalam HO,,",roc.chennai@mca.gov.in,","8.3990355,76.9737186"
Catamaran (Turtle On The Beach Hotel),Retail,Kerala, Kovalam Beach,,"fo.kovalam@gokulamhotels.com,,info@turtleonthebeach.com,","8.3903957,76.9762042"
Sea View Restaurant,Retail,Kerala,Near Bus Stop,,"theseaview01@gmail.com,,","8.3902489,76.975066"
Leo Restaurant,Retail,Kerala,Near Pappukutty Beach Resort Kovalam HO,,",info@leosindia.com,","8.3863983,76.9780143"
Ali Baba & 41 Dishes,Retail,Kerala,Opposite to Veekay Tower Kuruppam Road,8123380725.0,,"10.518934694444,76.211155388889"
Thomason's Casa Restaurant,Retail,Kerala, Ikkanda Warrior Road Thrissur HO,7383545727.0,",mail@everydaybakes.in,","10.521169638889,76.224288916667"
Alzaki Restaurant,Retail,Kerala,Near Ansar Hospital Perumpilavu,8401585619.0,,"10.701734,76.090217"
Indian Palace Restaurant,Retail,Kerala,Near Old Police Station Pudukad,8485956917.0,",info@thattu.com,hr@grandhotelkerala.com,","10.437262527778,76.253707861111"
Blue Star Biryani Hut,Retail,Kerala,Near Jubilee Mission Hospital Thrissur East,9054440662.0,",mmquickerala@gmail.com,","10.519985,76.2257018"
Keif Restaurant,Retail,Kerala,Near Salafi Masjid Vadakkekad,8485953405.0,"khanbinish2006@rediffmail.com,,mamatayadav06@gmail.com,","10.6491101,76.0101791"
Moosas Biriyani House,Retail,Kerala,Near By Mosque,8460484798.0,",support@clicktoindia.com,","10.5164823,76.2126947"
Kallada Restaurant,Retail,Kerala, Mannuthy,,",info@kalladahotels.com,la@gmail.com,info@kalladatravels.com,","10.5294325,76.2595367"
Charcoal Delights,Retail,Kerala,Near Mathews Auditorium Kunnamkulam,,",roc.chennai@mca.gov.in,janed@charcoaldelights.com,a1greens.india@gmail.com,","10.662898,76.099108"
Grill Inn Restaurant,Retail,Kerala,Near Koorkenchery Thrissur East,,"info@grillinn.in,,grillinn@grillinn.in,","10.503498,76.211596"
Hao Ming Chinese Restaurant,Retail,Kerala,Near St Thomas College Thrissur Ho,,",vlal6767@gmail.com,mail_outlinehaomingrestaurant@gmail.com,","10.524901944444,76.220152"
Tonico Cafe,Retail,Kerala,Near Mutingoor Signal Muringoor Vadakkummuri,,"customercare@tonicocafe.com,,info@tonicocafe.com,","10.278876,76.3443522"
Monks Inn,Retail,Kerala,Near Kalyan Hero Opposite Brand Factory kottappuram,,",automonkstrading@gmail.com,","10.5237558,76.2092857"
Soul Kitchen Co,Retail,Kerala,Christ College Junction irinjalakuda north,,",hr@grandhotelkerala.com,bandra.store@thesouledstore.com,info@mastersindia.co,","10.3543723,76.2182775"
Hotel Akshaya,Retail,Kerala, Guruvayur,,"fo.akshaya@kerala.gov.in,,akshayahotelthrissur@gmail.com,info@hotelakshayathrissur.com,","10.60416096,76.04425397"
Varnam Sea Food Restaurant,Retail,Kerala,Opposite to Dcc Office Palayam,7022321086.0,",varnamcaterers@gmail.com,","8.5029834,76.953754"
Velvet Dawn Cafe & Restaurant,Retail,Kerala,Opposite Aham Boutique Sasthamangalam,7947162511.0,,"8.511783694444,76.969393638889"
Mothers Veg Plaza,Retail,Kerala, Palayam,8487031810.0,",mothersvegplaza@gmail.com,","8.5003097,76.9531832"
Krishna Hotel Kattachalkuzhi,Retail,Kerala,Opposite Coconut Research Centre Balaramapuram,8401289123.0,,"8.4046391,77.024826"
The Yellow Chilli,Retail,Kerala,Near Narmada Shopping Complex Kowdiar,8460529934.0,,"8.5137123,76.9524661"
Caffe Italiano,Retail,Kerala,Near Helipad Varkala,9725473748.0,",info@lollino.in,help@lollino.in,","8.7382888,76.700056"
Hotel Annapoorna,Retail,Kerala,Opposite PRS Hospital Killipalam,7487958235.0,",hotelannapoornathellakom@gmail.com,","8.4816323,76.958802"
Marhaba Restaurant,Retail,Kerala,Opposite Nss Karayogam Sasthamangalam,,",reservation@skymusandam.com,marhaba@qatar.net.qa,marhabaokl@outlook.com,","8.513695694444,76.978988888889"
Zeit Resturant,Retail,Kerala,Opposite Reliance Trends Varkala,9054767593.0,",yamskerala@gmail.com,","8.737643055556,76.701843055556"
Al Haja Vazhiyorakkada,Retail,Kerala,Near Poovanpara Bridge Alamcode,,",tasteofalhaja@gmail.com,","8.7128958,76.8118867"
Lafolei Clicks,Retail,Kerala,Near Alamcode Juma Masjid Alamcode,9054775312.0,,"8.7238894,76.8124237"
