Name,Sector,City,Address,Phone,Email,Lat-Long
Sabarigiri English School,School,Kerala,Anchal Junction Anchal; Anchal Road Anchal; 691306,8460405941.0,"sabarigiriresidentialschool@gmail.com,",8.918169; 76.9102836
Sree Budha Centre For Information Technology,School,Kerala,Near Palkulangara Temple Uliyakovil; Kollam Bypass Road Uliyakovil; 691019,,"principal@sbce.ac.in,sbcskarunagappally@gmail.com,",8.898861; 76.6245448
Irez School Of Health Care,School,Kerala,Near Vidya Nagar; Vidya Nagar; 691013,,"info@irez.in,",8.8913758; 76.5811792
Thekkan Guruvayoor English Medium School,School,Kerala, Thevalakkara; Thevalakkara; 690524,,"info@admissionschool.com,stvincentskkpuram@gmail.com,",9.0067609; 76.5765237
St Gregorious Central School,School,Kerala, Karunagappally North; Thazhava Karunagappally North; 690544,,"u003estgcschool@gmail.com,sobhasoman111@gmail.com,stgcschool@gmail.com,info@stgcs.ac.in,",9.104597; 76.541399
Navdeep Public School,School,Kerala, Mundakkal; Decent Junction Po Mundakkal; 691010,,"navdeeppublicschool@gmail.com,",8.874705; 76.6025071
Infant Jesus Anglo Indian Higher Secondary School,School,Kerala, Thangasserry; Thangasserry; 691007,,"staff@ke023cisce.org,principal@ijhss.org,",8.8845216; 76.5650454
Sree Narayana Public School,School,Kerala, Vadakkevila; Vadakkevila; 691010,,"kollengodesreenarayana@gmail.com,sreenarayanaadmissions@gmail.com,snpsambazhachal@gmail.com,snvpschool@gmail.com,",8.8788955; 76.6311631
Oxford School,School,Kerala,Nr Alliance Food Products Umayanallur Kollam; Mylapore Umayanallur Kollam; 691589,,"oxfordkannur@gmail.com,oxfordcalicut@mhtrust.com,oxfordmodelschoolvembayam@gmail.com,u003eoxford@mhtrust.com,principal@oxfordtvm.com,oxford@mhtrust.com,info@oxfordcalicut.com,",8.878289; 76.643306
Krist Raj Higher Secondary School,School,Kerala, Karbala; Jawahar Nagar Karbala Karbala; 691001,,"41066kollam@gmail.com,krhssklm02056@gmail.com,",8.8842897; 76.6045799
Bambino International Montessori School,School,Kerala,Kuravankonam Kowdiar; Gokulam Junction Kowdiar; 695003,9054625954.0,"bambinokowdiar@gmail.com,info@bambinokidz.com,bambinotvm@gmail.com,pramodnarayanpn@gmail.com,worldkids2121@gmail.com,",8.5274342; 76.9557232
Solispehdee Pre School,School,Kerala,Near Corporation Office Pongumoodu; Prasanthnagar Road Pongumoodu; 695011,8147955062.0,"ncontact@solispehdee.com,keralatribes@gmail.com,solispehdee.preschool@gmail.com,contact@solispehdee.com,info@entranceindia.com,",8.537608; 76.9233949722
Santhigiri Vidyabhavan Senior Secondary School,School,Kerala,Santhiri Asramam Pothencode; Santhigiri Post Pothencode; 695584,,"communication@santhigiriashram.org,santhigirividyabhavanss@gmail.com,santhigirividyabhavansss@gmail.com,",8.635135; 76.897102
Angel Kids Montessori School & International Teacher Training Centre,School,Kerala,Near Railway Gate Kaniyapuram; Chirayinkeezhu Road Kaniyapuram; 695301,9054431151.0,,8.583930555556; 76.845211111111
Sabarigiri International School,School,Kerala,Via Powdikonam Njandoorkonam; Sreekaryam Pothencode Road; 695587,7411832719.0,"SISTVM17@GMAIL.COM,sistvm17@gmail.com,sabarigiriresidentialschool@gmail.com,",8.572615; 76.912447
Kinder Steps Edu,School,Kerala,Vyasa Nagar Near MG College Gate Paruthippara Paruthipara; Padmanabhan Road Paruthipara; 695025,9725435024.0,"adminschool@choicegroup.in,admission@dpskollam.com,Uscarmelpsvazhakulam@gmail.com,info@kindersteps.in,principalmmount@gmail.com,",8.5292715; 76.9380777778
Jyothis Central School,School,Kerala, Kazhakuttam; Menamkulam Road Kazhakuttam; 695582,,"jyothisgroup@gmail.com,jyothiscentralschool@gmail.com,",8.560549972222; 76.866651
