Name,Sector,City,Address,Phone,Email,Lat-Long
State Bank Of India (Head Office),Banks,Kolkata,"BLOCK B, 8TH Floor, Samriddhi Bhavan, 1, Strand Rd, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2243 6531,",gm.customer@sbi.co.in,agmcustomer.lhoahm@sbi.co.in,customercare@sbi.co.in,chairman@sbi.co.in,md.cr@sbi.co.in,inb.cinb@sbi.co.in,contactcentre@sbi.co.in,mdcbg@sbi.co.in,agmcustomer.lhokol@sbi.co.in,","22.5691609,88.3402463"
Bandhan Bank (Head Office),Banks,Kolkata,"Floor 11, Adventz Infinity, BN 5, Street Number 18, BN Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091",033 6609 0909,",cms.bokolkata@rbi.org.in,pno@axisbank.com,x3eSecretary.Karthikeyan@bankofindia.co.in,Secretary.Karthikeyan@bankofindia.co.in,saltlaksectorV.branch@bandhanbank.com,ch.centralkolkata@bandhanbank.com,x3epno@axisbank.com,customercare@bandhanbank.com,ch.patna@bandhanbank.com,ch.delhi@bandhanbank.com,x3esujoy.roy@bandhanbank.com,ed1@mahabank.co.in,sujoy.roy@bandhanbank.com,x22customercare@bandhanbank.com,x3ecustomercare@bandhanbank.com,x3eed1@mahabank.co.in,","22.5799957,88.4331907"
HDFC Bank,Banks,Kolkata,"Salt Lake City Sector 5,Near Asyst Park Webel More Bidhan Nagar Salt Lake City Sector 5",,",Grievance.Redressalcc@hdfcbank.com,x3ecustomerservices.cards@hdfcbank.com,customerservices.cards@hdfcbank.com,x3eGrievance.Redressalcc@hdfcbank.com,support@hdfcbank.com,","22.5903,88.42179"
Axis Bank Ltd,Banks,Kolkata,"Gariahat Road Gariahat,Near Golpark Gariahat",,",u003ecustomer.service@axisbank.com,customer.service@axisbank.com,Corporate.Ib@axisbank.com,merchant.helpdesk@axisbank.com,x3emerchant.helpdesk@axisbank.com,creditcards@axisbank.com,nodal.officer@axisbank.com,x3enodal.officer@axisbank.com,loans@axisbank.com,merchant.services@axisbank.com,axisbank.com_merchant.services@axisbank.com,x3eCorporate.Ib@axisbank.com,","22.5171801,88.3663883"
Axis Bank Ltd,Banks,Kolkata,"Santoshpur,Near Survey ParkOpposite Kishore Bharati Stadium Santoshpur",,",u003ecustomer.service@axisbank.com,customer.service@axisbank.com,Corporate.Ib@axisbank.com,merchant.helpdesk@axisbank.com,x3emerchant.helpdesk@axisbank.com,creditcards@axisbank.com,nodal.officer@axisbank.com,x3enodal.officer@axisbank.com,loans@axisbank.com,merchant.services@axisbank.com,axisbank.com_merchant.services@axisbank.com,x3eCorporate.Ib@axisbank.com,","22.492816,88.386187"
Axis Bank Ltd,Banks,Kolkata,"Salt Lake City Sector 1,Near B D Market Salt Lake City Sector 1",,",u003ecustomer.service@axisbank.com,customer.service@axisbank.com,Corporate.Ib@axisbank.com,merchant.helpdesk@axisbank.com,x3emerchant.helpdesk@axisbank.com,creditcards@axisbank.com,nodal.officer@axisbank.com,x3enodal.officer@axisbank.com,loans@axisbank.com,merchant.services@axisbank.com,axisbank.com_merchant.services@axisbank.com,x3eCorporate.Ib@axisbank.com,","22.5959291,88.4076215"
Standard Chartered Bank,Banks,Kolkata,"Cf 347 Salt Lake City Sector 1,Near Sector Salt Lake City Sector 1",,"Atul.Ahuja@sc.com,x3eHead.Service@sc.com,,Principal.NodalOfficer@sc.com.The,SudhirKant.Patnaik@sc.com,customer.care@sc.com,customercare.business@sc.com,Head.Service@sc.com,Priority.Banking@sc.com,card.services@sc.com,","22.5913891,88.3993185"
Citibank,Banks,Kolkata,"Chowringhee Road Midleton Row,Near Jevandeep Midleton Row",,",Affidavitedelivery@citi.com,head.customercare@citi.com,x3ehead.customercare@citi.com,rohit.bagri@citi.com,citibankrno@citi.com,x3eAffidavitedelivery@citi.com,er@citi.com,","22.5500195,88.3491312"
HDFC Bank (Regional Office),Banks,Kolkata,"Shakespeare Sarani Midleton Row,Beside Nightangle Hospital Midleton Row",,",customerservices.cards@hdfcbank.com,support@hdfcbank.com,x3ecustomerservices.cards@hdfcbank.com,","22.5458105,88.3510262"
ICICI Bank Ltd,Banks,Kolkata,"Circular Road Ballygunge, Ballygunge",,",digitallending@icicibank.com,nri@icicibank.com,x3edigitallending@icicibank.com,x3enri@icicibank.com,","22.5283475,88.3586289"
