Name,Sector,City,Address,Phone,Email,Lat-Long
Jadavpur University,College,Kolkata,,,",asstregistrar2@jadavpuruniversity.in,officer.placement@jadavpuruniversity.in,hod.ph.ed@jadavpuruniversity.in,dyregistrar1@jadavpuruniversity.in,vc@admin.jdvu.ac.in,Email-vc@jadavpuruniversity.in,jtregistrarac@jadavpuruniversity.in,","22.4976321,88.3650698"
Calcutta University,College,Kolkata,,,",cuadmissiongc@gmail.com,registration@caluniv.ac.in,cuadmissionmtech@gmail.com,secretarysta@gmail.com,calunivregn@gmail.com,info@caluniv.ac.in,cu.aa.ia.2016@gmail.com,rajgopalsen@yahoo.co.in,x3esecretarysta@gmail.com,feedback@educationdunia.com,","22.5764795,88.359338"
IIM Calcutta - Indian Institute of Management,College,Kolkata,"C7VX+VVV, Diamond Harbour Rd, Joka, Kolkata, West Bengal 700104",033 2467 8312,",pgpexplacement@iimcal.ac.in,pgdbachairperson@iimcal.ac.in,bmalakar@iimcal.ac.in,verification@iimcal.ac.in,vlmp@iimcal.ac.in,pgdbaadmissions@iimcal.ac.in,","22.4447493,88.2970967"
"IIMT Studies- International Institute of Management and Technical Studies, Kolkata",College,Kolkata,,,",mail@iimtindia.net,info@iimtgroup.edu.in,x3email@iimtindia.net,","22.5419252,88.3422863"
Manav Rachna Centre for Distance and Online Education,College,Kolkata,"Sector 21C, Faridabad, Haryana 121001",,",helpdesk@manavrachnaonline.edu.in,admissions@manavrachna.edu.in,mithun.crc@mriu.edu.in,rakhi.crc@mriu.edu.in,","28.4327174,77.2936956"
Institute of Post Graduate Medical Education and Research,College,Kolkata,"SSKM Hospital Rd, Bhowanipore, Kolkata, West Bengal 700020",033 2204 1100,",director.ipgmer@yahoo.co.in,director.ipgmer@gmail.com,","22.5396168,88.3318977"
"Presidency University, Kolkata",College,Kolkata,"86, 1, College St, Calcutta University, College Square, Kolkata, West Bengal 700073",033 4052 9999,",sec.registrar@presiuniv.ac.in,info@presiuniv.ac.in,admission.pch@presidency.edu.in,sb.coe@presiuniv.ac.in,admission@presidencyuniversity.in,tapan.maths@presiuniv.ac.in,x3esb.coe@presiuniv.ac.in,hod.dls@presiuniv.ac.in,","22.5763855,88.3606583"
University of Kalyani,College,Kolkata,,,"registrarklyuniv@gmail.com,,info@klyuniv.ac.in,vckalyani@klyuniv.ac.in,","22.9860472,88.4365603"
"NSHM Institute of Hotel & Tourism Management, NSHM Knowledge Campus - Kolkata Campus",College,Kolkata,"124, 60, Basanta Lal Saha Rd, Tara Park, Behala, Kolkata, West Bengal 700053",033 2403 2301,,"22.4965162,88.3285116"
"Moople Institute of Animation and Design, Barasat",College,Kolkata,"73, Bijoy Laxmi 2nd Floor, Barasat, Colony More, Kolkata, West Bengal 700124",075960 32709,,"22.7235356,88.4758942"
"National Institute of Pharmaceutical Education and Research, Kolkata",College,Kolkata,"Bengal Chemicals, Chunilal Bhawan, P.O, Maniktala Main Rd, adjacent to BCPL, P.S, Phool Bagan, Kankurgachi, Kolkata, West Bengal 700054",,",director@iicb.res.in,info@niperkolkata.edu.in,Emailinfo@niperkolkata.edu.in,","22.5798243,88.3962496"
Medical College,College,Kolkata,,,",principalmck1835@gmail.com,dysupercnmch@gmail.com,principal@nrsmc.edu.in,debuda1@gmail.com,moiccmbmch@gmail.com,ms-odckolkata@esic.nic.in,deanipgmerkolkata@gmail.com,","18.4760581,73.8698087"
Maulana Abul Kalam Azad University of Technology [MAKAUT],College,Kolkata,"BF Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",033 2321 0731,",registrar@makautwb.ac.in,fo@makautwb.ac.in,x3eregistrar@makautwb.ac.in,info@wbut.ac.in,office.coe@makautwb.ac.in,vc@wbut.ac.in,x3eoffice.coe@makautwb.ac.in,x3efo@makautwb.ac.in,x3evc@wbut.ac.in,","22.5964347,88.414757"
Amity University Online,College,Kolkata,"N Block, Amity University, Campus, Sector 125, Noida, Uttar Pradesh 201301",,",admissions@kol.amity.edu,infobareily@aic.amity.edu,dkbanerji@kol.amity.edu,apply@amityonline.com,x3eadmissions@kol.amity.edu,registrar@kol.amity.edu,","28.5431144,77.3299341"
"Moople Institute of Animation and Design, New Alipore",College,Kolkata,"1st Floor, 56D, Ramtanu Lahiri Rd, Block D, New Alipore, Kolkata, West Bengal 700053",090739 75254,",info@moople.in,","22.5122147,88.314391"
International Management Institute,College,Kolkata,,,"d.dutta@imi-k.edu.in,,jk.yadav@imi-k.edu.in,dishari.adak@imi-k.edu,info@imi-k.edu.in,aman.kamdar@imi-k.edu.in,daniya.nizam@imi-k.edu.in,","28.5393024,77.1787585"
JIS College of Engineering,College,Kolkata,"Barrackpore - Kalyani Expy, Block A5, Block A, Kalyani, West Bengal 741235",,",info.jiscollege@jisgroup.org,jisce_tnp@jisgroup.org,head_mba.jisce@jisgroup.org,","22.9595762,88.4451771"
Institute of Engineering and Management,College,Kolkata,,,",u003eadmin@iemcal.com,admissions@iemcal.com,director@iemcal.com,krishanu.banerjee@iemcal.com,info@tulasinstitute.edu.in,x3eadmissions@iem.edu.in,principal@iemcal.com,admin@iemcal.com,admissions@iem.edu.in,","18.4760581,73.8698087"
Online Manipal,College,Kolkata,onlinemanipal.com,,",hareesh.ks@manipal.edu,admissionofficer@smcon.smu.edu.in,office.icas@manipal.edu,principal.nursing@smu.edu.in,","19.6973806,61.0776043"
"Moople Institute of Animation and Design, Elgin Road",College,Kolkata,"1st floor, Kailash Building, 35/1, Chowringee Road, Centre, beside Chatterjee International Center, Kolkata, West Bengal 700071",083369 01406,,"22.5522684,88.3395354"
Heritage Institute of Technology,College,Kolkata,"Chowbaga Rd, Anandapur, Mundapara, Kolkata, West Bengal 700107",033 6627 0502,"admin@heritageit.edu,,","22.5171997,88.4084957"
