Name,Sector,City,Address,Phone,Email,Lat-Long
BYD Hospitality Pvt Ltd,Companies(Private),Kolkata,"HEERA PANNA SHOPPING CENTER, CITYLIGHT, M-25, beside MAHESHWARI BHAVAN, near SCIENCE CENTER, Surat, Gujarat 395007",099988 24200,",rahul.rjkhichi@gmail.com,reservations@bydhospitality.in,care@bydhospitality.in,","21.1683486,72.7852001"
Upkar Prakashan & Pratiyogita Darpan,Companies(Private),Kolkata,"2/11-A, Pratiyogita Darpan, Swadeshi Bima Nagar, Agra 282002, UP","+91-562-4053333, +91-562-2530966",,
Lavino Kapur Cotton Pvt Ltd,Companies(Private),Kolkata,"121/122, Mittal Chamber, Nariman Point, Mumbai 400021, MH","+91-22-66325141, +91-22-25143437","adminho@lavinokapur.com,,last@lavinokapur.com,",
Urban Ladder,Companies(Private),Kolkata,"77, 4th Floor, Town Centre, Building, Off HAL Airport Road, West Wing, Yemalur, Bangalore 560037, KA",+91-80-67400200,",bulk@urbanladder.com,hello@urbanladder.com,last@urbanladder.com,",
Sachin Ranbhise and Associates,Companies(Private),Kolkata,"301, Town Square, Above Dorabjee Mall, Viman Nagar, Pune 411014, MH","+91-9881130172, +91-8484042455",",office@sraindia.co.in,",
Bodoland Security Services,Companies(Private),Kolkata,"Kajalgaon,Chirang, Btad, Assam",,",bss2005ee@gmail.com,",
Amma Manpower Services,Companies(Private),Kolkata,"No.1/12, 1st Block,1st Street, JJ Nagar Mogappair East, Near MMM Hospital, Behind Indian Bank (formerly Allahabad Bank), Off.GM Guest House, Chennai 600101, TN",,",renaaissancepp@yahoo.in,",
CyberSWIFT Infotech,Companies(Private),Kolkata,"DN-52, PS Srijan Tech Park, 6th Floor, Sector V, Salt Lake City, Kolkata 700091, WB","+91-9883322994, +91-33-33546600",",cswift.anuradha@gmail.com,paresh.patel@cyber-swift.com,u003eparesh.patel@cyber-swift.com,dip.mitra@cyberswift.com,",
Sweksha,Companies(Private),Kolkata,,,"INCOMETAX1500@GMAIL.COM,,CS_BCL@MITTALGROUP.CO.IN,icfc1@hotmail.com,sksrnassociates@email.com,",
AppSolz,Companies(Private),Kolkata,"Y-8, Block EP, Sector V, Salt Lake City, Kolkata 700091, WB",+91-8420353945,"MAIL@WEBAPPDESIGNS.COM,,",
Elrick Technology,Companies(Private),Kolkata,"522/1-2, 1st Floor, Behala Manton, Near Anjali Jewellers, DH Road, Kolkata 700034, WB",+91-9831945462,",hrd@elricktechnology.com,hostsupport@elricktechnology.com,u003eBapiparida86@gmail.com,Bapiparida86@gmail.com,elrickseo@gmail.com,info@elricktechnology.com,elricktechnology@gmail.com,",
Techwens Software,Companies(Private),Kolkata,"EP-J/I-12, Indo Japan Building, 2nd Floor, EP Block, Sector V, Bidhannagar, Kolkata 700091, WB","+91-33-48047123, +91 9432499608",",abhimanyu@livehealth.in,sghiya@modeln.com,x22sghiya@modeln.com,x3esghiya@modeln.com,info@techwens.com,x22abhimanyu@livehealth.in,x3eabhimanyu@livehealth.in,",
Surflex Technology,Companies(Private),Kolkata,"33-B, Jatin Das Road, Kolkata 700029, WB",+91-33-40660136,"last@surflextechnology.in,,contact.kolkata@surflextechnology.in,sudipmitra27@gmail.com,",
BizERP,Companies(Private),Kolkata,"14-B, Camac Street, Elgin, Kolkata 700017, WB","+91-90516 05444, +91-33-40695100",",info@biz-erp.com,",
