Name,Sector,City,Address,Phone,Email,Lat-Long
Kris Gethin Gyms,Gym,Kolkata,"Salt Lake City Sector 1,Beside ILS HOSPITAL Salt Lake City Sector 1",9606194558.0,"info@krisgethingym.com,,ninfo@krisgethingym.com,saltlake@gethingyms.com,","22.5892722222,88.4111444444"
Karma Fitness Studio,Gym,Kolkata,"Basanta Roy Sarat Bose Road,Near Mudiali Sarat Bose Road",9606280257.0,",karmafitnesslakeavenue@gmail.com,karmafitness@gmail.com,nkarmafitness@gmail.com,","22.5152013,88.357769"
Edge Fitness Gym,Gym,Kolkata,"New Town Action Area 1,Near Aahirini Market New Town Action Area 1",9606179841.0,"contact@edgefitnessgym.com,,krishna@edgefitnessgym.com,","22.5794354,88.4527555"
Stamina Unleashed,Gym,Kolkata,"Darga Road Circus Avenue,Beniapukur Circus Avenue",9606177203.0,,"22.540708333333,88.370633333333"
Baral Multi Gym,Gym,Kolkata,"Jagatpur Main Road Aswini Nagar,Opposite Roy Market Aswini Nagar",8045787830.0,,"22.605300888889,88.435020444444"
The Fitness Factory,Gym,Kolkata,"18/ N Block A New Alipore,Near Udayan Club New Alipore New Alipore",9606226689.0,,"22.5160929,88.3246158"
Encore Fitness,Gym,Kolkata,"Anwar Shah Road Tollygunge,Opposite Sangeet Academy Tollygunge",9606170949.0,,"22.5016787,88.3518846"
Body Shaper Gym,Gym,Kolkata,"K Saha House, 63, Becharam Chatterjee Rd, Near B, Arcadia, Behala, Kolkata, West Bengal 700034",098306 16135,,"22.4958109,88.3106041"
Trifit Studio,Gym,Kolkata,"New Town Action Area 1,Near DLF 1 New Town Action Area 1",9606221604.0,,"22.5847875,88.4507223"
Al Misbah Gym,Gym,Kolkata,"G R Road Garden Reach,Near Metiabruz High School Garden Reach",9606225985.0,",typeindia.com@gmail.com,","22.5493774,88.278078"
New Alipore Red Star Fitness Centre,Gym,Kolkata,"No 214 Block J New Alipore,Opposite State Bank Of India New Alipore",7411849467.0,,"22.5120694444,88.3267361111"
Life & Fitness Gym,Gym,Kolkata,"Nsc Bose Road Naktala,Near Bansdroni Metro Naktala",9606246102.0,,"22.474574,88.36057"
Ufs Ultimate Fitness Studio,Gym,Kolkata,"Palli Shree Road Regent Park,Near 12 Bhuter Mela Ground Regent Park",9036215599.0,,"22.481772222222,88.345788888889"
Wynnfit Gym,Gym,Kolkata,"Chowringhee Road Park Street,Near Croma Showroom Park Street Park Street",9036216883.0,"info@wynn.fit,,","22.554014287828,88.350940325168"
Shape and Strength,Gym,Kolkata,"16C, Bipin Pal Rd, Manoharpukur, Kalighat, Kolkata, West Bengal 700026",096740 04799,",shapeandstrength@gmail.com,","22.5194101,88.3483453"
One More Gym,Gym,Kolkata,"ThakDari Road Krishnapur,New Town Box Bridge Das Medical Krishnapur",9606201943.0,",saltlakedd30.kolkata@goldsgym.in,Inquiry@wellnessclub.co.in,","22.579914277778,88.445518083333"
Grit Fitness,Gym,Kolkata,"Near Mahajati Sadan Burrabazar,Near Mahajati Sadan Burrabazar",7947408182.0,",gritfitnesskolkata@gmail.com,ngritfitnesskolkata@gmail.com,","22.5834203,88.3566387"
THE FIT WAY GYM,Gym,Kolkata,"Nalini Ranjan Avenue New Alipore,Opposite Triangular Park New Alipore",9845428864.0,",info@kfsfitness.com,","22.5126305556,88.3291055556"
Spark Family Fitness Studio,Gym,Kolkata,"Cossipore Road Baranagar,Baranagar Bazar Corossing Baranagar",8904941685.0,,"22.6323295,88.3710723"
O2 Workout Studio,Gym,Kolkata,"R.N.T ROAD Sodepur,B T Road Swadeshi More Sodepur",9606194562.0,"admin@o2healthstudio.com,,enquiry@o2healthstudio.com,","22.6950026,88.3748387"
Fitness Hotspot,Gym,Kolkata,"Tarak Dutta Road Ballygunge,Beside Karaya Police Station Ballygunge",7947084075.0,"contact@countryclubmail.com,,","22.537272222222,88.362936111111"
Majumders Workout,Gym,Kolkata,"Pansila, Kolkata, Khardaha, West Bengal 700112",089812 52759,",bodylinesports@gmail.com,","22.7115913,88.3830746"
Skulpt,Gym,Kolkata,"5th Floor, 57, Jawaharlal Nehru Rd, Elgin, Kolkata, West Bengal 700071",033 4071 6035,",frontdesk@skulpt.in,","22.5418493,88.3454036"
Being Fit Being Gymnast,Gym,Kolkata,"Thakurpukur Joka,Near Ultra Instinct FitnessUIF GymOpposite Joka Indian Instutute Of Management Joka",7947254956.0,",frontdesk@futurefit.in,","22.444983333333,88.297044444444"
Xystus,Gym,Kolkata,"Selimpur Road Dhakuria,Near Dhakuria Railway Station Dhakuria",,",xystus.subho@gmail.com,","22.504631,88.372744"
A Builder Hut,Gym,Kolkata,"Batanagar Maheshtala,Near Jagtala Maheshtala",7947237025.0,,"22.498722222222,88.229294444444"
Nxt Fitness,Gym,Kolkata,"115 DH Road Thakurpukur,Opposite Panchanan Tala Mandir Thakurpukur",8867820438.0,,"22.46081,88.320244"
Mantra Lifestyle Health Club,Gym,Kolkata,"S N Bannerjee Road Barrackpore,Axis Bank Building Barrackpore",9606283036.0,,"22.7628174,88.3644007"
Bodybuilding Kolkata Supplements,Gym,Kolkata,"CA5/11, Deshbandhu Nagar Rd, Baguiati, Kolkata, West Bengal 700059",090515 12975,,"22.6126089,88.4239951"
The Fitness World,Gym,Kolkata,"Kestopur Krishnapur,Newtown Bridge Krishnapur",,"manish.singh@fitness-world.in,,info@transformationfitnessworld.com,","22.581518,88.44355"
The Fitness Factory,Gym,Kolkata,"Park Rash Behari Avenue,Gariahat Crossing Above Reliance Digital Trands Showroom Rash Behari Avenue",9606249425.0,,"22.518651944444,88.3604965"
Srija Fitness,Gym,Kolkata,"Navapally,Near Boys School Navapally",7947244403.0,,"22.721847,88.475061"
Iron Fitness,Gym,Kolkata,"Jessore Road Barasat,Beside PNB Barasat",9036215597.0,,"22.718438,88.484402"
Chandrani Yoga Centre,Gym,Kolkata,"Gobra, Gobra",9980784468.0,"rajkamal.yoga@gmail.com,,info@yogawithsapna.com,kolkata@ishayoga.org,","22.5461,88.375622222222"
THE MAJUMDER'S WORKOUT,Gym,Kolkata,"H C DUTTA ROAD Sukchar,Opposite Xaviers School Sukchar",9036233727.0,",bodylinesports@gmail.com,majumdersworkout@gmail.com,","22.703261111111,88.371725"
Fitnet,Gym,Kolkata,"Main Road East Kolkata Township,Near Biryani Hut Block GB14 Block BE Sector B East Kolkata Township",7947159664.0,",fitnetgroup@gmail.com,","22.513141,88.3992769722"
Kolkata Multi Gym,Gym,Kolkata,"Girish Avenue Bagbazar,Near Girish Ghosh House Bagbazar",9606291023.0,",bodylinesports@gmail.com,","22.6022652,88.3676716"
Xystus,Gym,Kolkata,"Bijoygarh Regent Estate,Near Pallysree More We Also Have Branches At Garia and Selimpur Regent Estate",,",xystus.subho@gmail.com,","22.485262,88.36048"
