Name,Sector,City,Address,Phone,Email,Lat-Long
DELHI PUBLIC SCHOOL [DPS],School,Kolkata,"RUBY PARK, 254, SHANTIPALLI, RASHBEHARI BY PASS CONNECTOR(BEHIND SEIMENS), KOLKATA, 700107",,",admin@dpsn.org.in,principal@dpskolkata.com,x3ehrdc.dps@gmail.com,hrdc.dps@gmail.com,info@dpskolkata.com,info@dpsn.org.in,","20.377618,73.2417586"
SOUTH POINT HIGH SCHOOL [SPHS],School,Kolkata,"82/7A, Ballygunge Pl, Ballygunge Place, Ballygunge, Kolkata, West Bengal 700019",033 2440 4043,"ithelpdesk.sphs@southpoint.edu.in,,accounts.sphs@southpoint.edu.in,spes@southpoint.org.in,","22.5260204,88.3674346"
B D M INTERNATIONAL [BDMI],School,Kolkata,"Post, Pratapgarh, Narendrapur, Kolkata, West Bengal 700103",033 2435 8402,",admission@bdmi.org,bdmi@vsnl.net,info@bdmi.org,bdmi.vc@gmail.com,hr@bdmi.org,","22.450492,88.3872388"
Hariyana Vidya Mandir [HVM],School,Kolkata,"BA-193, Salt Lake Bypass, BA Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064",033 2334 2404,"vidya@hariyanavidyamandir.org,,","22.587977,88.3962865"
KENDRIYA VIDYALAYA [KV],School,Kolkata,"BALLYGUNGE MAIDAN CAMP CIRCULAR ROAD CALCUTTA WEST BENGAL, 700019",,",kvadraprincipal@gmail.com,ppl.saltlakeno1@kvs.gov,principalsaltlake@gmail.com,dcrokolkata@gmail.com,ppl.saltlakeno1@kvs.gov.in,ppl.serrlykharagpur@kvs.gov.in,kv1saltlake@gmail.com,u003ekv1saltlake@gmail.com,","18.4760581,73.8698087"
MAHADEVI BIRLA WORLD ACADEMY [MBWA],School,Kolkata,"17A, Darga Rd, Beniapukur, Kolkata, West Bengal 700017",033 4006 1913,"principal@mbwa.org.in,,info@mbwa.org.in,x3einfo@mbwa.org.in,","22.5417948,88.368355"
BIRLA HIGH SCHOOL [BHS],School,Kolkata,"1, Moira St, Elgin, Kolkata, West Bengal 700017",033 2287 6420,",bhsjr@birlahighschool.com,bhsmukundapur@birlahighschool.com,principal.m@birlahighschool.com,tanjeev_pandher@birlahighschool.com,bhsjrkol@gmail.com,","22.543169,88.3520274"
Aditya Academy(Sr.Secondary) [AA],School,Kolkata,"965, Jessore Rd, Vivekananda Abasan, Amarpalli, Dum Dum, Kolkata, West Bengal 700055",083369 98663,",info@adityaacademyseniorsecondary.com,aasbarasat@adityaacademy.org,u003eaasbarasat@adityaacademy.org,rakesh.mukati@gmail.com,","22.6134054,88.4076386"
SHRI SHIKSHAYATAN SCHOOL [SSS],School,Kolkata,"11, Lord Sinha Road, Elgin, Kolkata, West Bengal 700071",033 2282 4060,",u003eprincipal@shrishikshayatanschool.com,principal@shrishikshayatanschool.com,hm@shrishikshayatanschool.com,info@shrishikshayatanschool.com,","22.5433925,88.3464813"
Adamas International School [AIS],School,Kolkata,"58, 4, MM Feeder Rd, Rathtala, P.O, Belghoria, Kolkata, West Bengal 700056",083350 08844,",ais@ais.adamas.co.in,helpdesk@ais.adamas.co.in,reception.ais@ais.adamas.co.in,","22.6634139,88.3718299"
KENDRIYA VIDYALAYA NO. 1 [Kvn1],School,Kolkata,"Kendriya Vidyalaya No-1 Salt Lake
Sector-I, Labony, Kolkata-700064",,",kv1saltlake@gmail.com,","18.4760581,73.8698087"
DAV PUBLIC SCHOOL [DAV],School,Kolkata,"61 DIAMOND HARBOUR ROAD CALCUTTA WEST BENGAL, 700038",,",dav_hcl@yahoo.com,davnimcha@yahoo.com,davcal61@yahoo.co.in,dav.asnl@gmail.com,davbkp@yahoo.co.in,","18.8368041,72.7695447"
ASHOK HALL GIRLS HIGHER SEC SCHOOL [AHGHSS],School,Kolkata,"5A, Sarat Bose Rd, Sreepally, Elgin, Kolkata, West Bengal 700020",,",p.ahghss@ashokhall.net,office.ahgrs@ashokhall.net,ahghss@ashokhall.net,office.ahghss@ashokhall.org,officejr.ahghss@ashokhall.net,officesr.ahghss@ashokhall.net,","22.5400519,88.3512109"
ARMY PUBLIC SCHOOL [APS],School,Kolkata,"BALLYGUNG MAINDAN CAMP CALCUTTA WEST BENGAL, 700019",,",apskolkata1@gmail.com,","18.4760581,73.8698087"
LAKSHMIPAT SINGHANIA ACADEMY [LSA],School,Kolkata,"12-B, 12-B, Alipore Rd, Alipore, Kolkata, West Bengal 700027",033 2479 3600,",office@lsakolkata.com,lsa_kol@rediffmail.com,","22.5255861,88.3279784"
KENDRIYA VIDYALAYA [KV],School,Kolkata,"FORT WILLIAM KOLKATA, WEST BENGAL, 700021",,",kvadraprincipal@gmail.com,ppl.saltlakeno1@kvs.gov,principalsaltlake@gmail.com,dcrokolkata@gmail.com,ppl.saltlakeno1@kvs.gov.in,ppl.serrlykharagpur@kvs.gov.in,kv1saltlake@gmail.com,u003ekv1saltlake@gmail.com,","18.4760581,73.8698087"
SUDHIR MEMORIAL INSTITUTE [SMI],School,Kolkata,"DOLTALA JESSORE ROAD MADHYAMGRAM NORTH 24PGS WEST BENGAL, 743250",,",sudhirmemorial@gmail.com,","22.4815505,87.8653573"
