Name,Sector,City,Address,Phone,Email,Lat-Long
Bank Of India,Banks,Mumbai, Fountain,,",boimnz@vsnl.com,manasi.phene@bankofindia.co.in,x3eboi.starconnect@bankofindia.com,boi.starconnect@bankofindia.com,x3eboimnz@vsnl.com,BOI.CallCentre@bankofindia.co.in,bombaymarket.vadodara@bankofindia.co.in,x3eBOI.CallCentre@bankofindia.co.in,boi.callcentre@bankofindia.co.in,","19.0347133,72.769618"
Bank Of India,Banks,Mumbai, Fort,,",boimnz@vsnl.com,manasi.phene@bankofindia.co.in,x3eboi.starconnect@bankofindia.com,boi.starconnect@bankofindia.com,x3eboimnz@vsnl.com,BOI.CallCentre@bankofindia.co.in,bombaymarket.vadodara@bankofindia.co.in,x3eBOI.CallCentre@bankofindia.co.in,boi.callcentre@bankofindia.co.in,","19.0347133,72.769618"
Bank Of INDIA,Banks,Mumbai,Post Box No 1618 Fort,,",boimnz@vsnl.com,manasi.phene@bankofindia.co.in,x3eboi.starconnect@bankofindia.com,boi.starconnect@bankofindia.com,x3eboimnz@vsnl.com,BOI.CallCentre@bankofindia.co.in,x3eBOI.CallCentre@bankofindia.co.in,boi.callcentre@bankofindia.co.in,","19.0347133,72.769618"
Bank Of INDIA,Banks,Mumbai,Near Colaba Causeway Apollo Bunder,,",boimnz@vsnl.com,manasi.phene@bankofindia.co.in,x3eboi.starconnect@bankofindia.com,boi.starconnect@bankofindia.com,x3eboimnz@vsnl.com,BOI.CallCentre@bankofindia.co.in,x3eBOI.CallCentre@bankofindia.co.in,boi.callcentre@bankofindia.co.in,","19.0347133,72.769618"
Bank Of India (NRI Branch),Banks,Mumbai,Near Mumbai Fort,,",x3eboi.starconnect@bankofindia.com,boi.starconnect@bankofindia.com,ErnakulamNRI.Kerala@bankofindia.co.in,callcentre@bankofindia.co.in,","19.0112121,72.7486694"
IDFC First Bank,Banks,Mumbai,Next Solitaire Corporate Park Opposite Holy Family School Andheri East,,",nodaldesk@idfcfirstbank.com,x3enriservices@idfcfirstbank.com,RNO.Mumbai@idfcfirstbank.com,firstcontactcomplaints@firstbanknigeria.com,x3enodaldesk@idfcfirstbank.com,nriservices@idfcfirstbank.com,x3efirstcontactcomplaints@firstbanknigeria.com,","19.0882275,72.7103437"
HDFC Bank (Central Processing Unit),Banks,Mumbai,Off Saki Vihar Road Sakinaka,,",complaint.ibugiftcity@hdfcbank.com,","19.0444391,72.7929425"
HDFC Bank (Corporate Office),Banks,Mumbai, Fort,,",complaint.ibugiftcity@hdfcbank.com,shareholder.grievances@hdfcbank.com,","19.0580713,72.7541392"
Reserve Bank Of India (Regional Office),Banks,Mumbai,Opposite New Central Office Building Kala Ghoda Fort,,",.in__rdlucknow@rbi.org,u003erdmumbai@rbi.org.in,cms.bochandigarh@rbi.org.in,rdkanpur@rbi.org.in,x3ecrpc@rbi.org.in,rdlucknow@rbi.org.in,rdmumbai@rbi.org.in,crpc@rbi.org.in,Email_rdkanpur@rbi.org,cgmfmod@rbi.org.in,","18.9990687,72.7695954"
Reserve Bank Of India,Banks,Mumbai, Fort,,".in_casrbi@nagpur.dot.net.in,,rdmumbai@rbi.org.in,u003erdmumbai@rbi.org.in,idpmssupport@rbi.org.in,fedcotrade@rbi.org.in,rdnagpur@rbi.org.in,x3eidpmssupport@rbi.org.in,dicgc@bom.5.vsnl.net.in,Cms.bonewdelhi3@rbi.org.in,cms.bochandigarh@rbi.org.in,casrbi@nagpur.dot.net.in,x3ecrpc@rbi.org.in,edpmssupportngp@rbi.org.in,u003e_dicgc@bom.5.vsnl.net,crpc@rbi.org.in,.in_rdnagpur@rbi.org,","18.999014,72.7549594"
NKGSB Co-op Bank Ltd (Thane Naupada Branch),Banks,Mumbai,"Raunak Arcade, 7/8, Ghantali Devi Rd, Naupada, Thane West, Thane, Maharashtra 400602",022 2537 0920,"laxmikantdesai@nkgsb-bank.com,,","19.1872493,72.9592989"
Thane Bharat Sahakari Bank Limited,Banks,Mumbai,"5XRC+6QQ, Sahayog Mandir Path · 022 2542 9432",,",main@tbsbl.com,complaint@tbsbl.com,rtgs.tbsb@thanebharatbank.net,","19.1154427,72.7510537"
CANARA BANK - THANE NAUPADA,Banks,Mumbai,"41A GOKHALE ROAD, NAUPADA NAUPADA S.O, Thane, Maharashtra 400602",1800 425 0018,",hocancard@canarabank.com,cb0228@canarabank.com,","19.1879666,72.9630783"
Thane Bharat Sahakari Bank Limited,Banks,Mumbai,"Western India Steel Industries Compound, Pokharan Rd Number 2, opp. Oswal Park · 022 2173 6262",,",main@tbsbl.com,complaint@tbsbl.com,rtgs.tbsb@thanebharatbank.net,","19.1154427,72.7510537"
"Bharat Co-operative Bank (Mumbai) LTD, Thane Branch",Banks,Mumbai,"Panama Planet, Gokhale Road, Naupada, opp. Hotel Amruta, Thane, Maharashtra 400602",022 2537 6552,",NodalOfficer@bharatbank.co.in,x3ebhandup@bharatbank.co.in,bhandup@bharatbank.co.in,kalyan.west@bharatbank.co.in,mbank@bharatbank.co.in,x3embank@bharatbank.co.in,","19.1880895,72.9628733"
Bank of India - Thane Corporate Banking Branch,Banks,Mumbai,"G-5, GR.FL, AKRUTI SMC, OFF LBS MARG, KHOPAT JUNCTION, THANE (WEST), Thane, Maharashtra 400601",1800 22 0229,",thane.raigadthane@bankofindia.co,ThaneMCB.RaigadThane@bankofindia.co.in,hooper@bankofindia.co.in,Thane.Navimumbai@bankofindia.co.india.co.in,","19.1906946,72.9661604"
"Thane Bharat Sahakari bank, Rutu Park Branch",Banks,Mumbai,"D-2, Eastern Express Hwy, Rutu Park, Panchsheel Nagar, Thane West, Thane, Maharashtra 400601",022 2544 2363,",response@tjsb.co.in,main@tbsbl.com,","19.2101215,72.9717825"
"NKGSB Co-operative Bank Limited- Vartak Nagar,Thane West Branch",Banks,Mumbai,"Shop No.S2, 23,24,25, Vedant Commercial Complex, Madrecha Rd, Tulsi Dham, Vartak Nagar, Thane West, Thane, Maharashtra 400606",022 2585 3349,,"19.2086066,72.9498613"
Karnataka Bank - Thane Branch & ATM,Banks,Mumbai,"Shop No.12, VIHANG GARDEN, Pokharan Rd Number 1, opp. raymonds, Tulsi Dham, Vartak Nagar, Thane West, Mumbai, Thane, Maharashtra 400606",1800 425 1444,,"19.2084566,72.9530569"
Thane Bharat Sahakari Bank Limited - Chandanwadi Branch,Banks,Mumbai,"5XXC+PM7, Mahesh Darshan, Near Makhmali Talao, Old Mumbai, Agra Road, Ganeshwadi, Thane West, Thane, Maharashtra 400601",022 2533 5237,",main@tbsbl.com,","19.1992975,72.9613849"
Punjab National Bank - Thane West Branch,Banks,Mumbai,"5XQ8+3WP, Satyam Apartment Mahatma Gandhi Rd Near Malhar Cinema · 1800 180 2222",,"corporatecare@pnb.com.ph,,cobangalorewest@pnb.co.in,pnbcreditcards@pnb.com.ph,bo3739@pnb.co.in,care@pnb.co,bo1144@pnb.co.in,x3ecare@pnb.co.in,care@pnb.co.in,bo090210@pnb.co.in,customercare@pnb.com.ph,bo2176@pnb.co.in,","19.1982202,72.9456491"
The Thane District Central co-op Bank R M Road Branch,Banks,Mumbai,,,",enquiry@thanedistrictbank.com,rrshinde@mumbaidistrictbank.com,x3errshinde@mumbaidistrictbank.com,","19.1892296,72.9615672"
ICICI BANK LTD,Banks,Mumbai,"ATM ID-S1CPS152,Icici Bank Atm Rajdeep Society, Gokhale Rd, near Malhar Cinema, opp. Hutch Gallery · 1860 120 7777",,",digitallending@icicibank.com,x3edigitallending@icicibank.com,IR@icicibank.com,x3enpshelpdesk@icicisecurities.com,x3ecustomer.care@icicibank.com,npshelpdesk@icicisecurities.com,managingdirector@icicibank.com,customer.care@icicibank.com,","19.0371365,72.7821504"
Thane Bharat Sahakari Bank LTD,Banks,Mumbai,"6XFV+2F9, Subh Vihar, opp to, Dadlani Rd",,",main@tbsbl.com,rtgs.tbsb@thanebharatbank.net,","19.1189072,72.7510537"
