Name,Sector,City,Address,Phone,Email,Lat-Long
Loyola College,College,Mumbai,"XR9C+CR9, Opp. S.T. Depo, Navjeevan Society, Dalal Estate, Mumbai Central, Mumbai, Maharashtra 400008",,",live@loyolacollege.edu,x3elites2008@lites.edu.in,wenischsj@loyolacollege.edu,principal@loyolacollege.edu,loyolaprincipal@gmail.com,lites2008@lites.edu.in,hodsociology@loyolacollege.edu,admission@loyolacollege.edu,vanithaj@loyolacollege.edu,deanofstudents@loyolacollege.edu,alberthsmith1053@gmail.com,","18.9685405,72.8195396"
IHM Chennai - Institute of Hotel Management Catering Technology and Applied Nutrition,College,Mumbai,"2RFM+9XH, Swatantryaveer Savarkar Rd, Aparna Vaibhav Society, Dadar West, Dadar, Mumbai, Maharashtra 400028",022 2445 7241,",x3eihm@ihmsrinagar.edu.in,director@ihmctan.edu,ihm@ihmsrinagar.edu.in,ihm@vsnl.com,","19.0234259,72.8324176"
"NMIMS Global Access School for Continuing Education, Mumbai",College,Mumbai,"NGA-SCE, 2 Floor, NMIMS New Building, V.L, Pherozeshah Mehta Rd, Mumbai, Maharashtra 400056",1800 102 5136,",enquiry@nmims.edu,x3engasce@nmims.edu,ngasce@nmims.edu,info@collegefunda.com,registrar@nmims.edu,","19.1034894,72.8339975"
Chennai Institute of Technology and Applied Research,College,Mumbai,"4WJ8+48M, Main Gate Rd, IIT Area, Powai, Mumbai, Maharashtra 400076",022 2572 2545,",icdsaai.secretariat@citchennai.net,info@citchennai.net,info@citar.in,","19.1303305,72.9132363"
"Parsons School of Design, Online Executive Programs (Talentedge)",College,Mumbai,"WING-A, 7th Floor, Lal Bahadur Shastri Marg, B Wing, Nityanand Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",022 4219 3227,",x3eenquiry.dtd@talentedge.in,enquiry.dtd@talentedge.in,execed.advisor@newschool.edu,u003eenquiry.dtd@talentedge.in,","19.0926996,72.9101281"
"School of Ocean Engineering, VELS Institute of Science, Technology and Advanced Studies",College,Mumbai,"15, Madame Cama Rd, Mantralaya, Fort, Mumbai, Maharashtra 400032",,",vistas@velsuniv.ac,vistas@velsuniv.ac.in,iceter2020@velsuniv.ac.in,","18.9260716,72.8276905"
"Department of Aviation, VELS Institute of Science, Technology and Advanced Studies",College,Mumbai,"4R4M+23G, Hatkesh Society, Ashok Nagar, Juhu, Mumbai, Maharashtra 400047",,",admission@vistas.ac.in,vels@vistas.ac.in,registrar@velsuniv.ac.in,vistas@velsuniv.ac.in,iceter2020@velsuniv.ac.in,","19.1050741,72.8301272"
Aimfill International,College,Mumbai,"Marol Naka Metro Line 3 Station, 1st Floor, H. Kantilal Compound, Andheri-Kurla Road, Sakinaka, Andheri Near to Shakinaka, Opp. Mecdonalds, Mumbai, Maharashtra 400072",075069 99333,",info@aimfillcampus.com,","19.1060752,72.8828952"
upGrad - Jain (Deemed-to-be-University),College,Mumbai,"Nishuvi, Ground Floor, 75, Dr Annie Besant Rd, Worli, Mumbai, Maharashtra 400018",,",info.cde@jainuniversity.ac.in,x3einfo@onlinejain.com,admission.set@jainuniversity.ac.in,info@onlinejain.com,","18.994947,72.8137991"
Sankara Eye Hospital,College,Mumbai,"Plot no 12, Sector 5A, Sector 6, New Panvel East, Panvel, Navi Mumbai, Maharashtra 410206",,",pc.cbecity@sankaraeye.com,seci@sankaraeye.com,mumbai@sankaraeye.com,director.sav@sankaraeye.com,mrf@snmail.org,Seci@sankaraeye.com,","19.0068399,73.1149633"
"Centre for Open and Digital Education, Hindustan Institute of Technology and Science",College,Mumbai,"130, Yashwant Shopping Centre, Carter Rd No. 7, Chinchpada, Borivali East, Mumbai, Maharashtra 400066",099872 10168,",info@collegefunda.com,","19.2293415,72.8558501"
Akbar Academy of Airline Studies,College,Mumbai,"1st Floor, Akbar Corporate Building, Nandi Cinema Lane, Station, opp. Bandra West, Mumbai, Maharashtra 400050",088790 08877,"ho@akbaracademy.com,,calicut@akbaracademy.com,u003emumbai@akbaracademy.com,info@akbaracademy.com,mumbai@akbaracademy.com,INFO@akbaracademy.com,","19.0549767,72.836754"
"School of Education, VELS Institute of Science, Technology and Advanced Studies",College,Mumbai,"Hashu Adwani Memorial Complex, Collector's Colony, Chembur, Mumbai, Maharashtra 400074",022 6153 2500,",admission@vistas.ac.in,vels@vistas.ac.in,vistas@velsuniv.ac.in,vistas@velsuniv.ac,","19.0451164,72.8864056"
Indian Institute of Sports Medicine,College,Mumbai,"Fleet Building, Chimat Pada Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",,",info@sportsmed.in,sports.mudept@gmail.com,","19.108807,72.8766861"
National Institute of Technical Teachers Training and Research,College,Mumbai,"Plot no 6 & 6A, Sector 18, Khanda Colony, Panvel, Navi Mumbai, Maharashtra 410218",,",info@nitttrbpl.ac.in,st.mhaske@ictmumbai.edu.in,ssoni@iiitm.ac.in,dean_ap@vjti.ac.in,","19.012524,73.1039287"
Institute of Chemical Technology,College,Mumbai,"2VF4+GX4, Nathalal Parekh Marg, near Khalsa College, Matunga East, Mumbai, Maharashtra 400019",022 3361 2222,",dd.sarode@ictmumbai.edu.in,vk.rathod@ictmumbai.edu.in,a.adak@iocb.ictmumbai.edu,vc@ictmumbai.edu.in,ar.acad@staff.ictmumbai.edu.in,st.mhaske@ictmumbai.edu.in,cs.mathpati@ictmumbai.edu.in,initials.lastname@ictmummbai.edu.in,l.roy@iocb.ictmumbai.edu.in,c.sarkar@iocb.ictmumbai.edu.in,x3evc@ictmumbai.edu.in,","19.0237512,72.8548694"
Vistas Academy (VA),College,Mumbai,"Room number 181,Swami Narayan Nagar, Vikhroli West, Mumbai, Maharashtra 400076",,",subhashvadgule@gmail.com,vels@vistas.ac.in,vpmkinhavalicollege@gmail.com,gd.yadav@ictmumbai.edu.in,","19.1179503,72.9147151"
"Ironwood Sports Management Global Academy, Chennai",College,Mumbai,"Ironwood Sports Management Global Academy, 1st Floor, KHIL House Orchid Hotel Compound, 70-C, Nehru Rd, Vile Parle East, Mumbai, Maharashtra 400099",098211 17438,,"19.096348,72.8514583"
"Suresh Gyan Vihar University Distance Education - Talentedge, Chennai",College,Mumbai,"Shop No. 219, B-Wing, 3rd Floor, Vardhman Chambers, Above Axis Bank, Palm Beach Rd, Sector 17, Vashi, Navi Mumbai, Maharashtra 400703",022 4219 3400,",admissions@mygyanvihar.com,admission@sgvu.edu.in,","19.0691761,72.9972431"
Orient Flight Aviation Academy,College,Mumbai,"923,The Summit Business Bay (Omkar),Andheri Kurla Rd Adjacent to Cinemax & Western Express Highway Metro Station, Chakala, Andheri (E, Mumbai, Maharashtra 400093",096647 37737,",info@orientflights.com,ofcaa@orientflights.com,Admissionsdelhi@orientflights.com,","19.1164461,72.854604"
Apollo Med Skills Limited,College,Mumbai,"4VCR+HQM, Tunga Village, Chandivali, Powai, Mumbai, Maharashtra 400076",096197 17596,,"19.1214523,72.8893385"
"School of Languages, VELS Institute of Science, Technology and Advanced Studies",College,Mumbai,"15, Madame Cama Rd, Mantralaya, Fort, Mumbai, Maharashtra 400032",,",admission@vistas.ac.in,vels@vistas.ac.in,vistas@velsuniv.ac.in,vistas@velsuniv.ac,iceter2020@velsuniv.ac.in,","18.9260716,72.8276905"
Orient Flights Civil Aviation Academy,College,Mumbai,"7th Floor, KJF Heights, 27, Chapel Rd, near Subko Coffee, Ranwar, Bandra West, Mumbai, Maharashtra 400050",096647 37737,",ofcaa@orientflights.com,","19.0532611,72.8272767"
Saraswathi Institute of Animation,College,Mumbai,"3rd Floor Saraswati Mahal Junction Of Ranade Rd, &, Gokhale Rd N, Dadar West, Mumbai, Maharashtra 400028",073738 18818,"registrarsaraswati@gmail.com,,","19.022661,72.8362111"
XLRI – Online Programs - Talentedge,College,Mumbai,"WING-A, 7th Floor, Lal Bahadur Shastri Marg, B Wing, Nityanand Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",022 4219 3227,",x3eenquiry.dtd@talentedge.in,enquiry.dtd@talentedge.in,","19.0926945,72.9101281"
Web D School,College,Mumbai,"Shop No.48 & 49, SS-II Sector 5 and 8 Main Road, Sector 8, Kopar Khairane, Navi Mumbai, Maharashtra 400709",,"sies@siescoms.edu,,placements_mgmt@met.edu,mcacs037@gmail.com,","19.1026089,73.0048926"
Regional Labour Institute,College,Mumbai,"17, NS Mankikar Rd, Sion Railway Colony, Chunabhatti, Sion, Mumbai, Maharashtra 400022",022 2409 2203,"rlichennai@dgfasli.nic.in,,","19.0490947,72.8646172"
St Theresa of Child Jesus School of Nursing,College,Mumbai,"3R6M+X8J, Rd Number 24, Bandra West, Mumbai, Maharashtra 400050",,",www.jmjnursing@rediffmail.com,info@theresasschool.in,","19.0624603,72.8306752"
SAE College,College,Mumbai,"Shah Industrial Estate, Door No. 7 - B, Office Veera Desai Road, Andheri West, Azad Nagar, Mumbai - 400053",,",enquiry@saeindia.net,u003eenquiry@saeindia.net,mhssce@yahoo.in,tcet@thakureducation.org,aimhssce@gmail.com,","19.1256088,72.8365383"
"Institute of Printing Technology, Kalikundram",College,Mumbai,"New Building, 78, Dr Dadabhai Naoroji Rd, Near Crawford Market, Dhobi Talao, Chhatrapati Shivaji Terminus Area, Fort, Mumbai, Maharashtra 400001",022 2082 1474,",gipt1956@gmail.com,mipt.pvg@gmail.com,Emailrameshdengde@rediffmail.com,","18.9436131,72.8316401"
Aesera Academy of Design,College,Mumbai,"C-212, 2nd Floor, Railway Station Complex, E, near Mahesh Tutorials, above Ticket Counter, Nerul East, Sector 15, Nerul, Navi Mumbai, Maharashtra 400706",,"info@adityadesign.org,director@sid.edu.in,,","19.0338457,73.0170122"
Talhunt Training Academy,College,Mumbai,"Panvel Complex, Old Mumbai-Pune Highway Bhokarpada, Poyanje Post, Taluk, Panvel, Bhokarpada, Maharashtra 410221",,",subhashvadgule@gmail.com,nss_dodamarg@rediffmail.com,","18.9097933,73.2006786"
Jaro - Bharati Vidyapeeth Deemed University,College,Mumbai,"13, Lal Bahadur Shastri Marg, Vikhroli Village, Pirojshanagar, Vikhroli, Mumbai, Maharashtra 400083",,"conmumbai@bharatividyapeeth.edu,,bvuniversity@bharatividyapeeth.edu,imsrmumbai@bharatividyapeeth.edu,","19.106942,72.9172781"
DigiGrad by Social Beat,College,Mumbai,"10th Floor, 1002, Sumer Plaza, Marol Maroshi Rd, Sankasth Pada Welfare Society, Marol, Andheri East, Mumbai, Maharashtra 400072",,",info@digigrad.in,","19.115374,72.8783282"
"Centre for Development of Advanced Computing, Avadi",College,Mumbai,"Gulmohar, Cross Rd Number 9, Gulmohar Road, JVPD Scheme, Juhu, Mumbai, Maharashtra 400049",,",x3eacts@cdac.in,principal@velsrscollege.com,techsupport@cdac.in,acts@cdac.in,registrar@spiher.ac.in,","19.1147149,72.831262"
MICA – Online Programs – Talentedge,College,Mumbai,"WING-A, 7th Floor, Lal Bahadur Shastri Marg, B Wing, Nityanand Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",022 4219 3227,",x3eenquiry.dtd@talentedge.in,vijay.christian@micamail.in,enquiry.dtd@talentedge.in,","19.0926945,72.9101281"
"Department of Vedic Astrology, VELS Institute of Science, Technology and Advanced Studies",College,Mumbai,"15, Madame Cama Rd, Mantralaya, Fort, Mumbai, Maharashtra 400032",,",info@iiva.co.in,iceter2020@velsuniv.ac.in,","18.9260716,72.8276905"
NIIT Imperia,College,Mumbai,"3V42+9M2, MMRDA Road, beside Family Court, near Income Tax Office, E Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",022 4010 3510,",info@niitimperia.com,prateek.chatterjee@niit.com,randhir.1.singh@niit.com,Placements@niit.com,info@niit.com,businessimpact@niit.com,","19.0558759,72.8490742"
"Praxis Tech School, Kolkata",College,Mumbai,"Multi-Storied Building, 607 & 608, AC SEEPZ - SEZ, Andheri East, Mumbai, Maharashtra 400096",022 4084 8484,",pgdm.admissions@praxis.ac.in,admissions@praxis.ac.in,info@collegefunda.com,xxxxsions@praxis.ac.in,","19.1255855,72.8724727"
Guru Nanak Institute of Hotel Management,College,Mumbai,"Kings Cir, Matunga East, Mumbai, Maharashtra 400019",022 2404 3928,",info@gnihm.ac.in,info@gnims.com,info@gnihm.ac,","19.0256552,72.8536071"
Future Institute of Technology,College,Mumbai,"HDIL Dreams Co-operative Housing Society, F-306, the, Lal Bahadur Shastri Marg, Mali Nagar, Bhandup West, Mumbai, Maharashtra 400078",072768 10640,",fietbly@rediffmail.com,fiem@teamfuture.in,fit@teamfuture.in,vkfeltdmum@gmail.com,info@futureimt.org,fbs.director@teamfuture.in,u003efit@teamfuture.in,","19.1453455,72.9260307"
"NMIMS Global Access School for Continuing Education, Mumbai",College,Mumbai,"NGA-SCE, 2 Floor, NMIMS New Building, V.L, Pherozeshah Mehta Rd, Mumbai, Maharashtra 400056",1800 102 5136,",enquiry@nmims.edu,ngasce@nmims.edu,x3engasce@nmims.edu,","19.1034894,72.8339975"
UPES Online,College,Mumbai,"Sankara Nagar, Marol, Andheri East, Mumbai, Maharashtra 400059",022 2522 0310,",enrollments.cce@upes.ac.in,","19.1173012,72.8814646"
"Parsons School of Design, Online Executive Programs (Talentedge)",College,Mumbai,"WING-A, 7th Floor, Lal Bahadur Shastri Marg, B Wing, Nityanand Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",022 4219 3227,",execed.advisor@newschool.edu,x3eenquiry.dtd@talentedge.in,enquiry.dtd@talentedge.in,","19.0926945,72.9101281"
"Ecole Intuit Lab, Kolkata, Techno India University",College,Mumbai,"4th Floor, DGP House, Old Prabhadevi Rd, 88C, Prabhadevi, Mumbai, Maharashtra 400025",098196 69774,,"19.01507,72.8226102"
Government College of Art and Craft,College,Mumbai,"Rachana Sansad's Academy Of Architecture College, 278, Shankar Ghanekar Rd, Prabhadevi, Mumbai, Maharashtra 400025",,",gcaccalcutta@gmail.com,principaldutta@gmail.com,info@gcac.edu.in,shivlecollege@rediffmail.com,","19.014873,72.8286703"
Gandhi Institute of Hotel Management,College,Mumbai,"XR9C+CR4, Jehangir Boman Behram Rd, Marg, Dalal Estate, Nagpada, Mumbai, Maharashtra 400008",,",mgvihmct@rediffmail.com,mumbaicollege@yahoo.co.in,director@ihmctan.edu,","19.0296596,73.0404454"
"MIT School of Distance Education, Kolkata",College,Mumbai,"No 12, Rd Number 7, Central Railway Colony, Dadar East, Dadar, Mumbai, Maharashtra 400014",,",admissions@mitsde.com,sde@mitsde.com,hr@mitid.edu.in,admissions2024@mitid.edu.in,7@www.mitsde.com,","19.0173778,72.8471671"
Central Tool Room and Training Centre,College,Mumbai,"4V4P+6GP, Sag Baug, Marol, Andheri East, Mumbai, Maharashtra 400072",,",cttc@sify.com,cttc@satyam.net.in,cttc@cttc.gov.in,","19.1055909,72.8837467"
upGrad - Jain (Deemed-to-be-University),College,Mumbai,"Nishuvi, Ground Floor, 75, Dr Annie Besant Rd, Worli, Mumbai, Maharashtra 400018",,",info.cde@jainuniversity.ac.in,x3einfo@onlinejain.com,admission.set@jainuniversity.ac.in,info@onlinejain.com,","18.994947,72.8137991"
K11 Academy of Fitness Sciences,College,Mumbai,"Dunhill Corner, 7th Rd, TPS III, Sen Nagar, Santacruz East, Mumbai, Maharashtra 400055",076666 11011,",support@keleven.com,","19.0779436,72.84025"
Jaipuria Institute of Management Online,College,Mumbai,"Dakachaya, Indore Dewas Highway, Near, Shipra Naka, Indore, Madhya Pradesh 453771",097525 93337,",pragati.bansal.23l@jaipuria.ac.in,rashmi.chaudhary@jaipuria.ac.in,","22.8630324,75.9275474"
"Jet Airways Training Academy, Kolkata",College,Mumbai,"Global One, Kurla West, Christian Gaon, Mumbai, Maharashtra 400070",,",aviationtraining@jetairways.com,","19.0840665,72.8815731"
Gurukul Edutech Education and Research Foundation,College,Mumbai,"S-227, Ramdas Swamy Marg, Sector 4, Airoli, Navi Mumbai, Maharashtra 400708",,",admission@gurukulinstitute.org.in,","19.1513412,72.995035"
Bombay Stock Exchange Institute Limited,College,Mumbai,"Phiroze Jeejeebhoy Towers, 18th & 19th Floor, Dalal St, Fort, Mumbai, Maharashtra 400001",,",mutual.funds@bseindia.com,training@bseindia.com,training@bsebti.com,bsesme.info@bseindia.com,bse.shareholders@bseindia.com,x3ebse.shareholders@bseindia.com,u003etraining@bsebti.com,","18.9298107,72.8307972"
Trident College of Marine Technology,College,Mumbai,"02, Ground Floor, Casablanca, Plot 45, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 400614",099672 10032,",nusi@bsnl.in,tcmtcampus@gmail.comHow,tcmtcampus@gmail.com,","19.016104,73.0375431"
"Footwear Design and Development Institute, Kolkata",College,Mumbai,"6RGG+RCP, HSG. Society, Samabhav Society, Yogi Nagar, Borivali West, Mumbai, Maharashtra 400092",,",kolkatacampus@fddiindia.com,aishuraj@fddiindia.com,hemachalaeswari@fddiindia.com,","19.2270884,72.8234936"
Vidyasaathi,College,Mumbai,"Kamala Mills Compound, 1st Floor, Times Tower, Senapati Bapat Marg, Lower, Parel, Mumbai, Maharashtra 400013",022 4090 4484,",vidyasaarathi@nsdl.co.in,vidyasaarathi@proteantech.in,","19.0038854,72.8248785"
