Name,Sector,City,Address,Phone,Email,Lat-Long
Ranjeet Shelar Photography,Companies(Private),Mumbai,,,"u003e7ranjeetshelar@gmail.com,,7ranjeetshelar@gmail.com,",
Suhana Vision,Companies(Private),Mumbai,,8904079069.0,",vaishnomatatour@gmail.com,info@suhanavision.com.com,suhanafresh.com@gmail.com,suhaskshetty@hotmail.com,mail@safarsuhana.com,",
Amit Tiwari Photography,Companies(Private),Mumbai,,9972259594.0,,
Nms Icon,Companies(Private),Mumbai,"plot no.194, Sector 19, Ulwe, Navi Mumbai, Maharashtra 400707",022 2758 5858,"jk.realconpvtltd77@gmail.com,csazhar.shaikh@gmail.com,,","18.974321,73.0248021"
Nitin Sapkale,Companies(Private),Mumbai,"Neelkanth Udyog Bhavan, Neelkanth udyog bhavan near Asia Kitchen & Bar Saki naka junction Saki Naka, Andheri East, Mumbai, Maharashtra 400072",,",nitin.sapkale@gmail.com,","19.1047973,72.8842661"
Darshan Digital Mumbai,Companies(Private),Mumbai,,,",vishal@timbresonic.com,",
Speedone Services Pvt Ltd,Companies(Private),Mumbai,"6572+W95, Ashale Gaon, Vitthalwadi, Ulhasnagar, Maharashtra 421004",,"prakash.vithoba111111@gmail.com,,u003eprakash.vithoba111111@gmail.com,","19.2147665,73.1483998"
Digitech Color Lab,Companies(Private),Mumbai,"Shop.No.6, New Neelamadhav Apt, J P Road, Versova, Andheri West, Mumbai, Maharashtra 400061",9845216656.0,,"19.1350804,72.7734103"
Memories 4 Ever Opc Pvt Ltd,Companies(Private),Mumbai,"6, Naresh Smruti, S. L. Road, Vithal Nagar, Behind S. M. P. R. School, (Gujarati Medium), Mumbai, Maharashtra 400080",098207 20061,,"19.169324,72.9479362"
Metropolis Healthcare Ltd,Companies(Private),Mumbai,,9036682661.0,",support@metropolisindia.com,secretarial@metropolisindia.com,x3esupport@metropolisindla.com,support@metropolisindla.com,",
Pandey Infotech Pvt Ltd.,Companies(Private),Mumbai,"06, Ground Floor, Krishna Vihar CHS Ltd, Tata Compound Road, Swami Vivekananda Rd, Irla, Andheri West, Mumbai, Maharashtra 400058",099754 89597,"mk84879@gmail.com,,info@pandeyinfotech.com,","19.111112,72.8365351"
Swiggy.com,Companies(Private),Mumbai,,,",x3esupport@swiggy.in,support@swiggy.in,sxxxxxxxxxxxxxxy@swiggy.com,gunwantkothari@yahoo.com,",
Stock Holding Corporation Of INDIA Ltd (Registered Office),Companies(Private),Mumbai,,,",helpdesk@shcilservices.com,shashikant@stockholding.com,x3ehelpdesk@shcilservices.com,u003esecretarial@stockholding.com,secretarial@stockholding.com,",
Snp Photography,Companies(Private),Mumbai,"Shop No. 032, V Mall, Ground floor, Thakur Complex, Kandivali East, Mumbai, Maharashtra 400101",098194 58280,",avinashchaurasiya10@gmail.com,","19.2114947,72.8712187"
Makaan Aur Dukaan,Companies(Private),Mumbai,"Dheeraj Swapna, Suites #402, Building, Pali Mala Rd, above Theobroma Bakery and Cake Shop, Bandra West, Mumbai, Maharashtra 400050",022 6715 1000,",ceo@makaanaurdukaan.com,","19.0622895,72.826771"
Dg Note Technologies Pvt Ltd,Companies(Private),Mumbai,"10th Floor, Jay Antariksh, 1004, Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",090040 54921,",mrele@dgnote.com,","19.1092206,72.8791861"
Red Caption Entertainment,Companies(Private),Mumbai,,,",reema@redentertainment.in,",
Blue Ocean Resort & Spa (Corporate Office),Companies(Private),Mumbai,"402, 4th floor, Chandra House, 90, Perin Nariman St, Fort, Mumbai, Maharashtra 400001",022 2269 3774,,"18.9372716,72.8331316"
Mahindra Finance,Companies(Private),Mumbai,,,",x3eJSmith@mahindrafinance.com,share.mmfsl@mahindra.com,x3eJohn.Smith@mahindra.com,karve.vivek@mahindra.com,pardiwala.arnavaz@mahindra.com,JSmith@mahindrafinance.com,mmfsl.csrfoundation@mahindra.com,John.Smith@mahindra.com,",
Prakash Ravatale & Associates,Companies(Private),Mumbai,"913, Grohitam premises, APMC Market, Sector 19, Vashi, Navi Mumbai, Maharashtra 400705",098920 30165,",ravataleassociates@gmail.com,","19.078875,73.0064451"
Capgemini Technology Services INDIA Ltd,Companies(Private),Mumbai,,,"x3ecgp2phelpdesk.in@capgemini.com,,cgp2phelpdesk.in@capgemini.com,jane.doe@capgemini.com,x3ejane.doe@capgemini.com,cgcompanysecretary.in@capgemini.com,armin.billimoria@capgemini.com,",
Accenture Services Pvt Ltd,Companies(Private),Mumbai,,,",Email-pdc3b.mailroom@accenture.com,J.Smith@accenturefederal.com,x3eusha.suresh@accenture.com,John.Smith@accenturefederal.com,John.L.Smith@accenturefederal.com,campus.queries@accenture.com,John.L.Smith@accenture.com,usha.suresh@accenture.com,x3eJohn.Smith@accenture.com,John.Smith@accenture.com,JSmith@accenture.com,u003eusha.suresh@accenture.com,",
Accenture Services Pvt Ltd,Companies(Private),Mumbai,,,",Email-pdc3b.mailroom@accenture.com,J.Smith@accenturefederal.com,x3eusha.suresh@accenture.com,John.Smith@accenturefederal.com,John.L.Smith@accenturefederal.com,campus.queries@accenture.com,John.L.Smith@accenture.com,usha.suresh@accenture.com,x3eJohn.Smith@accenture.com,John.Smith@accenture.com,JSmith@accenture.com,u003eusha.suresh@accenture.com,",
Tata Consultancy Services Ltd,Companies(Private),Mumbai,,,"JSmith@tcs.com,,csg-unit@tcplindia.co.in,careers@tcs.com,pradeep.gaitonde@tcs.com,global.marketing@tcs.com,corporate.office@tcs.com,last@tcs.com,x3ecareers@tcs.com,x3eglobal.marketing@tcs.com,",
Tata Consultancy Services Ltd,Companies(Private),Mumbai,,,"JSmith@tcs.com,,csg-unit@tcplindia.co.in,careers@tcs.com,pradeep.gaitonde@tcs.com,global.marketing@tcs.com,corporate.office@tcs.com,last@tcs.com,x3ecareers@tcs.com,x3eglobal.marketing@tcs.com,",
Tata Consultancy Services Ltd,Companies(Private),Mumbai,,,"JSmith@tcs.com,,csg-unit@tcplindia.co.in,careers@tcs.com,pradeep.gaitonde@tcs.com,global.marketing@tcs.com,corporate.office@tcs.com,last@tcs.com,x3ecareers@tcs.com,x3eglobal.marketing@tcs.com,",
Tech Mahindra Ltd,Companies(Private),Mumbai,,,",x3ebuchaiah.Kaparthi@TechMahindra.com,anil.khatri@techmahindra.com,x3eanil.khatri@techmahindra.com,buchaiah.Kaparthi@TechMahindra.com,mktg@techmahindra.com,investor.relations@techmahindra.com,sales.apac@techmahindra.com,",
TATA Consultancy Services Ltd,Companies(Private),Mumbai,,,"JSmith@tcs.com,,rajendra.moholkar@tcs.com,csg-unit@tcplindia.co.in,careers@tcs.com,pradeep.gaitonde@tcs.com,global.marketing@tcs.com,corporate.office@tcs.com,last@tcs.com,x3ecareers@tcs.com,x3eglobal.marketing@tcs.com,",
Hire Glocal,Companies(Private),Mumbai,"7th Floor, Corporate Avenue, 708 & 709, Sonawala Rd, opp. Atlanta Centre, Sonawala Industry Estate, Goregaon, Mumbai, Maharashtra 400063",099301 00033,"connect@hireglocal.com,,hello@hireglocal.com,","19.1605884,72.8481691"
Hexaware Technologies Ltd (Corporate Office),Companies(Private),Mumbai,,,"x3egunjanm@hexaware.com,,u003ecorporatemarketing@hexaware.com,corporatemarketing@hexaware.com,gunjanm@hexaware.com,x22gunjanm@hexaware.com,",
Cognizant Technology Solutions India Pvt Ltd (Corporate Office),Companies(Private),Mumbai,,,",x3ehrss@cognizant.com,hrss@cognizant.com,x3einquiry@cognizant.com,B.Jananee@cognizant.com,inquiry@cognizant.com,",
Clover Infotech Pvt Ltd (Corporate Office),Companies(Private),Mumbai,,,"sxx@cloverinfotech.com,x3ejaved.tapia@cloverinfotech.com,javed.tapia@cloverinfotech.com,,",
Gep Solutions Pvt Ltd,Companies(Private),Mumbai,"13th Floor, Building No. 3 M/S Gigaplex Estate Private Limited- IT/ITES SEZ IT Plot No. 5, Airoli Knowledge Park Rd, Airoli, Navi Mumbai, Maharashtra 400708",022 6137 2100,",u003eroshan.makhija@gep.com,rxxxxxx@xxx.com,gep_ind_finance@globaleprocure.com,x3eGep_IND_Finance@globaleprocure.com,roshan.makhija@gep.com,Gep_IND_Finance@globaleprocure.com,","19.1758643,72.9907693"
3i Infotech Ltd (Registered Office),Companies(Private),Mumbai,,,",u003ecompliance@3i-infotech.com,investors@3i-infotech.com,compliance@3i-infotech.com,",
Genesys International Corporation Ltd (Head Office),Companies(Private),Mumbai,"Sdf 3, 73/ A, Seepz, Andheri East, Mumbai, Maharashtra 400096",022 2829 0603,",investor@bigshareonline.com,u003einvestors@igenesys.com,investors@igenesys.com,sales@igenesys.com,x3esales@igenesys.com,","19.127475,72.8730551"
Span Labs,Companies(Private),Mumbai,"B209-210, Sagar Tech Plaza, Diagonally, opposite Hotel Chakra Sakinaka, Andheri East, Mumbai, Maharashtra 400072",070457 88954,"sales@spantechengineers.com,enquiry@spandiagno.com,pradip@spandesigners.com,,","19.1029085,72.8835857"
Tata Consultancy Services Ltd,Companies(Private),Mumbai,,,"JSmith@tcs.com,,csg-unit@tcplindia.co.in,careers@tcs.com,pradeep.gaitonde@tcs.com,global.marketing@tcs.com,corporate.office@tcs.com,last@tcs.com,x3ecareers@tcs.com,x3eglobal.marketing@tcs.com,",
Tata Consultancy Services Ltd,Companies(Private),Mumbai,,,"JSmith@tcs.com,,csg-unit@tcplindia.co.in,careers@tcs.com,pradeep.gaitonde@tcs.com,global.marketing@tcs.com,corporate.office@tcs.com,last@tcs.com,x3ecareers@tcs.com,x3eglobal.marketing@tcs.com,",
Intellect Design Arena Limited,Companies(Private),Mumbai,,,",jane.doe@intellectdesign.com,company.secretary@intellectdesign.com,x3ejane.doe@intellectdesign.com,last@intellectdesign.com,x3ecompany.secretary@intellectdesign.com,",
Glenmark Pharmaceuticals Ltd (Corporate Office),Companies(Private),Mumbai,,,",u003ecomplianceofficer@glenmarkpharma.com,einward.ris@karvy.com,x3eGlobalPV@glenmarkpharma.com,GlobalPV@glenmarkpharma.com,ComplianceOfficer@glenmarklifesciences.com,last@glenmarkpharma.com,complianceofficer@glenmarkpharma.com,",
Abbott Healthcare Pvt Ltd (Corporate Office),Companies(Private),Mumbai,,,",x3ejane.doe@abbott.com,websmaster@abbott.co.in,krupa.anandpara@abbott.com,hrservicecenter@abbott.com,durgesh.paliwal@abbott.com,investorrelations.india@abbott.com,jane.doe@abbott.com,x3edurgesh.paliwal@abbott.com,",
Foncer Pharma Pvt Ltd,Companies(Private),Mumbai,"501, 5th floor, A wing, Everest Chamber Marol Nala, Andheri - Kurla Rd, Andheri East, Mumbai, Maharashtra 400059",081049 64640,"bhalerao.manasi282@gmail.com,,x3eaccounts.appl@aeropharma.com,infoindia@actavis.com,accounts.appl@aeropharma.com,business@foncerpharma.com,x22compliance@naxparlab.com,foncerpharma@gmail.com,x3einfoindia@actavis.com,x3ecompliance@naxparlab.com,compliance@naxparlab.com,medibest06@gmail.com,x3emedibest06@gmail.com,","19.1083523,72.8773231"
Monark Biocare Pvt Ltd,Companies(Private),Mumbai,"B3, D-WING, GALA NO:13, Nahur West, MMRDA Colony, Subhash Nagar, Mumbai, Maharashtra 400078",086557 22075,",monarkbiocare@gmail.com,","19.1575695,72.9402846"
V Revive Medicure Pvt. Ltd.,Companies(Private),Mumbai,,8401614953.0,",bhumittar@gmail.com,vrevivemedicure@gmail.com,",
Sun Pharmaceutical Industries Ltd (Corporate Office),Companies(Private),Mumbai,,,",last@sunpharma.com,secretarial@sunpharma.com,x3ejane.doe@sunpharma.com,u003esecretarial@sunpharma.com,x3edrugsafety@sunpharma.com,drugsafety@sunpharma.com,jane.doe@sunpharma.com,",
Cipla Ltd,Companies(Private),Mumbai,,,",cosecretary@cipla.com,x3ecosecretary@cipla.com,JSmith@cipla.com,doe@gmail.com,Cosecretary@cipla.com,John@cipla.com,investor.relations@cipla.com,contactus@cipla.com,last@cipla.com,x3eJSmith@cipla.com,x3eJohn@cipla.com,",
Johnson & Johnson Pvt. Ltd. (Corporate Office),Companies(Private),Mumbai,"Arena Space, behind Majas Depot, Shyam Nagar, Jogeshwari East, Mumbai, Maharashtra 400060",022 6664 6464,,"19.1379012,72.8616467"
Ipca Laboratories Ltd (Corporate Office),Companies(Private),Mumbai,,,",investors@ipca.com,harish.kamath@ipca.com,last@ipca.com,x3eharish.kamath@ipca.com,Investors@ipca.com,",
Pfizer India Ltd (Head Office),Companies(Private),Mumbai,,,",JSmith@pfizer.com,u003eprajeet.nair@pfizer.com,prajeet.nair@pfizer.com,contactus.india@pfizer.com,InvestorRelationsIndia@pfizer.com,PHIPL@pfizer.com,x3eJSmith@pfizer.com,",
Usv Pvt Ltd,Companies(Private),Mumbai,"3W27+3Q3, Govandi Station Rd, Deonar, Govandi East, Mumbai, Maharashtra 400088",022 2556 4048,",axxxxxxh@usvindia.com,sebamed@usv.in,info@usv.in,secretarial@usv.in,x3esecretarial@usv.in,international@usv.in,","19.0501409,72.9118512"
Cipla Ltd (Registered Office),Companies(Private),Mumbai,,,",cosecretary@cipla.com,cipla.secretarial@cipla.com,u003ecosecretary@cipla.com,Cosecretary@cipla.com,contactus@cipla.com,CorpComm@Cipla.com,",
Wellness Forever (Corporate Office),Companies(Private),Mumbai,"7th Floor, Empire Plaza 1, A1, Lal Bahadur Shastri Marg, Chandan Nagar, Vikhroli West, Mumbai, Maharashtra 400083",022 4354 1717,",u003einfo@wellnessforever.in,last@wellnessforever.in,x3einfo@wellnessforever.in,info@wellnessforever.in,cs@wellnessforever.in,","19.1232396,72.9214347"
Medley Pharmaceuticals Ltd (Corporate Office),Companies(Private),Mumbai,"Medley House, D2, Rd Number 16, M.I.D.C, Area, Andheri East, Mumbai, Maharashtra 400093",022 3088 7777,",medpharm@bom2.vsnl.net.in,u003esahir@medleylab.com,collaboration@medleylab.com,contract@medleylab.com,sahir@medleylab.com,x3ecollaboration@medleylab.com,jane.doe@medleylab.com,x3einlicensing@medleylab.com,x3econtract@medleylab.com,inlicensing@medleylab.com,mail@medleylab.com,","19.1204236,72.8721238"
Zydas Health Care Ltd,Companies(Private),Mumbai,,,",customercare@zyduswellness.com,x3eghanshyam.singh@zydustakeda.com,x3eupen.shah@zyduscadila.com,ghanshyam.singh@zydustakeda.com,upen.shah@zyduscadila.com,Medicalaffairs@zydususa.com,drugsafety.mumbai@bayer.com,",
Unichem Laboratories Ltd (Corporate & Registered Office),Companies(Private),Mumbai,,,",rnt.helpdesk@linkintime.co.in,drugsafety.india@unichemlabs.com,",
Merck Serono Ltd,Companies(Private),Mumbai,"8th floor, Godrej One, Eastern Express Hwy, Pirojshanagar, Vikhroli, Mumbai, Maharashtra 400079",022 6210 9000,",pscsindiacentral@merckgroup.com,x3epscsindiacentral@merckgroup.com,dpoc_india@merck.com,","19.0939028,72.9202519"
Blue Cross Laboratories Ltd (Corporate Office),Companies(Private),Mumbai,"Peninsula Corporate Park, Peninsula Chambers, G.K Marg, Lower Parel West, Lower Parel, Mumbai, Maharashtra 400013",022 6663 8000,",jane@bluecrosslabs.com,info@bluecrosslabs.com,suresh@bluecrosslabs.com,","18.9991151,72.8215505"
Adv. Daksha M Shah,Companies(Private),Mumbai,,9972339564.0,",adv.sidwal@gmail.com,",
Erocketmall Online Asia Ltd,Companies(Private),Mumbai,,,",rkgoteam@gmail.com,u003erkgoteam@gmail.com,",
