Name,Sector,City,Address,Phone,Email,Lat-Long
Culture Fitness - Girgaon - Mumbai,Gym,Mumbai,"30th Mangal Wadi Cross Lane, Jagannath Shankar Seth Rd, Charni Road, Girgaon, Mumbai, Maharashtra 400004",086552 90990,,"18.9522959,72.8176403"
Pro One Studio - Mira Road - Mumbai,Gym,Mumbai,"shop no 109, Suvidha Place, near Cinemax Theatre, Ramdev Park, Beverly Park, Mira Road East, Mira Bhayandar, Maharashtra 401107",075060 53555,"info@pro1supplements.com,,proonestudio15@gmail.com,","19.2962048,72.8664136"
Jupito Fitness - Malad West - Mumbai,Gym,Mumbai,"A- Ahimsa, Keshav Srishti Apartment, CHSL, New Link Rd, above Bank Of India, Malad, Sunder Nagar, Malad West, Branch, Mumbai, Maharashtra 400064",096197 02324,",jupitofitness@gmail.com,","19.1765703,72.8348027"
K11 School of Fitness Sciences - Santacruz East - Mumbai,Gym,Mumbai,"Dunhill Corner, 7th Rd, TPS III, Sen Nagar, Santacruz East, Mumbai, Maharashtra 400055",076666 11011,",info@keleven.com,","19.0779436,72.84025"
Fitness Factory - Andheri - Mumbai,Gym,Mumbai,,,"info@fitnessfactorymumbai.com,,","19.1522057,72.7808985"
VieFit Vile - Parle West - Mumbai,Gym,Mumbai,"A6--171, Dadabhai Cross Rd Number 3, opp. Hanuman Temple, Ville Parle West, Mumbai, Snehadhara Society, Navpada, Irla, Vile Parle West, Mumbai, Maharashtra 400056",075066 16611,",contact@viefit.in,keawpilatestc@gmail.com,u003econtact@viefit.in,","19.1087528,72.8416017"
Ketan Muscle Fitness - Goregaon - Mumbai,Gym,Mumbai,"BEST workers and staff colony, Oshiwara, Sant Gajanan Maharaj Marg, opp. fish Market, near Imperial, Best Nagar, Goregaon West, Mumbai, Maharashtra 400104",098211 73792,,"19.1537923,72.8363938"
Triyog Fit Dance & Fitness Studio - Miraa Bhayandar - Mumbai,Gym,Mumbai,"Triyog Fit Studio 1st Floor, The Recreation Club Shastri Nagar lane 1, Lokhandwala Circle, Andheri West, Mumbai, Maharashtra 400053",093720 79678,,"19.1396422,72.8251692"
Plus Fitness 24/7 - Mumbai Central - Mumbai,Gym,Mumbai,"Commercial, Navjeevan Society Wing-A, Shop No 105, 1st Floor Nathani Heights, Lamington Rd, Mumbai Central, Mumbai, Maharashtra 400008",077009 54224,,"18.9661948,72.8169849"
MMA Fitness Zone - Vile Parle - Mumbai,Gym,Mumbai,,,"kudoindia@gmail.com,,customercare@gymsforall.in,mehul.vora@mmawithmehulvora.com,","19.1043826,72.8346354"
Zumasaa Studios - Kemps Corner - Mumbai,Gym,Mumbai,"574, Advani Chambers, 1st Floor, August Kranti Marg, Kemps Corner, Mumbai 400036, MH",+91-9892060100,,
"Zorba: Yoga, Fitness And Beyond - Vile Parle East - Mumbai",Gym,Mumbai,"CTC No 458/517, E'Square, 5th Floor, Subhash Road, Vile Parle East, Mumbai 400057, MH",,",customercare@gymsforall.in,",
"Zorba: Yoga, Fitness And Beyond - Goregaon West - Mumbai",Gym,Mumbai,"Ozone Club, Prabodhan Krida Bhavan, Near Vivek College, Siddharth Nagar, Goregaon West, Mumbai 400104, MH",+91-22-33126202,,
Zion Fitness - Andheri East - Mumbai,Gym,Mumbai,"Unit No 2, HEK Compound, Home For The Aged Lane, Near Canossa School, Shere Punjab Circle, Mahakali Caves Road, Andheri East, Mumbai 400093, MH",+91-7738258050,",zionthegym@gmail.com,youremail@yourdomain.com,",
Zest Fitness - Byculla - Mumbai,Gym,Mumbai,"65, Patanwala Buiuilding, 1st Floor, Dhaku Prabhuchiwadi, Next To Bank Of Maharshtra, Byculla, Mumbai 400027, MH",+91-8828256068,,
Zenergy Way to Fitness - Khar West - Mumbai,Gym,Mumbai,"94, Makija Royale Building, 9th Floor, Next To Rajashtan Classes, SV Road, Khar West, Mumbai 400052, MH",+91-9930834480,"me@nehaagarwal.in,,",
Your Gym - Malad West - Mumbai,Gym,Mumbai,"Divya Park, Jankalyan Nagar, Malad West, Mumbai 400095, MH",+91-9152995997,",support@gymcompany.co.za,hello@cultfit.com,",
