Name,Sector,City,Address,Phone,Email,Lat-Long
The Bose Store,Retail,Mumbai,,,",bose@deccanair.com,IN_mumbai_store4@bose.com,Bose_Support@servify.in,bose@tentacle.in,IN_mumbai_store6@bose.com,",
Prakash Store,Retail,Mumbai,,02222615560,",prakashstores1969@gmail.com,jain.prakash.in@gmail.com,tejal_tradingco@yahoo.in,hr_jani123@yahoo.com,",
B Mart,Retail,Mumbai,"53, K.M. Sharma Marg, Lohar Chawl, Kalbadevi, Mumbai, Maharashtra 400002",098921 03077,",ndgadhavi500@gmail.com,orders@bombaystore.com,career@vmart.co.in,","18.9469399,72.8296458"
The Bose Store,Retail,Mumbai,,02240041301,",bose@deccanair.com,IN_mumbai_store4@bose.com,Bose_Support@servify.in,bose@tentacle.in,IN_mumbai_store6@bose.com,",
The Bose Store,Retail,Mumbai,,,",bose@deccanair.com,IN_mumbai_store4@bose.com,Bose_Support@servify.in,bose@tentacle.in,IN_mumbai_store6@bose.com,",
The Bose Store,Retail,Mumbai,,02226056822,",bose@deccanair.com,IN_mumbai_store4@bose.com,Bose_Support@servify.in,bose@tentacle.in,IN_mumbai_store6@bose.com,",
The Bose Store,Retail,Mumbai,,02240109590,",bose@deccanair.com,IN_mumbai_store4@bose.com,Bose_Support@servify.in,bose@tentacle.in,IN_mumbai_store6@bose.com,",
The Bose Store,Retail,Mumbai,,02266099918,",bose@deccanair.com,IN_mumbai_store4@bose.com,Bose_Support@servify.in,bose@tentacle.in,IN_mumbai_store6@bose.com,",
Godrej And Boyce,Retail,Mumbai,,"02267963521
														,

09819166809","janed@godrej.com,,pgyelve@godrej.com,sbebarta@godrej.com,abhia@godrej.com,x3ebkk@godrej.com,x3ecorpcomm@godrejinds.com,corpcomm@godrejinds.com,kp@godrej.com,bkk@godrej.com,x3ejaned@godrej.com,nitinm@godrej.com,",
The Bose Store,Retail,Mumbai,,,",bose@deccanair.com,IN_mumbai_store4@bose.com,Bose_Support@servify.in,bose@tentacle.in,IN_mumbai_store6@bose.com,",
Sumaria Store,Retail,Mumbai,,02225921290,",siddhesh.chavan@sumaria.in,info@sumaria.in,nsumariya@gmail.com,",
The Bose Store,Retail,Mumbai,,02242010569,",bose@deccanair.com,IN_mumbai_store4@bose.com,Bose_Support@servify.in,bose@tentacle.in,IN_mumbai_store6@bose.com,",
The Boss Store,Retail,Mumbai,,,",info@bossindia.com,customercare@shoppersstop.com,customercare@bossindia.com,support@bose.com,",
Chaitanya Store,Retail,Mumbai,,02224703074,",cs@jiomart.com,amitkardile13@gmail.com,",
The Bose Store,Retail,Mumbai,,02224813701,",bose@deccanair.com,IN_mumbai_store4@bose.com,Bose_Support@servify.in,bose@tentacle.in,IN_mumbai_store6@bose.com,",
Eureka Forbes,Retail,Mumbai,,02227831068,"u003ecustomercare@eurekaforbes.com,,rnt.helpdesk@linkintime.co.in,customercare@eurekaforbes.com,x3ecustomercare@eurekaforbes.com,",
Mahavir Store,Retail,Mumbai,,02226492151,"jitendraharia@hotmail.com,,thebluegifts@gmail.com,theblueleafgifts@gmail.com,",
Godrej Lifespace Store,Retail,Mumbai,,02222046804,",x3ecorpcomm@godrejinds.com,corpcomm@godrejinds.com,kneeraj@godrej.com,nitinm@godrej.com,",
The Bose Store,Retail,Mumbai,,02228783691,",bose@deccanair.com,IN_mumbai_store4@bose.com,Bose_Support@servify.in,bose@tentacle.in,IN_mumbai_store6@bose.com,",
Sumaria Store,Retail,Mumbai,,"02225366451
														,

09892525745",",siddhesh.chavan@sumaria.in,info@sumaria.in,nsumariya@gmail.com,",
