Name,Sector,City,Address,Phone,Email,Lat-Long
SAN ACADEMY [SA],School,Mumbai,"Sundaram CHS, Sector 24, Juinagar, Navi Mumbai, Maharashtra 400705",099870 60238,",admissions@sanacademy.edu.in,2003@gmail.com,sankam.admissions@sanacademy.edu.in,principalapsc@yahoo.co.in,sankam@sanacademy.edu.in,","19.0498237,73.0152672"
Velammal Vidyalaya Weeklong Boarding School [VVWBS],School,Mumbai,"Knowledge Centre, behind Mumbai Port Trust Hospital, Nadkarni Park, Wadala East, BPT Colony, Wadala, Mumbai, Maharashtra 400037",,",velammalvidyalayawlb@gmail.com,VelammalVidyalayawlb@gmail.com,info.melayanambakkam@velammalnexus.com,info@vvmangadu.in,","19.0124928,72.8577863"
AL - HIRA MODEL SCHOOL [AHMS],School,Mumbai,"3VQR+7C3, Sanjay Nagar, Kurla West, Malad East, Mumbai, Maharashtra 400072",090226 66663,",alhiraschool@anjhimayath.com,info@alhiramodelschool.com,admin@alhiramodelschool.com,alhiramodelschool@gmail.com,","19.0881317,72.8884827"
The Leaders' Academy [TLA],School,Mumbai,"2436+9JW, Sector - 13, Khanda Colony, Panvel, Navi Mumbai, Maharashtra 410206",,",aet.principaltla@gmail.com,info@theleadersacademy.edu.in,","19.0034918,73.1090033"
Dreamland School  [DS],School,Mumbai,"Vallabhadas Road Number 24, Rd Number 24, near D.S.High School, Sion West, Sion, Mumbai, Maharashtra 400022",,",contact@dreamlandschoolmakhla.org,dreamlandmakhla@gmail.com,icuttarpara@gmail.com,","19.0417991,72.8589654"
BHARATIYA VIDYA BHAVAN INSTITUTE [BVBI],School,Mumbai,"29, KM Munshi Rd, Gamdevi, Mumbai, Maharashtra 400007",,",bvbstaffdept@yahoo.com,spccm@bvbdelhi.org,pvsankarankutty@bhavans.info,jna@bvbdelhi.org,info@bvbbhubaneswar.org,bhavan.pune.kendra@gmail.com,roc.delhi@mca.gov.in,","18.9574005,72.8081346"
St. Thomas' Girls' School [STGS],School,Mumbai,"Pandurang Wadi Main Rd, near Railway Station, Churi Wadi, Goregaon, Mumbai, Maharashtra 400063",,",stsschool@gmail.com,stthomasconventschoolm2@gmail.com,st_thomasschoolldh@rediffmail.com,x3estsschool@gmail.com,x3est_thomasschoolldh@rediffmail.com,","19.1684057,72.8471152"
St. James' School [SJS],School,Mumbai,"3, Kandivali, Nilkanth Nagar, Ganesh Nagar, Kandivali West, Mumbai, Maharashtra 400095",,",sjskolkata1864@gmail.com,studentservices@stjamesexeter.co.uk,pastoralsupport@stjamesexeter.co.uk,icse@sjhs.in,x3estudentservices@stjamesexeter.co.uk,jacobeansalumni@gmail.com,","19.2037809,72.8221914"
The Aryans School [TAS],School,Mumbai,"75, Jagannath Shankar Seth Rd, Charni Road East, Bhatwadi, Girgaon, Mumbai, Maharashtra 400004",,"info@thearyansschool.org,,aryansinternationalschool2013@gmail.com,","18.9560548,72.8147774"
The Modern Academy [TMA],School,Mumbai,"360, 3rd Floor, Powai Plaza, Hiranandani Gardens, Sainath Nagar, Powai, Mumbai, Maharashtra 400076",,",paragm.more@gmail.com,tmakolkata@gmail.com,advmspmah99@gmail.com,parag.more@intelectpm.com,info@themodernacademy.in,","19.1233931,72.9105371"
Asian International School [AIS],School,Mumbai,"301, Dhukka Chambers, Poddar Road, Malad East, Mumbai, Maharashtra 400097",,",Franchise@AIS-edu.us,contact@aismumbai.org,hr@oberoi-is.org,hr@aisedu.org,principal@aisedu.org,info@aisedu.org,admissions@aisedu.org,headmistress@aisedu.org,reception@aisedu.org,","19.1860843,72.8471499"
Mahavir Institute of Education and Research [MIOEAR],School,Mumbai,"J.K.Jadhav Knowledge Center, Nadkarni Park, Wadala (East), near MbPT Hospital, Mumbai, Maharashtra 400037",022 2411 0879,",info@mahavirschool.com,info@miet.edu,","19.0123604,72.8577868"
Loreto Convent [LC],School,Mumbai,"2WR2+R5J, RCF Twp Rd, Wadavli, Prabuddha Nagar, Chembur, Mumbai, Maharashtra 400074",022 2553 6680,"loretodelhi@gmail.com,,lovemyarts123@gmail.com,","19.0420914,72.8978241"
MSB Educational Institute [MEI],School,Mumbai,"Taheri Manzil, Nesbit Road, St Mary Rd, Mazgaon, Mumbai, Maharashtra 400010",022 2374 6007,",info@msbmumbai.inPhone,logo@2x.png,msbmumb@in.com,info@msbmumbai.in,","18.970093,72.832997"
Lycee School [LS],School,Mumbai,"Urmi Estate Compound, 95, Ganpatrao Kadam Marg, Lower Parel West, Mumbai, Maharashtra 400013",022 4960 8802,",president@lfim.in,treasurer@lfim.in,info.lyceekolkata@gmail.com,cv@lilaschool.com,eyp@bdsint.com,admin@lfim.in,","18.99705,72.8259534"
The Oral School For Deaf Children [TOSFDC],School,Mumbai,"82, Lieutenant Dilip Gupte Marg, near Goa Portuguesa Restaurant, Mahim West, Mahim, Mumbai, Maharashtra 400016",022 2445 4238,,"19.0348484,72.8377859"
