Name,Sector,City,Address,Phone,Email,Lat-Long
Synergy Universal,Companies(Private),Nagpur,"Sr. No.207, 9th floor 9E Solitaire Business Hub, opp. NECO Garden Society, Clover Park, Viman Nagar, Pune 411014,MH",+91-4040175137,",sales@synergyuniversal.in,info@synergyuniversal.in,",
Wengfatt Spares Parts (OPC),Companies(Private),Nagpur,+60-3-56301631,,",wengfattindia2019@gmail.com,",
Cws One Coworking Space - Kondapur - Hyderabad,Companies(Private),Nagpur,"40-41 & 42, Survey No 54, Kondapur, Serilingampally, Hyderabad 500084, TS","+91-7337481414, +91-7337471414",,
Better Power Services Pvt Ltd,Companies(Private),Nagpur,"A.K.Azad Road, Rehabari, Guwahati 781008, AS",+91-361-09864157410,",info@renewpower.in,swarup.paul@betterpower.co.in,",
Fabstract Clothing India Pvt Ltd,Companies(Private),Nagpur,"C-57, Hosiery Complex, Phase 2, Noida 201305, UP",+91-120-4668800,",9810129981@gmail.com,nitin@fcipl.net,hrm@rbrindia.com,x3enitin@fcipl.net,",
Suryajyoti Spinning Mills Ltd,Companies(Private),Nagpur,"105, 7th Floor, Surya Towers, Sardar Patel Road, Secunderabad 500003, AP","+91-40-27810086, +91-40-27898842",",shares@suryajyoti.com,info@suryajyoti.com,srinivasaraop@nvtmltd.com,",
Wood Life,Companies(Private),Nagpur,"13/1, Veerappa Building, V V Mohalla, Kalidasa Road, Mysore 570002, KA",+91-821-4255525,,
Spanco Storage Systems,Companies(Private),Nagpur,"83/24, Road No 1, Mundka Industrial Area, New Delhi 110041, DL","+91-11-28344984, +91-11-28344985","last@spancostorage.com,,",
Chempharm Industries India Pvt Ltd,Companies(Private),Nagpur,"C-71, Sector 63, Noida 201301, UP",+91-120-4694900,",rathichemp@gmail.com,rajkumar@chempharmindia.com,",
Shine Metal Udyog Pvt Ltd,Companies(Private),Nagpur,"456-B, 457, Nehru Ground, NIT, Faridabad 121001, HR",+91-129-2416626,",mehdi.hasan@shinemetalgroup.com,x3emehdi.hasan@shinemetalgroup.com,ravimittal20@gmail.com,",
H P State Electricity Board Ltd,Companies(Private),Nagpur,"Vidyut Bhavan, Shimla 171004, HP",+91-177-2656022,"x3einfo@hpseb.in,,info@hpseb.in,",
EMC & RF Technology Solutions,Companies(Private),Nagpur,"Syratron 203, Copper Arch 83, Infantry Road, Bangalore 560001, KA",+91-80-25591031,,
ValuAccess Services Pvt Ltd,Companies(Private),Nagpur,"1st Floor, Building No 6, Local Shopping Complex, Madangir, New Delhi 110062, DL",+91-11-49537788,",agordon@valuaccess.com,",
NNE Pharmaplan India Ltd,Companies(Private),Nagpur,"9, BEL Air Drive, 4th Floor, Bellary Road, Ganganagar, Bengaluru 560032, KA",,",info@chemfields.com,",
McW Healthcare Pvt Ltd,Companies(Private),Nagpur,"501, Rafael Tower, Old Palasia, Indore 452001, MP",,",prakashmedical76@gmail.com,jane@mcwhealthcare.com,hr@mcwhealthcare.com,lath.titilagarh@gmail.com,",
Innovative Health Care India Pvt Ltd,Companies(Private),Nagpur,"88/1, A-Block, 1st Street, Anna Nagar, Chennai 600040, TN",,",rnaservices@yahoo.co.in,innovativehc@vsnl.net,pravihealth2022@gmail.com,",
DEFI Healthcare Pvt Ltd,Companies(Private),Nagpur,"301, Shapath 3, Near GNFC Tower, S G Highway, Ahmedabad 380054, GJ",,"deeinternational@hotmail.com,,x3einfo@defihealthcare.com,x3edharamvir.malik@akums.net,info@defihealthcare.com,dharamvir.malik@akums.net,jane_d@defihealthcare.com,",
Clinipace Worldwide,Companies(Private),Nagpur,"B-16, Gayatri Technopark Campus, Thiruvananthapuram 695581, KL",,",x3ej_d@caidya.com,xxxx@clinipace.com,j_d@caidya.com,",
BDH Industries Ltd,Companies(Private),Nagpur,"Nair Baug, Akurli Road, Kandivali East, Mumbai 400101, MH",,",corporate_communications@tatachemicals.com,x3einfo@bdhind.com,contactus@tatacapital.com,last@bdhind.com,info@bdhind.com,",
Warana Industries Ltd,Companies(Private),Nagpur,"T.K. Nagar, Warana Nagar, Panhala, Kolhapur 416113, MH",+91-2328-222051,"contact@waranaagro.com,,s.s.s.k.ltd.@vsnl.com,ramesh.rudra@itc.in,jpbajaj1954@gmail.com,chamanapc@gmail.co,",
Vidya Sagar Foods Pvt Ltd,Companies(Private),Nagpur,"Narela Piayu Maniyari Road, Kundli 131028, HR",+91-9999880875,",acc.vsfoods@gmail.com,vsf@gmail.com,j.doe@vidyasagarfoods.com,mail.vsf@gmail.com,",
Vicky Food Corporation,Companies(Private),Nagpur,"Pocket B-3, Flat 3-B, MIG Flats, Keshav Puram, New Delhi 110035, DL",+91-11-27182685,",ROYALBLACKOLIVES@GMAIL.COM,CS@ZIMLAB.IN,cs@zimlab.in,",
Surya Food& Agro Ltd (Priyagold Biscuits),Companies(Private),Nagpur,"D-1, Sector 2, Noida 201301, UP","+91-120-2552989, +91-120-2522939",,
Shree Rani Sati Group,Companies(Private),Nagpur,"B-19, Swasthya Vihar, New Delhi 110092, DL","+91-11-22510277, +91-11-22510286",",kodiya2020@gmail.com,dxxxxxm@ind.in,sxxxxxxa@ind.in,",
Natura BioScience Marketing Pvt Ltd,Companies(Private),Nagpur,"39/5122-C, 2nd Floor, Lake View Apartments, Near Kasavukada, Church Landing Road, Ernakulam 682016, KL",+91-484-4019299,"jose091234@gmail.com,,",
Namdeo Umaji Agritech India Pvt Ltd,Companies(Private),Nagpur,"161, Dr. Ambedkar Road, Byculla, Mumbai 400027, MH",+91-22-23722628,",jk79005@gmail.com,accounts@namdeoumaji.com,",
Liberty Group,Companies(Private),Nagpur,"60/30, 28th Cross Street, Indira Nagar, Adyar, Chennai 600020, TN","+91-44-45520012, +91-44-45520013",,
Haldiram Manufacturing Co.Pvt Ltd,Companies(Private),Nagpur,"C-31, Sector 62, Noida 201307, UP",+91-120-4799450,",x3ehaldiramsweb@gmail.com,haldiramsweb@gmail.com,support@haldirams.com,","21.1336165,78.8189024"
G S Agricultural Industry,Companies(Private),Nagpur,"B-XXIX-83, Street No 8, B. M. S. Nagar, G. T. Road, Ludhiana 141003, PB",+91-9814121376,"EPC@KSAGROTECH.ORG,,info@farmermart.in,farmermartportal@gmail.com,","21.135023,78.910868"
Directorate of Research on Women in Agriculture (DRWA),Companies(Private),Nagpur,"Bharatpur Square, Behind Kalinga Studio, Nandan Kanan, Khandagiri Road, Baramunda, Bhubaneswar 751003, OR",+91-674-2386220,",director.ciwa@icar.gov.in,","21.1607665,78.7428321"
Anmol Bakers Pvt Ltd,Companies(Private),Nagpur,"Plot No ?38A, Udyog Vihar, Surajpur Kasno Road, Greater Noida 201306, UP",+91-120-4748999,",feedback@anmolindustries.com,cs@anmolindustries.com,cs@anmolbiscuits.net,anmol.cs@gmail.com,x3eanmol.cs@gmail.com,Debasish@biskfarm.com,x3ecs@anmolindustries.com,","28.4728331,77.5017105"
Manak Publications,Companies(Private),Nagpur,"Jaltedeep Building, Man Ji Ka Hatta Paota, Jodhpur 342006, RJ",+91-291-2546896,"manakpublications.usa@gmail.com,,manak.publications@gmail.com,","21.1607665,78.7428321"
Emami Paper Mills Ltd ( Emami ),Companies(Private),Nagpur,"687, Anandapur, Kolkata 700107, WB",+91-33-66136264,",investor.relations@emamipaper.com,r@emamipaper.com,mdplc@yahoo.com,","21.1607665,78.7428321"
Water Field Technologies Pvt Ltd,Companies(Private),Nagpur,"112, Varun Arcade, 1-B, Opposite R-Mall, Chitalsar Manpada, Ghodbundar Road, Thane 400601, MH","+91-22-25890104, +91-22-25890105",",sourav.daga@met-technologies.com,u003ewaterfieldindia@gmail.com,hichemlifesciencesmd@gmail.com,x3esourav.daga@met-technologies.com,waterfieldindia@gmail.com,last@waterfieldtechnologies.com,","21.1082554,79.0663872"
SMS Paryavaran Ltd,Companies(Private),Nagpur,"Plot No 7, SH-2, Vardhman Grand Plaza, Mangalam Palace, Sector 3, Rohini, New Delhi 110085, DL",+91-11-47173000,",sunil.kumarsharma@sms-group.com,cetpwaluj@smsl.co.in,x3esunil.kumarsharma@sms-group.com,","21.1200938,79.0369398"
Parsan Overseas Pvt Ltd,Companies(Private),Nagpur,"707, Eros Apartments, 56 Nehru Place, New Delhi 110019, DL","+91-11-41606500, +91-11-46542680","kaushik@parsan.biz,sanjay@parsan.biz,info@parsan.biz,,","28.5484737,77.2427033"
National Solid Waste Association of India,Companies(Private),Nagpur,"B-703, Custom's Colony, A Military Road, Marol, Andheri East, Mumbai 400059, MH",+91-22-29202951,,"21.1208465,79.0532782"
CE Info Systems Pvt Ltd,Companies(Private),Nagpur,"68, Okhla Phase 3, New Delhi 110020, DL",-46009820,",n@linkintime.co.in,support@mapmyindia.com,cs@mapmyindia.com,",
Khanna Jewellers,Companies(Private),Nagpur,"2623, Khanna Bhawan, Bank Street, Karol Bagh, New Delhi 110005, DL",-45909920,",customercare@khannajeweller.com,rnkhannajewellers@yahoo.com,swapnilmagrawal@yahoo.com,kprkca.nagpur@gmail.com,madan59@gmail.com,shafeekh@malbargroup.com,",
Vaishali Industries,Companies(Private),Nagpur,"163, Lake Town West, Bhakti Nagar, Siliguri 734007, WB",-9434051591,"vaishaliagrotradepvtltd@gmail.com,,lahotiandjain@gmail.com,prashantpawar@vipspl.com,",
Sunrise Freight Forwarders Pvt Ltd,Companies(Private),Nagpur,"A-1023, Surya Bhawan, Road No 6, Mahipalpur Village, New Delhi 110037, DL",-30672876,",ashwani.handa@sunrisefreight.com,x3eankur.gupta@freightsystems.com,u003eashwani.handa@sunrisefreight.com,ankur.gupta@freightsystems.com,tonyfernandes@jaguarship.com,",
LMJ Logistics Ltd,Companies(Private),Nagpur,"15-B, Hemanta Basu Sarani, 5th Floor, Kolkata 700001, WB",-22310892,"ground@lmjlogistics.com,,export.lmj@gmail.com,",
Harish Transport Co.,Companies(Private),Nagpur,"2, Purshottam Chamber, Sector 10-B, Post office Road, Anjar 370201, GJ","+91-2836-220586, +91-2836-222301","girish.joshi@force-logistics.co,,harishtransport@rediffmail.com,manoharan@srishunmugashipping.com,",
Ecobliss India Pvt Ltd,Companies(Private),Nagpur,"283/3-RT, 303, Raviteja Apartments, Sanjeeva Reddy Nagar, Hyderabad 500038, TS",-23710778,",doe_jane@ecobliss.co.in,egtnagpur@gmail.com,info@epackpolpolymers.com,ramakrishna9d@gmail.com,",
The Indian & Eastern Engineer Co Pvt Ltd (Verve Magazine),Companies(Private),Nagpur,"Cecil Court, 5th Floor, Mahakavi Bhushan Marg, Colaba, Mumbai 400001, MH","+91-22-22897889, +91-22-22021031",,
Shemaroo Entertainment Ltd,Companies(Private),Nagpur,"18, Shemaroo House, Marol Co-operative Industrial Estate, Saug Baug, Marol Naka, Off Andheri Kurla Road, Andheri East, Mumbai 400059, MH","+91-22-28529911, +91-22-40319773",",shemaroo@shemaroo.com,ASHISH.GUPTA@DICENTRAL.COM,vishald41234@gmail.com,aminuddin.ansari@dieboldnixdorf.com,",
Asics Group,Companies(Private),Nagpur,"2-B, Action Area, New Town, Rajarhat, Kolkata 700157, WB",-64572830,"bellovistatechnologies@gmail.com,recruiter1@bellovista.net,info@bellovista.net,corporate@hmagroup.biz,",
Suyog Dye Chemie Pvt Ltd,Companies(Private),Nagpur,"2404-5, GIDC, Ankleshwar 393002, GJ","+91-2646-251587, +91-2646-250586","spl9009@gmail.com,",
Supreme Devices Pvt Ltd,Companies(Private),Nagpur,"24/12, Street No 6, Master Mohalla, Samaipur Industrial Area, Libaspur, New Delhi 110042, DL",-9311810099,"info@surfacesindia.co.in,",
