Name,Sector,City,Address,Phone,Email,Lat-Long
St. Joseph's Institute of Technology,College,Pune,"Shankar Sheth Road, Seven Loves Chowk, Behind Mira Society, 11B, Pune, Maharashtra 411037",,",principal@sjc.ac.in,desk@sjc.ac.in,info@sjcettnj.edu.inHow,sjlawcollege@gmail.com,","18.4985526,73.8680844"
Imagin Xp - Vels University,College,Pune,"Sai Heritage, 3'rd floor, Baner Rd, near State Bank of Mysore, Baner, Pune, Maharashtra 411045",,"admissions@imaginxp.com,,","18.5644956,73.7777867"
"CII Institute of Hospitality - Taj Hotels, Kolkata",College,Pune,"2nd floor, AISSMS College of Hotel Management and Catering Technology, New building, Shivajinagar, Pune, Maharashtra 411005",,",admissions@ciiih.com,","18.5293345,73.8502726"
WebTek Labs,College,Pune,"103/4, Tarabaug, 285, Koregaon Park Road, Opposite Bundgarden, Koregaon Park Road, Pune, Maharashtra 411001",020 2613 3064,,"18.5366694,73.8808947"
Savitribai Phule Pune University (formerly University of Pune,College,Pune,,,",education-coord@pun.unipune.ac.in,dean.office@unipune.ac.in,dup.marks-cert@unipune.ac.in,sci-cert@unipune.ac.in,transcript@unipune.ac.in,arts-cert@unipune.ac.in,dcrc@unipune.ac.in,management-coord@pun.unipune,","18.5489851,73.8206663"
Bharati Vidyapeeth,College,Pune,,,",bvuniversity@bharatividyapeeth.edu,coewpune@bharatividyapeeth.edu,vssohoni@bvucoep.edu.in,copepune@bharatividyapeeth.edu,kumarjaya51@hotmail.com,cet@bharatividyapeeth.edu,distance@bharatividyapeeth.edu,rajendrakumar.patil@bharatividyapeeth.edu,","18.4760447,73.8286071"
Deccan College Post-Graduate and Research Institute,College,Pune,"GVXF+Q8C, Deccan College Rd, Line Bazar, Yerawada, Pune, Maharashtra 411006",020 2651 3204,",vc@dcpune.ac.in,nilesh.jadhav@dcpune.ac.in,academic@dcpune.ac.in,","18.5494543,73.8707037"
Defence Institute of Advanced Technology (formerly Institute of Armament Technology),College,Pune,"Girinagar, Next to Khadakwasla Dam, Pune, Maharashtra 411025",020 2460 4410,"jr@diat.ac.in,,","18.4241184,73.7559698"
Dnyaneshwar Vidyapeeth,College,Pune,,,",dnyaneshwervidyapeeth@gmail.com,dnyaneshwarvidyapeeth@gmail.com,","18.508331,73.8372606"
FLAME University,College,Pune,"Gat No. 1270, Lavale, Off. Pune Bangalore Highway, Pune, Maharashtra 412115",,",TheIndiaCentre@flame.edu.in,x3eenquiry@flame.edu.in,registrar@flame.edu.in,enquiry@flame.edu.in,cka@flame.edu.in,admission@flame.edu.in,","18.5233078,73.7291635"
Gokhale Institute of Politics and Economics,College,Pune,"846, BMCC Rd, Fergusson College Campus, Deccan Gymkhana, Pune, Maharashtra 411004",020 2568 3300,",rajasparchure@gmail.com,info@gipe.ac.in,gokhaleinstitute@gipe.ac.in,admission@gipe.ac.in,rajas@gipe.ac.in,","18.5204163,73.8347072"
