Name,Sector,City,Address,Phone,Email,Lat-Long
Cushman & Wakefield,Companies(Private),Pune,"Ganeshkhind Road Office 301/302 3rd floor,Vikram Monarch, Modibaug, Model Colony, Pune, Maharashtra 411001",020 6686 5555,,"18.5326348,73.8392909"
Bloom Combustion INDIA Pvt Ltd,Companies(Private),Pune,,,",cs@nexdigm.com,u003ecs@nexdigm.com,info.bloomchina@bloomeng.com,",
Cassiopae,Companies(Private),Pune,"4th Floor A wing, WING-B, Senapati Bapat Rd, Chattushringi, Gokhalenagar, Pune, Maharashtra 411016",020 6723 3604,"last@cassiopae.com,cassol.dr@cassiopae.com,,","18.539388,73.8263741"
Ashapura Forwarders Pvt Ltd (Ashapura),Companies(Private),Pune,"705, CTS No 337/1, Sai Samartha, Deonar Village Road, Govandi East, Mumbai 400088, MH","+91-22-42292151, +91-22-42292157",",info@ashapura.in,",
MariApps Marine Solutions,Companies(Private),Pune,"MariApps House, Plot No A2-09, SmartCity Kochi SEZ, Kakkanad, Ernakulam, Kochi 682042,KL",+97-1559607218,",harikrishnan.mundanchery@mariapps.com,careers@mariapps.com,",
Legal Responser,Companies(Private),Pune,"Gurugram, India",+91-8744908231,,
Mnny and Associates,Companies(Private),Pune,"B-606, Western Edge II, Behind Metro Mall, Near Western Express Highway, Borivali East, Mumbai 400066, MH",+91-22-49790867,",email@obhans.com,",
Soch Films,Companies(Private),Pune,,,",j.doe@sochfilms.com,n.projects@listenlights.com,projects@listenlights.com,",
GeekyWorks IT Solutions,Companies(Private),Pune,"Shrushti Elegance, 3rd Floor, Behind Salt Hotel, Balewadi Phata, Baner, Pune 411045, MH","+91-8552003232, +91-8669060963",",anant@geekyworks.com,kashish.kshirsagar@gmail.com,jane@geekyworks.com,",
Entytle,Companies(Private),Pune,"Nucleus Mall, 2nd Floor, AWFIS Space Solutions Private Limited, Opposite Commissioner Office, 1st Church Road, Pune 411045, MH",+91-6506877293,",varada.gupta@entytle.com,u003einfo@entytle.com,amay.jhaveri@entytle.com,info@entytle.com,",
Cympac Software Solutions,Companies(Private),Pune,"15, Punit Yash Arcade, 1st Floor, Near Kothrud Bus Stand, Karve Road, Kothrud, Pune 411038, MH",+91-20-66204266,",chetan.bhalerao@cympac.com,",
Mplussoft Technologies,Companies(Private),Pune,"201-202, V-9 Landmark, 2nd Floor, Vishrantwadi, Pune 411015, MH",+91-8459630022,",manohar@mplussoft.com,first@mplussoft.com,",
Cygnus Software,Companies(Private),Pune,"568/5-F, Tilakwada, Narayanpeth, Pune 411030, MH",+91-22-28570753,",santoshr@cygnussolutions.co.in,sachin@cygnus-soft.com,x3esantoshr@cygnussolutions.co.in,info@cygnus-soft.com,amit.bari@armeka.co.in,",
