Name,Sector,City,Address,Phone,Email,Lat-Long
Safeducate Learning,College,Thane,"Barve road C-4, Wagle industrial estate Institute of Management & computer studies, Opp AAP labs, Thane West, Maharashtra 400604",1800 11 0113,",enquiry@safeducate.com,","19.1877101,72.9522561"
Mediscan Systems,College,Thane,"Vedant Shopping Complex, Near Tip Top Mithaiwala, Vartak Nagar, Thane West, Thane - 400601",022 3216 8849,",alpinenabl@gmail.com,clab@yenepoya.edu.in,training@mediscan.org.in,gargi@salvusglobal.com,","19.2130215,72.9589143"
Nitra Institute of Sleep Sciences,College,Thane,"5XP9+XGV, Second Floor, Nest Hospital, Behind State Bank of India, Near Ice Factory, Off Gokhale Road, Naupada, Thane West, Maharashtra 400602",081085 58111,",info@nithra.com,appointmentiiss2010@gmail.com,mail@nitratextile.org,admissionbtech@nitra.ac.in,","19.1874963,72.9585079"
"Moople Institute of Animation and Design, Topsia",College,Thane,"Balganesh co-operative society 2nd floor, 203/204/205 Dada Patil Marg, Next, Thane Station Rd, Thane West, Maharashtra 400602",081009 82727,",info@moople.in,","19.1869009,72.9722669"
"Moople Institute of Animation and Design, Madhyamgram",College,Thane,"Balganesh co-operative society 2nd floor, 203/204/205 Dada Patil Marg, Next, Thane Station Rd, Thane West, Maharashtra 400602",081009 82727,",thane@moople.in,","19.1869009,72.9722669"
George ITES,College,Thane,"B Wing, Arihant Aura, Plot No. 13/1, Office No. 1402, 14th, Thane - Belapur Rd, TTC Industrial Area, Turbhe MIDC, Turbhe, Navi Mumbai, Maharashtra 400705",,",itesmumbai@yahoo.com,cssl.investors@cybertech.com,itesmumbai@gmail.com,nsbarse@vpmthane.org,x3einquiry@cognizant.com,inquiry@cognizant.com,","19.075273,73.0166909"
Indian Institute of Job-Oriented Training (IIJT - Retail),College,Thane,"6, Gokhale Rd, Shivaji Path, Naupada, Thane West, Thane, Maharashtra 400602",098333 63472,,"19.1879495,72.9710131"
"Shree L. R. Tiwari Degree College of Arts,Commerce and Science, Mira Bhayandar[2]",College,Thane,"near by RIS, Shree L.R Tiwari Educational Campus, Kanakia Park, Mira Road East, Thane, Mira Bhayandar, Maharashtra 401107",093725 85182,"slrtdc@rahuleducation.com,,Emailslrtdc@rahuleducation.com,slrtce@rahuleducation.com,","19.2999424,72.873287"
"Seth N.K.T.T College of commerce arts and science, kharkaralii road Thane West",College,Thane,"Ganpat Jairam Kharkar Ali Marg, behind Collector Office, Kharkar Alley, Thane West, Thane, Maharashtra 400601",022 2543 1119,",nkttdg@yahoo.co.in,nktdegreecollege@rediffmail.com,","19.1961404,72.9771337"
A. P. Shah Institute of Technology - Thane,College,Thane,"Survey No, 12, Ghodbunder Rd, opp. Hypercity Mall, Bhawani Nagar, Kasarvadavali, Thane West, Thane, Maharashtra 400615",077383 05400,",reception@apsit.edu.in,principal@apsit.edu.in,dkjain@apsit.org.in,","19.2680375,72.9646696"
"Rustomjee Academy for Global Careers, Thane",College,Thane,"4th Floor, Rustomjee Cambridge International School, Rustomjee Urbania, West, near Rabodi, Majiwada, Thane, Maharashtra 400604",086550 52850,",Emailkaran@ragc.in,info@ragc.in,enquiries@ragc.rustomjee.com,","19.207325,72.9851865"
"Shivajirao S. Jondhale College of Engineering, Dombivali",College,Thane,"Sheel-Kalyan Road, Sonarpada, Post, Manpada Rd, behind Venkatesh Petrol Pump, Dombivli East, Thane, Maharashtra 421204",095949 62013,"vjtsscoe@rediffmail.com,,domb@gmail.com,office@shivajiraojondhalecoe.org.in,office@shivajiraojondhalecoe.com,","19.1979574,73.1057092"
"Dr V N Bedekar Institute of Management Studies, Thane West",College,Thane,"Building No. 4, Jnanadweep, Chendani Bunder Road, Jambli Naka, Thane West, Thane, Maharashtra 400601",022 2536 4492,"VNBRIMS@VPMTHANE.ORG,,u003evnbrims@vpmthane.org,vnbrims@vpmthane.org,upc@vpmthane.org,","19.1890998,72.9778497"
"University of Mumbai, Thane Sub Campus, Thane",College,Thane,"6XGP+3VJ, University Rd, Behind Runwal Garden City, Balkum Pada, Thane West, Thane, Maharashtra 400608",022 2533 9323,",contact@lawbhoomi.com,santoshrathod@idol.mu.ac.in,registrar@fort.mu.ac.in,director@idol.mu.ac.in,x3eregistrar@fort.mu.ac.in,thanesubcampus@mu.ac.in,Admissions.mutc@old.mu.ac.in,x3edirector@idol.mu.ac.in,","19.2252119,72.9845669"
"Institute of Management and Computer Studies, Thane West",College,Thane,"C-4, Wagle Industrial Estate, Near Mulund Check Naka, Thane West, opp. Aplab, Mumbai, Maharashtra 400604",022 2583 2466,",director@imcost.org,imcost@rediffmail.com,","19.187722,72.9522714"
Viva Institute Of Pharmacy,College,Thane,"Shirgaon, Veer Savarkar Marg, Virar East, Vasai, Thane, Maharashtra 401303",0250 699 0999,",Emailpharmacy@vivacollege.org,pharmacy@vivacollege.org,u003epharmacy@vivacollege.org,sunitaogale@vivapharmacy.org,","19.4738066,72.8556928"
