Name,Sector,City,Address,Phone,Email,Lat-Long
Regus - Mumbai Navi Mumbai Vashi,Companies(Private),Thane,"17 and 18, Platinum Techno Park, Bhagwan Mahaveer Road / Pranavanandji Marg Level 13, Sector 30, Vashi, Navi Mumbai, Mumbai, Maharashtra 400705",022 6121 4949,,"19.0656,72.9938251"
GRACE CONTAINERLINES,Companies(Private),Thane,"Floor, Plot No. 47, F-23, Haware Fantasia Business Park, 1st, near Inorbit Mall, Sec-30A, Vashi, Navi Mumbai, Maharashtra 400703",022 4601 0770,",steven.sathe007@gmail.com,u003esteven.sathe007@gmail.com,info@gracelines.in,","19.0441136,73.0810703"
Renucorp Pvt Ltd-Mumbai Corporate Office,Companies(Private),Thane,"RenuCorp Pvt Ltd A45 Oshiya mata compound Reti bunder, Road, Kalher, Bhiwandi, Maharashtra 421302",,",renukasalesakl@gmail.com,contact@icanbpo.com,sales@gemmedpharma.com,info@renucorp.in,","19.2468834,73.0065064"
HEERA GROUP CORPORATE OFFICE,Companies(Private),Thane,"528H+C7J, Kausa Village Rd, Tetavli, Kausa, Mumbra, Navi Mumbai, Thane, Maharashtra 400612",,",hgfoodexpvtltd@gmail.com,info@heerabgroup.com,x3eheeraitax456@gmail.com,heeraibg.in@gmail.com,info@companydetails.in,heeraitax456@gmail.com,","19.1660837,73.0255567"
The Corporate Park,Companies(Private),Thane,,,",corporate@runwal.com,x3ecompany.secretaries@runwal.com,info@glamac.com,company.secretaries@runwal.com,business@acldigital.com,radhika.thorat@ril.com,enquiry@kserve.co.in,cto@scanpointgeomatics.co,",
Saraswat Infotech - Corporate Office,Companies(Private),Thane,"3229+VMW, Sector 1, Shiravane, Nerul, Navi Mumbai, Maharashtra 400706",,",Info@sil.co.in,last@sil.co.in,devdatta.chandgadkar@sil.co.in,u003edevdatta.chandgadkar@sil.co.in,","19.0522369,73.0166202"
Hindustan Unilever Limited,Companies(Private),Thane,,,",x3ecomsec.hul@unilever.com,Investor.Relations-hul@Unilever.com,lever.care@unilever.com,comsec.hul@unilever.com,",
Office,Companies(Private),Thane,,,",x3ejhankhana.desai@kserve.co.in,sanjiv.chavan@jrsindia.com,supthamarketing@gmail.com,jhankhana.desai@kserve.co.in,enquiry@kserve.co.in,sales@ashidaelectronics.com,x3esanjiv.chavan@jrsindia.com,",
Office,Companies(Private),Thane,,,",x3ejhankhana.desai@kserve.co.in,sanjiv.chavan@jrsindia.com,supthamarketing@gmail.com,jhankhana.desai@kserve.co.in,enquiry@kserve.co.in,sales@ashidaelectronics.com,x3esanjiv.chavan@jrsindia.com,",
Navi Mumbai Municipal Corporation Office,Companies(Private),Thane,"G-56, Karmvir Bhau Rao Patil Marg, Sector 4, Sarsole, Navi Mumbai, Maharashtra 400706",,",secretary@ndmc.gov.in,dmc_diu@yahoo.co.in,pankaj.tanwar@organicrecycling.co,commissioner@nmmc.gov.in,","19.0461746,73.0096915"
Aviyana Brand Experts,Companies(Private),Thane,"Parth Solitaire, Office No 609, 6th Floor, Plot No. 2 Sector 9E, near DMart Kharghar, Kalamboli, Navi Mumbai, Maharashtra 410218",097020 02574,"connect@aviyanabrandexperts.com,,","19.0435298,73.0753199"
