Name,Sector,City,Address,Phone,Email,Lat-Long
Mannarkkad Rural Service Co-Op Bank,Banks,Palakkad, Mannarkkad; Nadamaliga Road Mannarkkad; 678582,04924 222 052,"ruralbank2@yahoo.com,tscbankthrikkalangode@gmail.com,mail@mannarkkadruralbank.com,",10.9938619; 76.4604855
Federal Bank Ltd,Banks,Palakkad,Palakkad Dist Kerala Kuttanad; Koottanad Kuttanad; 679533,,"contact@federalbank.co.in,u003e_ptay@federalbank.co.in,nridiv@federalbank.co.in,x3emobilesupport@federalbank.co.in,creditcards@federalbank.co.in,PGT@federalbank.co.in,help@fi.care,mobilesupport@federalbank.co.in,support@federalbank.co.in,ptay@federalbank.co.in,x3econtact@federalbank.co.in,u003epgty@federalbank.co.in,support@jupiter.money,x3enridiv@federalbank.co.in,pgty@federalbank.co.in,x3ecreditcards@federalbank.co.in,",10.760524; 76.119236
Federal Bank Vaniyamkulam Branch,Banks,Palakkad, Vaniamkulam; Ponnani Road Vaniamkulam; 679522,,"x3ecreditcards@federalbank.co.in,VMK@federalbank.co.in,x3econtact@federalbank.co.in,x3emobilesupport@federalbank.co.in,contact@federalbank.co.in,x3enridiv@federalbank.co.in,",10.7817347; 76.3293459
Axis Bank Ltd,Banks,Palakkad, Palakkad City; Church Road Palakkad City; 678014,,"x3epno@axisbank.com,customer.services@axisbank.com,pno@axisbank.com,Ibrm@axisbank.com,",10.7670086; 76.6533426
Canara Bank,Banks,Palakkad,Near Big Bazaar Palakkad City; Market Road Palakkad City; 678014,,"cb0812@canarabank.com,x3ehocancard@canarabank.com,x22hocancard@canarabank.com,hocancard@canarabank.com,naikdp@canarabank.com,",10.773962; 76.658246
HDFC Bank,Banks,Cherpulassery, Chandranagar; Junction Chandranagar; 678007,094267 92001,"support@hdfcbank.com,customerservices.cards@hdfcbank.com,x3ecustomerservices.cards@hdfcbank.com,",10.7678872; 76.6790976
Grama Suraksha Nidhi Ltd,Banks,Kottayam, Sangamner; Cherpulassery Sangamner; 679503,,"gramasurakshithamnidhiltd@gmail.com,alathur@kpbnidhi.com,sreekrishnakumarfcs@gmail.com,gramasurakshanidhiltd@gmail.com,",10.8765667; 76.30462
Central Bank Of India,Banks,Indi,Kumily Kumily; Kumily Kumily; 685509,,"mgrtbk_mobile@centralbank.co.in,customercare@unionbankofindia.com,bmvb4982@centralbank.co.in,x3ecustomercare@unionbankofindia.com,.in_Smtbk2@centralbank.co.in,cbsnethelp@centralbank.co.in,Smtbk2@centralbank.co.in,u003ecbsnethelp@centralbank.co.in,bmthan4344@centralbank.co.in,x22customercare@unionbankofindia.com,BOI.CallCentre@bankofindia.co.in,complaints@centralbank.co.in,.in_bmvb4982@centralbank.co,u003e_mgrtbk_mobile@centralbank.co,x3eBOI.CallCentre@bankofindia.co.in,",9.6078863; 77.168411
South Indian Bank,Banks,Munnar,Nr St Marys Church Peermade; Thottapura Rd Peermade; 685531,04865 230 675,"br0717@sib.co.in,customercare@sib.co.in,br0136@sib.co.in,br0275@sib.co.in,u003ebr0717@sib.co.in,x3ecustomercare@sib.co.in,",9.570777; 76.994917
Federal Bank,Banks,Kannur,Near Shopprix Super Centre Taliparamba; Bank Street Taliparamba; 670141,,"x3eCNN@FEDERALBANK.CO.IN,creditcards@federalbank.co.in,mobilesupport@federalbank.co.in,x3ecreditcards@federalbank.co.in,x3econtact@federalbank.co.in,support@federalbank.co.in,x3emobilesupport@federalbank.co.in,nridiv@federalbank.co.in,CNN@FEDERALBANK.CO.IN,contact@federalbank.co.in,x3enridiv@federalbank.co.in,",12.0350317; 75.3610671
