Name,Sector,City,Address,Phone,Email,Lat-Long
Jayawantrao Sawant College of Pharmacy and Research,College,4.6,,,"jspm.jscopr@gmail.com,,u003ejspm.jscopr@gmail.com,","18.4720134,73.9350095"
JSPM University,College,4.5,,,",info@jspm.edu.in,principal@jspmicoer.edu.in,principal@jspmjscoe.edu.in,principal@jspmrscoe.edu.in,","18.5811436,73.9652743"
JSPM’s Bhivarabai Sawant Institute of Technology and Research,College,Govt,"Wagholi, Pune, Maharashtra 412207",020 6733 5100,"u003eprincipal@jspmbsiotr.edu.in,,principal@jspmbsiotr.edu.in,principal@tssm.edu.in,","18.5863574,74.001669"
MIT-WPU,College,  (843),,,",international.admissions@mitwpu.edu.in,admissions@mitwpu.edu.in,admissions@mit.edu,x3eadmissions@mit.edu,","18.5137377,73.8121678"
"Dr. D.Y. Patil Institute of Engineering Management and Research, Akurdi",College,Pvt,"D. Y. Patil Educational Complex, Akurdi, Sector 29, Ravet Village Rd, Gurudwara Colony, Nigdi, Pimpri-Chinchwad, Maharashtra 411035",,",principal.dypiemr@gmail.com,admission@dypakurdipune.edu.in,dyppeca@gmail.com,tpo@dypiemr.ac.in,","18.6457064,73.757415"
MIT-WPU,College, +4 ,,,",mit@mitpune.com,international.admissions@mitwpu.edu.in,admissions@mitwpu.edu.in,outreach@mitwpu.edu.in,admissions@mit.edu,x3eadmissions@mit.edu,","18.5137377,73.8121678"
Sinhgad College of Engineering,College, +3 ,"FR8F+CR7, Jadhav Nagar, Vadgaon Budruk, Pune, Maharashtra 411041",,"principal.scos@sinhgad.edu,,principal.nbnscoe@sinhgad.edu,u003eprincipal_sits@sinhgad.edu,sitsaccounts@sinhgad.edu,principal.scoe@sinhgad.edu,principal_sits@sinhgad.edu,sinhgad.edu_exam_sits@sinhgad.edu,hr.scos@sinhgad.edu,admin.scos@sinhgad.edu,exam_sits@sinhgad.edu,saeprincipal@sinhgad.edu,studentsection_sits@sinhgad.edu,sniranjan@sinhgad.edu,registrar_sits@sinhgad.edu,registrar.scoe@sinhgad.edu,","18.4760447,73.8286071"
"MIT Institute of Design, MIT-ADT University",College,  (2099),,,",hr@mitid.edu.in,admissions@mit.edu,admissions@mitid.edu.in,admissions2024@mitid.edu.in,x3eadmissions@mit.edu,","18.4936405,74.0211248"
VIT - Vidyalankar Institute of Technology,College,  (1784),,,",principal@vit.edu.in,Sangeeta.joshi@vit.edu.in,","19.0214443,72.8676344"
Jayawantrao Sawant College of Engineering,College,Pvt,,,",jspm.jscoed@gmail.com,principal@jspmjscoe.edu.in,info@jspm.edu.in,","18.4760581,73.8698087"
JSPM’s Narhe Technical Campus,College,Pvt,"Survey No. 12/2/2 & 14/9, Pune Bangalore Highway, Taluka Haveli, Narhe, Pune, Maharashtra 411041",094227 78611,",director@jspmntc.edu.in,director.jspmntc@mail.com,info@jspmntc.edu.in,director@jspmntc.edu,","18.4414459,73.8291741"
Vidyavardhini's College of Engineering and Technology,College, +9 ,"9RMH+GFX, K.T. Marg, Vartak College Campus Vasai Road, Vasai-Virar, Maharashtra 401202",0250 233 8234,",parag.patil@vcet.edu.in,hr@vcet.edu.in,vcet_inbox@vcet.edu.in,","19.3838746,72.8261587"
JSPM’s Bhivarabai Sawant Institute of Technology and Research,College,Govt,"Wagholi, Pune, Maharashtra 412207",020 6733 5100,"u003eprincipal@jspmbsiotr.edu.in,,principal@jspmbsiotr.edu.in,principal@tssm.edu.in,","18.5863574,74.001669"
Marathwada Mitra Mandal's College of Engineering,College,  (1420),,,",principal@mmcoe.edu.in,mmcoe@mmcoe.edu.in,","18.4909825,73.8071681"
"Indira College of Engineering and Management, Indira Group of Institutes",College,  (2099),,,",u003einfo@indiraicem.ac.in,placements_isbs@indiraisbs.ac.in,taritashankar@indiraedu.com,principal@indiraicem.ac.in,info@indiraicem.ac.in,","18.7173672,73.6458281"
Jayawantrao Sawant College of Education,College, +3 ,,,"u003eprincipal@jspmjscoed.edu.in,jspm.jscoed@gmail.com,principal@jspmjscoed.edu.in,,","18.472173,73.9358412"
Marathwada Mitramandal's Institute of Technology,College,  (2099),,,",overseassupport@mmcoe.edu.in,mmit@mmit.edu.in,","18.4759913,73.7461982"
"College of Engineering, Shivnagar Vidya Prasarak Mandal's",College,  (852),"4FPX+WHV, Nira-Baramati Rd, Malegaon Budruk, Malegaon Bk, Maharashtra 413115",,"coembk.office@gmail.com,,office@engg.svpm.org.in,","18.1373621,74.4963344"
Prerana Pratishthan's Universal College of Engineering and Research,College,Pvt,"Universal college of engineering and research, Sasewadi, Maharashtra 412205",093705 21538,",preranap.pune@gmail.com,","18.3821427,73.8445016"
Rajarshi Shahu College of Education,College,3.8,,,"rscoed@gmail.com,,pramodyadavrscoe@gmail.com,hod_civil@jspmrscoe.edu.in,principal@rssc.edu.in,","18.4759913,73.7461982"
Jaihind College of Engineering,College, +4 ,"SH 52, Narayangaon - Junnar Rd, Narayangaon, Pimpalgaon Tarfe Narayangaon, Maharashtra 410502",099606 62727,"jcei.jaihind@gmail.com,,jcoekuran@gmail.com,","19.162908,73.9118941"
Rajgad Dnyanpeeth's Shri Chhatrapati Shivajiraje College of Engineering,College,3.8,,,",scscoe@gmail.com,","18.2125233,73.932987"
Jayawantrao Sawant College of Pharmacy and Research,College,  (3185),,,"jspm.jscopr@gmail.com,,","18.4720134,73.9350095"
Navsahyadri Education Society's Group of Institutions,College,  (2099),,,"director@NESGI.edu.in,1515principal@msbte.com,,directormba@navsahyadri.edu.in,director@navsahyadri.edu.in,Emailadmissions@navsahyadri.edu.in,","18.2685751,73.881008"
