Name,Sector,City,Address,Phone,Email,Lat-Long
Dexterity TechSys,Companies(Private),Gurgaon,"575/4 & 5, Shankar Chatra Apartment, 4th Floor, Opposite Kesari Wada, Shaniwarpeth, Pune 411030, MH","+91-7350000921, +91-20-24499444","webarenatechnology@gmail.com,sameer@dexterityindia.in,amc.tally@gmail.com,,","28.4225605,76.6600766"
"Smart Value Products And Services, Kolkata",Companies(Private),Delhi,"76, Incenarator Road, Dum Dum, Kolkata 700028, WB",+91-9874381973,"accounts@svpsl.in,,support@svpsl.in,x3eaccounts@svpsl.in,x22accounts@svpsl.in,rxxxxxxxxxxr@smartvalue.biz,","22.6028739,88.4131811"
Bada Business,Companies(Private),Delhi,"15, Okhla Phase 3, Okhla, New Delhi 110020, DL",+91-9810544443,",accounts@vivekbindra.in,fincontrol@badabusiness.com,u003efincontrol@badabusiness.com,care@badabusiness.com,","14.5146934,34.9762924"
Vestige Marketing Pvt Ltd,Companies(Private),Bengaluru,"94-A, 3, 1st Floor, Okhla Industrial Area, Phase-2, New Delhi 110020, DL","+91-11-43101234, +91-11-41708687",",d.jane@myvestige.com,info@myvestige.com,nodalofficer@myvestige.com,voice@myvestige.com,","12.9966004,77.3097506"
Stedman Pharmaceuticals Pvt Ltd,Companies(Private),Noida,"3-A, Adyar Bridge Road, Adyar, Chennai 600020, TN",,",info@mastersindia.co,pbalu@stedmanpharma.com,x3epbalu@stedmanpharma.com,doe@stedmanpharma.com,x3eaccounts@usanpharma.com,",
Agricultural Development Trust,Companies(Private),,"Post Box No 35, Shardanagar, Malegaon Colony, Baramati 413115, MH",+91-2112-254256,,
Nav Nirman Formwork Systems Pvt Ltd,Companies(Private),Nagar,"6, Road No 7, IDA Nacharam, Hyderabad 500076, TS",+91-40-27150119,",sales@navnirman.in,",
Sri Nachammai Cotton Mills Ltd,Companies(Private),,"30, Sugavaneswara Road, Balaji Nagar, Salem 636004, TN","+91-427-2330847, +91-427-2331879",,
Ethinos Digital Marketing,Companies(Private),Delhi,,,",info@ethinos.com,",
Dream To Fame,Companies(Private),Delhi,"56/10, Pushpanjali Apartments, Sector 10, Dwarka, New Delhi 110078, DL",+91-9810701669,",info@connecting-dreams.org,akash@kjeo.net,",
Lotus Herbals Ltd,Companies(Private),Indore,"2, Forest Lane, Near Ghitorni Metro Station, Sultanpur, New Delhi 110030, DL",+91-11-26541600,",last@lotusherbals.com,ashit.nangia@lotusherbals.com,",
Indore Colour Organics Ltd,Companies(Private),,"61, Chemical House, Jawahar Marg, Indore 452004, MP","+91-731-2467847, +91-731-2361171",,
Kolath & Co,Companies(Private),Bagalkot,"41, 3951-A, ORS Road, Kacheripady, Kochi 682018, KL","+91-484-2397447, +91-9846036863",,
Bagalkot Cement & Industries Ltd (BCIL-Kanoria Group),Companies(Private),,"1st Floor, Bagalkot Cement & Industries Limited, Bagalkot 578111, KA",+91-8354-220252,,
Bajaj Holographics India Pvt Ltd ( Bajaj ),Companies(Private),Surendranagar,"150, Sector-6, Manesar, Gurgaon 122050, HR",+91-124-4367148,",sales@bajajholographics.com,account@bajajholographics.com,",
WATConsult,Companies(Private),Agra,"1076, Parijat House, 5th Floor, Manjrekar Lane, Off Dr. E Moses Road, Worli, Mumbai 400018, MH",+91-22-67099200,",contact@watconsult.com,info@watblog.com,",
Net Gully,Companies(Private),Noida,"386/1-A, Jodhpur Park, Kolkata 700068, WB",+91-9836397132,"career@appinventiv.com,,accounts@spatniassociates.com,",
Sutraa Creations Pvt Ltd,Companies(Private),Bengaluru,"C-21, 2nd Floor, Sector 2, Noida 201301, UP","+91-120-4226258, +91-120-4222863",",jane-d@sutraa.com,info@sutraa.com,gilroy@sutraa.com,",
Tata Consultancy Services Ltd,Companies(Private),Banga,"Banyan Park, Suren Rd, Gundavali, Andheri East, Mumbai, 400093, MH",+91-2267793838,",x22mail@tce.co.in,csg-unit@tcplindia.co.in,careers@tcs.com,global.marketing@tcs.com,mail@tce.co.in,x3ecareers@tcs.com,x3eglobal.marketing@tcs.com,x3email@tce.co.in,",
Green Mobiles,Companies(Private),,"369, 13th Cross, 30th Main, 2nd Stage, Banashankari, Bangalore 560070, KA",+91-9900205511,,
