Name,Sector,City,Address,Phone,Email,Lat-Long
The B School International,School,Malappuram,Chinakal Randathani; NH-Kottakkal Randathani; 676510,,"thebschool_ktkl@yahoo.co.in,info@thebschool.org,dr.mashrafpsyc@gmail.com,",10.9717563; 76.0061692
Ryans English School,School,Madurai,Nila Palace Maranad; Maranadu Maranad; 691505,,"marketing@ryangroup.org,hr.mumbai@ryangroup.org,ris.vasantkunj@ryangroup.org,ryan.alumni@ryangroup.org,",8.9998267; 76.7090706
Kalvi International Public School.com,School,Kota," Sholavandan; Madurai,Sholavandan; 625214",7383617209.0,"kpsmadurai@kalvigroup.com,gps@cpil.in,kalvigroupschool@gmail.com,kipsosupport@kalvischools.com,",10.0222366459; 77.9626464759
Bemax Academy Karunagapally,School,Nagar,Near Am Hospital Karunagappally; A.M. Hospital Karunagappally; 690518,,"info@bemaxacademy.com,bemaxacademy@gmail.com,",9.0565605; 76.5350403
Trinity Lyceum School,School,Kollam, Thangasserry; Alatharamoodu Thangasserry; 691007,,"trinitylyceum@gmail.com,sathpeetvidyalaya@gmail.com,",8.8870241; 76.5763013
Tkm Centenary Public School,School,Kollam,Karokode Kollam Ho; Karicode Kollam Ho; 691001,,"tkmcps@gmail.com,",8.913468; 76.63507
Mount Carmel Convent Anglo-Indian Girls High School,School,Kollam, Thangasserry; Mount Carmel Road Thangasserry; 691007,,"mcctangi@gmail.com,",8.8828003; 76.5648077
Govt Model Boy's High School,School,Nagar, Kollam Ho; Thevally Kollam Kollam Ho; 691001,,"mesbhs@yahoo.com,bharat17762@gmail.com,ghsskansabel@gmail.com,sudarshangoud67@gmail.com,ghsadvoi@gmail.com,shrisanaik@gmail.com,peer.sajad@gmail.com,",8.894647; 76.5779009
Popcorn Kindergarten And School,School,Nagar, Pattoor; Pattoor; 695035,,"popcorns@gmail.com,u003epopcorns@gmail.com,",8.5009918; 76.9397594
Mangalam Educational Institutions,School,Alappuzha," Ettumanur; Kottayam,Ettumanur; 686631",,"info@mangalameducation.com,info@mangalam.in,govthssmangalam@gmail.com,",9.66590383; 76.55381476
Time Kids Preschools,School,Nagar,Near Kerala High Court Ernakulam North; Manjooran Road Ernakulam North; 682018,,"info@timekidspreschools.com,timekidskilpauk@gmail.com,asraonagar@timekidspreschools.com,franchise@timekidspreschools.com,",9.9932534; 76.2774496
Fatima Girls High School,School,Cochin,Near Santacru Kochi Fort; Fosse road Kochi Fort; 682001,,"mmquickerala@gmail.com,fatimaghsf@gmail.com,throwballkerala@gmail.com,",9.9651242; 76.2443746
Hamilton Montessory School And Daycare,School,Aluva,Opp Marthoma Public School Thengod; Edachira Thengod; 682030,8460412189.0,"admin@hamiltonmontessori.ca,office@hamiltonmontessori.org,srksajithasrk@gmail.com,",10.017116; 76.35807
Al - Ameen International Public School,School,Aluva,Near Al Ameen College Aluva; Al - Ameen Road Aluva; 683101,7947309822.0,"mail@al-ameen.ac.in,alameenedathala@gmail.com,sumi.subin8@gmail.com,",10.10118737; 76.36207175
Fathima Matha Lp School And Nursery School,School,Munnar,nan; Chinnakanal Suryanelli Road; 685618,,"fmhsckl@gmail.com,fmlpschickanal@gmail.com,",10.0405976; 77.1706806
St. Sebastian's High School,School,Palakkad,nan; Kanthippara; 685619,,"stsebastianshs@yahoo.com,marutharoadstsebastianshs@gmail.com,Saghss07090mvpa@gmail.com,ranjeevrajappan@yahoo.com,mesokd@bsnl.com,",9.9494684; 77.1367284
Sivagiri Sree Narayana Senior Secondary School,School,Varkala, Sreenivasapuram; School Road Sreenivasapuram; 695145,,"ssnssschool@yahoo.co.in,ssnssschoolvarkala@yahoo.co.in,kuttappanlariza@gmail.com,",8.74691; 76.7295754
