Name,Sector,City,Address,Phone,Email,Lat-Long
"MIT School of Food Technology, MIT-ADT University",College,2,"F2RF+M4H, MIT School of Food Technology, MIT ADT University, Loni Kalbhor",,"office@manetpune.edu.in,,anjali.bhoite@mituniversity.edu.in,admissions@manetpune.edu.in,","18.491676,74.0202919"
"Vijaybhoomi School of Science and Technology, Vijaybhoomi University",College,2,"Village Jamrung, Post Ambivali, Taluka Karjat, Dist Raigad, Maharashtra 410201",063665 68101,,"19.0206364,73.5199174"
Dattakala College of Pharmacy,College,2,,,",dattakaladpharm@gmail.com,dkcom.edu@rediffmail.com,u003edkcom.edu@rediffmail.com,vyavahareb.dkcop@dattakala.edu.in,payal.snikam17@gmail.com,","18.3122419,74.732616"
YES Education,College,2,"B Wing Second Floor 206, Pranav Commercial Plaza, Above Shiv Sena Shakha, M.G.Road, Mulund West, Mumbai, Maharashtra 400080",,",info@yeseducation.in,","18.4759913,73.7461982"
Sitabai Thite College of Pharmacy,College,2,"Pune-Ahmednagar Bypass, road, behind HUDCO Colony, Shirur, Maharashtra 412210",02138 222 680,",dgbaheti@yahoo.com,u003edgbaheti@yahoo.com,principalstcop@gmail.com,","18.8205143,74.3684937"
Shri Chhatrapati Shivajiraje College of Engineering,College,2,"Near Shedung Toll Plaza, Old Mumbai-Pune Highway Post - Shedung, Taluka, Panvel, Maharashtra 410216",083693 44356,",scscoe@gmail.com,u003escscoe@gmail.com,sescoe@gmail.com,","18.9476554,73.1724707"
Vishal Junnar Seva Mandal's Vishal Institute of Pharmaceutical Education and Research,College,2,"NIMSE MALA ROAD, Ale, Maharashtra 412411",,"info@vjsmale.com,,vjsmiopw@gmail.com,","19.1806543,74.1120575"
Manjara Charitable Rajiv Gandhi Institute of Technology,College,2,,,"placement@rgit.ac.in,,rgit02@rediffmail.com,sanjay.bokade@mctrgit.ac.in,","18.7869199,72.6800128"
"Centre for Development of Advanced Computing, Pashan",College,2,,,",x3eacts@cdac.in,course-enquiry@cdac.in,techsupport@cdac.in,u003eacts-placement@cdac.in,director@ncl.res.in,acts-placement@cdac.in,acts@cdac.in,","18.5344433,73.806391"
"Institute of Online Learning, Chandigarh University",College,2,"SCO-223 First Floor, Sector 36-D, Chandigarh, 160036",,"registrar@cumail.in,,admissions@cuidol.in,","30.7333871,76.7507597"
ICFAI University â€“ Distance Education,College,2,,,"flp@icfaiuniversity.in,,admissions@iutripura.edu.in,","18.8707363,72.8429957"
Oxford B.Ed. College,College,2,,,",oxfordb.edcollege01052@gmail.com,info@theoxford.edu,hodplacements@theoxford.edu,recruiters@careers.ox.ac.uk,contact@oxfordced.edu.in,entrepreneurship@sbs.ox.ac.uk,collaboration@admin.ox.ac.uk,scienceprincipal@theoxford.edu,enquiries@begbroke.ox.ac.uk,principal_coe@oxfordced.edu.in,","19.5716989,68.9371226"
College of Computer  Sciences,College,2,,,"FanCHL@sau.edu.cn,snehlata.shirude@gmail.com,besant_college@rediffmail.com,,besant.womens.college@gmail.com,principal@ccspune.in,bwc@besant.edu.in,","18.5553206,73.7200689"
"Rustomjee Academy for Global Careers, Dahanu",College,2,"WRXQ+6X9, Dahanu - Jawhar Rd, Dahanu, Manipur, Maharashtra 401602",,"Emailenquiries@ragc.rustomjee.com,,info@ragc.in,enquiries@ragc.rustomjee.com,","19.9631137,72.7602616"
"Maya Academy of Advanced Cinematics, JM Road",College,2,,,",jmroad2@maacmail.com,nashik-collegeroad@maacmail.com,careers@aptech.ac.in,customercare@aptech.ac.in,","18.5196637,73.8421517"
Saifee Hospital,College,2,,,",write@saifeehospital.com,Emailwrite@saifeehospital.com,hrsaifeehospital@yahoo.com,","18.9755006,72.8086067"
Nalanda Educational Foundations Dr Babasaheb Ambedkar College of Arts Science and Commerce,College,2,"3W72+9CG, PL Lokhande Marg, Chembur West, Muncipal Labour Colony, Kurla, Mumbai, Maharashtra 400089",022 2525 2928,,"19.0634333,72.8984949"
Institute of Taxation and Accounting Professionals (ITAP),College,2,,,",itapbengaluru@gmail.com,","18.5756715,73.7808154"
MIT School of Distance Education,College,2,,,",last@mitsde.com,admissions@mitsde.com,support@mitsde.com,Emailcampussupport@mitsde.com,7@www.mitsde.com,psmalik@mitsde.com,","18.4760447,73.8286071"
Creative Concept,College,2,,,",info@creativeconcept.co,","18.4760581,73.8698087"
Ira Education Societys College of Education,College,2,"S.No 149/1, Arvi, Haveli, Maharashtra 412205",,"u003einfo@iraeducation.com,,info@iraeducation.com,iraedu100@gmail.com,hello@collegedekho.com,","18.3537666,73.8138121"
