Name,Sector,City,Address,Phone,Email,Lat-Long
Fun Plus Fit - Kondapur - Hyderabad,Gym,Hyderabad,"F9XQ+VMM, Nizampet Rd, Jai Bharat Nagar, Hyder Nagar, Vasantha Nagar, Hyderabad, Telangana 500090",+91-9989880557,,"17.4997231,78.3788794"
Aesthetic Fitness - Kharghar - Navi Mumbai,Gym,Navi Mumbai,"Shop no 08 & 09, Sai Sakshaat society, Plot no-09, Sector-06, near Singhsaab Fine Dine Restaurant, Kharghar, Navi Mumbai, Maharashtra 410210",089286 03693,",edgelinkseo1@gmail.com,","19.0451899,73.0607454"
Winners Foundation Gym - Jalgaon,Gym,Jalgaon,"Sane Nagar, Amalner, Jalgaon 425401, MH",,",jalgaon@goldsgym.in,","20.989929,75.5365111"
Vyenktesh Swimming - Jalgaon,Gym,Jalgaon,"Tongaon, Jalgaon 424201, MH",+91-7419873773,,"20.9900645,75.4930221"
Vispute Fitness Point - Jalgaon,Gym,Jalgaon,"Shubharambh Residency, Girana Pumping Rd, near Wagh Nagar, Stop, Jalgaon, Maharashtra 425001",,",ajayvispute11@gmail.com,","20.9932667,75.5403074"
Vintage Fitness - Jalgaon,Gym,Jalgaon,"Anandraj Palace, Opposite Hotel Shrinath Pride, Dharangaon Naka, Jalgaon 425107, MH",,",ufitdelhi@gmail.com,","21.1079186,75.2818715"
The Royal Fitness Club - Jalgaon,Gym,Jalgaon,"Gat no 139/2B plot no 41 Rukhmini nagar, near chaitanya mahadev mandir, Harivitthal Nagar, Jalgaon, Maharashtra 425001",+91-8888992230,"airfitness8@gmail.com,,royalfitnesscbe@gmail.com,","20.995957,75.5391704"
The Goldy'S Fitness - Jalgaon,Gym,Jalgaon,"Shanti Arcade, S.No.490/4, Plot No. 58, 2nd Floor, Jalgaon, Maharashtra 425002",098222 89222,",jalgaon@goldsgym.in,","20.9970221,75.5532583"
The Fitness Code - Jalgaon,Gym,Jalgaon,"Wisdom House, B/H Venkatesh Temple, near Swadhyaya Bhawan, Jalgaon, Maharashtra 425002",072768 35824,"rajudyogjalgaon@yahoo.in,,","20.9962851,75.5594708"
Tapaswi Maroti Gym - Jalgaon,Gym,Jalgaon,"Near Tapaswi Maroti Mandir, Patil Gadhi Road, Jalgaon 425107, MH",,",thoratsanjay609@gmail.com,amolkarale_33@rediffmail.com,","20.9997175,75.4713052"
TALWALKARS GYM - Jalgaon,Gym,Jalgaon,"324/2, Mahatma Gandhi Road, Near Bus Stand, Jilha Peth, Jalgaon, Maharashtra 425001",,",avantis@talwalkars.net,","21.007114,75.5610905"
Sohane Gym - Jalgaon,Gym,Jalgaon,"Plot No. 28, Gate No. 13/1/2, Ramrath, Vidyanagar, Pimprala Rd, near Bhavani Temple, Jalgaon, Maharashtra 425001",094226 34591,,"21.0114256,75.5375821"
Shri Sai Bajarang Gym - Jalgaon,Gym,Jalgaon,"93,Ekvira Bhavan,Radhakrishna Nagar, Shivaji Nagar, Jalgaon, Maharashtra 425001",094227 80451,,"21.0209789,75.5508547"
Shri Chatrapati Shivaji Vyayam Shala - Jalgaon,Gym,Jalgaon,"Sane Nagar, Kacheri Road, Amalner, Jalgaon 425401, MH",+91-9115572340,",swamisamarth55@gmail.com,anilsraut@hotmail.com,","21.0275135,74.980698"
Shree Dance Studio and Fitness Club - Jalgaon,Gym,Jalgaon,"Datta Chaitanya Nagar, Pachora Road, Jalgaon 424206, MH",+91-6384454887,,"20.9088082,75.4962128"
Seven Health Club - Jalgaon,Gym,Jalgaon,"Ramdev Plaza, Pimprala Road, Bhikamchand Jain Nagar, Jalgaon 425001, MH",+91-6384465284,",info@powermaxfitness.net,kcesbped07@gmail.com,","20.9974352,75.5367589"
Sardar Vallabhbhai Patel Gymnasium - Jalgaon,Gym,Jalgaon,"Khedi, Jalgaon 425002, MH",,",patelhardik121090@gmail.com,svpca123@yahoo.com,","21.0191503,75.4746989"
Sardar Body Maker - Jalgaon,Gym,Jalgaon,"Pachora, Jalgaon 424201, MH",+91-6384465861,",dramsped@gmail.com,sunriseipr@gmail.com,","20.8372082,75.2986198"
Santaji Fitness Point - Jalgaon,Gym,Jalgaon,"Bhusawal Road, Garkhede, Jalgaon 424206, MH",+91-9115567895,"mail@antonyandassociates.in,,","20.9997323,75.5244477"
