Name,Sector,City,Address,Phone,Email,Lat-Long
Viva Bakes and Restaurant,Retail,Manjeri,Opposite Panchayath Office Chungathara; Ooty Main Road Chungathara; 679334,8401884780.0,"info@olenecanto.com,",11.3368321; 76.2766697
Farsa Restaurant,Retail,Tirur,Near Sree Sumo Auditorium Manjeri Kla; Gandhi Bypass Road Manjeri Kla; 676121,,"deliciahotel@gmail.com,farsarestaurant@gmail.com,",11.1236636; 76.1147933
Ritzy Restaurant Kuttippuram,Retail,Malappuram,Near Signal Junction Kuttippuram Kuttippuram; Junction Kuttippuram Kuttippuram; 679571,,"asa.acs@gmail.co,",10.8431243; 76.0303983
Bonfire,Retail,Tirur,Near Kendra Vidhyalayam Civil Station; Up Hill Civil Station; 676505,,"neethulakshmigr@gmail.com,br0426@sib.co.in,tirurtso@gmail.com,",11.0429994; 76.0766208
Delicia Hotel,Retail,Manjeri,Near Municipal Bus Stand Downhill; Delicia Complex Downhill; 676519,,"catering@deliciahotel.com,",11.0445239; 76.075963
Olene Canto Bakes & Restaurant,Retail,Thrissur,Opposite New Bus Stand Manjeri; Manjeri Locality Manjeri; 676122,,"info@olenecanto.com,",11.1201655; 76.1225205
Ali Baba & 41 Dishes,Retail,Thrissur,Opposite to Veekay Tower Kuruppam Road; Kuruppam Road Kuruppam Road; 680001,8123380725.0,,10.518934694444; 76.211155388889
Indian Palace Restaurant,Retail,Thrissur,Near Old Police Station Pudukad; NH-544 Pudukad; 680301,8485956917.0,"arfcs@gmail.co,",10.437262527778; 76.253707861111
Moosas Biriyani House,Retail,Thrissur,Near By Mosque; Ring Road; 680021,8460484798.0,"moosasbiryani@gmail.com,",10.5164823; 76.2126947
Kallada Restaurant,Retail,Kunnamkulam, Mannuthy; Santosh Nagar Mannuthy; 680651,,"arfcs@gmail.co,",10.5294325; 76.2595367
Charcoal Delights,Retail,Thrissur,Near Mathews Auditorium Kunnamkulam; Wadakkanchery Road Kunnamkulam; 680503,,"a1greens.india@gmail.com,",10.662898; 76.099108
The Yellow Chilli,Retail,Varkala,Near Narmada Shopping Complex Kowdiar; Toll Junction Kowdiar; 695003,8460529934.0,,8.5137123; 76.9524661
Zeit Resturant,Retail,Attingal,Opposite Reliance Trends Varkala; Beach Road Varkala; 695141,9054767593.0,,8.737643055556; 76.701843055556
Lafolei Clicks,Retail,Indi,Near Alamcode Juma Masjid Alamcode; NH Alamcode Alamcode; 695102,9054775312.0,,8.7238894; 76.8124237
The AFC(American Fried Chicken),Retail,Kollam,Mar Ivanios College Nalanchira; MC Road Nalanchira Nalanchira; 695015,7947463286.0,"queries@afc.world,",8.5488101; 76.940597
Zam Zam Restaurant,Retail,Munnar,Opposite to MLA Hostel Palayam; Palayam; 695034,,"customercare@zamzamrestaurants.com,zamzamresources@gmail.com,",8.5035931; 76.9497251
Sree Krishna M G Hotel,Retail,Munnar,Near Sujata Inn Munnar Ho; A Meeting Road Munnar Ho; 685612,,"mv.krishna@newindia.co.in,",10.081457; 77.061617
Annapoorna Restaurant,Retail,Munnar,Fghfg; nan; 685612,,"mccmunnar@dishnetdsl.net,mccmunnar@vsnl.net,",10.091065; 77.05965
Hotel Gurubhavan ,Retail,Munnar,Near KTDC Tea County Ikka Nagar; Colony Road Munnar Ikka Nagar; 685612,,"hello@munnarbookings.com,",10.0877749; 77.0649531
Mummy's Kitchen,Retail,Munnar, munnar ho; munnar ho; 685612,,"info@amberdalemunnar.com,fom@amberdalemunnar.com,",10.07851835; 77.06294654
Hotel Sangeetha,Retail,Nagar, Munnar Colony; Ikka Nagar Munnar Colony; 685612,,"sangeethaveg@gmail.com,svrchennai@yahoo.com,binishpanicker@sangeethaveg.com,",10.0875812; 77.0659096
Oryx Village,Retail,Indi,Near Kanhangad South Jn Kanhangad South; Main Road Kanhangad South; 671531,8488918253.0,"info@oryxvillage.com,",12.2967941; 75.1021772
Toddy Parlour,Retail,Ambad, Periyar Lake; Periyar Lake; 685509,,"sunriseipr@gmail.com,",9.529316; 77.228193
Vasant Vihar Veg,Retail,Kottayam, Kumily; Kottayam-Kumily Road Kumily; 685509,,"krishna@freshfarmsexim.com,",9.6067057; 77.164549
Sri Ganapathi Bhojanalaya,Retail,Ambad, Thekkady; K K Road Thekkady; 685509,,"aturdr2106@gmail.com,advprashantrp@gmail.com,",9.606138222222; 77.16885375
Ambadi Restaurant,Retail,Kollam, Thekkady; Ambadi Junction Thekkady; 685509,,"aarun@damoagro.com,raksansh2003@gmail.com,",9.60296; 77.171454
Hotel Royal Treat,Retail,Palakkad,Near Victoria College Road Tharekkad; College Road Tharekkad; 678001,7947173415.0,"support@clicktoindia.com,",10.782253; 76.653368
London Bakes N Grills,Retail,Palakkad,Near Ksrtc Stand Noorani; ACM Aboobacker Road Noorani; 678004,,"londonbng@gmail.com,",10.767505972222; 76.648162972222
Arabian grill & fry ( Idam restaurant),Retail,Kozhikode,Near Chennai Mobile Stadium Bypass Road; Bypass Road Stadium Bypass Road; 678001,8401046599.0,,10.769795416667; 76.661666861111
Kadal Restaurant,Retail,Palakkad,Near Trinity Hospital Palakkad Ho; Kozhikode By Pass Palakkad Ho; 678001,9725533997.0,"mail@mykeralatravel.com,dils7967@gmail.com,aalbertfrere@gmail.com,",10.7768891; 76.6701423
Hotel Green Star,Retail,Cherpulassery, Pirayiri; Pirayiri; 678004,,"bookingsbclub7hotel@gmail.com,aliyainternational@gmail.com,sdi.gkp@gmail.com,",10.7744939951; 76.6114335135
The Sky Bar (The Leela Kovalam A Raviz Hotel),Retail,Varkala,Below The Main Pooldeck Area Kovalam Beach; Kovalam Beach Road Kovalam Beach; 695527,,"sales.kovalam@theleela.com,reservations@theleela.com,hari.mohan@theleela.com,",8.393606; 76.971826
Kairali Restraurant,Retail,Kollam,Near Indhira Park Varkala; Varkala Beach Rd Varkala; 695141,7947234345.0,"war@gmail.com,",8.7353845014; 76.7172608813
Lekshmi Edibles Gourmet Restaurant,Retail,Kollam,Near Sngc School Ezhukone; Kollam Road Ezhukone; 691505,8128139562.0,,8.982355; 76.724130833333
Spicy Food Court,Retail,Kollam, Ayur; Ayoor Ayur; 691533,8128437557.0,"dfikollam@gmail.com,",8.8955736; 76.8617718
Hotel Taste And Taste,Retail,Pollachi, Kollengode; Fnbgk Kollengode; 678506,,"pollachipapyrus@gmail.com,",10.6125112; 76.6833685
Winter Heaven Cottage,Retail,Aluva, Pattaline; Pattaline Pattaline; 685612,,"hckerala@nic.in,",10.0880875; 77.0669309
Hotel Sn,Retail,Munnar, Aluva Munnar Road; Aluva Munnar Road; 685612,,"team@snmunnar.com,snannex@rediffmail.com,info@keralatourism.org,",10.0877481; 77.0641631
Hotel Mugal Palace,Retail,Munnar, Moolakadai; Munnar Moolakadai Moolakadai; 685612,,"junaidmukadam@hotelmogulpalace.com,junaid.m1983@gmail.com,garotrichy@canarabank.com,mccmunnar@vsnl.net,mccmunnar@dishnetdsl.net,",10.0782404; 77.0628221
New York Fried Chicken,Retail,Aluva,Near Dtpc Parking Ground; Old; 685612,,"nbquestions@momofuku.com,",10.0762248; 77.0632278
Winter Yard,Retail,Munnar, Munnar HO; A M Road Munnar HO; 685612,,"crs@travelnotehotels.com,wintergardenresorts@gmail.co,",10.0746257; 77.0617694
Blackberry Hills Munnar Resorts Hornbill Restaurant,Retail,Nagar, Pothamedu; Bison Valley Road Pothamedu; 685612,,"reservations@blackberryresorts.com,",10.0537706; 77.0671134
S N Restaurant,Retail,Aluva,Opposite To KDHP Store Munnar HO; Old Munnar Munnar HO; 685612,,"hotelperiyaraluva@gmail.com,co@gmail.com,mail@rajagirihospital.com,",10.0747858; 77.0633572
India Gate,Retail,Indi, Vythiri; Vythiri Vythiri; 673576,,"NCCD.India@gmail.com,social@vprotectindia.com,",11.5585579; 76.0404556
Royal Retreat,Retail,Munnar, Munnar Ho; Hills A.M. Road Munnar Ho; 685612,,"info@keralatourism.org,royalretreatcok@gmail.com,",10.07279; 77.06172
King Food Corner,Retail,Cherthala,Near Spinn Mill Kareelakulangara; NH 47 Kareelakulangara; 690572,8971543312.0,"gwaplants@gmail.com,",9.1998211; 76.4844504
Onion Food Mall,Retail,Alappuzha,Near Ksrtc Bus Stand Cherthala; Kodathikavila Road Cherthala; 688524,8490920536.0,,9.6860654; 76.3429787
Asoka Bakers,Retail,Cherthala,Near District Court Bridge Mullakkal; Mullackal Road Mullakkal; 688011,8488910966.0,"anishapannyott@gmail.com,days@gmail.co,",9.5004966; 76.3424958
Kayees Rahmathulla Hotel,Retail,Cochin, Mattancherry; New Road Mattancherry; 682002,,"support@tastes2plate.com,",9.9627537; 76.2548934
Hoy Punjab,Retail,Basi,Kacheripady Hotel Garden Inn Kochi; TA Beerankunju Road Kochi; 682001,,"saroj.semt@punjab.gov.in,manuj.syal@punjab.gov.in,",9.987093; 76.285226
Mother's Kitchen,Retail,Nagar, Karunagappally; Road Karunagappally; 690518,,"meghalisahu@gmail.com,info@mothersspicesproducts.com,",9.06305867025; 76.534719988694
Rahmaniya Kethels Chicken,Retail,Kannur, Mayyanad; Umayanalloor Mayyanad; 691303,,"kethelschicken2018@gmail.com,",8.833959849; 76.64671362
Hotel Green Park,Retail,Kannur, Cherupuzha; Main Road Cherupuzha; 670511,,"greenparkresidency@rediffmail.com,",12.2720947; 75.361051
Broad Bean Hotel,Retail,Kannur, Thavakkara; Kannur Locality Thavakkara; 670012,,"broadbeanpvtltd@gmail.com,kkbuilderskerala@gmail.com,broadbeankannur@gmail.com,",11.866618; 75.372364
Naaz Arabia,Retail,Kannur,nan; nan; 670691,,"jamil.78663@gmail.com,goodlinkconsultancy@gmail.com,albarkatfoods@yahoo.com,",11.8131247; 75.5545513
Cafe Ghazal,Retail,Kannur,Opposite Hotel Savoy Payyambalam; SN Park Road Payyambalam; 670001,,"ghazalkannur@gmail.com,privilegecard@manorama.com,",11.868707638889; 75.3587265
Edassery Farmyard Restaurant,Retail,Munnar,Chattupara Adimali; V/537 Adimali; 685561,,"don@indiansummerhouse.co,madhuvayattu@yahoo.com,",10.0196731; 76.9342187
Cafe Malabar,Retail,Madurai,Adjacent To Bharath Petroleum Pump Thodupuzha; Thodupuzha Locality Thodupuzha; 685584,,"care.in@malabargoldanddiamonds.com,maniraja@mysorefiltercoffee.com,mgdmadurai@malabargroup.com,x3ecare.in@malabargoldanddiamonds.com,",9.9005650974; 76.7123559863
