Name,Sector,City,Address,Phone,Email,Lat-Long
Symmetrix,Companies(Private),Agar,"88-B, Lakeview Road, Kolkata 700029, WB","+91-7439891697, +91-9830278291",,
Vishwakarma Furniture Works,Companies(Private),Agar,"A-144, WHS Timber Block, Kirti Nagar, New Delhi 110015, DL",+91-11-25104886,"Mahive.divesh16@gmail.com,,vishwakarmain@hotmail.com,nand9122@gmail.com,",
Express engineers & Spares Pvt Ltd,Companies(Private),Agar,"83, 94, Rajdhani Nikunj, I.P. Extension, Patparganj, New Delhi 110092, DL",+91-11-65251559,,
Alps Cosmetic Clinic Pvt Ltd,Companies(Private),Agar,"78, Guru Amar Das Bhawan, 201, 2nd Floor, Nehru Place, New Delhi 110019, DL","+91-11-41636369, +91-9212444666",",psoberoica@gmail.com,info@bhartitaneja.com,casnjaychhabra@gmail.com,",
Prakruti Products Pvt Ltd,Companies(Private),Agar,"Sagar Complex, Maruti Temple Road, Karwar 581301, KA",,",pratisales@prakruti.com,jane@prakruti.com,mapl@gmail.com,info@prakruti.com,",
Terra Firma Projects Pvt Ltd,Companies(Private),Agar,"501, Aashirwad Apartments, Street No 3, Umanagar, Begumpet, Hyderabad 500016, TS","+91-40-20000458, +91-9347576767","info@terrafirma.in,,accounts@terragreensorganic.in,info.terrafirma@genexenterprises.com,",
Sri Krishna Sweets Pvt Ltd,Companies(Private),Agar,"F1, 1st Floor, Srivari Kikani Center, 2 Krishnaswamy Road, R. S. Puram, Coimbatore 641002, TN","+91-422-2545520, +91-422-2545580, 91-422-2545540","sks@srikrishnasweets.net,,u003esks@srikrishnasweets.net,jain_cm@rediffmail.com,",
Indopol Food Processing Machinery Pvt Ltd (Indopol Group),Companies(Private),Agar,"Industrial Plot No 28, Sector 27-C, Faridabad 121003, HR","+91-129-2276162, +91-129-2275823","gaurav@indopol.com,,Info@indopol.com,info@indopol.com,",
Micro Filt India,Companies(Private),Agar,"Plot No 31, Ganeshkrupa Bharti Niwas Society, Off Karve Road, Pune 411004, MH","+91-20-25432504, +91-20-25438166",",rakesh.shejwal@aartigroup.cominfo,innovations@microfiltindia.com,","18.5144415,73.4234556"
SERP Consultancy,Companies(Private),Agar,"DN-51, Module 814, 8th Floor, Sector 5, Merlin Infinity, Salt Lake City, Kolkata 700091, WB",+91-33-40669366,,"18.4816218,73.8507365"
MatexNet Pvt Ltd,Companies(Private),Agar,"4 & 5, 1st Cross, KR Colony, Domlur Layout, Bangalore 560071, KA",+91-80-42440600,",jane@matexnet.com,","19.0791644,73.0003129"
CapriCoast.com Home Solutions Pvt Ltd,Companies(Private),Agar,"728, Grace Platina, 1st & 2nd Floor, CMH Road, Indiranagar, Bengaluru 560038, KA",-9243422132,",jawad@capricoast.com,",
Sal Logistics Pvt Ltd,Companies(Private),Agar,"424, Arora Service Station, Near Shiv Murti, National Highway 8, Rangpuri, New Delhi 110037, DL",-8377801954,"anup@sallogistics.com,enquiry@sallogistics.com,gslogistics_2006@yahoo.com,,ashish.sonthalia@globalpsa.com,x3ecompliance.hlpl@gmail.com,info@agslogistics.in,John@sallogistics.com,compliance.hlpl@gmail.com,x3egslogistics_2006@yahoo.com,x3eashish.sonthalia@globalpsa.com,x3einfo@agslogistics.in,",
Germin8 Solutions,Companies(Private),Agar,"501/502, Eco House, Off Aarey Road, Vishveshwar Colony, Goregaon East, Mumbai 400063, MH",-29271678,",sunil.palrecha@gmail.com,maheshpable@gmail.com,munish.dutt@gmail.com,contact@germin8.com,",
"Dainik Navajyoti,Jaipur",Companies(Private),Agar,"Jobner Baag, Station Road, Jaipur 302023, RJ",-2206711,",jaipur@vardhanenvironet.com,jaipur@dainiknavajyoti.com,feedback@dainiknavajyoti.com,dnavajyoti@gmail.com,",
Spg Infotech,Companies(Private),Agar,"112-P, A, Lake Town, Kolkata 700089, WB",,"cool_boy@email.com,",
Pioneer Enterprises (I) Pvt Ltd,Companies(Private),Agar,"58, Jadhav Wasti, Hadapsar Station Road, Mundhwa, Pune 411001, MH",-32906881,"cs@plasto.in,malay@hpcind.com,shrey.plasto@gmail.com,shrey.plasto@gmail.com,malay@hpcind.com,x3ecs@plasto.in,",
Vinay Mathur & Associates,Companies(Private),Agar,"4-B, Shiv Marg, Bani Park, Jaipur 302016, RJ",+91-141-2209924,"reachus@vispl.co.in,reachus@vispl.co.in,reachus@vispl.co.in,x3ereachus@vispl.co.in,",
PSA Legal Counsellors,Companies(Private),Agar,"14-A, 14-B, 15, Barakhamba Road, Hansalaya, New Delhi 110001, DL",+91-11-43500500,"info@qatechnicindia.com,",
Longhouse Consulting,Companies(Private),Agar,"53, Kariyammana Agrahara Road, Devarabisana, Bangalore 560037, KA",+91-80-66560000,,
Achromic Point Consulting Pvt Ltd,Companies(Private),Agar,"303-305, 3rd Floor, Sarda Chambers, LSC Kalkaji, New Delhi 110019, DL",+91-11-26281521,"sachartered@gmail.com,",
The Varachha Co-operative Bank Ltd,Companies(Private),Agar,"Affil Tower, LH Road, Surat 395006, GJ","+91-261-2556531, +91-261-4008000","sanjayahuja@tfciltd.com,admin@mcsdel.com,",
Adarsh Credit Co-Operative Society Ltd,Companies(Private),Agar,"Adarsh Bhavan, 14, Vidya Vihar Colony, Usmanpura, Ashram Road, Ahmedabad 380013, GJ",+91-79-30487800,,
Ad Manum Packaging Ltd,Companies(Private),Agar,"Agarwal House, 1st Floor, 5, Yeshwant Colony, Indore 452003, MP","+91-731-4080808, +91-731-2539575","contact@polyraj.com,contact@admanum.com,rakesh.shejwal@aartigroup.cominfo,admanum@sancharnet.in,",
