Name,Sector,City,Address,Phone,Email,Lat-Long
WATConsult,Companies(Private),Agra,"1076, Parijat House, 5th Floor, Manjrekar Lane, Off Dr. E Moses Road, Worli, Mumbai 400018, MH",+91-22-67099200,",contact@watconsult.com,info@watblog.com,",
A M Jain and Co,Companies(Private),Agra,"103/33, Malhotra Chamber, 1st Floor, Near Handloom House, Police Court Lane, Dr. D.N. Road, Fort, Mumbai 40000, MH","+91-22 66355022, +91-22622503","email@dgsm.co.in,,deveshshahin@yahoo.co.in,dhanraj.dagar@zyduswellness.com,",
Maxim SMT Technologies Pvt Ltd,Companies(Private),Agra,"145, Sector-7, Imt Manesar, Gurgaon 122050, HR",+91-124-4369841,",saumen@maximsmt.com,vikram@maximsmt.com,",
Marsons Ltd,Companies(Private),Agra,"4, Chandni Chowk Street, Kolkata 700072, WB",+91-33-40616212,",info@marsonsonline.com,meidg@marsonselectricals.com,",
Kripson Electricals,Companies(Private),Agra,"1480, Kripson House, Mamunaiks Pole Gandhi Road, Ahmedabad 380001, GJ",+91-79-22135131,",contact@kripson.com,",
Kramer Electronics India Pvt Ltd,Companies(Private),Agra,"18, 4, Sufiya Elete, Cunningham Road, Bangalore 560052, KA",+91-80-41485388,",JSmith@kramerav.com,John@kramerav.com,JSmith@kramerus.com,rajeshs@kramerindia.com,d_j@kramerav.com,",
Cirkit Electro Components Pvt Ltd,Companies(Private),Agra,"54-B, Drug House Building, Proctor Road, Mumbai 400007, MH",+91-22-23877777,",rakesh.shejwal@aartigroup.cominfo,sales@cirkitelectro.com,accounts@cirkitelectro.com,",
Centerprise Tech India Pvt Ltd,Companies(Private),Agra,"122, Punjani Estate Khopat, Thane, Mumbai 400601, MH",+91-22-09820234630,"agfibrotechp@yahoo.com,,adinishamarketing@gmail.com,",
Bhavna Electrical Industries,Companies(Private),Agra,"485-A, G.I.D.C, Industrial Area, Shanker Tekri, Udyognagar, Jamnagar 361004, GJ",+91-288-9925020025,",info@bhavnaelectric.com,",
Arshad Electronics Pvt Ltd,Companies(Private),Agra,"305, Hammersmith Industrial Estate, Sitladevi Temple Road, Mahim, Mumbai 400016, MH",+91-22-24451709,"sales@arshadelectronics.com,,accounts@arshadelectronics.com,x3eaccounts@arshadelectronics.com,amoolji@arshadelectronics.com,",
