Name,Sector,City,Address,Phone,Email,Lat-Long
Jabbar Travels,Companies(Private),Ahmedabad,"19/3, TSP Road, Kalasipalyam, Bangalore 560002, KA",+91-80-26700156,",support@ticketsimply.com,",
Aarti Industries Ltd,Companies(Private),Ahmedabad,"2nd Floor, Udyog Kshetra, Mulund Goregaon Link Road, Mulund West, Mumbai 400080, MH",+91-22-67976666,",co.ail@aarti-industries.com,x3einfo@aarti-industries.com,ahmedabad@archidply.com,info@aarti-industries.com,",
General Imsubs Pvt Ltd,Companies(Private),Ahmedabad,"3711-A, GIDC, Phase 4, Vatva, Ahmedabad 382445, GJ",+91-79-40085985,",info@giplindia.com,info@suppliersplanet.com,",
Paranjape Schemes,Companies(Private),Ahmedabad,"PSC House, Dr.Ketkar Road, Off Prabhat Road, Pune-411 004",+91-9672559666,,
Tripledots Software Services,Companies(Private),Ahmedabad,"Sharda Battery Ln, Kumhartoli, Piska More, Ratu Road, Ranchi, Jharkhand",+91-8797107721,,
Iteshub Technologies,Companies(Private),Ahmedabad,"Plot No 38, Near Gita Girls School, Amin Road, Kurukshetra 136118, Haryana","+91-8607224466, +91-7015812890",",neeraj.softengg@gmail.com,info@iteshub.com,iteshub@gmail.com,",
Jayna Technologies,Companies(Private),Ahmedabad,"S-11, Opp. BSNL Telephone Exchange, Near Rajasthani Boutique, Avas Vikas, Roorkee",+91-8791343936,",janedoe@jayna.in,",
M R S P and Co,Companies(Private),Ahmedabad,"311-A, Powai Plaza, Central Avenue, Hiranandani Gardens, JVLR, Powai, Mumbai 400076, MH","+91-22-41225106, +91-7506271888",",jknfkiran@yahoo.in,shekharvyas@yahoo.com,info@mrspconsultants.com,arpansheriya@ymail.com,",
ENM Global,Companies(Private),Ahmedabad,"Midas Chambers, 5th Floor, Fun Republic Multiplex Street, Off New Link Road, Andheri West, Mumbai 400053, MH",+91-22-46026909,",x3eusindiaogc@deloitte.com,info@renewpower.in,askus@gsk.com,usindiaogc@deloitte.com,",
Aeramic Aerospace,Companies(Private),Ahmedabad,"B-173, 4th Main, 2nd Stage, Peenya Industrial Estate, Bengaluru 560058, KA",+91-816-2959077,",vinayak.kokate@globallogistics.co.in,info@aeroncomposite.com,ahmedabad@mitutoyoindia.com,udaynair454@gmail.com,uday@aeramicaerospace.com,",
TruSens TaxBooks,Companies(Private),Ahmedabad,"A207 Adarsh Vihar, 5/1 Bannerghatta Main Road, Bangalore",+91-9966889968,",ir@domsindia.com,",
LiveBird Technologies,Companies(Private),Ahmedabad,"1217-1218, Satyamev Eminence, Science City Rd, Sola, Ahmedabad 380060,GJ",+91-7940326055,",admin@carajpara.com,info@livebirdtechnologies.com,ARTICLE.RAJPARA@GMAIL.COM,",
Incedo Inc,Companies(Private),Ahmedabad,"Global Technology Park, Tower C, 1st Floor, Outer Ring Road, Devarabeesanahalli, Block C, Bengaluru Bangalore 560103,KA",,"careers@incedoinc.com,,x3ecompanylaw@sgcservices.com,",
Legalassure.in,Companies(Private),Ahmedabad,"Ojas, Row House No. 2, Laxman Nagar, Balewadi High Street, Pune 411045,MH",+91-9881908241,,
Ifisys Software And Services,Companies(Private),Ahmedabad,"Pearls Omaxe Tower, 402 Tower 1, Netaji Subhash Place, Pitam Pura 110034,DL",+91-7417417024,",alokpradeep21@gmail.com,",
Octagon Insights,Companies(Private),Ahmedabad,,,",siddharthmanpuria@rediffmail.com,healthquotientinsights@gmail.com,",
TechUnido Software Solution,Companies(Private),Ahmedabad,"01, Sunil Enclave, Andheri East, Mumbai 400059, MH",+91-22-67089888,,
Halis Bio Remedies,Companies(Private),Ahmedabad,"Nanhera Road, Kuldeep Nagar, Ambala Cantt 132104, HR","+91-9416857195, +91-8295820796",",tmr@nic.in,ahmedabad.tmr@nic.in,saleshalisbr@gmail.com,info@hspioa.org,",
Skiyz,Companies(Private),Ahmedabad,"7322, S. Rainbow Blvd #55, Las Vegas, Nevada 89139, US",+44-7897002217,",sgshaikh78@gmail.com,contact@eleganceskyz.com,skyblueahmedabad@gmail.com,cl@pipara.com,v3consco@gmail.com,",
Pixelo Digital,Companies(Private),Ahmedabad,"1, Seawoods Grand Central Railway Station, 10th Floor, Sector 40, Seawoods West, Navi Mumbai 400706, MH",+91-9372968742,",sales@techiepixel.com,",
Samayak Metals,Companies(Private),Ahmedabad,"13, Sector 8, Industrial Area, Dharuhera, Rewari 123106, HR","+91-9654783199, +91-1274-242071, +91-1274-242072, +91-1274-242073",",hr@adani.in,ankur@samyakmetals.com,accounts@samyaklifestyles.com,marketing@samyakmetals.com,hr162708@gmail.com,",
Vinora Studios,Companies(Private),Ahmedabad,"54, Mount Poonamallee Road, Sripuram Colony, Viralur, St.Thomas Mount, Chennai 600016, TN","+91-44-48503004, +91-9176403004",",vino@vinorastudios.com,jknfkiran@yahoo.in,",
CloudZenix,Companies(Private),Ahmedabad,"48/49, Municipal Corporation, 3rd Floor, Sarakki Main Road, 1st Phase, J.P Nagar, Bengaluru 560078, KA",+91-80-49594463,"info@cloudzenix.com,,",
Isuru Investments,Companies(Private),Ahmedabad,"+94-705379070, +97-778303445",,",info@gsil.co.in,",
MAXGTECH Engineering Pvt Ltd,Companies(Private),Ahmedabad,"4782, 2, 23, Ansari Road, Darya Ganj, New Delhi 110002, DL",+91-11-41069994,",contact@maxgtech.com,accounts@maxgtech.com,",
Maser Electronics Pvt Ltd,Companies(Private),Ahmedabad,"76, Vishal Industrial Estate, Opposite Ceat Tyres, Bandhup, Mumbai 400078, MH",+91-22-25662631,",support@maserindia.com,hr@adani.in,",
Mascot Systems,Companies(Private),Ahmedabad,"13, Virat Complex, Satadhar Cross Road, Ghatlodia, Ahmedabad 380061, GJ",+91-79-9879012223,",x3epriya@mascot-systems.com,sales@mascot-systems.com,priya@mascot-systems.com,ssnortheast@mascot-systems.com,mascotpumpltd@gmail.com,",
Krishna Copper Pvt Ltd,Companies(Private),Ahmedabad,"402, A, 4, Shreepati Building, Tatya Gharpure Marg, Mughbhat Lane, Girgaum, Mumbai 400004, MH",+91-22-32478930,",sales@groupkrishna.com,u003ekrishna_cu@hotmail.com,krishna_cu@hotmail.com,radhekrishnacopper@gmail.com,",
Kongovi Electronics Pvt Ltd,Companies(Private),Ahmedabad,"377, 10, 4th Phase, Peenya Industrial Area, Bangalore 560058, KA",+91-80-28360563,",jane@kongovi.in,info@kongovi.in,",
Khanti Cable Industries,Companies(Private),Ahmedabad,"104, Prashanthi Nagar, I.E Kukatpally, Hyderabad 500072, TS",+91-40-23077797,",sales@khanticables.com,sales@khanticables.comMail,",
K C Powertracks,Companies(Private),Ahmedabad,"185, 1, 7, Dokmardi, Nagar Havali, Silvassa Dadra 396230,",+91-260-9377241493,"info@kcpowertracks.com,,",
Jaypeetex Engineering Pvt Ltd,Companies(Private),Ahmedabad,"231, Udyog Bhavan Sonawala Road, Goregaon, Mumbai 400063, MH",+91-22-26865421,",gaganpodar@jaypeetex.com,",
Jaipuria Brothers Electrical Pvt Ltd,Companies(Private),Ahmedabad,"12, 56, 2, 203, Db Gupta Road, Dr Chambers, Karol Bagh, New Delhi 110005, DL",+91-11-45052660,",Sales.jaipuriabrothers@gmail.com,sales@gmail.com,jaipuriatrans@gmail.com,Jaipuria.sales@gmail.com,",
Jainson Cables India Pvt Ltd,Companies(Private),Ahmedabad,"16, 16, A, 16, B, Ahmedabad Mehsana Highway, Chandarda, Kalol 382718, GJ",+91-2764-267700,"exports@jainsoncables.com,shripal@jainsoncables.com,x3esantosh.kumar@lscable.in,santosh.kumar@lscable.in,,amrit@jainsoncables.com,u003eamrit@jainsoncables.com,info@jainsoncables.com,anish@jainsoncables.com,",
Jainflex Cables Pvt Ltd,Companies(Private),Ahmedabad,"2-A, 1, Sabarmati Industrial Society, Highway Road, Sabarmati, Ahmedabad 380005, GJ",+91-79-27701899,",Sales@jainflex.com,mail@jainflex.com,accounts@jainflex.com,",
J K Electricals,Companies(Private),Ahmedabad,"211, 215, 219, Bhola Bhagawan Industrial Estate, I. B. Patel Road, Goregaon, Mumbai 400063, MH",+91-22-26856650,,
Isotherm Internationale,Companies(Private),Ahmedabad,"2-S, B.R. Apartments, Malani Society, Chinna Thokatta, New Bowenpally Road, Secunderabad 500009, AP",+91-40-27751820,",h@gmail.com,",
Hybec Lightings,Companies(Private),Ahmedabad,"31, D, Laxmi Industrial Estate, New Link Road, Andheri, Mumbai 400053, MH",+91-22-26322257,,
Horizon Technologies,Companies(Private),Ahmedabad,"364-D, 1-E, Sector 11, Noida 201308, UP",+91-120-09810279583,,
Heatshrink Technologies Ltd,Companies(Private),Ahmedabad,"112, 13, M I D C Marol, Andheri, Mumbai 400093, MH",+91-22-40917600,"repl@vsnl.com,,",
