Name,Sector,City,Address,Phone,Email,Lat-Long
Brave Lion's Den MMA Fitness Gym - Gandhinagar - Ahmedabad,Gym,Ahmedabad,"Plot No-863,2nd Floor, Vishvkarma Shopping Center, Sector 21, Gandhinagar, Gujarat 382021",098243 48197,",mmadenindia@gmail.com,","23.233935,72.6652783"
Zeus Fitness Point The Gym - Memnagar - Ahmedabad,Gym,Ahmedabad,"405, APM Shopping Mall, 4th Floor, Opposite Sun N Step Club Road, Memnagar, Ahmedabad 380054, GJ",+91-79-40324755,"vishnu.fitness@gmail.com,,admin@fitnesspoint.in,info@shoppingbazar.in,","23.0594156,72.5272321"
Zeus Fitness Point - Ghatlodiya - Ahmedabad,Gym,Ahmedabad,"On top floor, APM mall, Priyakant Parikh Marg, Memnagar, Ahmedabad, Gujarat 380059",+91-9714107822,"vishnu.fitness@gmail.com,,bavishikeyur@gmail.com,admin@fitnesspoint.in,","23.0619584,72.5204203"
Zeus Fitness Point - Navrangpura - Ahmedabad,Gym,Ahmedabad,"On top floor, APM mall, Priyakant Parikh Marg, Memnagar, Ahmedabad, Gujarat 380059",+91-79-27460105,"vishnu.fitness@gmail.com,,admin@fitnesspoint.in,","23.0619584,72.5204203"
Zeri's Mask2 Fitness Studio - Naranpura - Ahmedabad,Gym,Ahmedabad,"408, Sachet 3, Near Kid's World, Mirambika School Road, Naranpura, Ahmedabad 380013, GJ",+91-9714888819,,"23.0574097,72.5106259"
Z Fitness Studio - Chandkheda - Ahmedabad,Gym,Ahmedabad,"4th Floor, Dev Business Hub, Nr. Vitthal Mall, Above Posh Urban Restaurant, Visat-Koba Highway, Chandkheda, Ahmedabad, Gujarat 382424",088667 09040,",narendrasinghrathod84k@gmail.com,","23.1068423,72.5878175"
Yuva Gym And Physiotheraphy Spa centre - Satellite - Ahmedabad,Gym,Ahmedabad,"2G8G+4GR, Jodhpur Tekra, Ahmedabad, Gujarat 380015",098987 47671,",yuva-gym-and-physiotheraphy-spa-center-ahmedabad-rad@bxyru.html,","23.0153735,72.5159737"
Youthtown Fitness Centre - Ghodasar - Ahmedabad,Gym,Ahmedabad,"2nd Floor Mangalmurti Complex, Opp Ghodasar BRTS Bus Stop, near Mangal Murti Society, Ghodasar, Ahmedabad, Gujarat 380050",+91-9601597660,",viral.youthtown@gmail.com,","22.9788493,72.5995685"
You Fit - Ambawadi - Ahmedabad,Gym,Ahmedabad,"Punita Park Society, Near Vandana School, Bhudarpura Road, Ambawadi, Ahmedabad 380015, GJ",+91-9558753961,",ar.dudes.143@gmail.com,premiumyoga.fitness@gmail.com,","23.0269913,72.4469035"
Yogi Fitness Life - Vastral - Ahmedabad,Gym,Ahmedabad,"Odhav, Vastral, Ahmedabad, Gujarat 382418",+91-9586047671,",feedback@ahmedabadcity.gov.in,","23.0082279,72.6517275"
Y.m.Fitness Studio - Lal Darwaja - Ahmedabad,Gym,Ahmedabad,"2ND FLOOR ABOVE HDFC BANK NR ELECTRICITY HOUSE, Relief Rd, Ahmedabad, Gujarat 380001",092777 56117,,"23.0263906,72.5716229"
Xotika Fitness Club - Thaltej - Ahmedabad,Gym,Ahmedabad,"3F2R+FWX, Thaltej Rd, Thaltej, Ahmedabad, Gujarat 380058",+91-7572822022,",xotikafitnessclub@gmail.com,","23.0512381,72.4820512"
Xotika Fitness Club - Maninagar - Ahmedabad,Gym,Ahmedabad,"Sparsh Building, 1st Floor, Near Akshar Surgical Hospital, Jayhind Cross Road, Maninagar, Ahmedabad 380008, GJ",+91-7572822266,,"22.9957275,72.6004929"
XN Health Club - Rakhial - Ahmedabad,Gym,Ahmedabad,"E-401, Sumel 7 Business Park, 4th Floor, Soni Ni Chawl, Rakhial, Ahmedabad 380023, GJ",+91-8690126340,,"23.0571575,72.5615672"
