Name,Sector,City,Address,Phone,Email,Lat-Long
Harman Bawa Pvt Ltd,Companies(Private),Airoli,"50, N.W.A. Club Road, Punjabi Bagh Extn, New Delhi 110026, DL",+91-11-25222083,"Roshni.Reddy@harman.com,info@hbpl.co.in,harmanbawa@hbpl.co.in,,",
Sandu Pharmaceuticals Ltd,Companies(Private),Airoli,"Sandu Nagar, D. K. Sandu Marg, Chembur, Mumbai 400071, MH",,",x3ecorp.sec@sandu.in,support@sandu.in,rnt.helpdesk@linkintime.co.in,corp.sec@sandu.in,",
Bhargava Phytolab Pvt Ltd,Companies(Private),Airoli,"B-92, Sector 2, Noida 201301, UP",,"last@bhargavaphytolab.com,,d.j@bhargavaphytolab.com,",
Sweetech Environs India Pvt Ltd,Companies(Private),Airoli,"23, 1st Floor, Sitapathi Colony, Marredpally, Secunderabad 500026, AP",+91-40-27710749,",info@carebio.com,info@stechivf.com,prabhu@carebio.com,","19.2157866,73.1634638"
Vserv Digital Services Pvt Ltd,Companies(Private),Airoli,"G-1, Vakratunda Corporate Park, Off Aarey Road, Vishweshwar Nagar, Mumbai 400063, MH",-29275059,",support@purvashare.com,contactus@vservit.com,compliance@vserv.com,",
RK Swamy BBDO Pvt Ltd,Companies(Private),Airoli,"604, Film Chamber Building, Anna Salai, Chennai 600006, TN","+91-44-39883500, +91-44-28292300",,
Irunway India Pvt Ltd,Companies(Private),Airoli,"1, 23, 24, AMR Tech Park, Annexe, Hongasandra, Hosur Road, Bangalore 560095, KA",,"hr@ksquaretechnologies.com,u003ehr@ksquaretechnologies.com,hr@ksquaretechnologies.com,u003ehr@ksquaretechnologies.com,hr@ksquaretechnologies.com,",
Coatec India,Companies(Private),Airoli,"F-79, Coatec India, Industrial Area Phase 7, Sector 73, Mohali 140103, CH",-9888995261,"Milan.Pathare@wecocbc.com,u003eMilan.Pathare@wecocbc.com,Tejas.Parekh@connellworld.com,last@connellbrothers.com,cphicustomerservice@informa.com,Tejas.Parekh@connellworld.com,nilesh.Patel@wecocbc.com,u003eMilan.Pathare@wecocbc.com,Tejas.Parekh@connellworld.com,last@connellbrothers.com,cphicustomerservice@informa.com,Tejas.Parekh@connellworld.com,nilesh.Patel@wecocbc.com,Tejas.Parekh@connellworld.com,",
Classic Chemicals.,Companies(Private),Airoli,"1-8-217/1, 3rd Cross, PG Road, Secunderabad 500003, AP","+91-40-27810711, +91-40-66315157","bhawna.sharma@coimgroup.com,bhawna.sharma@coimgroup.com,kntsalesecl@gmail.com,x3ebhawna.sharma@coimgroup.com,",
Coastal Energy Pvt Ltd,Companies(Private),Airoli,"4, 5th Floor, Buhari Towers, Moores Road, Chennai 600006, TN",+91-44-43974397,"info@concept2silicon.com,u003emanishanand@hcl.com,manishanand@hcl.com,",
SSD Securities Pvt Ltd,Companies(Private),Airoli,"IDEAL PLAZA, Suite-N316, 11/1, Sarat Bose Road, Kolkata 700020, WB",+91-33-22902100,"gm.customer@sbi.co.in,cmshare@sbbj.co.in,sanjeevani.hr@sbi.co.in,x3esanjeevani.hr@sbi.co.in,customercare@sbi.co.in,x3econtactcentre@sbi.co.in,x22contactcentre@sbi.co.in,contactcentre@sbi.co.in,",
Indian Economic Development & Research Association (IEDRA),Companies(Private),Airoli,"C-2 & 3, Kanu Chambers, Sanwal Nagar, New Delhi 110049, DL","+91-11-26255382, +91-11-26261734",,
Godavari Drugs Ltd,Companies(Private),Airoli,"Mayfair Complex, Sardar Patel Road, Secunderabad 500003, TS",,"info@godavaridrugs.com,",
