Name,Sector,City,Address,Phone,Email,Lat-Long
APSK Kids Modelling Agency,Companies(Private),Ajmer,,,",info@apskproductions.com,bharatkumarassociates@gmail.com,",
Baid Power Services Pvt Ltd,Companies(Private),Ajmer,"152-B, Grd Floor, Lake Tow, Kolkata 700089, WB",+91-33-25210322,",dj@indiapowerhouse.com,jane@indiapowerhouse.com,ANUPAM@INDIAPOWERHOUSE.NET,",
Vishal Fabrics Pvt Ltd (Chiripal Group) (Chiripal),Companies(Private),Ajmer,"Ranipur, Narol Road, Ahmedabad 380015, GJ","+91-79-25353980, +91-79-26734662","x3ecs.vfl@chiripalgroup.com,,info@vishalfabricsltd.com,cs.vfl@chiripalgroup.com,",
Link Up Textiles Ltd,Companies(Private),Ajmer,"6AB & 7AB, Kumaran Colony, Sridevi Kuppam, Main Road, Valasarawakkam, Chennai 600087, TN",+91-44-42284600,",enquiry@linkuptextiles.com,info@devanshitextiles.com,accounts1@linkuptextiles.com,x3eaccounts1@linkuptextiles.com,",
Grasim Industries Ltd (Aditya Birla),Companies(Private),Ajmer,"Aditya Birla Centre, SK Ahire Marg, Worli, Mumbai 400030, MH","+91-22-66525000, +91-22-65991600",",x3eanindya.chakraborti@adityabirla.com,anindya.chakraborti@adityabirla.com,einward.ris@kfintech.com,x3egrasim.secretarial@adityabirla.com,hutokshi.wadia@adityabirla.com,grasim.secretarial@adityabirla.com,",
LDR Modular Furniture Pvt Ltd,Companies(Private),Ajmer,"10, Trade Centre, Below Bata Showroom, Bunts Hostel Road, Jyothi, Mangalore 575003, KA","+91-824-2410852, +91-824-4251904",",ldrmodularfurniture@gmail.com,2022@gmail.com,vitastaenviro@hotmail.com,Email-vitastaenviro@hotmail.com,",
Akanksha Power & Infrastructure Pvt Ltd,Companies(Private),Ajmer,"200-W, MIDC, Ambad, Nashik 422002, MH",+91-253-6614960,,
Magnus Cadeaux,Companies(Private),Ajmer,"22, 1st Main Road, New Timber Yard Layout, Mysore Road, Bangalore 560026, KA",+91-8884445605,",info@magnuscadeaux.com,legal@goldfinn.com,",
Shree Jalaram Fragrance Pvt Ltd,Companies(Private),Ajmer,"Plot No 3063, Shree Hari Niketan, Electronic Zone Square, Hingna Road, Gajanan Nagar, Nagpur 440016, MH",+91-9890941669,",lalavivek12@gmail.com,mail@fafai.org,",
Navneet Education Ltd,Companies(Private),Ajmer,"Navneet Bhavan, Bhavani Shankar Road, Dadar West, Mumbai 400028, MH",+91-22-66626565,",x3esecretarial@navneet.com,secretarial@navneet.com,","26.5609009,73.9550927"
Satna Cement Works (MP Birla),Companies(Private),Ajmer,"Birla Vikas, Satna 485005, MP",-419581,",bmatilal@birlacorp.com,x3ebmatilal@birlacorp.com,vgvyas@birlacorp.com,bjilbom@giasbm01.vsnl.net.in,",
Rain Industries Ltd (RIL),Companies(Private),Ajmer,"34, Green Tower, Srinagar Colony, Hyderabad 500073, TS",-40401183,"secretarial@rain-industries.com,,bojai@nsic.co.in,",
Nbm Media Pvt Ltd,Companies(Private),Ajmer,"B-27, 2nd Floor, Nizamuddin West, New Delhi 110013, DL","+91-11-26841228, +91-11-26841585",",accounts@nbmcw.com,",
Marconix,Companies(Private),Ajmer,"316/C, 9th Main, 5th Block, Jayanagar, Bangalore 560041, KA",-64521937,",reachus@marconix.in,",
Livewire Media Pvt Ltd,Companies(Private),Ajmer,"758-A, Mount Chambers, 3rd Floor, Anna Salai, Chennai 600002, TN",-43596217,"andrews@livewiremedia.in,,",
Skj Juris Services Pvt Ltd,Companies(Private),Ajmer,"2, Kundan Chambers, Thube Park, Shivajinagar, Pune 411005, MH",,"talk@box8.in,krajendran@sphata.com,krajendran@sphata.com,talk@box8.in,",
Periyar Latex Ltd,Companies(Private),Ajmer,"Ushas Arcade, TB Junction, Muvattupuzha 686661, KL","+91-485-2835329, +91-485-2834918",,
Pagan Paints & Chemicals Pvt Ltd,Companies(Private),Ajmer,"920, 1st Floor, Chawla Complex, DB Gupta Road, Karol Bagh, New Delhi 110005, DL","+91-11-28750627, +91-11-28759593","csparagon@paragonfootwear.com,esupport@paragonfootwear.com,Po-srutimedia@gmail.com,jainchopra.company@gmail.com,jainchopra.company@yahoo.com,jksharma10@gmail.com,pankajtradingcom@gmail.com,x3ecsparagon@paragonfootwear.com,",
Jyoti Trading Corporation,Companies(Private),Ajmer,"B-79, Defence Colony, Kotla Road, New Delhi 110024, DL","+91-11-41651435, +91-11-26103321","info@kadillac.com,u003einfo@kadillac.com,u003einfo@kadillac.com,",
