Name,Sector,City,Address,Phone,Email,Lat-Long
Falconn Fibre,Companies(Private),Aland,"6, Balaji Nagar Industrial Estate, Ranganathan Street, Thirumullaivayal, Chennai 600062, TN",+91-9941568090,,
Ravin Cables Ltd,Companies(Private),Aland,"302, 7, Akruti Trade Centre, MIDC Road, Andheri 400093, MH",+91-22-30816666,",vijay.karia@ravincables.com,parag@cup.portal.com,x3ekalpesh.modi@ravingroup.com,kalpesh.modi@ravingroup.com,framba@orc.olivetti.com,",
Inox Wind Ltd,Companies(Private),Aland,"17, Sector 16-A, Noida 201301, UP",+91-120-6149600,",delhi@linkintime.co.in,last@inoxwind.com,",
Swiss Parenterals Pvt Ltd,Companies(Private),Aland,"303/304, Samaan 2, 100 Feet Ring Road, Prahalad Nagar, Satellite, Ahmedabad 380015, GJ",,",jyotsna_ghoshal@merck.com,x3ecfo@swiss.in,cfo@swiss.in,Vipul@aestolife.com,jane@swiss.in,",
Cygnus Healthcare Specialities Pvt Ltd,Companies(Private),Aland,"C-2/009, Rutu Estate, G B Road, Patlipada, Thane West, Mumbai 400607, MH",,"geminiganesh@gmail.com,,JohnSmith@cygnusspecialities.com,x3egeminiganesh@gmail.com,",
Saveer Biotech Ltd,Companies(Private),Aland,"G-1, Sector Alpha 1, Surajpur Kasna Road, Greater Noida 201306, UP","+91-120-4052500, +91-120-4052501","info@saveer.com,,account2@saveer.com,inquiry@saveer.com,",
ActivTek Environmental India,Companies(Private),Aland,"5th Floor, Oriental House, 7, Jamshedji Tata Road, Churchgate, Mumbai 400020, MH",+91-22-22820048,,"17.5593611,76.5238964"
Pharos Media & Publishing Pvt Ltd,Companies(Private),Aland,"D-84, Abul Fazal Enclave 1, Jamia Nagar, New Delhi 110025, DL","+91-11-26942883, +91-11-26947483",,
Lenzing (AG) India,Companies(Private),Aland,"70, 1st Floor, Rajnarayan Tower, Race Course, Coimbatore 641018, TN",-4293131,"info@logicalagri.com,logicalagri@hotmail.com,logicalagri@hotmail.com,",
Overture Rede Pvt Ltd,Companies(Private),Aland,"5-F, 1209-1212, Best Sky Tower, Netaji Subhash Place, New Delhi 110034, DL",+91-11-45136055,,
