Name,Sector,City,Address,Phone,Email,Lat-Long
Invt Electric India Pvt Ltd,Companies(Private),Aluva,"306, Kane Plaza, Link Road, Malad West, Mumbai 400064, MH",+91-22-42662796,",raj@invt.com.cn,india@invt.com.cn,",
Eagle Group,Companies(Private),Aluva,"201, Orleans Building, Next To City Centre, Sosyo Circle, Surat 395007, GJ",+91-261-4062412,",haribaabaaexports@gmail.com,",
Puducherry Power Corporation Ltd,Companies(Private),Aluva,"10, Second Cross, Jawahar Nagar, Boomianpet, Puducherry 605005, PY",+91-413-2204688,"ppelmmc@gmail.com,shamshad.irs@gov.in,,cestat08@gmail.com,kaicsby@sify.com,cooamn@maalaimalar.com,ppcl.kkl@nic.in,",
Kerala State Drugs & Pharmaceuticals Ltd,Companies(Private),Aluva,"A Government Of Kerala Enterprise, Kalavoor, Alleppy 688522, KL",,",dc.drugs@kerala.gov.in,",
The Kanoria Sugar and General Manufacturing Co Ltd (Kanoria),Companies(Private),Aluva,"A-9A, Green Park Main, New Delhi 110016, DL",+91-11-26961849,",rawat.sunita@kanoria.org,sugar@kanoria.org,",
Saraswatipur Tea & Industries Ltd,Companies(Private),Aluva,"Saraswatipur Building, Saraswatipur Tea Estate, Raikot Para, Saraswatipur Bagan, Jalpaiguri 735101, WB",+91-3561-230401 230075,,
Eastern Condiments Pvt Ltd,Companies(Private),Aluva,"34/137 A, Eastern Corporate Office, National Highway Bye-Pass, Edappally, Kochi 682024, KL",+91-484-3001100,"SIVAU@EASTERN.IN,x3eSIVAU@EASTERN.IN,hr@eastern.in,,","10.1137415,76.3524942"
Ayursun Pharma,Companies(Private),Aluva,"58, Bhatpore, G. I. D. C. Estate, Opposite O. N. G. C. Gate No 2, Magadalla Hazira Road, Surat 394510, GJ",+91-8373904354,",nayursunpharma@gmail.com,","10.0607761,76.3524591"
Avt Natural Products Ltd,Companies(Private),Aluva,"S. Vazhakulam, Marampily, Ernakulam, Aluva 683107, KL","+91-484-2677262, +91-484-2677263",",satheesh.kumar@avtnatural.com,infoahn@avtnatural.com,Info@avtnatural.com,ramadas.a@avtnatural.com,","10.0994315,76.4087188"
Annai Dhall Products,Companies(Private),Aluva,"57-C, Acharappan Street, Parrys, Chennai 600001, TN",+91-9884250000,",annaiagro@gmail.com,annaiflourmills@gmail.com,gwaplants@gmail.com,unnievur@hotmail.com,","10.0965727,76.2594277"
Innocorp Ltd,Companies(Private),Aluva,"Plot No 41, IDA Mallapur, Hyderabad 500076, TS","+91-40-27158152, +91-40-65990114",,
Arvind Manpower Solutions Pvt Ltd,Companies(Private),Aluva,"43, 43, 8-C, 2nd Floor, Mariakulath Complex, Chittoor Road, Ayyappankavu, Kochi 682018, KL",+91-484-4074040,,
Aditya Placement Associates (APA),Companies(Private),Aluva,"242, Vardhman City Plus Mall, Sector-23, Dwarka, New Delhi 110075, DL",+91-11-28051990,"atulwagh@aeonindia.com,sales@aeonindia.com,",
The Greater Bombay Co Operative Bank Ltd,Companies(Private),Aluva,"Churchgate Chambers, Sir Vithaldas Thakersey Marg, New Marine Lines, Churchgat, Mumbai 400020, MH","+91-22-22075315, +91-22-22075262, +91-22-61285900","fcd@kvbmail.com,x3ecustomersupport@kvbmail.com,",
