Name,Sector,City,Address,Phone,Email,Lat-Long
SGX Minerals,Companies(Private),Alwar,"401, Unique Tower, 4th Floor, Off. SV Road, Goregaon West, Mumbai 400062, MH",,",vndeepak@yahoo.com,sheetal.patodiya@sgminerals.com,PATHIPATI.SN@GMAIL.COM,nagesh.rudrakanthwar@calyxterminal.com,info@sgminerals.com,",
Donex Industries Ltd,Companies(Private),Alwar,"462, 1, Lado Sarai, Near Saket Metro Station, New Delhi 110030, DL",+91-11-29521572,"pushpendra_ca26@yahoo.com,,xxxx@donexind.com,",
Atharv Welding Technologies India Pvt Ltd,Companies(Private),Alwar,"192-A, Midc, Chincholi, Solapur 413255, MH",+91-217-2357029,",accounts@atharvwelding.com,wt@hotmail.com,atharv.wt@hotmail.com,",
Rishi Fabrics Ltd,Companies(Private),Alwar,"F-161-162-163, Phase 8, Focal Point, Ludhiana 141010, PB",+91-161-2672434,",rishi@rishifabrics.com,cashilpydewan@gmail.com,mail@rishifibc.com,vikram@rishifabrics.com,info@rishifabrics.com,mmehra@pglindia.com,",
Kiran Knit & Garments Pvt Ltd,Companies(Private),Alwar,"246, A-Z Industrial Estate, GK Marg, Lower Parel West, Mumbai 400013, MH","+91-22-24939408, +91-9967552477",",sharan@karnaniexports.com,contact@karnaniexports.com,",
RS Windlass & Sons,Companies(Private),Alwar,"C-21, Hosiery Complex, Phase 2, Noida 201301, UP",+91-120-4018800,,
Ravira Ever Green Ultrasonic Systems Pvt Ltd,Companies(Private),Alwar,"214, PN Kothari Industrial Estate, LBS Marg, Bhandup West, Mumbai 400078, MH",+91-22-25663948,",ultrasonic@raviragroup.com,u003eultrasonic@raviragroup.com,",
Ramkumar Mills Pvt Ltd,Companies(Private),Alwar,"1044, 4 Block, Rajaji Nagar, Bangalore 560010, KA",+91-80-23205796,",xxxx@ramkumarmills.co.in,vitastaenviro@hotmail.com,Email-vitastaenviro@hotmail.com,doe_jane@ramkumarmills.co.in,",
Optimal Power Synergy India Pvt Ltd,Companies(Private),Alwar,"04, 05, 06, Module-FR, Shilpangan 1 LB1, Sector 3, Salt Lake City, Kolkata 700098, WB",+91-33-23354847,",swati@optimal-power-solutions.com,enquiries@ops-india.com,agarwal@ryal.in,sales@LawyerServices.in,info@LawyerServices.in,",
Atlanta Energy Pvt Ltd,Companies(Private),Alwar,"23, 4, 2, Patel Nagar, New Delhi 110008, DL",+91-11-45008391,",sales@kvtek.in,ncompany@gmail.com,rakesh.shejwal@aartigroup.cominfo,info@baskenergy.co.in,shantiexim12345@gmail.com,",
Aries Designn Studio,Companies(Private),Alwar,"1st Floor, Choice Towers, Manorama Junction, Kochi 682016, KL",+91-484-4014100,",dadesign.alw@gmail.com,",
Vijaya Enterprises,Companies(Private),Alwar,"227, 2nd Floor, Udhyog Kshetra Industrial Estate, Mulund Goregoan Link Road, Mulund West, Mumbai 400080, MH","+91-22-25623903, +91-22-25623905","appeal1@rediffmail.com,,",
Vasudev Adigas Fast Food Pvt Ltd,Companies(Private),Alwar,"No 56/57, Jyothi Layout, Yelachenahalli Village, Kanakpura Main Road, Bangalore 560078, KA","+91-80-22940243, +91-80-22940244","knvadiga@yahoo.com,,cfo@adigas.in,",
Nirmal Seeds Pvt Ltd,Companies(Private),Alwar,"Post Box No 63, Bhadgaon Road, Pachora 425001, MH","+91-2596-244396, +91-2596-244366",",info@nirmalseedsindia.com,",
Nila Sea Foods Pvt Ltd,Companies(Private),Alwar,"137, Pudur Pandiapuram, Tuticorin 628002, TN","+91-461-2345707, +91-461-2345538",",x3ensflaccounts@nilaseafoods.com,nsflaccounts@nilaseafoods.com,tina.maniraji@gmail.com,srbexportervdm@gmail.com,",
Lama Rice Pvt Ltd,Companies(Private),Alwar,"Plot No D-7, Unit No 1002, Pearls Business Park, Netaji Subhash Place, Pitampura, New Delhi 110034, DL",+91-11-43702811,",COMMERCIAL@LAMARICE.COM,",
Malar Publications Ltd,Companies(Private),Alwar,"86, Periyar EVR High Road, Chennai 600084, TN",+91-44-25321061,",npvt.ltd@gmail.com,cs@maalaimalar.com,","13.0803149,80.2516665"
Elen Blossoms & Greens Ltd,Companies(Private),Alwar,"382, Patparganj Industrial Area, New Delhi 110092, DL","+91-11-45873695, +91-11-41716762",,"28.4789837,77.0703671"
Cradle Runways India Pvt Ltd ( Clean India Group ),Companies(Private),Alwar,"217, Hind Service Industries, Near Shivaji Park Seaface, Dadar, Mumbai 400028, MH","+91-22-49101100, +91-22-49101111",",tarun@cleanindia.net,x3etarun@cleanindia.net,","27.5545445,76.4815601"
AbhiBus Services India Pvt Ltd,Companies(Private),Alwar,"1st Floor, GNR's RV Insignia, Silicon Valley Layout, Image Garden Road, Madhapur, Hyderabad 500034, TS",-49102294,",x3esupport@abhibus.com,seshavataram.v@abhibus.com,support@abhibus.com,doe-j@abhibus.com,",
Sri Krishna Diamonds & Jewellery,Companies(Private),Alwar,"1st Commercial Street, Bangalore 560001, KA",-40301100,,
Kiah Diamonds,Companies(Private),Alwar,"1001, Kheni Towers, Jagani Complex 10th Floor, Manipada Road, Kalina, Santacruz, Mumbai 400093, MH",-42606597,,
Mars Packaging Pvt Ltd,Companies(Private),Alwar,"106, Aradhana Bhawan, 1st Floor, Azadpur Commercial Complex, New Delhi 110033, DL",-27675774,"ACCOUNTS@MARSPACKAGING.COM,,",
Inco-Mechel Pvt Ltd (Allstate Group),Companies(Private),Alwar,"901, Maker Chamber V, Narimanpoint, Mumbai 400021, MH",-66287931,",info@allstate.in,vikash@allstate.in,",
Galaxy Packtech Pvt Ltd,Companies(Private),Alwar,"110, Udyog Kendra, Toy City, Ecotech III, Noida 201306, UP",-9810260080,",doe@galaxypacktech.com,INFO@GALAXYPACKTECH.COM,bhagwatipackers@yahoo.co.in,info@galaxypacktech.com,last@galaxypacktech.com,",
Panyam Cements & Mineral Industries Ltd,Companies(Private),Alwar,"Plot No 188, Kamalapuri Colony, Behind Green Bavarchi, Phase 2, Sri Nagar Colony, Hyderabad 500073, TS",-23555266,",pcmilcao@panyamcements.in,",
Grace Marbles And Granites Pvt Ltd,Companies(Private),Alwar,"National Highway, Amberi, Udaipur 313016, RJ",-9928881059,",grace_export@yahoo.com,nyatica@yahoo.co,",
Garg Infracon Pvt Ltd (Garg),Companies(Private),Alwar,"A29, 30 & NS-11, Gamharia Industrial Area, Phase 4, Jamshedpur 832108, JH","+91-657-6454132, +91-657-6454135",",gargsonautomobile42@gmail.com,gargwebinfotech@gmail.com,garginfracon@gargsindia.com,u003egarginfracon@gargsindia.com,ashokgarg1111@gmail.com,",
Divyashakti Granites Ltd,Companies(Private),Alwar,"7-1-58, Flat No 301-304, 3rd Floor, Divyashakti Complex, Ameerpet, Hyderabad 500016, TS","+91-40-23730240, +91-40-23731701","info@divyashakti.com,,",
Ambuja Cements Ltd,Companies(Private),Alwar,"Elegent Business Park, MIDC Cross Road B, Off Andheri-Kurla Road, Andheri East, Mumbai 400059, MH",-40666931,,
AJ International,Companies(Private),Alwar,"34/1636A-1, Market Road, Edappally, Kochi 682024, KL","+91-484-6412971, +91-484-2345165","ybsalwar@gmail.com,,ajinternational1985@gmail.com,",
Zedo India Pvt Ltd,Companies(Private),Alwar,"Citi Point, Level 4, Telli Galli, Andheri East, Mumbai 400069, MH",-26821429,",simoes@europneumaq.pt,zedoindia@zedo.com,x3esameer.guha@effem.com,x22prabal@canopi.in,rshahane@zahonero.co.in,x3eprabal@canopi.in,DLEVRYINDIA@tietoevry.com,prabal@canopi.in,sameer.guha@effem.com,x3eDLEVRYINDIA@tietoevry.com,x3ershahane@zahonero.co.in,p.simoes@europneumaq.pt,",
Image Incarnate Brand Mechanics Pvt ltd,Companies(Private),Alwar,"323, Durga Complex, Johnapur Mandi Road, Mehrauli, New Delhi 110049, DL","+91-9212330908, +91-9818198056",,
Swati Chemical Industries,Companies(Private),Alwar,"603, Siddhartha Complex, RC Dutt Road, Alkapuri, Vadodara 390007, GJ",-9898003587,,
Shri Premolite Industries,Companies(Private),Alwar,"42/24, Site 04, Industrial Area, Ghaziabad 201001, UP","+91-120-3291137, +91-120-4167195","ipo@ambujaindia.com,info@shyamalchemicals.com,info@shyamalchemicals.com,ipo@ambujaindia.com,",
Krishna Murari Organosys Pvt Ltd,Companies(Private),Alwar,"B-179, Near Nanda Motors, Phase 2, Noida 201305, UP","+91-120-4278000, +91-9810150049","thomasassociates@rediffmail.com,thomasassociates@rediffmail.com,kumaranfishnet@gmail.com,kumaranfishnet@gmail.com,kumaranfishnet@gmail.com,thomasassociates@rediffmail.com,thomasassociates@rediffmail.com,",
Talent Resourze,Companies(Private),Alwar,"3rd Floor, Synosoft Building, Opposite Saleem Mansion Function Hall, Masabtank Road, Hyderabad 500004, TS",+91-40-64640488,"info@tangerine.org.in,",
Swiss Cert Pvt Ltd,Companies(Private),Alwar,"412, Best Sky Tower, Netaji Subhash Place, Pitampura, New Delhi 110008, DL",+91-11-41539720,"arunavadas03@gmail.com,ksrao@kmocasia.com,",
Skoch Consultancy Services Pvt Ltd,Companies(Private),Alwar,"222-A, Sushant Lok-I, Gurgaon 122001, HR","+91-124-4777444, +91-124-4222760",,
Quality Austria Central Asia Pvt Ltd,Companies(Private),Alwar,"82, Okhla Industrial Estate Phase-3, New Delhi 110020, DL",+91-11-46465100,"dev@quetzal.in,",
Paramount Ltd,Companies(Private),Alwar,"Paramount Complex, Near Natubhai Circle, Gotri Road, Baroda, Vadodara 390007, GJ","+91-265-2397111, +91-265-2398114","roc.chennai@mca.gov.in,ppuri0125@gmail.com,",
NVT Quality Certification Pvt Ltd,Companies(Private),Alwar,"1, Export Promotion Industrial Park, Near ITPL Whitefield, Bangalore 560066, KA",+91-80-65343537,"jane@oilmax.in,vadodara@linkintime.co.in,contact@oilmax.in,",
CATS Academy India Pvt Ltd,Companies(Private),Alwar,"103, Kalpataru Regency Mayur Colony, Annex Kothrud, Pune 411038, MH",+91-20-25390170,,
TVS Credit Services Ltd (TVS),Companies(Private),Alwar,"Jayalakshmi Estates, 29, 3rd Floor, Haddows Road, Nungamabakkam, Chennai 600006, TN",+91-44-28286500,"headservicequality@icicidirect.com,csunijollyinvestments@gmail.com,",
Penta Gold Pvt Ltd,Companies(Private),Alwar,"7, Jewel World, 175, Kalbadevi Road, Mumbai 400002, MH",+91-22-22402255,"info@dccpl.com,info@pentagold.in,einward.ris@karvy.com,r_shah111@hotmail.com,",
Atlas Documentary Facilitators Company Pvt Ltd ,Companies(Private),Alwar,,,"hemant.revankar@hdfcbank.com,",
