Name,Sector,City,Address,Phone,Email,Lat-Long
Pi Overseas,Companies(Private),Ambad,,,",mail@pioverseas.com,suraj.oceansoutsourcing@gmail.com,",
J & S Infratel Projects Pvt Ltd,Companies(Private),Ambad,"10, Prarthna Estate, Near Sakriba Party, C.T.M., Amraiwadi, Ahmedabad 380026, GJ",+91-79-30226529,,
Girish Electrical Industries,Companies(Private),Ambad,"31, 147, Tavawala Building, Lohar Chawl, Mumbai 400002, MH",+91-22-39567021,",sales@girishheat.com,muralilakshmipathi@gmail.com,",
Gemini International,Companies(Private),Ambad,"5-C, 1, Unity Buildings, J.C. Road, Bangalore 560002, KA",+91-80-22129479,",jamil.78663@gmail.com,prabup53@gmail.com,admin@geminiinstratech.com,info@geminiint.com,sales@kompassindia.com,",
Electro Cables Industries,Companies(Private),Ambad,"41-B, 42, 43-A, Electronic Complex, Pardeshipura, Indore 452009, MP",+91-731-4027510,",industrial@mtnl.net.in,",
Chhabi Electricals Pvt Ltd,Companies(Private),Ambad,"66-E, MIDC, Jalgaon 425003, MH",+91-257-2210626,",chhabi_jal@sanchar.net.in,",
DB Power Ltd,Companies(Private),Ambad,"3-G, Naman Co Link C 31, Bandra-Kurla Complex, Bandra, Mumbai 400051, MH",+91-22-39306000,",sandeep.gurav@dbpower.in,x3esandeep.gurav@dbpower.in,",
Akshaya Engineering Works Pvt Ltd,Companies(Private),Ambad,"81-L, Opposite BOC, Taloja MIDC, Raigad, 410208, MH",+91-22-27411374,"vikramrameshpatel@rediffmail.com,Info@akshayaaew.com,,admin@akshayaaew.com,",
Vishwas Food Products,Companies(Private),Ambad,"24/2, Rajamangalam Main Road, Near Veterinary Hosiptal, Villivakkam, Chennai 600049, TN",+91-44-32903758,",exports.sushilenterprises@gmail.com,info@vishwakarmascales.org,",
Jagatjit Industries Ltd,Companies(Private),Ambad,"4th Floor, Bhandari House, 91, Nehru Place, New Delhi 110019, DL","+91-11-26432641, +91-11-26432642",",raviman@jagatjit.com,jil@jagatjit.com,last@jagatjit.com,anilgirotra@jagatjit.com,roopesh.kumar@jagatjit.co.in,",
Anil Vishal Printers,Companies(Private),Ambad,"163, AZ Industrial Estate, G.K.Marg, Lower Parel West, Mumbai 400013, MH",+91-22-24986407,",sales@anilprintersltd.com,","19.769725,72.1279583"
Tekriwala Group of Companies,Companies(Private),Ambad,"30/SA, Block ?B, New Alipore, Kolkata 700053, WB","+91-33-40221666, +91-9831169441",",info@cholaa.com,rohit.bhatnagar@ihg.com,kush@wingreens.in,",
Saideep Packaging Solutions,Companies(Private),Ambad,"Gamu Complex, Majgoan Cross, Belgaum 590001, KA",-8880403914,",preetambhansali@gmail.com,abdusaleemmp@gmail.com,",
Natraj Industries,Companies(Private),Ambad,"65, Sector 6, Faridabad 121006, HR","+91-129-2241403, +91-129-2241404",",x3enavchitra1979@yahoo.co.in,bhagwatipackers@yahoo.co.in,natrajindustries1978@gmail.com,natrajindustries78@gmail.com,navchitra1979@yahoo.co.in,",
Bollore Logistics India Ltd,Companies(Private),Ambad,"5, DLF Cyber City, Tower A, Sector 24, 25-A, Gurgaon 122002, HR",-3801533,"piyali.kar@bollore.com,,adeline.durand@bollore.com,",
ARK Line,Companies(Private),Ambad,"37-A, BWC Towers, 1st Floor, North Beach 3rd Lane, Chennai 600001, TN",-25222204,",3starco@amail.com,",
Loktej,Companies(Private),Ambad,"3-4, Gangotri Apartment, Lower Ground, Opposite Kapadia Health Club, Athwa Gates, New Civil Road, Surat 395001, GJ","+91-261-2235238, +91-261-2234504",,
"Weldon Engineers, India",Companies(Private),Ambad,"WZ-409, Plot No 12, 1st Floor, Janak Park, Hari Nagar, New Delhi 110064, DL","+91-11-25120124, +91-11-47323831",,
Sree Ram Dyes & Chemicals,Companies(Private),Ambad,"81, RKG Complex, Valayankadu Main Road, Gandh Nagar, Tirupur 641603, TN","+91-421-2476405, +91-421-4332405","INFO@MBRINDIA.COM,u003eINFO@MBRINDIA.COM,info@companydetails.in,INFO@MBRINDIA.COM,u003eINFO@MBRINDIA.COM,info@companydetails.in,INFO@MBRINDIA.COM,",
ROW2 Technologies India Pvt Ltd,Companies(Private),Ambad,"Raheja Point One, PTJ Nehru Road, Vakola, Santacruz East, Mumbai 400055, MH",-66931331,"cs@sapharmachem.com,u003ecs@sapharmachem.com,accounts@vasapharmachem.com,suvishwa@mtnl.net.in,info@sapharmachem.com,info@sapharmachem.com,sac@sapharmachem.com,vlnarayan22@gmail.com,u003ecs@sapharmachem.com,info@sapharmachem.com,info@sapharmachem.com,sac@sapharmachem.com,vlnarayan22@gmail.com,x3eaccounts@vasapharmachem.com,x3esuvishwa@mtnl.net.in,",
Prime Laboratories,Companies(Private),Ambad,"5-9-24/78/A9, Meridian Apartments, Basheerbagh, Hyderabad 500063, TS",-23225499,"info@spectacase.com,account@spectacase.com,info@spectacase.com,account@spectacase.com,",
Omya India Pvt Ltd,Companies(Private),Ambad,"302, Windsor House, Off CST Road, Kalina, Santacruz East, Mumbai 400098, MH","+91-22-40631414, +91-22-40631405","amar.jain@orgochem.com,info@mocind.com,pulin@hariorgo.com,amar.jain@orgochem.com,doshi@hariorgo.com,info@orgochem.com,pulin@hariorgo.com,x3eamar.jain@orgochem.com,x3einfo@mocind.com,",
