Name,Sector,City,Address,Phone,Email,Lat-Long
S P Knit Industries,Companies(Private),Amritsar,"B/62, Shayona Estate, Bansidhar Mill Compound, Memco, Naroda Road, Ahmedabad 382345, GJ",+91-8588873906,",contact@spknit.com,",
Am-Roh International,Companies(Private),Amritsar,"Plot No 218, Pace City 2, Near Honda Chowk, HSIIDC Industrial Area, Phase 6, Gurgaon 122002, HR","+91-124-2372172, +91-124-2370172",",amroh@vsnl.com,mann1695@gmail.com,esselinfragroup@infra.esselgroup.com,yaarsoni84@gmail.com,info@am-roh.com,",
Sayona Poly-tarp Pvt Ltd,Companies(Private),Amritsar,"504/A, Shapath 4, Tower B, Opposite Kar, SG Highway, Navrangpura, Ahmedabad 389951, GJ",+91-9825082562,,
Oggo Exports,Companies(Private),Amritsar,"A-1-206, Centre Point, Opposite Bawla Masjid, NM Joshi Marg, Lower Parel, Mumbai 400013, MH","+91-22-40680800, +91-22-65803368",,
Komal Texfab Pvt Ltd,Companies(Private),Amritsar,"Opposite Ranipur Patia, Narol, Ahmedabad 382405, GJ",+91-79-39834000,",forex@komaltexfab.com,srca@komaltexfab.com,jane.doe@komaltexfab.com,info@komaltexfab.com,x3esrca@komaltexfab.com,gm@komaltexfab.com,",
K K Fashion Exports,Companies(Private),Amritsar,"C-142, Lajpat Nagar, New Delhi 110024, DL","+91-11-29815434, +91-11-29815435",",Info@kkfashionexports.com,",
Shree Dhootapapeshwar Ltd,Companies(Private),Amritsar,"135, Nanubhai Desai Road, Khetwadi, Mumbai 400004, MH",,"healthcare@sdlindia.com,,raj.singh@sdlindia.com,x3eraj.singh@sdlindia.com,",
Reine Lifescience,Companies(Private),Amritsar,"5901, Near Par Drugs, Industrial Estate, Kanoria Chemicals Road, GIDC, Ankleshwar 393002, GJ",,",reinelifescience.rm@gmail.com,info@reinelifescience.com,",
Kylsans Drugs & Chemicals Pvt Ltd,Companies(Private),Amritsar,"A-4/47, Paschim Vihar, New Delhi 110063, DL",,"kylsons_lab@yahoo.com,,",
Jagdale Industries Ltd,Companies(Private),Amritsar,"782, 15th Cross, 1st Phase, J P Nagar, Bengaluru 560078, KA",,",jp-gwt@jagdale.com,info@jagdale.com,ainmedicare@rediffmail.com,",
S Narendrakumar & Company (Everest Masala),Companies(Private),Amritsar,"Krushal Commercial Complex, Above Shoppers Stop, G. M. Road, Chembur West, Mumbai 400089, MH","+91-22-40997700, +91-22-32916233",,
