Name,Sector,City,Address,Phone,Email,Lat-Long
Wild Gains Gym - Amritsar,Gym,Amritsar,"Chabal Rd, next to bedi petrol pump, Shaheed Udham Singh Colony, Indra Colony, Amritsar, Punjab 143001",098722 83299,",themall.amritsar@goldsgym.in,info@h2hfitnessstudio.com,","31.6166318,74.8559206"
Vision Gym - Amritsar,Gym,Amritsar,,,",VisionGymAmritsar@gmail.com,","31.6243006,74.8523096"
Vigorous Fitness Gym - Amritsar,Gym,Amritsar,"Plot no 2&3,2nd floor, building mahal complex,ssss chowk, Majitha Rd, Amritsar, Punjab 143001",0183 505 0007,"info@vigorousfitness.in,,ninfo@vigorousfitness.in,","31.6420526,74.8810627"
Valcano The Gym - Amritsar,Gym,Amritsar,"JV59+HHH, Roop Nagar, Amritsar, Amritsar Cantt., Punjab 143006",,"rhinosgymamritsar@gmail.com,,themall.amritsar@goldsgym.in,info@h2hfitnessstudio.com,","31.6089398,74.8664167"
Ultimate Fitness Gym - Amritsar,Gym,Amritsar,,,",themall.amritsar@goldsgymindia.com,","31.6432656,74.8325492"
The Xtreme Fitness Gym - Amritsar,Gym,Amritsar,"Gt Road,Near Honda Showroom,After Golden Gate, New Amritsar Colony, Punjab 143022",073730 01323,"info@xtremefitness.co.in,exalted.fitness.asr@gmail.com,,","31.603662,74.9359687"
The Shape Shoppe Gym - Amritsar,Gym,Amritsar,"Dasonda Singh Rd, Khanna Street, White Avenue, Amritsar, Punjab 143001",098881 22334,",gagandeepsinghgymlover@gmail.com,","31.649695,74.876701"
The Beast Den Unisex Gym - Amritsar,Gym,Amritsar,,,",themall.amritsar@goldsgym.in,","31.6391552,74.790327"
Target Fitness Gym - Amritsar,Gym,Amritsar,,,",info@yorksfitness.com,nortusfitness@gmail.com,","31.6229452,74.8742066"
Super Fitness Gym Women's - Amritsar,Gym,Amritsar,"1st Floor, Above Central Bank, Tahli Wala Chowk, Sultanwind Road, Amritsar, Punjab 143001",085579 58150,",themall.amritsar@goldsgym.in,","31.615487,74.8859621"
Sun Fitness Zone - Amritsar,Gym,Amritsar,"O/S, Lohgarh Gate, Katra Ahluwalia, Amritsar, Punjab 143001",097790 47128,",email-ambraiclubsangli@gmail.com,info@f360gym.com,","31.626011,74.8640831"
Strong Size Unisex Gym - Amritsar,Gym,Amritsar,"Opp Khalsa collage B. Ed gate 1st floor of wardrobe show room, Punjab 143001",073554 40007,,"31.631532,74.8313404"
Speed Fitness Gym - Amritsar,Gym,Amritsar,"Guru Harkrishan market , Ranjit Vihar , Lohraka Road, Amritsar, Punjab 143001",098150 07853,",info@f360gym.com,","31.6709643,74.8610191"
Shred Up Fitness - Amritsar,Gym,Amritsar,"Circular Rd, opposite Government Medical College, Medical Enclave, Amritsar, Punjab 143001",097808 08396,,"31.6504026,74.8800311"
She's Fit Gym - Amritsar,Gym,Amritsar,"Shaheed Udham Singh Colony, Khazana Wala Gate, Amritsar, Punjab 143001",084278 37005,"nhello@curefit.com,,hello@curefit.com,themall.amritsar@goldsgym.in,","31.6177542,74.8572594"
Sets N Reps Gym & Fitness Studio - Amritsar,Gym,Amritsar,"Majitha Rd, Guru Gobind Singh Nagar, Tung Bala, Amritsar, Punjab 143001",099212 92792,,"31.6579475,74.8861808"
Sandhu Active Fitness - Amritsar,Gym,Amritsar,"JV34+V8P, Sahibzada Fateh Singh Nagar, Amritsar, Amritsar Cantt., Punjab 143006",097803 08030,,"31.6047163,74.8532497"
Royal hunk gym - Amritsar,Gym,Amritsar,,,",themall.amritsar@goldsgym.in,info@h2hfitnessstudio.com,","31.6285458,74.8352804"
Royal Arms & Femina Fitness - Amritsar,Gym,Amritsar,"27-28, Ranjit Ave, B - Block, Ranjit Avenue, Amritsar, Punjab 143001",,",L1490706_6364d8f2-716e-4540-bc93-10221b6faa94_1024x1024@2x.jpg,","31.6510154,74.8606997"
Refuel Fitness Gym - Amritsar,Gym,Amritsar,"Sco 124 4th floor ranjit avenue.B block.above Bata showroom,next to Vishal mega mart, B - Block, Ranjit Avenue, Amritsar, Punjab 143001",0183 500 8444,,"31.6048193,74.8559055"
Red Rocks Unisex Gym - Amritsar,Gym,Amritsar,"Gangahar building, Majitha Rd, above Axis bank.Green Field, Ganda Singh, Amritsar, Punjab 143001",098728 63630,,"31.6680198,74.8902298"
Red Blood Unisex Gym - Amritsar,Gym,Amritsar,"Metro Plaza, Batala Rd, opp. Sareen Hospital, Amritsar, Punjab 143001",,",info@h2hfitnessstudio.com,","31.6444291,74.8950892"
Raw Fitness Gym - Amritsar,Gym,Amritsar,"15/16 Top Floor Nehru Complex Lawrence Road, Amritsar, Punjab 143001",098888 90902,,"31.6423563,74.8742719"
Rana Da Rock Gym - Amritsar,Gym,Amritsar,"JV4J+2CM, Taj Palace Main Rd , Tarn Taran Rd, Chatiwind Gate Roundabout, Ishwar Nagar, Amritsar, Punjab 143001",098882 00900,,"31.605083,74.8784571"
Off The Grid Gym - Amritsar,Gym,Amritsar,"SCO 12 14 fifth Floor, District Shopping Complex, B - Block, Ranjit Avenue, Amritsar, Punjab 143001",,",info@offthegridgym.com,ninfo@offthegridgym.com,","31.6506664,74.8598792"
O2 Unisex Gym - Amritsar,Gym,Amritsar,"opp. Khalsa college, in the basement of ICICI bank building, Guru Arjun Nagar, Putligarh, Amritsar, Punjab 143002",,",themall.amritsar@goldsgymindia.com,info@impulsworld.com,","31.631729,74.8337211"
No Comparison Gym - Amritsar,Gym,Amritsar,"Guru Nanak Nagar, Verka, Amritsar, Punjab 143501",,",proultimate.kharar@gmail.com,","31.6634793,74.9301296"
New Shape Shoppe Gym - Amritsar,Gym,Amritsar,"Dasonda Singh Rd, Khanna Street, White Avenue, Amritsar, Punjab 143001",098881 22334,",jdproultimate@gmail.com,gagandeepsinghgymlover@gmail.com,","31.649695,74.876701"
My gym - Amritsar,Gym,Amritsar,,,",info@hammerfitness.co.in,themall.amritsar@goldsgym.in,themall.amritsar@goldsgymindia.com,info@h2hfitnessstudio.com,","31.6350538,74.8371158"
More Than Fitness Gym - Amritsar,Gym,Amritsar,"Ram Tirath Rd, Mahal, Amritsar, Punjab 143105",095019 75675,",themall.amritsar@goldsgym.in,info@f360gym.com,","31.6495201,74.8115492"
Mahabali Gold Unisex Gym - Amritsar,Gym,Amritsar,"JVF9+MJC, Inside Lohgarh Gate, Lohgarh Gate, Katra Ahluwalia, Amritsar, Punjab 143006",085919 19166,",themall.amritsar@goldsgym.in,themall.amritsar@goldsgymindia.com,","31.624192,74.8664434"
Magic Fitness Gym - Amritsar,Gym,Amritsar,"Near borian vala bazar(140, Shakti Nagar, Lahori Gate, Amritsar, Punjab 143001",077195 78446,",exalted.fitness.asr@gmail.com,themall.amritsar@goldsgym.in,","31.6162218,74.8650515"
Lifetime Gym - Amritsar,Gym,Amritsar,"PLOT NO, 3, Grand Trunk Rd, near BERI HOSPITAL, Guru Arjun Nagar, Putligarh, Amritsar, Punjab 143001",099887 08383,",reservation@hkclarksinn.in,","31.6324893,74.840878"
Khaira Gym and Yoga Centre - Amritsar,Gym,Amritsar,,,",themall.amritsar@goldsgym.in,info@h2hfitnessstudio.com,","31.6366094,74.820354"
Keep Fit Gym - Amritsar,Gym,Amritsar,"Shop No.3606, 3, Main Road, Bazaar Bhagtan Wala, Amritsar, Amritsar Cantt., Punjab 143001",079865 28315,",info@hammerfitness.co.in,exaltedfitness.gym@gmail.com,info@f360gym.com,","31.6113429,74.864802"
