Name,Sector,City,Address,Phone,Email,Lat-Long
Landmark Homes,Companies(Private),Anand,+91-9256034567,,",hpscrews@gmail.com,wisteriahousing@gmail.co,hpscrew@landmarkcrafts.in,",
Tisa Aerospace,Companies(Private),Anand,"60-A, IDA, Gandhi Nagar, Kukatpally, Hyderabad 500037, TS",,",hello@tisaaerospace.com,gowrishankar.p@raghuvamsiaerospace.com,",
The Bombay Community Public Trust,Companies(Private),Anand,"302, Bezzola Complex, 3rd Floor, A wing, Sion-Trombay Road, Chembur, Mumbai 400071, MH",+91-9869024625,",caidtrust@gmail.co,",
Tectigon IT Solutions,Companies(Private),Anand,"6/2, Royal Empress, Near Prabhavee Tech Park, Baner, Pune 411045, MH",+91-7058181478,",gxxxxxxi@valueleaf.com,sghiya@modeln.com,sales@tectigon.co,x3esghiya@modeln.com,anitha.kale@arnekt.com,sales@tectigon.co.in,x3eanitha.kale@arnekt.com,x22sghiya@modeln.com,",
Web Ridge E Solution,Companies(Private),Anand,"316, Siddha Weston, Municipal Premises No 9, Weston Street, Kolkata 700013, WB",+91-8640904902,,
Mecab Cables Pvt Ltd,Companies(Private),Anand,"635-A, Phase 4, G.I.D.C Vatva, Ahmedabad 382445, GJ",+91-79-25896454,",mecabpvt@live.com,info@mecabcables.com,mecabpvt@gmail.com,",
Jupiter Electronics & Telecom Systems,Companies(Private),Anand,"110-F, 1, Dda Building 5, Opposite Satyam Cineplex, Centre, Janak Puri, New Delhi 110058, DL",+91-11-65420202,"dinesh@jupiterelectronics.co.in,,x3edinesh@jupiterelectronics.co.in,",
Atotech India Ltd,Companies(Private),Anand,"306, 309-B, 3, SS Plaza, Sector 47, Gurgaon 122016, HR",+91-124-08110419000,",atotech.bang-admin@atotech.com,atotech.hary-admin@atotech.com,sonia.agarwal@broadcom.com,atotech.at@atotech.com,autotech.manesar@vtransgroup.com,",
Anatech Instruments,Companies(Private),Anand,"405-B, 68, Crescent Tower, New Link Road, Next to Dhiraj Heights Andheri, Mumbai 400053, MH",+91-22-26730463,",sales@anatechlaser.com,anatech2012@gmail.com,",
Vijay Silk House Ltd,Companies(Private),Anand,"4/25, 1st Floor, Kamal Mansion, Arthur Bunder Road, Colaba, Mumbai 400005, MH","+91-22-22837215, +91-22-22844228",",roc.chennai@mca.gov.in,vshgroup@gmail.com,",
Sanrhea Technical Textiles Ltd,Companies(Private),Anand,"Near GEB, Dist Gandhinagar, DR Ambedkar Road, Kalol 382721, GJ","+91-2764-227831, +91-2764-225204",",anand.jha@careratings.com,sanrhea@gmail.com,jha@careratings.com,",
Shenzhen Topray Solar Co. Ltd,Companies(Private),Anand,"6-C, 4, Haldiram Enclave VIP Road, Teghoria, Kolkata 700157, WB",+91-33-65551228,,
Elecon Measurements Pvt Ltd,Companies(Private),Anand,"764, 4, 707, Yelahanka New Town, Bangalore 560106, KA",+91-80-28461777,"janedoe@elecon.com,,investor@eimcoelecon.in,RBDALWADI@EIMCOELECON.IN,blisarani@elecon.com,",
OJB Herbals Pvt Ltd,Companies(Private),Anand,"28, Amartalla Street, Kolkata 700001, WB",+91-9830157777,"j-doe@osheaherbals.com,,x3ejk@osheaherbals.com,jk@osheaherbals.com,",
Zaneka Healthcare Ltd,Companies(Private),Anand,"Ancilliary Estate, Bhel, Haridwar 249403, UK",,"x3edharamvir.malik@akums.net,,dharamvir.malik@akums.net,",
Virava Chemicals,Companies(Private),Anand,"12, Mill Officers Colony, Ashram Road, Ahmedabad 380009, GJ",,",viravachemicals@gmail.com,",
Punarnava Ayurveda Ltd,Companies(Private),Anand,"A-21, Parsn Galaxy, Parsn Complex, Nanjundapuram Road, Coimbatore 641036, TN",,",dr.shanmukhakumar@gmail.com,punarnava@punarnava.org,",
Optimus Pharma Pvt Ltd,Companies(Private),Anand,"1-2-11/1, Above SBI Bank, Street No 2, Kakatiya Nagar, Habsiguda, Hyderabad 500007, TS",,",srinivas.accounts@optimuspharma.com,x3esrinivas.accounts@optimuspharma.com,",
La-Medicca India Pvt Ltd,Companies(Private),Anand,"168, Sector 7, IMT Manesar, Gurgaon 122050, HR",,"neeti@anandandanand.com,roc.chennai@mca.gov.in,jocelyn.vigreux@tomtom.com,,",
