Name,Sector,City,Address,Phone,Email,Lat-Long
Lark Wires & Infotech Ltd,Companies(Private),Anekal,"204, 19, Eastern Building, R. N. Mukherjee Road, Kolkata 700001, WB",+91-33-22487255,,
GG Tronics India Pvt Ltd,Companies(Private),Anekal,"10, Phase 3, Peenya Industrial, Bangalore 560058, KA",+91-80-28372449,",finance@ggtronics.com,doej@ggtronics.com,jane@ggtronics.com,pmadan_surya@yahoo.co.in,",
V K Thaper Hosiery Mills (Pvt) Ltd,Companies(Private),Anekal,"Palika Parking, Opposite A Block, Connaught Place, New Delhi 110001, DL","+91-11-23738026, +91-11-23738025",",vkthapar@gmail.com,",
Pellets Pharma Ltd,Companies(Private),Anekal,"784, Vivekananda Nagar Colony, Kukatpally, Hyderabad 500072, TS",,",x3eaccounts@pelletspharma.com,accounts@pelletspharma.com,",
ACG Associated Capsules Pvt Ltd,Companies(Private),Anekal,"Dalamal House, 10th Floor, Nariman Point, Mumbai 400021, MH",,",mahendra.phadte@acg-world.com,sanjay.dhariwal@acg-world.com,x3emahendra.phadte@acg-world.com,x3esanjay.dhariwal@acg-world.com,",
Express Colour Scan Pvt Ltd,Companies(Private),Anekal,"342, Udyog Vihar, Phase-4, Gurgaon 122016, HR",+91-124-4770800,",aukhan@expresscolour.com,","12.7211199,77.6605434"
Expert Logistics India Pvt Ltd,Companies(Private),Anekal,"204, Mansarovar Building, Nehru Place, New Delhi 110019, DL","+91-11-46536912, +91-11-46536913",",info@expertlogisticsindia.com,jayaram.bh7@gmail.com,x3eChandrashekhar.kotian@mol-log.com,Chandrashekhar.kotian@mol-log.com,",
Chandra Shipping & Trading Services (Chandra Group),Companies(Private),Anekal,"2nd Floor, 2nd Block, Subhadra Arcade, Bhanugudi Junction, Kakinada 533003, TS","+91-884-2361569, +91-884-2363262",,
Value Refrigerants Pvt Ltd,Companies(Private),Anekal,"343, Shop No 27, 1st Floor, Munoth Centre, Triplicane High Road, Chennai 600005, TN","+91-44-28514050, +91-9840130055","kguttikonda@vasantchemicals.com,shivakumar@icraindia.com,jayantac@icraindia.com,vasant@vasantchemicals.com,vasant@vasantchemicals.com,shivakumar@icraindia.com,jayantac@icraindia.com,sudhakararao@vasantchemicals.com,kguttikonda@vasantchemicals.com,x3ekguttikonda@vasantchemicals.com,",
Stanson Rubber Products,Companies(Private),Anekal,"2-B, Mel Ayyanambakkam Road, Sri Devi Karumari Amman Nagar, Ayyanambakkam, Chennai 600095, TN",-9941013436,"info@oceangrouponline.in,strawflex@gmail.com,info@oceangrouponline.in,",
