Name,Sector,City,Address,Phone,Email,Lat-Long
Mansfield Cables Company Ltd,Companies(Private),Ankleshwar,"41-B, Sector-6, Noida 201301, UP",+91-120-2569139,"jpchadha@mansfieldcable.com,,jpchadhha@mansfieldcable.com,",
Hitech Electrocomponents Ltd,Companies(Private),Ankleshwar,"1, 107, Mistry Mansion, M.G. Road Fort, Mumbai 400023, MH",+91-22-66307244,",hatimco1@hotmail.com,sales@avinternational.co.in,neotroniks@gmail.com,",
Suyog Pharmaceuticals Pvt Ltd,Companies(Private),Ankleshwar,"T-46, MIDC, Tarapur, Palghar 401506, MH",,",admin@suyogpharma.com,x3enrpharmaceutical@gmail.com,x3esuyogdyechemie@gmail.com,nrpharmaceutical@gmail.com,suyogdyechemie@gmail.com,rakesh@loucatos.com,",
Supreme Pharma Healthcare Pvt Ltd,Companies(Private),Ankleshwar,"211, Sagar Avenue, S V Road, Andheri West, Mumbai 400058, MH",,",x3ejayeshdadhi@gmail.com,x3edharamvir.malik@akums.net,jayeshdadhi@gmail.com,jainvcompany@gmail.com,dharamvir.malik@akums.net,",
Sonic Biochem Extractions Ltd (Matlani Group),Companies(Private),Ankleshwar,"38, Patel Nagar, Indore 452001, MP",,",rkewliya@sonicbiochem.co.in,t.sharma@rusoma.in,x3erkewliya@sonicbiochem.co.in,",
Shree Maruti Herbal,Companies(Private),Ankleshwar,"401, 218/220, Kapurwala Building, Samuel Street, Masjid Bunder West, Mumbai 400003, MH",,",dinesh.v@jayanti.com,amr@jayanti.com,shreemarutiherbal@gmail.com,",
Rekvina Laboratories Ltd,Companies(Private),Ankleshwar,"328, Paradise Complex, Sayajigunj, Vadodara 390005, GJ",,",regent@icenet.net,rekvina@gmail.com,info@rekvina.com,info@rekvinalaboratories.com,",
Pushkar Pharma,Companies(Private),Ankleshwar,"Bhandariwala, Kheri, Kalamb, Sirmour 173030, HP",,",jeps@bol.net.in,pushkarpharma@yahoo.com,darshanpharmachem@gmail.com,",
Nipro India Corporation Pvt Ltd,Companies(Private),Ankleshwar,"E-1, MIDC, Kesurdi, Khandala, Mohtarf, Shirwal, Satara 412802, MH",,",x3enictax@niproindia.com,sonali.kadu@niproindia.com,co@nipponpaint.co.in,last@niproindia.com,rakesh.shejwal@aartigroup.cominfo,indiaho@niproindia.com,narendra.palshikar@in.yazaki.com,nictax@niproindia.com,",
Gorang Interational,Companies(Private),Ankleshwar,"48, Chandragupta Estate, Near Monginis Factory, New Link Road, Andheri West, Mumbai 400053, MH",,",info@gorang.com,business@vpchemistry.com,",
Bayer Pharmaceuticals Pvt Ltd,Companies(Private),Ankleshwar,"Hiranandani Estate, Central Avenue, Thane West, Mumbai 400607, MH",,",customercare@bayer.com,bharati.shetty@bayer.com,ir_bcsl@bayer.com,savaliya.nikunj@bayer.com,x3einfo@bayer.com,x3ebharati.shetty@bayer.com,x3esavaliya.nikunj@bayer.com,x3eir_bcsl@bayer.com,info@bayer.com,",
BKC WeatherSys Pvt Ltd,Companies(Private),Ankleshwar,"H-135, Sector 63, Noida 201307, UP","+91-120-4632505, +91-120-4632515",",bk@weathersysbkc.com,info@weathersysbkc.com,","28.6269556,77.3688053"
Britex Enterprises,Companies(Private),Ankleshwar,"25, DSIDC Sheds Jhilmil Industrial Area, GT Road, New Delhi 110095, DL",-49585778,",sales@britexenterprises.info,",
