Name,Sector,City,Address,Phone,Email,Lat-Long
Starshine Clothing Pvt Ltd,Companies(Private),Avinashi,"374/FA-2, KASEZ, Sector 3, Gandhidham 370230, GJ",+91-2836-253364,",x3evikash.gupta@matrixclothing.in,x3emanojp@creativegarments.com,irashvk@gmail.com,vikash.gupta@matrixclothing.in,x22manojp@creativegarments.com,manojp@creativegarments.com,",
Landale & Clark Ltd,Companies(Private),Avinashi,"25, Princep Street, Kolkata 700072, WB","+91-33-22377880, +91-33-22377881",,
S.R. Brothers,Companies(Private),Avinashi,"189, Pycrofts Road, Royapettah, Chennai 600014, TN","+91-44-28610605, +91-44-28610009",",kallambrothers@gmail.com,csannamathew@gmail.com,business@threestar-group.com,",
Lata Export Apparels Pvt Ltd,Companies(Private),Avinashi,"201, BBTM Compound, LBS Road, Bhandup West, Mumbai 400078, MH","+91-22-25966490, +91-22-25966743",",info@aacs.in,cs@prateekapparels.com,jog@aacs.in,x3ecs@prateekapparels.com,",
KS Enterprises,Companies(Private),Avinashi,"F-64, Sector 11, Noida 201301, UP",+91-120-4280500,"gene@ksrandco.in,,karthik@orangetrips.com,info@ksrandco.in,",
Harsiddh Textiles,Companies(Private),Avinashi,"284/2, GIDC, Behind Water Tank, Odhav, Ahmedabad 382415, GJ",+91-79-22872305,",contact@iransc.com,",
Best Marine Pvt Ltd,Companies(Private),Avinashi,"112, Mint Road, Fort, Mumbai 400038, MH","+91-22-22692103, +91-22-22662103",",accounts@bestmarine.com,delhi@bestmarine.com,best@bestmarine.com,aeoccptrichy@gmail.com,",
ATM Exports,Companies(Private),Avinashi,"112, DLF Industrial Area Phase 1, Faridabad 121003, HR",+91-129-6541044,",ENVACARELABORATORY@GMAIL.COM,financemanager@birdyexports.com,x3eSreeji@sreeragamexports.com,Sreeji@sreeragamexports.com,x3efinancemanager@birdyexports.com,x3ejignesh@jaykal.com,info@icraindia.com,exports.bts@gmail.com,jignesh@jaykal.com,x22Sreeji@sreeragamexports.com,goelml@yahoo.com,",
Soyo Systems,Companies(Private),Avinashi,"91-M, M.I.D.C. Area, Near Godavari Engineering College, Jalgaon 425003, MH",+91-257-2210132,"neha.bhambrienerprises@gmail.com,,info@kamalsolar.com,",
Sujay Irrigation Pvt Ltd,Companies(Private),Avinashi,"86, Main Road, Pete Channappa Estate, Kamakshipalya, Bengaluru 560079, KA",+91-80-23488779,",jainmumbai@jains.com,x3ejainmumbai@jains.com,sujayirrigation@gmail.com,",
Edsix Brain Lab Pvt Ltd,Companies(Private),Avinashi,"H-1, 8, 1st Floor, IIT Madras Research Park, Kanagam Road, Taramani, Chennai 600113, TN",-66469830,",sarav@skillangels.com,sarav.sundaramoorthy@gmail.com,",
Pricol Packaging Ltd (Pricol),Companies(Private),Avinashi,"SF 45, Opposite Madras Oxygen Limited, Thekkupalayam, Mettupalayam Road, Coimbatore 641020, TN","+91-422-2696913, +91-422-2694036",",cs@pricol.co.in,x3ecs@pricol.co.in,connect@pricol.com,",
V V Sapre Consultants Pvt Ltd,Companies(Private),Avinashi,"5, 2, 406, Navneet Plaza, Palasia, Indore 452018, MP","+91-731-2561879, +91-731-2561824","manish@valconusa.com,nobrezaconsult@gmail.com,nobrezaconsult@gmail.com,nobrezaconsult@gmail.com,manish@valconusa.com,manish@valconusa.com,manish@valconusa.com,x22nobrezaconsult@gmail.com,x3enobrezaconsult@gmail.com,x3enobrezaconsult@gmail.com,",
