Name,Sector,City,Address,Phone,Email,Lat-Long
TechThrone IT Solutions,Companies(Private),Baddi,"101, B S Residency, 1st Floor, S.R Nagar, Hyderabad 500038, TS",+91-40-49504571,,
Gelco Electronics Pvt Ltd,Companies(Private),Baddi,"142, Near Jalaram Ceramic, Khatraj-Kadi Road, Gandhinagar, Kalol 380025, GJ",+91-2764-281844,",wecare@gelco-world.com,info@gelcoems.com,",
Winsome Textile Industries Ltd (Winsome Group) (Winsome),Companies(Private),Baddi,"SCO-191-192, Sector 34-A, Chandigarh, 160022, CH","+91-172-4612000, +91-172-4613000",",info@winsomegroup.com,x3ecshare@winsomegroup.com,wtil@winsometextile.com,cshare@winsomegroup.com,cswtil@winsometextile.com,",
Avani Textile Ltd (Avani),Companies(Private),Baddi,"Sangrur Patial Highway, Rural Focal Point, Patiala Road, Bhindran, Sangrur 148001, PB","+91-1672-246039, +91-1672-246089",",avanifinance@gmail.com,",
Lincoln Pharmaceuticals Ltd,Companies(Private),Baddi,"Lincoln House, Behind Satyam Complex, Ahmedabad 380014, GJ",,",cs@wirefabrik.com,info@lincolnpharma.com,",
Lensel Optics Pvt Ltd,Companies(Private),Baddi,"66/2, D-2, MIDC, Chinchwad, Pune 411019, MH",,"lensel.optics@gmail.com,,n@gmail.com,sales@lenseloptics.com,",
D Vijay Pharma Pvt Ltd,Companies(Private),Baddi,"Lal Bahadur Shastri Marg, Salpa Devi Pada, Mulund West, Mumbai 400080, MH",,",info@anod.in,manager@alainapharma.com,shatammohan@gmail.com,ho@dvijaypharma.com,abhinav@dmpharma.org,d-jane@dvijaypharma.in,",
Biodiesel Technologies Pvt Ltd,Companies(Private),Baddi,"164/40, Prince Anwar Shah Road, Lake Gardens, Kolkata 700045, WB",,",gnrsaravanakumar@gmail.com,info@biodieseltechnologiesindia.com,",
Auriga Research Ltd,Companies(Private),Baddi,"3/15, Industrial Area, Kirti Nagar, New Delhi 110015, DL",,"gauthamh@aurigaresearch.com,,baddi@aurigaresearch.com,namrata.gupta@tuv-sud.in,",
Assure Lifescience Pvt Ltd,Companies(Private),Baddi,"63/18, 2nd Floor, Industrial Area, Najafgarh Road, New Delhi 110015, DL",,",jaipurhivam@yahoo.co.in,assure.lifescience@gmail.com,moruflifesciences0719@gmail.com,",
Anmol Medicare TPA Ltd,Companies(Private),Baddi,"NBCC House, 2nd Floor, Near Sahjanand College, Ambawadi, Ahmedabad 380015, GJ",,",prithvi@anmolmedicare.com,accounts@anmolmedicare.com,info@anmolgroup.in,lic.vadodara@anmolmedicare.com,",
Aizant Drug Research Solutions Pvt Ltd,Companies(Private),Baddi,"Survey No 172 & 173, Apparel Park Road, Dulapally, Quthbullapur, Hyderabad 500014, TS",,"last@aizant.com,,info@aizant.com,x3eaccounts@aizant.com,",
Hooghly Printing Company Ltd,Companies(Private),Baddi,"41, Chowringhee Road, Kolkata 700071, WB",+91-33-22883312,",Henterprises72@Gmail.Com,partha.majumdar@hooghlyprinting.com,com.sec@andrewyule.com,","30.9508107,76.718392"
Bharath Paper Conversions,Companies(Private),Baddi,"40, 5th Cross, Bharathi Park Road, Coimbatore 641043, TN",+91-422-2438346,",bharathoffset@gmail.com,baddi@dsl-india.com,snyadav59@gmail.com,","30.9365954,76.7762912"
Horizon Packs,Companies(Private),Baddi,"205/206, 10/14, Veena Killedar Industrial Estate, Pais Street, Byculla West, Mumbai 400011, MH","+91-22-23074652, +91-22-23075042","cs@horizonpacks.com,horizon@horizonpacks.com,,",
Suvarna Fibrotech Pvt Ltd,Companies(Private),Baddi,"S-27, Near Pawana Industries, T Block, MIDC, Pune 411026, MH",-27122863,"swaroop_agro@hotmail.com,mansi@thefrontierslegal.com,swaroop_agro@hotmail.com,divijagarwal@gmail.com,mansi@thefrontierslegal.com,",
Garima Calcium Products Pvt Ltd,Companies(Private),Baddi,"341, Ganapati Plaza, ML Road, Jaipur 302001, RJ",-2389051,"shahiconstruction.kol@gmail.com,rahuljoshi0085@gmail.com,",
Aroma Chemical Agencies India Pvt Ltd,Companies(Private),Baddi,"12, Peninsula Centre, SS Rao Road, Parel, Mumbai 400012, MH",+91-22-40649494,"info@arunayaorganics.com,info@arunyaorganics.com,info@arunyaorganics.com,info@arunayaorganics.com,info@arunyaorganics.com,info@arunyaorganics.com,",
Agrawal Associates.,Companies(Private),Baddi,"224-B, 2nd Floor, Saichamber, Sector-11, CBD Belapur, Navi Mumbai 400614, MH",+91-11-45058181,"ak@akplacements.com,Email-excelprojects06@gmail.com,sharvil@akplacements.com,excelprojects06@gmail.com,hp@akplacements.com,",
