Name,Sector,City,Address,Phone,Email,Lat-Long
Tata Consultancy Services Ltd,Companies(Private),Banga,"Banyan Park, Suren Rd, Gundavali, Andheri East, Mumbai, 400093, MH",+91-2267793838,",x22mail@tce.co.in,csg-unit@tcplindia.co.in,careers@tcs.com,global.marketing@tcs.com,mail@tce.co.in,x3ecareers@tcs.com,x3eglobal.marketing@tcs.com,x3email@tce.co.in,",
GST Corporation Ltd,Companies(Private),Banga,"B-13, Okhla Phase 2, Okhla Industrial Area, New Delhi 110020, DL",+91-11-48323232,",info@beetaconveyors.com,cs@gstc.com,info@mastersindia.co,x3econtact.gstcouncil@gov.in,contact.gstcouncil@gov.in,x3ecs@gstc.com,x22cs@gstc.com,office@anaadih.com,",
Hindustan Hardy Spicer Ltd,Companies(Private),Banga,"12-C, MIDC, Ambad Industrial Area, Nashik 422010, MH",+91-253-2382018,",service@satellitecorporate.com,co@hhardys.com,Ashok.Nambissan@setindia.com,",
Silver Touch Technologies Ltd,Companies(Private),Banga,"Saffron Tower, 2nd Floor, Near Panchwati Circle, Panchwati, Ahmedabad 380015, GJ",+91-79-40022774,",cs@silvertouch.com,Iconinfo@silvertouch.com,",
Virupaksha Organics,Companies(Private),Banga,"B-4, IDA Industrial Area, Hyderabad 500037, TS",+91-40-23075816,",x3eaccts@virupaksha.com,janedoe@virupaksha.com,info@virupaksha.com,accts@virupaksha.com,45pkumar@gmail.com,",
Yash Engineering Industries,Companies(Private),Banga,"Opposite Bharat Gas Godown, GIDC, Antalia, Bilimora 396325, GJ",+91-9374961774,",info@yash.com,",
Digisocialmark,Companies(Private),Banga,"Tarnaka, Hyderabad, India",+91-6302159018,,
HNS Gold,Companies(Private),Banga,"HNS Gold Pvt Ltd #1161/1, 2'nd Floor, Jinan Towers, 24'th Cross, 24'th Main, Sector 2, HSR Layout, Bengaluru 560102,KA",,",info@hnsgold.com,",
Healing Pharma India,Companies(Private),Banga,"B-411, 4th Floor, Western Edge II, Borivali (E), Mumbai 400066, MH",+91-8585852744,",sales@healingpharma.in,x3ehetal@healingpharma.in,buba.herbalmiraclemedicine@gmail.com,x3emanoj.dalvi@galentic.com,info@healingpharma.in,",
Maia Estates,Companies(Private),Banga,,,",accounts@maiaestates.in,kxxxxxxxxxp@maiaestates.in,janed@maiaestates.in,",
Projects India,Companies(Private),Banga,,,",nBANGAIND@GMAIL.COM,p.s.efiling@gmail.com,curo@curoindia.com,",
H. G. Infra Engineering,Companies(Private),Banga,,,",sajan.goyal@careratings.com,info@hginfra.com,",
Elyts Branding Solutions,Companies(Private),Banga,+919886979795,,",branding@elyts.in,",
MCC Imaging Pvt Ltd,Companies(Private),Banga,"2-B, 73-C, Safdarjung Enclave, New Delhi 110029, DL",+91-11-26102975,",pran@mcc.co.in,chirana@bangasolar.com,",
Maruti Weightech Pvt Ltd,Companies(Private),Banga,"255, 258, 2, Opposite Cims Hospital, Shukan Mall, Science City, S G Road, Sola, Ahmedabad 380060, GJ",+91-79-27711771,"maruti_scale@yahoo.com,,accounts@marutiweightech.com,",
Maheshwari Electricals Mfrs Pvt Ltd,Companies(Private),Banga,"59-A, Sector 5, Noida 201301, UP",+91-120-4261611,",memindia@gmail.com,doe@gmail.com,doe-jane@yahoo.com,electricalsmaheshwari@gmail.com,mem.acount@gmail.com,",
Magotteaux Industries Pvt Ltd,Companies(Private),Banga,"410, 4, 19, Suryakiran Building, K G Marg, New Delhi 110001, DL",+91-11-23313782,",x3enitin.lunawat@magotteaux.com,nitin.lunawat@magotteaux.com,",
Magnewin Energy Pvt Ltd,Companies(Private),Banga,"2-K, M.I.D.C., Kupwad, Sangli 416436, MH",+91-233-2645641,",xxxx@magnewin.com,accounts@magnewin.com,mukund@magnewin.com,",
Lumino Industries Ltd,Companies(Private),Banga,"12-A, 5-A, 5, Usha Kiran, Camac Street, Kolkata 700017, WB",+91-33-22829201,",ibrahim68662@gmail.com,cs@luminoindustries.com,",
Luckey Wire Netting,Companies(Private),Banga,"2014, Oppositerajalakshmi Mills Singanallur, Trichy Road, Coimbatore 641005, TN",+91-422-2590453,",finance@merlinprojects.com,",
LeePra Technologies Pvt Ltd,Companies(Private),Banga,"5, Opposite Cipet College, Lakshmikantha Nagar, Mysore 570016, KA",+91-821-9945536482,"x3einfo@leepra.net,info@leepra.net,dileepchandran9@gmail.com,,",
Lectrotek Systems Pvt Ltd,Companies(Private),Banga,"33, Parvati Industrial Estate, Pune Satara Road, Pune 411009, MH",+91-20-24220313,"sales@avontec.com,,",
Leaptech Corporation,Companies(Private),Banga,"812, Cosmos, Sector 11, Cbd Belapur, Mumbai 400614, MH",+91-22-27562822,"maneesh@dataleap.co,unisert@unisert.in,,",
Le Champ (South east Asia) Pte Ltd,Companies(Private),Banga,"18, 1, Frazer Town, Standage Road, Bangalore 560005, KA",+91-80-25488844,"sales@lechamp.com,sales@lechamp.com.sg,,",
Lall King Generators Pvt Ltd,Companies(Private),Banga,"Nirmal Cinema Complex, Daba Road, Ludhiana 141014, PB",+91-161-2542644,",ay18121983@gmail.com,IndiaSales@infor.com,",
Lakshmi Electro Controls & Automation,Companies(Private),Banga,"136-137, 6, 8, Phase 3, Peenya Industrial Area, Bangalore 560058, KA",+91-80-41171145,,
Lakshmi Electrical Control Systems Ltd,Companies(Private),Banga,"Arasur, Coimbatore 641407, TN",+91-422-3093500,"secretary@lecsindia.com,,accts@lecsindia.com,info@skdcconsultants.com,x3esecretary@lecsindia.com,info@lecsindia.com,",
Kripa Telecom,Companies(Private),Banga,"18, 24, 1, 1, Old Khata, Begur Hobli, Hosur Main Road, Maruthitimber Traders Veerasandra Konappana Agrahara Village, Bangalore 560100, KA",+91-80-28520452,",customercare@infotelconnect.com,Kripa_p_in@yahoo.co.in,kripaacc@yahoo.com,kripa.p.in@gmail.com,sk.telecom.karbonn@gmail.com,",
Kool King Industries,Companies(Private),Banga,"Opposite Dashmesh Dharam Kamda Kalka Road, Rajpura 140401, PB",+91-1762-230342,",rahuljoshi0085@gmail.com,",
Kirti Pressings Pvt Ltd,Companies(Private),Banga,"35-W, M.I.D.C. Industrial Area, Waluj, Aurangabad 431136, MH",+91-240-2554596,"info@kirtipressings.com,,bahekar@kirtipressings.com,",
Kiran Sales Corporation,Companies(Private),Banga,"52, C-A, Jyoti Estate, Chottani Building Proctor Road, Mumbai 400007, MH",+91-22-23862749,",kiransaleskukana@gmail.com,xxxx@kiransales.com,",
Kiran Electricals,Companies(Private),Banga,"82, 56, 2, Rpc Layout, 2 Stage, Behind Amruth Sagar Hotel, Vijaynagar, Bangalore 560040, KA",+91-80-23101505,",finance@merlinprojects.com,bangagroup@rediffmail.com,",
Kaycee Industries Ltd (CMS),Companies(Private),Banga,"32, Ramjibhai Kamani Marg, Ballard Estate, Mumbai 400001, MH",+91-22-22613522,",cs_legal@cms.co.in,kaycee_bangalore@cms.com,sales@kayceeindustries.in,complianceofficer@cms-kaycee.co,sales@kayceeindustries.com,kayceeindltd@vsnl.com,",
Kashyap Elkons,Companies(Private),Banga,"2-G, 66, New Mahavir Industrial Estate, Near Die Plast Industries, Nayakpada, Waliv Village, Vasai 401208, MH",+91-250-8805074300,,
Kamtron Systems Pvt Ltd,Companies(Private),Banga,"402, 56, Eros Apartment, Nehru Place, New Delhi 110019, DL",+91-11-26286258,",salesit@kamtrononline.com,kavita.singhal@kamtrononline.com,",
Kaizen Switchgear Products,Companies(Private),Banga,"866, 1, Gidc Est, Makarpura, Vadodara 390010, GJ",+91-265-2643652,",chintan.soni@careratings.com,",
KabelSchlepp India Pvt Ltd,Companies(Private),Banga,"14-B, Iti Ancillary Industrial Estate, Mahadevapura, Bangalore 560048, KA",+91-80-41158997,",gm@kabelschlepp.in,info@kabelschlepp.in,info@kabelschlepp.de,india@kabelschlepp.in,",
K M Cables Pvt Ltd,Companies(Private),Banga,"4-A, 17, Gautam Street, New Vishwas Nagar Shahdra, New Delhi 110032, DL",+91-11-09810037553,",kmcables@mail.com,team.akjainco@gmail.com,kflexcables@gmail.com,info@kmcables.net,rishikansal@hotmail.com,adityatantiya@gmail.com,",
Jagwani Projects Pvt Ltd,Companies(Private),Banga,"376, 1, Block-G, New Alipore, Gayatri Appartment, Kolkata 700053, WB",+91-33-24986857,",hr.lavijagwani@gmail.com,suniljagwani2000@yahoo.com,",
ITO Precision Technologies Pvt Ltd,Companies(Private),Banga,"20, Developed Plots Guindy, Industrial Estate, North Phase, Ekkaduthangal, Chennai 600097, TN",+91-44-42633298,"x22SANJEEV08G@GMAIL.COM,,x3ebtofficial@outlook.com,SANJEEV08G@GMAIL.COM,x3eSANJEEV08G@GMAIL.COM,btofficial@outlook.com,vishysk@gmail.com,sushanta@ito-group.com,x22vishysk@gmail.com,adarsh@gyanapp.in,x3eadarsh@gyanapp.in,cphicustomerservice@informa.com,x3evishysk@gmail.com,",
IntraAction Electronics,Companies(Private),Banga,"145-E, Gidc Electronic Estate, Sector 26, Gandhinagar 382028, GJ",+91-79-23287226,"info@intraactionindia.com,,alanfoxmembranes@outlook.com,",
Interplex Electronics India Pvt Ltd,Companies(Private),Banga,"89-A, Electronics City, Hosur Road, Bangalore 560100, KA",+91-80-66445330,",santhanam.narayanan@in.interplex.com,manohara.n@in.interplex.com,yuvaraj.m@in.interplex.com,nspatel@interplexindia.com,x3esanthanam.narayanan@in.interplex.com,",
International Aerospace Manufacturing Pvt Ltd,Companies(Private),Banga,"3, Kempapura Vilage, Bangalore 560037, KA",+91-80-25196703,",sathish.s@iampl.co.in,info@iampl.co.in,trade@iampl.co.in,",
Integrated Batteries India Pvt Ltd,Companies(Private),Banga,"10-C, Guru Nanak Pura, Laxmi Nagar, New Delhi 110092, DL",+91-11-43051332,",shyam.mahadik@omya.com,x3eskmahajan@ibsolar.co.in,esc@escindia.com,x3eshyam.mahadik@omya.com,skmahajan@ibsolar.co.in,abhinav.mahajan@integratedbatteries.com,",
"Integra Switchgear Ltd,",Companies(Private),Banga,"10, Por- Ramangamdi, Vadodara 391243, GJ",+91-265-2642284,"integra.pankajvora@gmail.com,mcb@integraindia.com,integra.pankajvora@gmail.comhttp,,",
Insta Control Pvt Ltd,Companies(Private),Banga,"1-4, G, Vishnu Malti, Industrial Estate, Shivane, Pune 411023, MH",+91-20-25292112,",info@instacontrols.com,response@instacontrols.com,",
Indotech Transformers Ltd (Prolec GE),Companies(Private),Banga,"151-243, 64, Illuppapattu Village, Kancheepuram, Chennai 631561, TN",+91-44-37290518,",info@prolec-geindia.com,x3einvestor@indo-tech.com,investor@indo-tech.com,",
Impreglam Electronics Ltd,Companies(Private),Banga,"107, Rajdhani Plaza, Lsc, New Rajdhani Enclave, Vikas Marg, New Delhi 110092, DL",+91-11-22447652,",chdcs@virgoasia.com,model.dpk@gmail.com,mail@sumpapers.co.in,uos@bol.net,",
IMP Powers Ltd,Companies(Private),Banga,"35-C, 2, Popular Press Building, Pt. M.M.Malviya Road, Tardeo, Mumbai 400034, MH",+91-22-23539180,"info@imp-powers.com,,jane@imp-powers.com,silvasaworks@imp-powers.com,jane-d@imp-powers.com,",
IC Electricals Company Pvt Ltd,Companies(Private),Banga,"156, 2, Dsidc, Okhla Industrial Area, Phase-1, New Delhi 110020, DL",+91-11-41613270,",icelectricals@rediffmail.com,contact@icelectricals.in,",
Hyphen Cables Pvt Ltd,Companies(Private),Banga,"1210-H, 11, Dsidc, Industrial Complex Narela, New Delhi 110040, DL",+91-11-27787100,"info@hyphencables.com,,gst@aryaomnitalk.com,exports.hyphen@gmail.com,",
Hyderabad Insulated Wires Pvt Ltd,Companies(Private),Banga,"7-1-49, 3, Ameerpet, Hyderabad 500016, TS",+91-40-23730693,",hiwpl@rediffmail.com,bca@hexworldwide.com,",
Horizon Microtech Pvt Ltd,Companies(Private),Banga,"311, 4-A, G.I.D.C. Estate, Kathwada, Ahmedabad 382430, GJ",+91-79-39874200,",x3eb.choksi@hmplgroup.com,b.choksi@hmplgroup.com,",
Home Cable Network Pvt Ltd,Companies(Private),Banga,"30, 3, Tribhuvan Complex, Mathura Road, New Delhi 110025, DL",+91-11-26331100,",vikki@homedigital.tv,",
High Energy Batteries India Ltd (Esvin),Companies(Private),Banga,"Pakkudi Road, Mathur Pudukottai, Trichy 622515, TN",+91-431-2660323,",susheela.maheshwari@in.panasonic.com,cs@lohiagroup.com,",
Hicool Electronic Industries,Companies(Private),Banga,"104-A, Ttc Industrial Area, Midc Khairne, Navi Mumbai 400710, MH",+91-22-41425555,"inquiry@hicoolfans.com,,info@hicoolfans.com,",
Harness Overseas Marketing Pvt Ltd,Companies(Private),Banga,"17,6-C, Industrial Area, Phase 8-B, Mohali, Chandigarh 160055, CG",+91-172-2236154,",kajal.jasbir@gmail.com,neerumenthol@gmail.com,",
H D Wires Pvt Ltd,Companies(Private),Banga,"17, 20, Sanwer Road, Sector-E, Industrial Area, Indore 452015, MP",+91-731-4211199,,
Gujarat Poly-AVX Electronics Ltd,Companies(Private),Banga,"7, 5, Jamashedji Tata Road, Oriental House, Church Gate Reclamation, Mumbai 400020, MH",+91-22-22820048,",gpel@kilachand.com,",
Groen Electro Pvt Ltd,Companies(Private),Banga,"210, Jessore Road, Kolkata 700089, WB",+91-33-40054730,",info@groenelectro.com,",
GreatWhite Global Pvt Ltd,Companies(Private),Banga,"13, B, Peninsula Business Park, Senapati Bapat Marg, Mumbai 400013, MH",+91-22-30036565,",aditya.bhujbal@careedge.in,jd@great-white.in,",
Gratolite India Pvt Ltd,Companies(Private),Banga,"205, Vishnu Garden, New Delhi 110018, DL",+91-11-25980269,",gururaj.kashi@givaudan.com,x3egururaj.kashi@givaudan.com,tulesh.chandra@selp.in,x22prabal@canopi.in,divijgarg@gmail.com,x3eprabal@canopi.in,DLEVRYINDIA@tietoevry.com,prabal@canopi.in,x3eDLEVRYINDIA@tietoevry.com,x3etulesh.chandra@selp.in,",
Grainger Industrial Supply India Pvt Ltd,Companies(Private),Banga,"9, El Tara Building, Orchard Avenue, Hiranandani Gardens Powai, Mumbai 400076, MH",+91-22-42872800,"krishnamurthy.s@grainger.com,,safetysupport@grainger.com,x3esafetysupport@grainger.com,",
Golden Relief Resources India Pvt Ltd,Companies(Private),Banga,"503, Vishal Tower, Centre Janakpuri, New Delhi 110070, DL",+91-11-41767564,",mailuscasavla@gmail.com,",
GOEPEL electronics India Pvt Ltd,Companies(Private),Banga,"110-O, 1, Electronics City Phase-1, Bangalore 560100, KA",+91-80-65695605,",k.peters@goepel.com,inspection.sales@goepel.com,i.fietze@goepel.com,s.cherukupalli@goepel.com,",
Globus Corporation Ltd,Companies(Private),Banga,"102, Sanjay Chambers Chouble Lane, V P Road, Opera House, Mumbai 400004, MH",+91-22-23873609,",globusmultiservices@gmail.com,mumbai@globuscorp.co,",
Ghaziabad Flopol Insulations Pvt Ltd,Companies(Private),Banga,"7 Milestone, Meerut Road, Morta, Ghaziabad 201003, UP",+91-120-2788370,",infogflopol@yahoo.com,",
Genius Electrical & Electronics Pvt Ltd,Companies(Private),Banga,"207-C, Mayapuri Industrial Area, Phase 2, New Delhi 110064, DL",+91-11-28113545,,
Gemscab Industries Ltd,Companies(Private),Banga,"40, RJ Udyog Nagar, G. T Karnal Road, New Delhi 110033, DL",+91-11-42151572,",meetus@karmyogexports.com,delhi@gemscab.com,nitesh.ranjan@careratings.com,mradul.mishra@careratings.com,",
Fugenic CS Pvt Ltd,Companies(Private),Banga,"8-2-268, A, 2, S-1, Road No 23, Panjara Hills, Hyderabad 500034, TS",+91-40-9542084295,",mharish@fugenicservices.com,gangula.mallareddy@fugenices.com,",
Foremost Industrial Products,Companies(Private),Banga,"1-4, Emrald Industrial Estate, Company Compound, Behind Luthria House, Sativali Road, Vasai East, Bassein 401208, MH",+91-250-2457001,",vashist58@hotmail.com,",
Flic Microwaves Pvt Ltd,Companies(Private),Banga,"1, 1, 298, 2, A, 2, 1, Ashok Nagar, Hyderabad 500020, TS",+91-40-27665445,"ravi.babu@careratings.com,,flicmicrowave@yahoo.com,p.shanti@careratings.com,shanti@careratings.com,",
Flexicab Industries,Companies(Private),Banga,"112-L, G.I.D.C. Near Water Tank Odhav, Ahmedabad 382415, GJ",+91-79-22890091,",flexicab@outlook.com,",
