Name,Sector,City,Address,Phone,Email,Lat-Long
Laxmi Power Cables Pvt Ltd,Companies(Private),Basni,"7, Geeta Griha Building, Lohar Chawl Picket Road, Mumbai 400002, MH",+91-22-22052872,"hmtcable@yahoo.co.in,,raman@taurusforwarders.com,info@dynemic.com,",
Bharat Foam Udyog Pvt Ltd,Companies(Private),Basni,"15/4, Mathura Road, Faridabad 121003, HR","+91-129-2276364, +91-9811058566",",arqube188@gmail.com,savita_trehan@yahoo.com,",
Anmol Knitters Pvt Ltd,Companies(Private),Basni,"Near Dana Mandi, Bahadur Ke Road, Ludhiana 141007, PB","+91-161-3246026, +91-161-3246025",",anmolknitters@gmail.com,",
Boutique International Pvt Ltd,Companies(Private),Basni,"C 45-46, Hosiery Complex, Phase 2, Gautam Budh Nagar, Noida 201305, UP",+91-120-6797979,",x3eboutique@boutique.in,boutique@boutique.in,",
Sharon Furniture world,Companies(Private),Basni,"136/60, Periyar Pathai, Choolaimedu, Chennai 600094, TN",+91-44-23613239,"mcfcorporateservices@gmail.com,,",
Kailas Wood Industries,Companies(Private),Basni,"245, Kottur Road, Pollachi 642001, TN","+91-4259-228077, +91-9944374795",,
V Mart Retail Ltd,Companies(Private),Basni,"862, Udyog Vihar Industrial Area, Phase V, Gurgaon 122016, HR",+91-124-4640030,",einward.ris@karvy.com,last@vmart.co.in,info@vmart.co.in,",
Saurabh Flexipack Systems Pvt Ltd,Companies(Private),Basni,"21-24, Gat No 679/2/2, Balaji Industrial Area, Pune Nashik Road, Alandi Phata, Kuruli Chakan, Pune 412114, MH",+91-2135-624100,",hr@saurabhflexipack.com,marketing1@ankitraj.com,finance@saurabhflexipack.com,sales@saurabhflexipack.com,",
Janatha Fish Meal & Oil Product,Companies(Private),Basni,"Manoor Fisheries Road, Udupi 576221, KA",+91-820-2987005,,
Chordia Food Products Ltd,Companies(Private),Basni,"48/A, Parvati Industrial Estate, Pune Satara Road, Pune 411009, MH",+91-20-24220022,",chordiaproperty@gmail.com,cs.cfpl@gmail.com,admin@chordia.com,fcd@chordiafoods.com,chaitanya@innocorp.com,","18.4909774,73.8464789"
Shree Renga Polymers,Companies(Private),Basni,"SF No 638, KPR Thottam, Kalipalayam, Puliyur, Karur 639114, TN",-254393,"rakesh.shejwal@aartigroup.cominfo,nitinm@godrej.com,abhia@godrej.com,info@spectrochem.in,sales.shreenath@gmail.com,rakesh.shejwal@aartigroup.cominfo,nitinm@godrej.com,abhia@godrej.com,info@spectrochem.in,",
Niknam Chemicals Pvt Ltd,Companies(Private),Basni,"2600/5, Beadonpura, Karol Bagh, New Delhi 110005, DL","+91-11-28752252, +91-11-28756992","zodiacrubber@rediffmail.com,info@zodiacrubber.com,njavallil@gmail.com,zodiacrubber@rediffmail.com,info@zodiacrubber.com,",
