Name,Sector,City,Address,Phone,Email,Lat-Long
Workfolic Enterprises,Companies(Private),Bela,"Office No. 1606, Tower-S-3, Rishabh Cloud-9, Sector-1, Vaishali, Ghaziabad, U.P",+91-8630851074,,
LEONI Cable Solutions India Pvt Ltd,Companies(Private),Bela,"428, Indospace Rohan Industrial Park, Mahalunge, Khed, Rajguru Nagar 410501, MH",+91-2135-391600,",krishna.dayma@leoni.com,presse@leoni.com,",
Lecon Energetics Pvt Ltd,Companies(Private),Bela,"136-C, 1, 2, C, Peenya Industrial Estate, 2 Stage, Bangalore 560058, KA",+91-80-28363311,"laxmikantsurlaker@gmail.com,,lecongm@gmail.com,",
Doble Engineering Pvt Ltd,Companies(Private),Bela,"2, Suvidhi Pride Gorwa-Refinery Road, Vadodara 390003, GJ",+91-265-6557715,",JGanson@doble.com,sgaikwad@doble.com,last@doble.com,John@doble.com,JSmith@doble.com,",
Accord Power Conversion Pvt Ltd,Companies(Private),Bela,"12-C, 1 2, Electronic Complex, Kushaiguda, Hyderabad 500062, TS",+91-40-27148666,",rchander@accordpower.in,pratikgupta@accordpower.in,x3epratikgupta@accordpower.in,online@accordpower.in,info@ebatterydirectory.com,",
A&A Global Resources Pvt Ltd,Companies(Private),Bela,"1, 12, 3-B, 327, Siddharth Towers, Kothrud, Pune 411038, MH",+91-20-25469864,,
BS Ltd,Companies(Private),Bela,"504, Trendset Towers, Banjara Hills, Road No 2, Hyderabad 500034, TS",+91-40-44558888,",i@gmail.com,bsbiotech.vet@gmail.com,mmehra@pglindia.com,",
Zyg Pharma Pvt Ltd (Encore Group),Companies(Private),Bela,"405-408, Nav Bharat Estate, B Wing, 4th Floor, Zakaria Bunder Road, Sewri, Mumbai 400015, MH",,",vmerchant@zygpharma.co,zyg@torrentpharma.com,",
Millennium Herbal Care Ltd,Companies(Private),Bela,"12-B, 241-242, Nirmal, Backbay Reclamation, Nariman Point, Mumbai 400021, MH",,",mktg@herbalmill.com,accounts3@herbalmill.com,",
The Unati Co Operative Marketing Cum-Processing Society Ltd,Companies(Private),Bela,"5 KM, Talwara Mile Stone, Near Mukerian Hydel Power House No 1, Talwara, Dasua 144205, PB",+91-1883-295195,,
Kalyan Aqua & Marine Exports Pvt Ltd,Companies(Private),Bela,"MIG 25B, Lawsonsbay Colony, Visakhapatnam 530017, AP",+91-9849523545,",mail@kalyanaqua.com,",
CP Milk & Food Products Pvt Ltd,Companies(Private),Bela,"B-13, H-Road, Mahanagar Extension, Mahanagar, Lucknow 226010, UP",+91-522-4043215,,"18.5278872,73.8189268"
UV Graphic Technologies Pvt Ltd,Companies(Private),Bela,"9-B, 3, Okhla Industrial Area Phase-2, New Delhi 110020, DL",+91-11-41911177,"x22SANJEEV08G@GMAIL.COM,,bhuvan@lendbox.in,x22bhuvan@lendbox.in,accounts@gtigti.com,SANJEEV08G@GMAIL.COM,x3eSANJEEV08G@GMAIL.COM,x3ebhuvan@lendbox.in,","28.5239583,77.182292"
