Name,Sector,City,Address,Phone,Email,Lat-Long
Vestige Marketing Pvt Ltd,Companies(Private),Bengaluru,"94-A, 3, 1st Floor, Okhla Industrial Area, Phase-2, New Delhi 110020, DL","+91-11-43101234, +91-11-41708687",",d.jane@myvestige.com,info@myvestige.com,nodalofficer@myvestige.com,voice@myvestige.com,","12.9966004,77.3097506"
Sutraa Creations Pvt Ltd,Companies(Private),Bengaluru,"C-21, 2nd Floor, Sector 2, Noida 201301, UP","+91-120-4226258, +91-120-4222863",",jane-d@sutraa.com,info@sutraa.com,gilroy@sutraa.com,",
Orange Foodstuff Equipment Pvt Ltd,Companies(Private),Bengaluru,"29, Kukreja Plaza, Below Hotel K-Star, Sector 11, CBD Belapur, Navi Mumbai 400614, MH",+91-22-41233660,",nadeem199@gmail.com,admin@orangemultiventures.in,",
Kendriya Vidyalaya Sangathan,Companies(Private),Bengaluru,,,",dcrobangalore@gmail.com,",
Opyra Infotech,Companies(Private),Bengaluru,,,",info@sysfore.com,",
Greemus Technologies,Companies(Private),Bengaluru,"Flat no 604 Manjeera Majestic Commerical Beside Manjeera Mall, Kukatpally Housing Board Colony, Kukatpally, Hyderabad 500072, Telangana",+91-4040156759,,
Udyogini,Companies(Private),Bengaluru,"D-17, Basement, Saket, New Delhi 110017, DL",+91-9319620533,",mail@udyogini.org,",
T Nagar and Co,Companies(Private),Bengaluru,"MS-43, Sector D, Aliganj, Lucknow 226024, UP",+91-522-4011830,"AAYUSHSHARMA18@GMAIL.COM,,btandco@gmail.com,info@precisionit.co.in,bangalore@ksrandco.in,servicedesk@precisionit.co.in,chennai@ksrandco.in,",
Sunil Keswani and co,Companies(Private),Bengaluru,"31, Near Banthia Hospital, Ravi Nagar, Rajatalab, Raipur 492001, CG",+91-771-4035683,",naveensood17@gmail.com,info@persistent.co.in,bmsca@hotmail.com,sunil.keswani.co@gmail.com,bmscas@gmail.com,xxxxxxx@gmail.com,sunil_keswani_co@icai.org,petal_creations123@yahoo.co.in,",
Smile Foundation,Companies(Private),Bengaluru,"161/B-4, Gulmohar House, 3rd Floor, Community Centre, Yusuf Sarai, New Delhi 110049, DL","+91-11-43123700, +91-11-41354564, , +91-11-41354565, +91-11-41354566","sxxxxxxxxxxxxxn@smilefoundationindia.org,,last@smilefoundationindia.org,eitcompliance2020@gmail.com,intern@smilefoundationindia.org,jobs@smilefoundationindia.org,",
Shraddha Charitable Trust,Companies(Private),Bengaluru,"M.P. MILL Compound, 4th Floor, Next To Imperial Tower, Tardeo, Mumbai 400034, MH","+91-9820904079, +91-22-23513735",",contact@samparkfoundation.org,info@saishraddhagroups.com,deepchandgardi2006@yahoo.com,Emailshraddhaforcancer@gmail.com,",
