Name,Sector,City,Address,Phone,Email,Lat-Long
Shanfab India,Companies(Private),Bhadohi,"120, Gundecha Industrial Complex, Near Western Express Highway, Akurli Road, Kandivali East, Mumbai 400101, MH",+91-22-28461706,"pstodirector@iict.ac.in,,info@saifcarpets.com,ictdmc@rediffmail.com,faraz.creation.india@gmail.com,admin@indianartgallery.in,",
Shamshi Rug Emporium,Companies(Private),Bhadohi,"24, Alampur, Bhadohi 221401, UP",+91-9839869393,",11rugsgallery@gmail.com,janak@agniexports.com,orient159@gmail.com,",
OPK Knits,Companies(Private),Bhadohi,"520/1, Opposite Avon Cycles Gaispura Unit, Shanti Nagar, Gaispura, Industrial Area C, Ludhiana 141010, PB",+91-161-5095588,",kapoorscarpetsbhadohi@gmail.com,11rugsgallery@gmail.com,",
M.M.Textiles Pvt Ltd,Companies(Private),Bhadohi,"30/8, Reddy Raman Street, Sowcarpet, Chennai 600079, TN","+91-44-25387374, +91-44-25390497",",jnchepcg@gmail.com,",
J J Exports,Companies(Private),Bhadohi,"BG-1, Shalimar Bagh East, New Delhi 110088, DL",+91-11-47020881,"wovenrugs@hotmail.com,,bhadohi.wovenrugs@hotmail.com,zaki8787zaki@gmail.com,tmproducts.bhadohi@gmail.com,exim2@jjplatalloy.com,bhadohi.wovenrugs@gmail.com,exports@amhtrading.co.in,",
Hallmark Fashion,Companies(Private),Bhadohi,"32&33, Main Street, Pudur Road, Subramaniyam Nagar, Tirupur 641608, TN","+91-421-2429464, +91-421-4252334",",bhadohi.wovenrugs@gmail.com,11rugsgallery@gmail.com,naikgopal138@gmail.com,",
Eastern Clothing Company,Companies(Private),Bhadohi,"34/137-A, Eastern Corporate, 2A National Highway Bye Pass, Edappally, Kochi 682024, KL",+91-484-3001100,",corporate@easternmills.com,suryacarpet.bhadohi@gmail.com,adilandcompany96@gmail.com,amarcarpet@gmail.com,tmproducts.bhadohi@gmail.com,info@garg-hinges.com,",
Anish India Export Pvt Ltd,Companies(Private),Bhadohi,"19-20, Phase 4, Udyog Vihar, Gurgaon 122001, HR","+91-124-4010374, +91-124-4010375",",info.delhi@kanuexports.com,info@himalayanshipping.com,info@10fingers.co.in,",
Shahlon Industries Pvt Ltd (Shahlon),Companies(Private),Bhadohi,"3rd Floor, Dawer Chamber, Near Sub Jail, Ring Road, Surat 395002, GJ",+91-261-3090200,",info@shahlon.com,companysecretary@cs.shahlon.com,jane@shahlon.com,",
Sudama Furniture Products Pvt Ltd,Companies(Private),Bhadohi,"12, Sudama Estate, Near Narol Char Rasta, Ahmedabad 382405, GJ",+91-79-25711232,"bipinmehta53@gmail.com,,info@sudamafurniture.com,",
