Name,Sector,City,Address,Phone,Email,Lat-Long
Chheda Electricals & Electronics Pvt Ltd,Companies(Private),Bhavnagar,"Palshi, Khandala, Satara, Pune 412801, MH",+91-20-09822050939,,
Tci Exim Pvt Ltd (TCIL),Companies(Private),Bhavnagar,"69, TCI House, Institutional Area, Sector 32, Gurgaon 122001, HR","+91-124-2348104, +91-124-2347484",",accounts@dastur.com,secretarial@tcil.com,secretarial@tcidevelopers.com,archana.pandey@tcil.com,",
Shree Jagdamba Textiles Pvt Ltd,Companies(Private),Bhavnagar,"188/1, Opposite Ranipur Church, Ranipur Patia, Narol, Ahmedabad 382405, GJ",+91-79-25731104,",sjtpl@jagdambatextiles.com,u003esjtpl@jagdambatextiles.com,",
Ambika Wood Industries Pvt Ltd,Companies(Private),Bhavnagar,"125, GST Road, Opposite ESI Hospital, Chromepet, Chennai 600044, TN","+91-44-22388809, +91-44-22388801",",info@ambikawood.com,ajay@ambikawood.com,",
Privi Lifesciences Pvt Ltd,Companies(Private),Bhavnagar,"A-71, TTC Industrial Area, Thane Belapur Road, Kopar Khairane, Navi Mumbai 400709, MH",,"rameshk@privi.co.in,info@privi.co.in,agrocare@privilife.co.in,,",
Elnova Pharma,Companies(Private),Bhavnagar,"Vishnu Carpets Building, G T Road, Panipat 132103, HR",,"office@elnovapharma.com,,Ankur@elnovapharma.com,",
Anant Co Enterprises Pvt Ltd,Companies(Private),Bhavnagar,"194, Arvind Chambers, Gauri Studio Compound, Andheri East, Mumbai 400069, MH",,",anantco@anantco.com,x3eaccounts@anantco.com,",
The Bombay Burmah Trading Corporation Ltd (Wadia Group) (Wadia),Companies(Private),Bhavnagar,"9, Wallace Street, Fort, Mumbai 400001, MH","+91-22-22079351, +91-22-22079352",",enquiry@eapl.co.in,writetous@bbtcl.com,",
Kinobeo Software Pvt Ltd (Mydala.com),Companies(Private),Bhavnagar,"Building No 40, Okhla Industrial Area, Phase 3, New Delhi 110020, DL",+91-11-43444444,",ab@mydala.com,",
Gorantla Farm Pvt Ltd (Bliss),Companies(Private),Bhavnagar,"New No 4, Old No 47, 1st Floor, Nowroji Road, Chetpet, Chennai 600010, TN","+91-44-26452325, +91-44-26451722",",n.velayutham72@gmail.com,HR@JUBILANT.COM,Kolagatlainfraprojects@gmail.com,tahilramani_harish@yahoo.com,","21.7638286,72.1412957"
Fizzy Foodlabs Pvt Ltd,Companies(Private),Bhavnagar,"9th Floor, Kailas Corporate Lounge, Vir Sarvarkar Marg, Vikhroli West, Mumbai 400079, MH",+91-22-65651150,",kunaldesale@gmail.com,varun@fizzyfoodlabs.com,","19.1755091,72.992216"
Dalmia Bharat Sugar & Industries Ltd (Dalmia),Companies(Private),Bhavnagar,"11th Floor, Hansalaya Building, Barakhamba Road, New Delhi 110001, DL",+91-11-23310121,,"21.763752,71.9900894"
Master Chain Pvt Ltd,Companies(Private),Bhavnagar,"96/98, Sonawala Building, Dhanji Street, Mumbai 400003, MH","+91-22-23435588, +91-22-23435589",",contact@gconnectlogitech.com,mumbai@masterchain.com,",
Inspachi Ceramica,Companies(Private),Bhavnagar,"Shop No 7, Silver Croft Building, Adarsh Lane,Malad West, Mumbai 400064, MH","+91-22-28616292, +91-9322262389",,
Symed Laboratories Ltd,Companies(Private),Bhavnagar,"8-3-168-2-293/174/3, Beside BN Reddy Colony, Road No 14, Banjara Hills, Hyderabad 500034, TS",-23549368,,
Swiss Formulations,Companies(Private),Bhavnagar,"5, 105/C, Shree Utsav Flats, Swastik Society. Navrangpura, Ahmedabad 380009, GJ","+91-79-26431643, +91-79-26431859",,
Paradeep Phosphates Ltd (KK Birla),Companies(Private),Bhavnagar,"Pandit Jawaharlal Nehru Marg, Bhubaneswar 751001, OD",-2394514,"parkeragro_abd@yahoo.com,parkeragro_abd@yahoo.in,joshibrothersgim@yahoo.com,secretarial@parkeragrochem.com,secretarial@parkeragrochem.com,parkeragro_abd@yahoo.com,parkeragro_abd@yahoo.in,joshibrothersgim@yahoo.com,",
MSK Products Pvt Ltd,Companies(Private),Bhavnagar,"44, Step Colony, SIPCOT, Hosur 635126, TN","+91-4344-276573, +91-8447570562","info@nrc.co,info@nrc.co,info@nrc.co.in,info@nrc.co.in,",
Madhuvan Rubbers,Companies(Private),Bhavnagar,"161, Lala No Khancho, Patasa Pole, Gandhi Road, Ahmedabad 380001, GJ",-22171303,,
Tamilnad Mercantile Bank Ltd,Companies(Private),Bhavnagar,"57, VE Road, Tuticorin 628002, TN","+91-461-2324002, +91-461-2321932",,
Banyantree Finance Pvt Ltd,Companies(Private),Bhavnagar,"1418, Maker Chambers 5, Nariman Point, Mumbai 400021, MH",+91-22-66235555,"bapindia.pvt.ltd@gmail.com,accounts@banyantreefinance.com,",
