Name,Sector,City,Address,Phone,Email,Lat-Long
Litel Infrared Systems Pvt Ltd,Companies(Private),Bhiwandi,"284-J, Midc, Bhosari, Pune 411026, MH",+91-20-66300634,",x3efinance@litelir.com,finance@litelir.com,sales@litelir.com,",
R B Knit Exports,Companies(Private),Bhiwandi,"GT Road, Doraha, Ludhiana 141421, PB",+91-161-4390000,"info@tatapetrodyne.in,,arif75shaikh@hotmail.com,aimexports@hotmail.com,",
Malrik Seam,Companies(Private),Bhiwandi,"211, Phase 4, Udyog Vihar, Gurgaon 122001, HR","+91-124-4011646, +91-124-4011648",,
Krishna Fashion,Companies(Private),Bhiwandi,"K-40/77, Near Kalbhairo Temple, Bhaironath, Varanasi 221001, UP",+91-542-2332922,",krishnafancyfabpvtltd@gmail.com,sukkhionlinepvtltdbhiwandi.p@gmail.com,pratikgudhka@gmail.com,",
Noble Clothing Company,Companies(Private),Bhiwandi,"SF 396/2B, KS Thottam, Angeripalayam Road, Mahavishnu Nagar, Tirupur 641603, TN",+91-421-4333031,"hrm@rbrindia.com,,",
Aristocrat Abc Seating Solutions,Companies(Private),Bhiwandi,"2, Rustomji Building, Next To Viraj Tower, Western Express Highway Flyover, Andheri East, Mumbai 400072, MH",+91-9892690690,",arun@aristocratchairs.com,med.bio@rediffmail.com,",
Overnite Express Ltd,Companies(Private),Bhiwandi,"11099-C, Overnite House, East Park Road, Doriwalan, New Delhi 110005, DL",-23510054,"occ.blo@orangecargo.in,,sunil@overnite-mail.com,",
Kelvin Cold Chain Logistics Pvt Ltd,Companies(Private),Bhiwandi,"801, Windfall, Sahar Plaza, Andheri Kurla Road, Andheri East, Mumbai 400059, MH",-67110131,"bipinmehta53@gmail.com,,jayashree.rajput@stellarvaluechain.com,accounts@kelvincoldchain.com,",
K P Packaging Ltd,Companies(Private),Bhiwandi,"32, 13th Lane, Opposite Vira Sadan, Kamathipura, Nagpada, Mumbai 400008, MH",-23073388,",ketan@kppackaging.com,chakan@kptransports.com,booking@kptransports.com,Bhargavasandeep@Hotmail.Com,bhiwandi.booking@kptransports.com,",
Eltete TPM Ltd,Companies(Private),Bhiwandi,"57/A, 1st Phase, GIDC, Valsad, Vapi 396195, GJ","+91-260-6541653, +91-260-6541654",",jdoe@eltete.com,info1@eltete.com,venki@apppoint.com,rohini@apppoint.com,",
Palvi Powertech Sales Pvt Ltd,Companies(Private),Bhiwandi,"315, Aditviya Complex, Near Deluxe Cross Road, Nizampura, Vadodara 390002, GJ","+91-265-3925400, +91-265-3925425",,
Aaditya International,Companies(Private),Bhiwandi,"139-A, Shivalik, Malviya Nagar, New Delhi 110017, DL",+91-11-41831413,"last@abcconsultants.in,info@abcconsultants.in,",
Adonis Electronics Pvt Ltd,Companies(Private),Bhiwandi,"2, Mahal Industrial Estate, Near Paper Off Mahakali Caves Road, Andheri, Mumbai 400093, MH",+91-22-40908931,"adonisele86@gmail.com,j.d@adonis.co.in,",
