Name,Sector,City,Address,Phone,Email,Lat-Long
Sociometrik Infer,Companies(Private),Bhuban,"P-7b S/f Green Park Extn, New Delhi New Delhi-110016,DL",,",kunalsharma.db@gmail.com,",
Websoftstar Infosystems,Companies(Private),Bhuban,"116, Near Naba Tarun Club, Postal Park, Bansdroni, Kolkata 700070,, WB",+91-9051871351,,
Dextomatic Solutions,Companies(Private),Bhuban,"A-7, Mayfair, SV Road, Bandra West, Mumbai 400050, MH",+91-9888875050,",bndudani1@gmail.com,",
Gurukrupa Engineers Pvt Ltd,Companies(Private),Bhuban,"360, J, Midc, Indrayani Nagar Road, Pimpri-Chinchwad, Pune 411026, MH",+91-20-20205723,",santosh@geplpune.com,milindcgonjari@gmail.com,shriratieng@gmail.com,info@gurukrupaplacement.com,",
Alfanar Engineering Services India Pvt Ltd,Companies(Private),Bhuban,"2, 36-F, KG Galaxy, Second Avenue, Anna Nagar, Chennai 600102, TN",+91-44-30580183,",ptd@alfanar.com,info@alfanar.co.com,alfanaralsata@gmail.com,",
Texla Plastics & Metals Pvt Ltd,Companies(Private),Bhuban,"Kanganwal, Jugiana, G.T. Road, Ludhiana 141017, PB",+91-161-2510021,,
Offcom Systems Pvt Ltd,Companies(Private),Bhuban,"62-G, Sector 6, Noida 201301, UP",+91-120-4278492,"info@offcomindia.com,,sales@offcomindia.comOpens,",
Odisha Power Transmission Corporation Ltd,Companies(Private),Bhuban,"Janpath, Bhubaneswar 751022, OD",+91-674-2540051,"cr@optcl.co.in,cs@optcl.co.in,,",
Odisha Power Generation Corporation Ltd,Companies(Private),Bhuban,"7-A, Fortune Towers, Chandrasekharpur, Bhubaneswar 751023, OD",+91-674-2303766,",webmaster@opgc.co.in,bhadoa.jojowar@opgc.co.in,basant.sahoo@opgc.co.in,contracts.corp@opgc.co.in,purchase@opgc.co.in,bn.das@opgc.co.in,",
Growcontrols,Companies(Private),Bhuban,"5-P, 1, A, 13, IDA Nacharam, Hyderabad 500076, TS",+91-40-27175591,",indu@midhani-india.in,grajesham@gmail.com,",
Centrotherm Photovoltaics India Pvt Ltd,Companies(Private),Bhuban,"3, 2, 4, A.V.S. Compound 80 feet, Peripheral Road, Koramangala, Bangalore 560034, KA",+91-80-41666696,",Sheshagiri.MS@centrotherm.de,sheshagiri.ms@centrotherm.de,",
A.K. Power Industries Pvt Ltd,Companies(Private),Bhuban,"1, 23, 2, 1, 1, SHRUTINEER, Bhagaban Chatterjee Lane, Howrah 711101, WB",+91-33-26775152,",susant.guru@adityabirla.co,info.cs@akpi.in,adinishamarketing@gmail.com,accounts@akpi.in,",
The Oudh Sugar Mills Ltd (KK Birla),Companies(Private),Bhuban,"Hargaon Main Road Highway, Sitapur 261121, UP","+91-5862-256220, +91-5862-256204","sugarsales@birla-sugar.com,,birlasugar@birla-sugar.com,",
Selmax Exports Pvt Ltd,Companies(Private),Bhuban,"28, Creative Industrial Estate, Sunder Nagar Road No 2, Kalina, Santacruz East, Mumbai 400098, MH","+91-22-26660857, +91-22-26666058",",mail@selmax.co.in,x3email@selmax.co.in,siva@awaexports.com,roclandscoffee@gmail.com,",
NCML Industries Ltd,Companies(Private),Bhuban,"2nd A/17, Nehru Nagar, Ghaziabad 201002, UP",+91-120-4921201,",compliance@ncml.com,x3ecompliance@ncml.com,mridul_kohli@qsl.co.in,corp@qsl.co.in,quality@ncml.com,anuj.v@ncml.com,",
Milkfood Ltd,Companies(Private),Bhuban,"5th Floor, 91, Bhandari House, Nehru Place, New Delhi 110019, DL",+91-11-26460670,"investor_grievances_redressal@milkfoodltd.com,,milkfoodltd@milkfoodltd.com,info@alankit.com,sectl@milkfoodltd.com,sunriseipr@gmail.com,skothiala@milkfoodltd.com,sudhir@milkfoodltd.com,",
Mahaan Foods Ltd (Mahaan Milk Foods Ltd),Companies(Private),Bhuban,"M-19, 1st Floor, M Block Market, Greater Kailash II, New Delhi 110048, DL","+91-11-43107200, +91-11-41437222","sanjeevgoyal@mahaanmilkfoods.com,,x3esanjeevgoyal@mahaanmilkfoods.com,csmfl@mahaanfoods.com,",
CWG Water Treatment Pvt Ltd,Companies(Private),Bhuban,"291, Industrial Area, Phase II, Panchkula, Panchkula 134109, HR","+91-172-2591029, +91-172-2591530","swe.branch1@gmail.com,,cwgpanchkula@gmail.com,aecapt@yahoo.com,","18.6926052,73.7878137"
WebReinvent Technologies Pvt Ltd,Companies(Private),Bhuban,"6-7, 1st Floor, Near Metro Pillar 770, Dwarka Mor Metro Station, Rama Park, New Delhi 110059, DL",+91-11-32081828,"janedoe@webreinvent.com,,","28.5937097,77.0154672"
