Name,Sector,City,Address,Phone,Email,Lat-Long
Xtreme Fitness Gym - Sector 21 - Chandigarh,Gym,Chandigarh,"Aroma Hotel, 2nd Floor, Above McDonald's, Aroma Light Point, Sector 22/C, Chandigarh 160022, CH",+91-9888433635,",teamgaganfitness@gmail.com,","30.7284651,76.6393943"
Vigour Crossfit Gym - Zirakpur - Chandigarh,Gym,Chandigarh,"SCO 1 & 2 Second Floor, VIP Rd, Zirakpur, Punjab 140603",095019 79700,"vigour2.0gym@gmail.com,,","30.638486,76.8138079"
Varjish Gym and Spa - Sector 20 - Chandigarh,Gym,Chandigarh,"SCO No 1-2, BR Towers, 2nd & 3rd Floor, Opposite Easy Day, Shri Ram Pharmacy Road, Sector 20, Chandigarh 160104, CH",+91-8699020909,",varjish.gym@gmail.com,","30.6919185,76.7370898"
Valentine Fitness Hi Tech Gym - Sector 17 - Chandigarh,Gym,Chandigarh,"SCO 38-39, (opp.Hotel park plaza), Sector 17A, Sector 17, Chandigarh, 160017",098783 90567,",valentine-fitness-hi-tech-gym-chandigarh-oxy@djums.html,","30.74362,76.7819365"
Ultimate Fitness - Zirakpur - Chandigarh,Gym,Chandigarh,"SCO No 5 & 6, 2nd Floor, Above PNB Bank, Old Ambala Road, Zirakpur, Chandigarh 160104, CH",,",ultimatefitnesszirakpur@gmail.com,","30.6466341,76.7864361"
Ultimate Fitness - Sector 9 - Chandigarh,Gym,Chandigarh,"SCO No 34-35-36-37, Top Floor, Level 3, Above Boom Box, Sector 9, Chandigarh 160009, CH",+91-7814121000,",info@gymcompany.co.za,aromaproultimategyms@gmail.com,x3einfo@gymcompany.co.za,","30.7137542,76.7136953"
Ultimate Fitness - Sector 70 - Chandigarh,Gym,Chandigarh,"SCO No 28-29, Near Hotel Mirage, Sahibzada Ajit Singh Nagar, Sector 70-71, Chandigarh 160071, CH",+91-172-4730300,"proultimategyms71@gmail.com,,aromaproultimategyms@gmail.com,info@ultimategymsolutions.com,","30.699234,76.7004154"
Ultimate Fitness - Sector 67 - Chandigarh,Gym,Chandigarh,"Sco 34 35, Sector 67, Sahibzada Ajit Singh Nagar, Punjab 160062",095205 41313,"ultimatefitness67@gmail.com,,aromaproultimategyms@gmail.com,","30.6796059,76.7223432"
Ultimate Fitness - Sector 46 - Chandigarh,Gym,Chandigarh,"SCO No 67-68, Level 2 & 3, Near Dua Medical Hall, Sector 46-47, Chandigarh 160047, CH",+91-172-4044646,",aromaproultimategyms@gmail.com,ultimatefitness46@gmail.com,info@ultimategymsolutions.com,","30.6987315,76.7637816"
Ulimate Fitness - Dhakoli - Chandigarh,Gym,Chandigarh,"SCO 5-6, Floor, 1-2-3, near Railway Crossing, opp. Police Station, Dhakoli, Zirakpur, Punjab 160104",073473 42388,",ultimatefitness.sre@gmail.com,ultimatefitnesszirakpur@gmail.com,aromaproultimategyms@gmail.com,","30.6546436,76.8419005"
Tri City Fitness - Sector 26 - Chandigarh,Gym,Chandigarh,"SCO 25, Block C, Sector 27, Chandigarh, 160019",098721 13831,,"30.7212537,76.7970964"
Tiger Gym - Mohali Sas Nagar - Chandigarh,Gym,Chandigarh,"Plot No.15, Phase 1, Mohali, Sahibzada Ajit Singh Nagar, Punjab 160055",098886 92454,",mohali@goldsgymindia.com,tanksgymindia@gmail.com,ozigymandspa@gmail.com,","30.73042,76.7105161"
The Royal Fitness - Mohali Sas Nagar - Chandigarh,Gym,Chandigarh,"SCF No 14, 2nd Floor, Phase 6, Main Market, Near Oriental Bank, Mohali Sas Nagar, Chandigarh 160059, CH",+91-7696204564,",tanksgymindia@gmail.com,Royalfitnessmohali@gmail.com,","30.7364519,76.7109744"
The Code Fitness - Sector 8 - Chandigarh,Gym,Chandigarh,"SCO No 45-48, Near Panasonic Store, Madhya Marg, Sector 8-9, Chandigarh 160009, CH",+91-172-5005333,"support@thecodefitness.com,,info@thecodefitness.com,u003esupport@thecodefitness.com,","30.7341485,76.7919361"
Target Fitness Gym - Kharar - Chandigarh,Gym,Chandigarh,"Arya College Rd, Sector 127, Main Bazar, Kharar, Sahibzada Ajit Singh Nagar, Punjab 140301",098555 66626,",x3einfo@gymcompany.co.za,auston.gym.spa@gmail.com,info@gymcompany.co.za,","30.7432464,76.64517"
Sub Zero Fitness - Sector 9 - Chandigarh,Gym,Chandigarh,"SCO 9-10-11, 12-13, Madhya Marg, 9-D, Sector 9, Chandigarh, 160009",0172 468 1900,,"30.7453597,76.7847998"
Sub Zero Fitness - Sector 8 - Chandigarh,Gym,Chandigarh,"SCO 9-10-11, 12-13, Madhya Marg, 9-D, Sector 9, Chandigarh, 160009",0172 468 1900,,"30.7453597,76.7847998"
Sona Gym And Spa - Sector 70 - Chandigarh,Gym,Chandigarh,"SCO 672 Top Floor, above Federal Bank, Sector 70, Sahibzada Ajit Singh Nagar, Punjab 160071",098888 91318,"sonagymspa@gmail.com,,","30.6953545,76.7155355"
Solid Fitness Gym - Mohali Sas Nagar - Chandigarh,Gym,Chandigarh,"129, Near Vijaya Bank, Landran Road, Mohali Sas Nagar, Chandigarh 140308, CH",+91-9988710150,",tanksgymindia@gmail.com,","30.7236797,76.6101121"
Shape Up Gym - Sector 44 - Chandigarh,Gym,Chandigarh,"45, Himalaya Marg, 18A, Sector 44, Chandigarh, 160018",+91-9876796777,",44chdproultimategyms@gmail.com,","30.737235,76.7839481"
Shape A Thon The Fitness Club - Zirakpur - Chandigarh,Gym,Chandigarh,"SCO-6-7, Ist and II Floor, Near Maharashtra Bank, Patiala Rd, above Dashmesh Hospital, AKS Colony, Zirakpur, Punjab 140603",095928 90031,",ultimatefitnesszirakpur@gmail.com,","30.651068,76.8111752"
Sculpt Gym - Sector 39 - Chandigarh,Gym,Chandigarh,"SCO 220, First Floor, 40D, Sector 40D, Chandigarh, 160036",+91-9501666607,,"30.7368492,76.7291115"
