Name,Sector,City,Address,Phone,Email,Lat-Long
CPS Textiles Pvt Ltd,Companies(Private),Cochin,"67, CPS Garden, Kangeyam Road, Jai Nagar, Tirupur 641604, TN","+91-421-2251675, +91-421-2250931",",sales@cpstextiles.com,cpstexind@gmail.com,siva@cottony.net,ravi@cottony.net,",
Safetab Life Sciences,Companies(Private),Cochin,"A-67 & 68, Electronic Park, Thirubuvanai, Puducherry 605107, TN",,",sales@safetab.net,",
L Liladhar & Co,Companies(Private),Cochin,"257/259, Vadgadi, Samuel Street, Masjid, Mumbai 400003, MH",+91-22-23447690,,
Hyacinth Agro Products Pvt Ltd,Companies(Private),Cochin,"88, Industrial Estate, Zanikote, Srinagar 190012, JK",+91-194-2496036,"umer1307@gmail.com,,raksansh2003@gmail.com,finparkconsultants@gmail.com,",
Guruji Products Pvt Ltd,Companies(Private),Cochin,"201, Shalimar Corporate Centre, 8-B, South Tukoganj, Indore 452001, MP",+91-731-4046104,",info@shreeguruji.com,last@shreeguruji.com,vijay@shreeguruji.com,","9.9436522,76.3359484"
Agrawal Papad Pvt Ltd (420),Companies(Private),Cochin,"374, Hukumchand Colony, Panchkuiya Road, Indore 452002, MP","+91-731-2412420, +91-731-2413420","agrawal420papad@yahoo.co.in,,inquiry@420papad.com,","9.9822101,75.9712504"
Join Pack Machines Pvt Ltd,Companies(Private),Cochin,"19/21, Shakti Nagar, New Delhi 110007, DL","+91-11-23845309, +91-11-23842007",",sanjeev@joinpackmachines.com,",
Techno Cera Industries,Companies(Private),Cochin,"3, Vimal Villa, Mrutyunjay Colony, Near Paud Road, Anandnagar, Kothrud, Pune 411038, MH",-25460669,",pradeepnair@kshemapower.com,BICHYD123@GMAIL.COM,",
Sai Shradha Services,Companies(Private),Cochin,"164-F, 1, 1, Dreams The Mall, LBS Marg, Bhandup, Mumbai 400078, MH",,"finance@sganalytics.com,finance@sganalytics.com,finance@sganalytics.com,ahakki@sganalytics.com,last@sganalytics.com,x22finance@sganalytics.com,x3efinance@sganalytics.com,x3efinance@sganalytics.com,",
On Time Solutions,Companies(Private),Cochin,"6, 1 Cross, Near RTO Office, Banashankari Layout, Old Madras Road, Bangalore 560049, KA","+91-80-64302333, +91-80-65656888","mail@lexorbis.com,bindu@origiin.com,sinha.anita@rediffmail.com,",
KJWW Engineering Consultants,Companies(Private),Cochin,"Hi-Tech House, Near Gurukul Tower, Gurukul, Ahmedabad 380052, GJ",+91-79-40052868,,
CBS Consultants,Companies(Private),Cochin,"KK Chambers, Near Handloom House, PT Road, Fort, Mumbai 400001, MH",+91-9819853511,,
3P Consultants Pvt Ltd,Companies(Private),Cochin,"301, Hyde Park, Saki-Vihar Road, Andheri East, Mumbai 400072, MH",+91-22-67070303,"atozsandeep@gmail.com,",
